Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,44.17,45.70,44.17,45.21,1600,45.21
2012-05-14,47.46,47.55,44.54,44.59,1600,44.59
2012-05-07,47.40,48.76,46.08,47.75,1000,47.75
2012-04-30,47.97,48.35,47.19,47.30,14600,47.30
2012-04-23,45.68,47.69,45.37,47.69,900,47.69
2012-04-16,45.57,46.06,45.35,45.75,700,45.75
2012-04-09,45.34,46.10,44.28,45.08,3900,45.08
2012-04-02,46.25,46.68,45.75,45.91,9900,45.91
2012-03-26,46.29,46.71,45.03,45.93,14900,45.93
2012-03-19,46.43,46.71,45.49,46.27,1800,46.27
2012-03-12,45.40,47.07,45.18,46.44,6500,46.07
2012-03-05,45.16,45.57,44.53,45.25,2300,44.89
2012-02-27,45.16,45.45,44.53,45.15,33600,44.80
2012-02-21,45.66,45.66,44.56,45.20,4000,44.84
2012-02-13,45.97,46.56,45.01,45.66,5700,45.30
2012-02-06,46.14,46.77,44.90,45.69,2100,45.33
2012-01-30,44.76,46.35,44.27,46.02,4100,45.66
2012-01-23,43.84,44.88,43.26,44.79,6000,44.44
2012-01-17,48.57,48.57,42.84,43.45,2600,43.11
2012-01-09,42.02,43.15,41.81,42.42,700,42.09
2012-01-03,43.00,43.00,41.50,42.19,700,41.86
2011-12-27,42.25,43.06,41.85,42.14,1700,41.81
2011-12-19,40.84,41.84,40.09,41.84,900,41.51
2011-12-12,40.60,41.18,39.79,40.85,1100,40.22
2011-12-05,41.00,41.01,39.96,40.81,500,40.18
2011-11-28,38.10,40.57,38.10,40.35,200,39.73
2011-11-21,39.17,39.35,38.06,38.10,600,37.51
2011-11-14,40.74,41.19,39.66,40.11,1600,39.49
2011-11-07,41.24,44.80,40.62,40.74,4100,40.11
2011-10-31,41.76,42.39,41.08,41.09,800,40.46
2011-10-24,40.46,42.68,40.15,42.68,1000,42.02
2011-10-17,38.59,39.74,37.68,39.74,800,39.13
2011-10-10,37.33,38.45,36.23,37.88,1500,37.30
2011-10-03,36.88,37.35,33.44,37.35,1300,36.77
2011-09-26,37.88,38.86,37.59,37.68,3100,37.10
2011-09-19,40.84,41.28,36.13,37.62,600,37.04
2011-09-12,39.50,41.28,38.91,41.28,700,40.29
2011-09-06,39.70,41.42,38.88,39.97,1500,39.02
2011-08-29,40.70,42.06,40.27,40.27,2000,39.31
2011-08-22,39.37,41.61,38.72,39.43,1900,38.49
