Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.06,4.19,4.00,4.11,73000,4.11
2012-05-14,4.07,4.25,3.99,4.06,84300,4.06
2012-05-07,4.02,4.20,4.00,4.14,84700,4.14
2012-04-30,3.44,4.14,3.43,4.02,540400,4.02
2012-04-23,2.61,3.11,2.57,2.95,60700,2.95
2012-04-16,2.72,2.82,2.59,2.66,42300,2.66
2012-04-09,2.65,2.81,2.57,2.72,56000,2.72
2012-04-02,2.65,2.89,2.65,2.68,40100,2.68
2012-03-26,2.74,2.79,2.55,2.67,38100,2.67
2012-03-19,2.63,2.80,2.48,2.71,53000,2.71
2012-03-12,2.51,2.69,2.49,2.65,77000,2.65
2012-03-05,2.42,2.64,2.40,2.50,51800,2.50
2012-02-27,2.45,2.61,2.39,2.41,37100,2.41
2012-02-21,2.50,2.55,2.30,2.45,34800,2.45
2012-02-13,2.52,2.61,2.45,2.50,26100,2.50
2012-02-06,2.69,2.77,2.38,2.50,90100,2.50
2012-01-30,2.25,2.80,2.25,2.72,86400,2.72
2012-01-23,2.13,2.33,2.05,2.31,37300,2.31
2012-01-17,1.90,2.15,1.86,2.14,49200,2.14
2012-01-09,1.89,1.97,1.74,1.85,283200,1.85
2012-01-03,1.94,2.03,1.77,1.80,96300,1.80
2011-12-27,1.90,1.97,1.71,1.88,72900,1.88
2011-12-19,1.84,2.15,1.74,1.92,94200,1.92
2011-12-12,1.64,2.25,1.55,1.85,217300,1.85
2011-12-05,1.70,1.75,1.53,1.66,152800,1.66
2011-11-28,1.73,1.90,1.64,1.70,197300,1.70
2011-11-21,1.82,1.86,1.48,1.65,205300,1.65
2011-11-14,2.43,2.47,1.80,1.84,295900,1.84
2011-11-07,2.45,2.72,2.28,2.45,122100,2.45
2011-10-31,2.21,2.50,1.89,2.46,154600,2.46
2011-10-24,1.79,2.29,1.76,2.24,415600,2.24
2011-10-17,2.50,2.54,1.74,1.81,244400,1.81
2011-10-10,2.47,2.55,2.09,2.42,169100,2.42
2011-10-03,2.28,2.77,2.28,2.41,333800,2.41
2011-09-26,6.49,6.59,1.55,2.40,2009800,2.40
2011-09-19,6.59,6.67,6.17,6.44,75300,6.44
2011-09-12,6.38,7.10,6.32,6.70,167700,6.70
2011-09-06,7.14,7.22,6.25,6.44,306600,6.44
2011-08-29,7.60,7.87,7.24,7.28,168300,7.28
2011-08-22,7.66,7.80,7.18,7.53,188000,7.53
2011-08-15,8.41,8.41,7.45,7.50,177300,7.50
2011-08-08,9.40,9.76,8.00,8.37,196000,8.37
2011-08-01,9.73,9.96,9.25,9.56,50900,9.56
2011-07-25,9.93,10.05,9.46,9.67,95100,9.67
2011-07-18,9.88,10.10,9.60,10.02,77200,10.02
2011-07-11,9.91,10.18,9.75,9.92,40400,9.92
2011-07-05,10.11,10.24,9.91,10.01,100700,10.01
2011-06-27,10.17,10.28,9.98,10.14,89700,10.14
2011-06-20,9.75,10.48,9.62,10.20,235100,10.20
2011-06-13,9.70,10.30,9.60,9.75,91200,9.75
2011-06-06,9.86,9.99,9.65,9.68,109700,9.68
2011-05-31,10.11,10.19,9.75,9.86,77700,9.86
2011-05-23,9.55,10.20,9.49,10.04,164600,10.04
2011-05-16,9.66,9.75,9.19,9.66,118300,9.66
2011-05-09,9.77,10.01,9.68,9.72,189100,9.72
2011-05-02,10.00,10.01,9.70,9.81,169100,9.81
2011-04-25,9.94,10.15,9.91,9.94,52700,9.94
2011-04-18,9.67,10.10,9.60,9.94,47800,9.94
2011-04-11,9.89,10.15,9.70,9.77,53100,9.77
2011-04-04,9.93,10.30,9.67,9.93,134800,9.93
2011-03-28,10.07,10.49,9.80,9.95,407300,9.95
2011-03-21,10.50,10.65,10.00,10.05,66700,10.05
2011-03-14,10.59,10.64,10.27,10.35,70000,10.35
2011-03-07,10.74,10.87,10.28,10.59,109100,10.59
2011-02-28,10.80,11.03,10.65,10.73,29900,10.73
2011-02-22,10.50,10.84,10.19,10.80,117200,10.80
2011-02-14,10.93,11.30,10.54,10.64,184500,10.64
2011-02-08,10.75,10.92,10.60,10.90,2076600,10.90
