Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.34,25.38,25.32,25.34,15700,25.34
2012-05-14,24.35,25.40,24.35,25.32,40500,25.32
2012-05-07,24.90,24.94,24.38,24.38,3800,24.38
2012-04-30,24.65,25.13,24.51,24.73,5800,24.73
2012-04-23,24.73,24.87,24.42,24.56,5900,24.56
2012-04-16,24.74,25.08,24.52,24.87,6600,24.87
2012-04-09,24.69,25.01,24.45,24.48,7000,24.48
2012-04-02,24.74,24.98,24.22,24.62,9100,24.62
2012-03-26,25.00,25.11,24.75,24.76,7700,24.76
2012-03-19,24.84,25.00,24.53,24.98,9900,24.98
2012-03-12,24.40,24.92,24.40,24.80,7300,24.80
2012-03-05,24.55,24.65,24.23,24.38,7500,24.38
2012-02-27,24.88,24.88,24.43,24.55,9800,24.55
2012-02-21,24.83,24.96,24.64,24.87,9600,24.50
2012-02-13,24.78,24.92,24.60,24.72,6500,24.35
2012-02-06,24.55,24.97,24.39,24.94,9700,24.57
2012-01-30,24.14,24.59,23.84,24.59,10000,24.23
2012-01-23,23.66,24.00,23.32,24.00,10800,23.65
2012-01-17,23.09,23.50,22.90,23.50,9600,23.15
2012-01-09,22.62,23.05,22.62,22.85,8500,22.51
2012-01-03,22.75,22.90,22.25,22.50,8300,22.17
2011-12-27,21.16,22.49,20.75,22.47,12500,22.14
2011-12-19,21.53,21.70,20.54,21.40,14200,21.08
2011-12-12,21.84,21.84,21.13,21.34,8000,21.02
2011-12-05,21.62,21.98,21.26,21.74,13300,21.42
2011-11-28,22.86,23.00,21.46,21.56,10900,21.24
2011-11-21,22.60,23.05,22.17,22.50,7200,21.81
2011-11-14,22.80,23.00,22.41,22.68,8300,21.98
2011-11-07,22.80,23.24,22.35,22.76,8000,22.06
2011-10-31,23.02,23.05,22.00,22.78,7500,22.08
2011-10-24,22.88,23.49,22.51,23.07,11900,22.36
2011-10-17,21.43,22.89,21.24,22.75,11900,22.05
2011-10-10,20.98,21.81,20.72,21.42,8200,20.76
2011-10-03,21.42,21.62,18.70,20.56,12300,19.93
2011-09-26,21.44,22.45,21.16,21.69,7300,21.02
2011-09-19,22.55,22.92,21.13,21.66,9900,21.00
2011-09-12,22.71,22.99,21.75,22.75,10900,22.05
2011-09-06,22.39,23.57,21.71,22.76,10300,22.06
2011-08-29,23.90,24.45,22.27,22.87,9400,22.17
2011-08-22,24.11,24.11,21.26,23.54,21700,22.47
2011-08-15,23.42,24.49,23.23,23.70,7800,22.63
2011-08-08,23.30,23.70,18.44,22.92,20500,21.88
2011-08-01,24.56,24.73,20.81,23.60,11800,22.53
2011-07-25,24.73,24.98,24.52,24.56,5100,23.45
2011-07-18,24.86,24.86,24.71,24.75,8800,23.63
2011-07-11,24.74,24.97,24.70,24.83,9100,23.71
2011-07-05,24.74,24.89,24.71,24.79,3500,23.67
2011-06-27,24.79,24.91,24.65,24.71,5300,23.59
2011-06-20,24.55,25.00,24.55,24.97,6100,23.84
2011-06-13,24.56,24.71,24.50,24.64,5800,23.52
2011-06-06,24.54,24.71,24.47,24.53,7300,23.42
2011-05-31,24.67,24.68,24.41,24.52,5500,23.41
2011-05-23,24.92,24.92,24.50,24.57,5000,23.46
2011-05-16,24.72,24.93,24.70,24.84,8100,23.37
2011-05-09,24.54,24.78,24.54,24.72,7900,23.25
2011-05-02,24.65,24.69,24.54,24.54,3100,23.08
2011-04-25,24.44,24.71,24.42,24.58,5700,23.12
2011-04-18,24.44,24.58,24.20,24.35,6300,22.90
2011-04-11,24.53,24.54,24.26,24.54,5400,23.08
2011-04-04,24.57,24.71,24.22,24.53,4800,23.07
2011-03-28,24.49,24.74,24.42,24.42,7100,22.97
2011-03-21,24.55,24.77,24.42,24.43,5200,22.98
2011-03-14,24.49,24.57,24.21,24.56,7600,23.10
2011-03-07,24.33,24.49,24.11,24.49,6900,23.04
