Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,27.71,28.08,27.20,27.41,59300,27.41
2012-05-14,27.77,28.97,27.55,27.60,39000,27.60
2012-05-07,27.84,28.73,27.81,28.18,36900,28.18
2012-04-30,28.56,28.82,27.71,28.01,59400,28.01
2012-04-23,27.86,28.73,27.51,28.67,39100,28.67
2012-04-16,27.93,29.05,27.47,28.38,53000,28.38
2012-04-09,27.59,28.77,27.19,27.78,66100,27.78
2012-04-02,28.71,29.40,28.00,28.25,45000,28.25
2012-03-26,28.82,29.25,28.14,28.73,46000,28.73
2012-03-19,28.53,29.47,27.53,28.40,37300,28.40
2012-03-12,27.40,28.91,27.20,28.60,63400,28.39
2012-03-05,26.49,27.52,26.37,27.44,48800,27.24
2012-02-27,27.65,28.36,26.48,26.63,50400,26.43
2012-02-21,28.50,28.75,27.45,27.91,61300,27.70
2012-02-13,28.38,28.71,27.34,28.40,52500,28.19
2012-02-06,28.49,29.50,27.85,28.02,52300,27.81
2012-01-30,27.75,29.54,27.40,29.19,88800,28.98
2012-01-23,28.74,28.85,27.39,28.00,53100,27.79
2012-01-17,28.43,29.79,27.96,28.73,98600,28.52
2012-01-09,28.14,28.66,27.82,28.24,51300,28.03
2012-01-03,28.04,28.34,27.38,27.93,40500,27.72
2011-12-27,27.49,28.41,26.67,27.29,48400,27.09
2011-12-19,27.29,28.14,26.54,27.68,64600,27.48
2011-12-12,26.91,27.50,25.79,27.08,87800,26.70
2011-12-05,26.91,27.46,25.42,27.34,60600,26.95
2011-11-28,23.13,26.91,23.03,26.50,74200,26.12
2011-11-21,24.31,24.69,22.57,22.64,47600,22.32
2011-11-14,25.66,26.16,24.22,24.86,52200,24.51
2011-11-07,25.96,27.08,25.01,25.77,58200,25.40
2011-10-31,25.75,26.68,24.02,25.98,60100,25.61
2011-10-24,24.63,27.14,24.19,26.22,119100,25.85
2011-10-17,24.67,25.09,23.65,24.57,153600,24.22
2011-10-10,22.81,25.43,22.59,25.02,71900,24.67
2011-10-03,21.59,23.72,20.25,22.44,100400,22.12
2011-09-26,21.44,22.93,21.11,21.74,61400,21.43
