Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,5.83,5.90,5.57,5.87,35500,5.87
2012-05-14,5.94,6.08,5.54,5.84,60000,5.84
2012-05-07,5.83,6.15,5.64,5.95,27300,5.95
2012-04-30,5.65,6.15,5.41,5.90,66200,5.90
2012-04-23,5.44,6.10,5.20,5.65,54100,5.65
2012-04-16,5.40,5.56,5.02,5.46,22800,5.46
2012-04-09,5.34,5.50,4.90,5.40,27900,5.40
2012-04-02,5.40,5.62,5.16,5.44,26600,5.44
2012-03-26,4.93,5.48,4.87,5.39,26300,5.39
2012-03-19,4.94,5.33,4.66,4.87,43000,4.87
2012-03-12,5.61,5.71,4.85,4.95,101400,4.95
2012-03-05,6.01,6.01,5.42,5.60,36000,5.60
2012-02-27,5.36,6.24,5.32,5.95,69200,5.95
2012-02-21,5.73,5.78,5.03,5.31,49500,5.31
2012-02-13,5.25,6.03,4.96,5.64,107100,5.64
2012-02-06,4.10,5.50,4.06,5.25,114300,5.25
2012-01-30,4.24,4.29,3.99,4.18,27700,4.18
2012-01-23,3.83,4.36,3.80,4.30,28200,4.30
2012-01-17,3.79,3.90,3.65,3.85,15300,3.85
2012-01-09,3.88,3.94,3.71,3.80,19700,3.80
2012-01-03,3.95,3.95,3.81,3.92,31800,3.92
2011-12-27,3.80,3.95,3.72,3.94,19900,3.94
2011-12-19,3.72,3.89,3.70,3.78,19000,3.78
2011-12-12,3.77,3.90,3.62,3.70,21900,3.70
2011-12-05,3.64,4.39,3.64,3.80,20800,3.80
2011-11-28,3.35,3.65,3.29,3.64,16600,3.64
2011-11-21,3.41,3.48,3.24,3.28,22100,3.28
2011-11-14,3.54,3.60,3.40,3.43,18300,3.43
2011-11-07,3.42,3.63,3.38,3.57,19400,3.57
2011-10-31,3.45,3.70,3.40,3.50,17600,3.50
2011-10-24,3.32,3.75,3.16,3.60,67200,3.60
2011-10-17,3.29,3.40,3.09,3.39,13700,3.39
2011-10-10,2.94,3.30,2.85,3.25,21000,3.25
2011-10-03,2.90,3.01,2.72,2.95,21800,2.95
