Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.59,13.16,12.47,12.73,344600,12.73
2012-05-14,12.72,13.73,12.46,12.58,673900,12.58
2012-05-07,11.04,13.98,10.73,12.97,840300,12.97
2012-04-30,11.29,11.46,11.00,11.06,315000,11.06
2012-04-23,11.45,11.55,11.12,11.33,174000,11.33
2012-04-16,11.99,11.99,11.31,11.38,258800,11.38
2012-04-09,12.00,12.32,11.72,11.89,263700,11.89
2012-04-02,12.75,12.87,12.08,12.17,446300,12.17
2012-03-26,13.28,13.43,12.72,12.81,264500,12.81
2012-03-19,13.25,13.52,12.75,13.15,216400,13.15
2012-03-12,12.98,13.79,12.93,13.33,514400,13.33
2012-03-05,11.94,13.03,11.77,13.01,597900,13.01
2012-02-27,11.94,12.21,11.50,11.68,588300,11.68
2012-02-21,12.26,12.31,11.80,11.99,355500,11.99
2012-02-13,12.20,12.50,11.62,12.37,446800,12.37
2012-02-06,12.79,13.00,12.08,12.19,378000,12.19
2012-01-30,12.10,13.02,11.97,12.85,350500,12.85
2012-01-23,12.10,12.41,11.94,12.21,244100,12.21
2012-01-17,11.82,12.38,11.82,12.04,441900,12.04
2012-01-09,11.75,11.95,10.86,11.74,304600,11.74
2012-01-03,11.19,11.45,10.67,11.03,240800,11.03
2011-12-27,11.35,11.95,10.98,10.99,272600,10.99
2011-12-19,10.27,11.47,10.24,11.41,295500,11.41
2011-12-12,9.80,10.33,9.77,10.24,428500,10.24
2011-12-05,9.75,9.98,9.50,9.93,254100,9.93
2011-11-28,8.76,9.73,8.76,9.56,553600,9.56
2011-11-21,8.46,8.60,8.28,8.28,130300,8.28
2011-11-14,8.76,8.93,8.38,8.63,157200,8.63
2011-11-07,8.58,8.97,8.38,8.83,185100,8.83
2011-10-31,8.82,8.94,8.33,8.59,235500,8.59
2011-10-24,9.00,9.32,8.23,8.91,254700,8.91
2011-10-17,8.99,9.24,8.30,8.97,159800,8.97
2011-10-10,8.59,9.10,8.43,9.08,167500,9.08
2011-10-03,8.27,8.68,7.97,8.40,282300,8.40
2011-09-26,8.52,8.88,8.26,8.36,236300,8.36
2011-09-19,9.60,9.81,8.20,8.42,275000,8.42
2011-09-12,8.93,9.85,8.93,9.81,237800,9.81
2011-09-06,9.00,9.70,8.95,9.09,285900,9.09
2011-08-29,9.35,9.70,9.02,9.11,284200,9.11
2011-08-22,9.03,9.47,8.70,9.27,246400,9.27
2011-08-15,9.21,9.45,8.76,8.83,269900,8.83
2011-08-08,8.94,9.45,8.39,9.16,452500,9.16
2011-08-01,9.69,9.73,8.92,9.20,382700,9.20
2011-07-25,9.31,9.72,8.69,9.53,269700,9.53
2011-07-18,9.34,9.52,9.17,9.46,136800,9.46
2011-07-11,9.34,9.50,9.20,9.35,203100,9.35
2011-07-05,9.24,9.54,9.15,9.42,245700,9.42
2011-06-27,8.75,9.26,8.75,9.23,195700,9.23
2011-06-20,8.73,9.02,8.65,8.76,193800,8.76
2011-06-13,8.69,8.97,7.96,8.77,258100,8.77
2011-06-06,9.06,9.11,8.56,8.61,234900,8.61
2011-05-31,9.21,9.38,8.95,9.03,239600,9.03
2011-05-23,8.98,9.22,8.78,9.14,166300,9.14
2011-05-16,8.90,9.27,8.58,9.11,259500,9.11
2011-05-09,8.87,9.41,8.86,8.91,278400,8.91
2011-05-02,8.97,9.15,8.67,8.87,334600,8.87
2011-04-25,8.50,9.84,8.41,9.00,328200,9.00
2011-04-18,8.53,8.58,8.28,8.51,152100,8.51
2011-04-11,8.80,8.83,8.53,8.61,120800,8.61
2011-04-04,8.75,9.03,8.70,8.81,182700,8.81
2011-03-28,8.57,8.82,8.45,8.79,162400,8.79
2011-03-21,8.33,8.67,8.31,8.57,175200,8.57
2011-03-14,8.46,8.46,7.98,8.25,337200,8.25
2011-03-07,8.05,8.57,7.83,8.54,217700,8.54
2011-02-28,8.08,8.20,7.86,7.99,131000,7.99
2011-02-22,8.21,8.32,7.89,8.05,235800,8.05
2011-02-14,8.57,8.58,8.24,8.33,180000,8.33
2011-02-07,8.84,8.98,8.46,8.60,207000,8.60
2011-01-31,8.17,9.35,8.17,8.89,404200,8.89
2011-01-24,8.15,8.62,8.11,8.19,198600,8.19
2011-01-18,8.25,8.32,8.11,8.16,252300,8.16
2011-01-10,8.23,8.37,8.07,8.29,140000,8.29
2011-01-03,8.40,8.47,8.17,8.29,194400,8.29
2010-12-27,8.31,8.50,8.30,8.30,160400,8.30
2010-12-20,8.11,8.30,7.88,8.25,149700,8.25
2010-12-13,7.85,8.17,7.80,8.12,313800,8.12
2010-12-06,7.62,7.85,7.62,7.84,190000,7.84
2010-11-29,7.73,7.83,7.58,7.65,258200,7.65
2010-11-22,7.67,7.88,7.61,7.79,148200,7.79
