Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.40,3.48,3.33,3.43,11800,3.43
2012-05-14,3.71,3.71,3.32,3.42,22300,3.42
2012-05-07,3.74,3.85,3.62,3.64,29800,3.64
2012-04-30,3.50,3.97,3.47,3.78,38000,3.78
2012-04-23,3.48,3.53,3.33,3.49,23000,3.49
2012-04-16,3.45,3.53,3.20,3.51,18800,3.51
2012-04-09,3.66,3.66,3.32,3.47,32300,3.47
2012-04-02,3.52,3.73,3.50,3.68,38200,3.68
2012-03-26,3.44,3.60,3.31,3.55,36900,3.55
2012-03-19,3.45,3.58,3.34,3.44,50200,3.44
2012-03-12,3.33,3.45,3.31,3.45,45900,3.45
2012-03-05,3.44,3.48,3.10,3.43,74500,3.43
2012-02-27,3.63,3.66,3.29,3.40,35000,3.40
2012-02-21,3.72,3.84,3.61,3.65,15700,3.65
2012-02-13,3.65,3.85,3.60,3.70,37600,3.70
2012-02-06,3.69,3.79,3.36,3.66,18800,3.66
2012-01-30,3.05,3.71,3.00,3.65,42700,3.65
2012-01-23,2.97,3.05,2.91,3.05,17400,3.05
2012-01-17,2.93,3.06,2.87,3.04,13200,3.04
2012-01-09,2.82,3.10,2.82,2.95,28800,2.95
2012-01-03,2.86,2.88,2.74,2.81,33100,2.81
2011-12-27,2.68,2.78,2.60,2.78,18600,2.78
2011-12-19,2.32,2.68,2.31,2.62,40700,2.62
2011-12-12,2.34,2.42,2.16,2.34,59800,2.34
2011-12-05,2.31,2.42,2.15,2.31,55600,2.31
2011-11-28,2.32,2.43,2.13,2.33,11700,2.33
2011-11-21,2.32,2.44,2.24,2.30,12300,2.30
2011-11-14,2.39,2.52,2.27,2.35,43100,2.35
2011-11-07,2.52,2.59,2.36,2.42,31400,2.42
2011-10-31,2.83,2.88,2.28,2.45,41100,2.45
2011-10-24,2.60,2.81,2.59,2.77,31100,2.77
2011-10-17,2.66,2.75,2.41,2.59,13200,2.59
2011-10-10,2.47,2.64,2.47,2.64,15900,2.64
2011-10-03,2.61,2.65,2.28,2.50,17900,2.50
2011-09-26,2.70,2.77,2.50,2.64,12100,2.64
2011-09-19,2.64,2.77,2.58,2.68,14200,2.68
2011-09-12,2.63,2.75,2.50,2.70,14500,2.70
2011-09-06,2.85,2.88,2.61,2.68,17800,2.68
2011-08-29,2.80,2.97,2.80,2.90,11000,2.90
2011-08-22,2.76,2.99,2.61,2.84,13600,2.84
2011-08-15,2.90,3.01,2.62,2.64,13500,2.64
2011-08-08,3.60,3.60,2.58,2.90,41200,2.90
2011-08-01,3.41,3.49,3.23,3.28,76300,3.28
2011-07-25,3.60,3.64,3.36,3.38,37900,3.38
2011-07-18,3.75,3.79,3.59,3.60,35500,3.60
2011-07-11,3.35,3.84,3.34,3.77,110900,3.77
2011-07-05,3.38,3.40,3.25,3.38,65200,3.38
2011-06-27,3.25,3.43,3.24,3.38,19200,3.38
2011-06-20,3.29,3.39,3.19,3.26,15900,3.26
2011-06-13,3.47,3.58,3.25,3.31,38600,3.31
2011-06-06,3.34,3.60,3.25,3.40,23000,3.40
2011-05-31,3.53,3.53,3.27,3.35,35400,3.35
2011-05-23,3.31,3.66,3.25,3.51,46400,3.51
2011-05-16,3.69,3.69,3.32,3.39,88600,3.39
2011-05-09,3.39,3.85,3.31,3.66,42100,3.66
2011-05-02,3.95,4.01,3.48,3.62,110100,3.62
