Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,53.76,54.82,53.20,54.67,49400,54.67
2012-05-14,51.46,54.31,51.46,53.72,29400,53.72
2012-05-07,51.35,52.31,51.35,52.12,37900,52.12
2012-04-30,53.35,54.59,50.84,51.66,55500,51.66
2012-04-23,52.17,53.63,51.82,53.35,23500,53.35
2012-04-16,52.04,54.40,52.04,53.01,29200,53.01
2012-04-09,50.75,52.75,50.75,52.01,75700,52.01
2012-04-02,52.34,53.35,51.28,51.75,34800,51.75
2012-03-26,53.89,54.60,52.14,52.33,48100,52.33
2012-03-19,53.51,53.74,52.39,53.12,43000,53.12
2012-03-12,53.58,54.03,52.39,53.22,64600,53.22
2012-03-05,52.95,53.93,52.40,53.40,31800,53.18
2012-02-27,58.32,58.63,52.97,53.17,53900,52.95
2012-02-21,59.46,60.22,58.31,58.73,24200,58.48
2012-02-13,59.04,59.77,57.03,59.40,31100,59.15
2012-02-06,61.22,68.53,58.15,58.23,22700,57.99
2012-01-30,57.82,62.25,57.69,61.69,37100,61.43
2012-01-23,57.83,58.33,56.88,58.07,24900,57.83
2012-01-17,56.73,57.90,55.10,57.83,23900,57.59
2012-01-09,57.09,58.88,55.92,56.57,27300,56.33
2012-01-03,57.67,58.10,56.25,57.04,26300,56.80
2011-12-27,57.48,58.39,56.53,56.74,20000,56.50
2011-12-19,55.89,57.83,53.83,57.50,39600,57.26
2011-12-12,55.85,56.76,54.51,55.43,61800,55.20
2011-12-05,56.62,57.50,55.08,56.49,28300,56.25
2011-11-28,53.10,57.67,52.09,55.88,50100,55.65
2011-11-21,52.37,52.89,51.28,51.62,34000,51.23
2011-11-14,54.86,54.88,52.17,53.07,21500,52.67
2011-11-07,56.21,56.50,53.97,54.88,36800,54.47
2011-10-31,59.14,59.36,55.34,56.39,55700,55.96
2011-10-24,56.72,61.54,56.50,59.97,48600,59.52
2011-10-17,55.32,56.81,53.71,56.66,45400,56.23
2011-10-10,54.30,57.81,52.30,55.97,38700,55.55
2011-10-03,52.22,57.92,51.60,53.23,63100,52.83
2011-09-26,50.24,54.37,48.96,52.48,52300,52.08
2011-09-19,51.26,52.20,45.67,49.70,44500,49.33
