Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.20,14.24,14.16,14.23,12800,14.23
2012-05-14,14.31,14.38,14.14,14.18,11600,14.18
2012-05-07,14.22,14.37,14.22,14.37,12800,14.37
2012-04-30,14.21,14.32,14.19,14.32,13000,14.25
2012-04-23,14.07,14.30,14.07,14.21,16200,14.14
2012-04-16,13.95,14.12,13.92,14.12,12500,14.05
2012-04-09,13.91,14.07,13.89,13.99,14100,13.92
2012-04-02,14.04,14.05,13.88,13.91,15900,13.77
2012-03-26,13.81,14.02,13.66,13.99,15700,13.84
2012-03-19,13.48,13.95,13.41,13.89,37000,13.75
2012-03-12,14.48,14.49,13.37,13.57,39400,13.43
2012-03-05,14.70,14.70,14.38,14.49,21100,14.27
2012-02-27,14.41,14.82,14.41,14.65,21400,14.42
2012-02-21,14.31,14.58,14.26,14.45,25600,14.23
2012-02-13,14.58,14.67,14.18,14.26,24400,14.04
2012-02-06,14.66,14.70,14.52,14.64,26200,14.34
2012-01-30,14.40,14.78,14.38,14.73,34200,14.43
2012-01-23,14.10,14.41,14.10,14.38,31100,14.09
2012-01-17,14.08,14.08,13.95,14.06,23200,13.77
2012-01-09,13.99,14.08,13.90,14.08,31000,13.79
2012-01-03,14.13,14.23,13.91,14.01,33600,13.65
2011-12-27,13.94,14.27,13.87,14.20,20600,13.84
2011-12-19,13.84,13.99,13.76,13.88,14100,13.52
2011-12-12,13.92,13.95,13.69,13.79,18600,13.44
2011-12-05,13.83,13.98,13.71,13.81,27400,13.38
2011-11-28,14.08,14.09,13.63,13.86,31100,13.43
2011-11-21,13.47,14.15,13.47,13.93,28400,13.50
2011-11-14,13.38,13.57,13.28,13.56,27800,13.14
2011-11-07,13.15,13.39,13.07,13.38,31900,12.90
2011-10-31,13.14,13.28,13.06,13.11,22000,12.64
2011-10-24,13.19,13.30,13.03,13.10,25900,12.63
2011-10-17,12.95,13.14,12.87,13.14,14700,12.66
2011-10-10,12.84,12.99,12.72,12.95,19200,12.48
2011-10-03,13.14,13.27,12.73,12.90,33700,12.36
2011-09-26,12.96,13.18,12.92,13.18,32000,12.63
2011-09-19,12.95,12.98,12.78,12.92,19000,12.38
2011-09-12,12.94,13.05,12.84,12.94,20800,12.40
2011-09-06,12.94,13.06,12.93,13.04,16300,12.43
2011-08-29,12.85,13.14,12.85,13.03,16900,12.42
2011-08-22,12.74,12.85,12.67,12.78,11100,12.18
2011-08-15,12.60,12.85,12.58,12.69,16700,12.09
2011-08-08,12.38,12.64,11.96,12.63,25100,12.03
2011-08-01,12.62,12.87,12.48,12.65,21400,11.98
2011-07-25,12.92,12.93,12.42,12.51,14300,11.85
2011-07-18,12.80,12.97,12.73,12.94,13700,12.26
2011-07-11,13.13,13.13,12.81,12.86,15500,12.18
2011-07-05,12.96,13.05,12.89,13.04,13400,12.28
2011-06-27,12.82,13.05,12.81,12.95,21000,12.20
2011-06-20,12.62,12.86,12.60,12.83,13800,12.09
2011-06-13,12.64,12.82,12.62,12.63,16600,11.90
2011-06-06,12.81,12.93,12.68,12.71,13300,11.91
2011-05-31,12.80,12.86,12.74,12.78,18000,11.97
2011-05-23,12.43,12.72,12.42,12.72,19800,11.92
2011-05-16,12.44,12.56,12.38,12.44,17100,11.65
2011-05-09,12.42,12.58,12.40,12.44,22100,11.65
2011-05-02,12.19,12.43,12.17,12.43,15300,11.58
2011-04-25,12.13,12.19,12.03,12.18,24900,11.35
2011-04-18,12.02,12.20,12.02,12.08,17600,11.25
2011-04-11,12.14,12.19,12.02,12.06,16200,11.23
2011-04-04,12.10,12.20,12.04,12.15,11800,11.25
2011-03-28,12.20,12.33,12.00,12.11,35400,11.21
2011-03-21,11.96,12.23,11.95,12.22,31100,11.32
2011-03-14,12.02,12.02,11.77,11.94,20200,11.06
2011-03-07,11.94,12.11,11.91,11.97,28700,11.09
2011-02-28,12.00,12.14,11.90,11.93,24100,10.98
2011-02-22,11.97,12.05,11.73,11.96,33000,11.01
2011-02-14,12.01,12.03,11.89,12.01,26800,11.06
2011-02-07,12.06,12.20,11.96,11.98,22600,11.03
2011-01-31,12.03,12.15,11.94,12.01,17400,10.99
2011-01-24,11.86,12.12,11.85,12.00,28900,10.98
2011-01-18,11.28,11.88,11.27,11.87,40800,10.86
2011-01-10,12.14,12.14,11.24,11.39,40500,10.42
2011-01-03,12.43,12.50,12.05,12.09,23800,11.00
2010-12-27,11.99,12.50,11.85,12.50,51600,11.37
2010-12-20,12.52,12.53,11.81,11.97,68600,10.89
2010-12-13,12.31,12.58,11.82,12.54,41000,11.41
2010-12-06,12.85,12.95,12.23,12.36,33100,11.18
2010-11-29,13.13,13.17,12.71,12.83,36000,11.60
2010-11-22,12.85,13.15,12.85,13.09,20200,11.84
2010-11-15,13.02,13.02,12.09,12.91,53000,11.68
2010-11-08,13.96,14.04,12.83,13.01,53900,11.70
2010-11-01,13.99,14.00,13.85,13.97,16200,12.57
2010-10-25,13.99,13.99,13.80,13.98,29500,12.57
2010-10-18,14.03,14.03,13.75,13.91,24400,12.51
2010-10-11,14.09,14.12,13.94,13.99,20400,12.52
2010-10-04,14.20,14.25,13.88,14.04,24200,12.56
2010-09-27,14.22,14.63,14.18,14.29,32400,12.79
2010-09-20,13.98,14.36,13.98,14.20,38500,12.71
2010-09-13,14.22,14.33,13.80,14.00,24900,12.53
2010-09-07,14.34,14.63,14.20,14.27,25600,12.71
2010-08-30,14.41,14.75,14.31,14.40,36200,12.82
2010-08-23,14.30,14.42,14.21,14.40,30800,12.82
2010-08-16,14.32,14.47,14.16,14.35,27200,12.78
2010-08-09,14.17,14.42,14.06,14.26,17900,12.63
2010-08-02,14.03,14.19,13.99,14.17,25300,12.55
2010-07-26,13.89,14.42,13.77,14.00,32400,12.40
2010-07-19,13.83,14.04,13.71,13.93,24900,12.34
2010-07-12,13.35,13.82,13.30,13.76,33600,12.13
2010-07-06,13.24,13.36,13.22,13.34,22100,11.76
