Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.05,4.15,3.96,3.97,6500,3.97
2012-05-14,4.02,4.11,3.96,4.05,2500,4.05
2012-05-07,4.30,4.30,3.99,4.11,6100,4.11
2012-04-30,4.20,4.49,4.06,4.11,8000,4.11
2012-04-23,4.17,4.25,3.97,4.10,8000,4.10
2012-04-16,3.76,4.17,3.75,4.17,5800,4.17
2012-04-09,4.27,4.27,3.92,4.00,4300,4.00
2012-04-02,4.38,4.38,4.10,4.27,3000,4.27
2012-03-26,4.29,4.50,4.10,4.41,10300,4.41
2012-03-19,4.30,4.32,4.10,4.26,17900,4.26
2012-03-12,4.20,4.32,4.00,4.32,13600,4.32
2012-03-05,4.18,4.30,3.81,4.20,24000,4.20
2012-02-27,4.09,4.25,3.95,4.15,9800,4.15
2012-02-21,4.10,4.13,3.95,4.12,13800,4.12
2012-02-13,4.01,4.22,3.96,4.10,9900,4.10
2012-02-06,3.93,4.22,3.85,3.97,13800,3.97
2012-01-30,3.84,3.97,3.78,3.93,7900,3.93
2012-01-23,3.76,3.95,3.70,3.89,13500,3.89
2012-01-17,3.76,3.91,3.76,3.76,7500,3.76
2012-01-09,3.68,3.79,3.68,3.76,11200,3.76
2012-01-03,3.64,3.77,3.61,3.70,3300,3.70
2011-12-27,3.71,3.80,3.55,3.74,16300,3.74
2011-12-19,3.58,3.78,3.50,3.69,1800,3.69
2011-12-12,3.64,3.85,3.41,3.58,8300,3.58
2011-12-05,3.63,3.66,3.36,3.50,3300,3.50
2011-11-28,3.68,3.76,3.34,3.74,32100,3.74
2011-11-21,3.42,3.63,3.42,3.54,1200,3.54
2011-11-14,3.40,4.24,3.40,3.74,17300,3.74
2011-11-07,3.33,3.50,3.14,3.50,7300,3.50
2011-10-31,3.41,3.48,3.08,3.25,2900,3.25
2011-10-24,3.34,3.50,3.27,3.41,2500,3.41
2011-10-17,3.35,3.35,3.15,3.22,2900,3.22
2011-10-10,3.29,3.50,3.28,3.39,2400,3.39
2011-10-03,3.70,3.70,3.24,3.28,19800,3.28
2011-09-26,3.75,3.80,3.65,3.70,11300,3.70
2011-09-19,3.75,3.85,3.69,3.73,3200,3.73
2011-09-12,3.85,3.95,3.73,3.90,1600,3.90
2011-09-06,3.90,4.00,3.72,3.88,1400,3.88
2011-08-29,3.75,4.05,3.75,3.90,1500,3.90
2011-08-22,3.60,3.75,3.49,3.75,17700,3.75
2011-08-15,3.68,3.68,3.48,3.50,9300,3.50
2011-08-08,3.58,3.75,3.42,3.65,20600,3.65
2011-08-01,4.04,4.04,3.73,3.86,4100,3.86
2011-07-25,4.00,4.05,3.93,3.95,12200,3.95
2011-07-18,3.90,4.10,3.86,4.10,6600,4.10
2011-07-11,3.88,3.98,3.88,3.91,1300,3.91
2011-07-05,3.98,4.07,3.95,3.98,7300,3.98
2011-06-27,3.96,4.06,3.86,3.95,7200,3.95
2011-06-20,3.71,3.95,3.71,3.94,9700,3.94
2011-06-13,3.79,3.86,3.64,3.68,26800,3.68
2011-06-06,3.99,4.00,3.75,3.87,20400,3.87
2011-05-31,3.86,4.75,3.76,3.99,28600,3.99
2011-05-23,3.70,3.85,3.69,3.83,4200,3.83
2011-05-16,3.90,3.99,3.63,3.70,7900,3.70
2011-05-09,3.75,3.94,3.53,3.90,18400,3.90
2011-05-02,4.06,4.10,3.50,3.83,9000,3.83
2011-04-25,4.08,4.20,3.89,4.04,5200,4.04
2011-04-18,4.06,4.20,4.05,4.05,3600,4.05
2011-04-11,4.42,4.42,4.02,4.11,9900,4.11
2011-04-04,4.65,4.65,4.19,4.47,44700,4.47
2011-03-28,4.30,4.65,4.27,4.65,18700,4.65
2011-03-21,3.90,4.36,3.89,4.34,25700,4.34
2011-03-14,4.06,4.16,3.74,3.90,9900,3.90
2011-03-07,3.97,4.09,3.80,3.98,7900,3.98
2011-02-28,3.51,4.43,3.49,3.98,9400,3.98
2011-02-22,3.49,3.79,3.47,3.49,4700,3.49
2011-02-14,3.57,3.76,3.45,3.49,12500,3.49
2011-02-07,3.80,3.86,3.50,3.57,27300,3.57
2011-01-31,3.83,4.05,3.75,3.82,3900,3.82
2011-01-24,4.05,4.05,3.75,3.77,4200,3.77
2011-01-18,3.84,4.12,3.75,3.97,9400,3.97
