Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,9.08,9.46,9.02,9.25,579700,9.25
2012-05-14,8.94,9.42,8.85,9.06,610800,9.06
2012-05-07,9.34,9.41,8.93,9.07,480900,9.07
2012-04-30,10.32,10.74,9.40,9.42,640200,9.42
2012-04-23,10.08,10.45,9.98,10.32,296300,10.32
2012-04-16,10.41,10.61,10.04,10.27,387400,10.27
2012-04-09,11.15,11.19,10.28,10.35,382700,10.35
2012-04-02,11.94,11.95,11.27,11.39,375400,11.39
2012-03-26,11.99,12.36,11.95,11.96,454900,11.96
2012-03-19,11.43,11.99,11.32,11.89,328500,11.89
2012-03-12,11.10,11.58,10.87,11.47,364600,11.47
2012-03-05,11.53,11.57,10.83,11.10,466500,11.10
2012-02-27,11.74,11.81,11.49,11.53,575800,11.53
2012-02-21,10.66,11.87,10.64,11.83,658100,11.83
2012-02-13,10.70,10.74,10.26,10.68,510100,10.68
2012-02-06,10.81,11.05,10.44,10.59,460500,10.59
2012-01-30,11.30,11.56,10.63,10.84,643700,10.84
2012-01-23,11.26,11.63,11.00,11.41,435100,11.41
2012-01-17,10.96,11.43,10.52,11.28,437000,11.28
2012-01-09,10.98,11.38,10.72,10.86,277600,10.86
2012-01-03,11.09,11.43,10.56,10.93,441200,10.93
2011-12-27,10.98,11.22,10.61,10.81,322000,10.81
2011-12-19,10.30,11.07,10.00,10.99,352300,10.99
2011-12-12,11.07,11.11,10.22,10.27,508600,10.27
2011-12-05,11.12,11.41,10.16,11.23,542500,11.23
2011-11-28,9.80,11.07,9.79,10.91,494900,10.91
2011-11-21,10.09,10.33,9.46,9.46,437400,9.46
2011-11-14,10.58,10.71,10.00,10.26,469400,10.26
2011-11-07,11.24,11.40,10.10,10.64,655700,10.64
2011-10-31,11.64,12.02,10.23,11.23,661000,11.23
2011-10-24,11.24,12.30,10.93,11.86,554900,11.86
2011-10-17,11.28,11.72,10.81,11.19,749100,11.19
2011-10-10,9.91,11.14,9.87,10.93,578600,10.93
2011-10-03,9.71,10.18,8.94,9.68,466300,9.68
2011-09-26,10.59,11.58,9.78,9.79,486100,9.79
2011-09-19,11.42,11.51,10.12,10.47,384400,10.47
2011-09-12,10.63,11.79,10.47,11.66,490800,11.66
2011-09-06,10.22,11.60,10.14,10.79,640700,10.79
2011-08-29,11.14,11.78,10.51,10.52,466600,10.52
2011-08-22,10.89,11.68,10.50,10.96,482500,10.96
2011-08-15,11.53,11.89,10.34,10.64,709900,10.64
2011-08-08,10.82,11.98,10.07,11.42,1243100,11.42
2011-08-01,12.29,12.38,10.94,11.16,1071000,11.16
2011-07-25,11.63,12.51,11.44,12.17,687500,12.17
2011-07-18,10.93,11.82,10.75,11.76,877900,11.76
2011-07-11,13.66,13.82,10.92,11.00,1500400,11.00
2011-07-05,14.01,14.18,13.69,13.80,264000,13.80
2011-06-27,14.01,14.21,13.83,14.02,364300,14.02
2011-06-20,13.46,14.38,13.46,14.05,516700,14.05
2011-06-13,13.38,13.72,13.26,13.50,288100,13.50
2011-06-06,14.06,14.16,13.00,13.49,504900,13.49
2011-05-31,15.17,15.25,14.04,14.10,413500,14.10
2011-05-23,14.93,15.12,14.84,15.01,348500,15.01
2011-05-16,15.06,15.49,14.77,15.13,400500,15.13
2011-05-09,15.63,16.22,15.16,15.16,369900,15.16
2011-05-02,17.19,17.19,15.55,15.70,418700,15.70
2011-04-25,17.01,17.33,16.83,17.11,276000,17.11
2011-04-18,16.69,17.08,16.41,17.08,384600,17.08
2011-04-11,18.01,18.08,16.75,16.95,602000,16.95
2011-04-04,18.73,18.78,18.06,18.06,376900,18.06
2011-03-28,18.17,19.03,17.99,18.73,317500,18.73
2011-03-21,18.09,18.69,18.08,18.11,331800,18.11
2011-03-14,17.68,18.12,17.44,17.88,486700,17.88
2011-03-07,19.00,19.10,17.88,17.88,565400,17.88
2011-02-28,19.14,19.44,18.85,18.99,361600,18.99
2011-02-22,19.41,19.68,18.64,19.07,351100,19.07
2011-02-14,18.55,19.87,18.48,19.62,522700,19.62
2011-02-07,17.53,18.63,17.46,18.59,432400,18.59
2011-01-31,18.39,18.85,16.83,17.60,769400,17.60
2011-01-24,17.63,18.68,17.63,18.34,404000,18.34
2011-01-18,17.89,18.00,17.67,17.67,563600,17.67
2011-01-10,17.10,17.96,16.89,17.96,421700,17.96
2011-01-03,16.52,17.32,16.24,17.20,644700,17.20
2010-12-27,16.49,16.73,16.33,16.37,169100,16.37
2010-12-20,16.08,16.85,16.02,16.57,368400,16.57
2010-12-13,15.75,16.21,15.69,16.09,475300,16.09
2010-12-06,15.58,15.83,15.43,15.75,337600,15.75
2010-11-29,14.89,15.66,14.67,15.58,357100,15.58
2010-11-22,15.31,15.31,14.70,14.98,237900,14.98
2010-11-15,15.28,15.64,15.03,15.31,251500,15.31
2010-11-08,15.24,15.99,15.15,15.24,389800,15.24
2010-11-01,14.33,15.34,14.05,15.27,308600,15.27
2010-10-25,15.07,15.18,14.01,14.24,278700,14.24
2010-10-18,14.55,15.09,14.50,14.95,267800,14.95
2010-10-11,14.02,14.58,13.97,14.55,285400,14.55
2010-10-04,14.21,14.31,13.89,14.07,353800,14.07
2010-09-27,14.92,14.92,14.19,14.29,348300,14.29
2010-09-20,14.63,15.17,14.40,14.91,280300,14.91
2010-09-13,14.43,14.65,14.29,14.63,378400,14.63
2010-09-07,13.57,14.41,13.50,14.29,580300,14.29
2010-08-30,13.94,14.05,13.15,13.63,445000,13.63
2010-08-23,14.40,14.47,13.73,14.00,322400,14.00
2010-08-16,14.30,14.62,14.13,14.37,294700,14.37
