Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,21.16,21.82,21.04,21.36,6488100,21.36
2012-05-14,22.82,22.98,21.07,21.13,4804000,21.13
2012-05-07,23.61,23.88,22.33,23.25,6806300,23.07
2012-04-30,25.00,25.47,23.68,23.70,4859700,23.52
2012-04-23,23.66,25.24,23.55,25.10,4262500,24.91
2012-04-16,24.99,25.31,24.15,24.18,3962300,23.99
2012-04-09,25.54,25.54,24.42,24.71,5277400,24.52
2012-04-02,26.57,26.90,25.63,26.02,3502000,25.82
2012-03-26,26.59,26.94,25.89,26.67,3486800,26.46
2012-03-19,26.08,26.57,25.72,26.29,4043300,26.09
2012-03-12,24.86,26.47,24.71,26.14,4488400,25.94
2012-03-05,24.60,25.00,23.76,24.87,3217400,24.68
2012-02-27,24.69,25.20,24.43,24.77,3757100,24.58
2012-02-21,24.77,25.00,24.56,24.88,3596000,24.69
2012-02-13,24.44,24.94,23.73,24.70,3504900,24.39
2012-02-06,23.68,24.65,23.50,24.10,4387300,23.80
2012-01-30,22.65,23.91,22.32,23.88,4114700,23.58
2012-01-23,22.46,23.31,22.08,22.99,4141100,22.70
2012-01-17,22.05,22.46,21.42,22.44,3438800,22.16
2012-01-09,20.84,22.00,20.73,21.62,4545200,21.35
2012-01-03,20.66,21.08,19.92,20.77,4340900,20.51
2011-12-27,20.08,20.35,19.64,20.09,1756900,19.84
2011-12-19,19.33,20.27,18.55,20.22,3643300,19.96
2011-12-12,20.37,20.37,18.94,19.24,4976700,19.00
2011-12-05,20.75,21.05,20.09,20.78,3612700,20.52
2011-11-28,18.71,21.00,18.66,20.28,4985200,20.02
2011-11-21,18.94,19.01,17.71,17.91,4689700,17.68
2011-11-14,20.15,20.43,19.05,19.39,4511900,19.15
2011-11-07,20.05,20.50,18.86,20.34,5250000,19.96
2011-10-31,20.41,20.58,18.76,20.03,6068100,19.66
2011-10-24,18.76,21.33,18.74,20.90,7665900,20.51
2011-10-17,17.94,18.84,17.49,18.74,6350100,18.39
2011-10-10,16.68,18.34,16.66,18.15,7374800,17.81
2011-10-03,15.39,17.12,14.52,16.20,8128800,15.90
2011-09-26,16.04,17.17,15.40,15.51,7954100,15.22
2011-09-19,18.14,18.38,15.59,15.78,7694900,15.49
2011-09-12,16.24,18.67,15.89,18.67,7624800,18.32
2011-09-06,16.18,18.06,16.09,16.46,5440700,16.15
2011-08-29,17.44,18.58,16.96,17.01,4469600,16.69
2011-08-22,16.61,18.45,15.75,17.08,7427900,16.76
2011-08-15,17.98,18.49,15.88,16.11,6316200,15.81
2011-08-08,18.90,19.33,16.52,17.77,10043500,17.32
2011-08-01,22.53,22.61,19.03,19.56,5854100,19.06
2011-07-25,22.43,23.52,21.80,22.18,4669300,21.62
2011-07-18,22.09,22.77,21.29,22.71,4296700,22.13
2011-07-11,23.15,23.34,21.91,22.19,4111500,21.63
2011-07-05,23.48,24.04,23.11,23.57,4220800,22.97
2011-06-27,21.97,23.63,21.97,23.56,4241700,22.96
2011-06-20,22.95,23.62,21.92,21.92,4612900,21.36
2011-06-13,22.99,23.48,22.62,23.04,4441200,22.46
2011-06-06,23.04,23.23,22.49,22.94,3730400,22.36
2011-05-31,24.62,24.70,23.02,23.06,4480800,22.47
2011-05-23,24.60,24.64,23.58,24.33,3926500,23.71
2011-05-16,24.90,25.22,24.08,25.00,5383500,24.37
2011-05-09,24.25,25.46,24.13,25.01,5102400,24.25
2011-05-02,25.06,25.33,24.02,24.27,4473000,23.53
2011-04-25,24.65,25.07,23.97,24.87,4480300,24.12
2011-04-18,24.56,24.91,24.13,24.80,3729500,24.05
2011-04-11,25.84,26.02,24.24,24.98,3301800,24.22
2011-04-04,25.97,26.06,25.35,25.93,2989200,25.14
2011-03-28,25.61,26.02,25.05,26.00,3634500,25.21
2011-03-21,25.27,26.07,24.88,25.62,2934500,24.84
2011-03-14,25.45,25.79,23.87,24.85,4701900,24.10
2011-03-07,26.67,26.87,25.25,25.84,3103100,25.06
2011-02-28,26.34,27.28,25.39,26.60,4893600,25.79
2011-02-22,26.93,27.12,25.24,26.40,4911800,25.60
2011-02-14,25.77,27.50,25.58,27.35,5200800,26.52
2011-02-07,25.45,25.99,24.86,25.75,3447400,24.87
2011-01-31,24.67,25.45,24.43,25.40,4291100,24.53
2011-01-24,23.93,25.61,23.64,24.66,6199300,23.82
2011-01-18,24.69,25.19,23.82,23.92,5544000,23.10
2011-01-10,24.29,25.18,23.94,25.00,6290100,24.14
2011-01-03,24.24,24.72,23.96,24.33,5179800,23.50
2010-12-27,23.51,24.34,23.46,24.06,1641300,23.24
2010-12-20,23.02,23.91,22.55,23.68,2878800,22.87
2010-12-13,23.28,23.31,22.40,22.78,3319900,22.00
2010-12-06,22.88,23.39,22.67,23.23,4724000,22.44
2010-11-29,21.49,23.09,21.29,22.99,3967800,22.20
2010-11-22,21.83,21.95,21.02,21.71,3247000,20.97
