Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.40,8.67,8.39,8.50,20800,8.50
2012-05-14,8.55,8.63,8.11,8.25,15300,8.25
2012-05-07,8.44,8.66,8.16,8.66,7500,8.66
2012-04-30,8.50,8.79,8.35,8.45,5900,8.45
2012-04-23,8.35,8.96,8.25,8.51,2500,8.51
2012-04-16,8.50,8.96,8.36,8.41,3400,8.41
2012-04-09,8.51,8.93,8.36,8.50,5200,8.50
2012-04-02,8.44,8.72,8.44,8.59,4200,8.59
2012-03-26,8.80,9.00,8.30,8.44,6500,8.44
2012-03-19,8.60,9.96,8.60,8.79,12300,8.79
2012-03-12,6.66,9.40,6.63,8.58,21100,8.58
2012-03-05,6.79,7.11,6.68,6.78,1400,6.78
2012-02-27,6.93,7.15,6.64,6.93,3600,6.93
2012-02-21,7.05,7.05,6.87,6.91,2600,6.91
2012-02-13,6.84,7.20,6.64,7.05,5100,7.05
2012-02-06,6.81,7.20,6.34,6.97,5600,6.97
2012-01-30,6.63,7.00,6.42,6.68,4200,6.68
2012-01-23,6.53,6.99,6.39,6.95,1900,6.95
2012-01-17,6.83,6.83,6.26,6.50,1800,6.50
2012-01-09,6.49,6.88,6.38,6.80,2100,6.80
2012-01-03,6.25,6.73,6.20,6.50,4300,6.50
2011-12-27,6.05,6.29,6.05,6.25,4100,6.25
2011-12-19,6.12,6.46,5.92,6.16,4200,6.16
2011-12-12,5.88,6.50,5.50,6.15,129600,6.15
2011-12-05,5.68,6.01,5.66,5.88,7200,5.88
2011-11-28,5.60,5.75,5.53,5.74,6300,5.74
2011-11-21,5.64,5.68,5.42,5.66,3400,5.66
2011-11-14,5.54,5.86,5.36,5.72,4500,5.72
2011-11-07,6.22,6.35,5.48,5.65,8900,5.65
2011-10-31,6.50,6.99,5.95,6.10,32100,6.10
2011-10-24,5.80,7.05,5.80,6.74,14600,6.74
2011-10-17,6.00,6.00,5.44,5.82,5100,5.82
2011-10-10,6.10,6.19,5.72,5.94,1700,5.94
2011-10-03,5.86,6.22,5.73,6.10,5600,6.10
2011-09-26,5.77,6.27,5.50,6.25,74700,6.25
2011-09-19,6.06,6.36,5.52,6.00,4600,6.00
2011-09-12,6.38,6.79,6.18,6.18,1500,6.18
2011-09-06,6.40,6.55,5.93,6.42,3900,6.42
2011-08-29,6.60,7.29,6.25,6.55,29500,6.55
2011-08-22,5.75,7.30,5.69,6.50,18000,6.50
2011-08-15,5.70,5.79,5.50,5.60,5600,5.60
2011-08-08,5.37,5.87,5.00,5.70,9500,5.70
2011-08-01,6.34,6.40,5.17,5.45,15900,5.45
2011-07-25,6.59,6.67,6.40,6.46,6000,6.46
2011-07-18,6.46,6.59,6.21,6.49,12300,6.49
2011-07-11,6.55,6.68,6.36,6.51,7600,6.51
2011-07-05,6.55,6.95,6.45,6.55,8300,6.55
2011-06-27,6.66,6.72,6.42,6.59,6700,6.59
2011-06-20,6.45,7.00,6.35,6.61,8700,6.61
2011-06-13,6.05,6.49,5.98,6.47,7800,6.47
2011-06-06,6.00,6.19,5.83,6.14,2600,6.14
2011-05-31,6.12,6.15,5.93,5.98,8800,5.98
2011-05-23,5.70,6.04,5.65,6.00,13900,6.00
2011-05-16,5.80,5.80,5.60,5.70,10400,5.70
2011-05-09,5.90,5.90,5.60,5.80,5900,5.80
2011-05-02,5.84,5.99,5.45,5.90,15000,5.90
2011-04-25,5.88,6.15,5.75,5.84,11500,5.84
2011-04-18,6.02,6.13,5.75,5.88,6200,5.88
2011-04-11,6.45,6.45,5.94,6.00,8300,6.00
2011-04-04,6.05,6.25,5.96,6.13,8800,6.13
2011-03-28,6.18,6.40,5.91,6.00,11000,6.00
2011-03-21,5.99,6.82,5.90,6.15,13500,6.15
2011-03-14,5.40,6.00,5.40,5.84,6400,5.84
2011-03-07,5.20,5.40,5.14,5.27,5400,5.27
2011-02-28,5.26,5.30,5.15,5.18,2200,5.18
2011-02-22,5.26,5.26,5.14,5.16,1400,5.16
2011-02-14,5.25,5.36,5.14,5.29,2400,5.29
2011-02-07,5.19,5.29,5.14,5.29,1500,5.29
2011-01-31,5.19,5.23,5.02,5.15,2900,5.15
2011-01-24,5.44,5.44,5.17,5.17,1300,5.17
2011-01-18,5.15,5.49,5.10,5.44,4100,5.44
2011-01-10,5.24,5.29,5.10,5.15,3800,5.15
2011-01-03,5.25,5.27,5.03,5.25,18800,5.25
2010-12-27,5.42,5.42,5.10,5.25,1800,5.25
2010-12-20,5.49,5.52,5.06,5.42,5300,5.42
2010-12-13,5.16,5.55,5.00,5.55,3200,5.55
2010-12-06,5.12,5.19,5.00,5.10,2800,5.10
2010-11-29,4.91,5.24,4.77,5.12,6200,5.12
2010-11-22,5.16,5.16,4.92,4.92,3900,4.92
2010-11-15,5.16,5.30,4.86,5.18,6000,5.18
2010-11-08,4.43,5.00,4.35,4.79,5400,4.79
2010-11-01,4.38,4.82,4.38,4.48,10500,4.48
2010-10-25,4.60,4.78,4.32,4.40,5600,4.40
2010-10-18,4.48,4.97,4.33,4.51,14600,4.51
2010-10-11,4.64,4.98,4.39,4.67,13100,4.67
2010-10-04,4.14,4.78,4.10,4.73,5500,4.73
2010-09-27,4.06,4.25,4.06,4.14,22500,4.14
2010-09-20,3.95,4.25,3.95,4.06,2400,4.06
2010-09-13,4.02,4.25,3.91,3.91,4000,3.91
2010-09-07,4.11,4.11,4.00,4.03,900,4.03
2010-08-30,4.10,4.25,3.79,4.20,2900,4.20
2010-08-23,4.06,4.46,3.73,4.10,5600,4.10
2010-08-16,4.22,4.68,4.03,4.24,7100,4.24
2010-08-09,4.50,4.54,4.12,4.16,2900,4.16
2010-08-02,4.38,4.69,4.33,4.50,6200,4.50
2010-07-26,4.89,4.89,4.48,4.69,9400,4.69
2010-07-19,4.78,4.96,4.59,4.89,1600,4.89
2010-07-12,4.68,4.75,4.59,4.60,600,4.60
2010-07-06,5.03,5.03,4.52,4.72,12900,4.72
2010-06-28,4.77,5.14,4.58,5.06,9200,5.06
2010-06-21,4.92,5.10,4.54,4.78,3500,4.78
2010-06-14,5.00,5.20,4.71,5.15,4000,5.15
2010-06-07,4.91,5.20,4.55,4.80,7700,4.80
2010-06-01,5.10,5.20,4.87,5.06,5600,5.06
2010-05-24,5.10,5.30,4.85,5.16,2600,5.16
2010-05-17,5.00,5.20,4.97,4.97,1900,4.97
2010-05-10,5.07,5.34,4.86,5.04,8000,5.04
2010-05-03,4.73,5.56,4.73,4.85,6300,4.85
2010-04-26,4.30,4.70,4.13,4.65,6800,4.65
2010-04-19,4.12,5.02,4.12,4.35,19500,4.35
2010-04-12,4.26,4.59,4.06,4.12,8100,4.12
2010-04-05,4.10,4.46,4.10,4.38,8900,4.38
2010-03-29,3.89,4.50,3.89,4.50,12800,4.50
2010-03-22,4.29,4.92,3.87,4.24,19500,4.24
2010-03-15,3.50,4.81,3.45,4.39,9000,4.39
2010-03-08,3.50,3.64,3.30,3.60,14400,3.60
2010-03-01,3.50,3.58,3.42,3.50,9600,3.50
2010-02-22,3.40,3.56,3.40,3.45,11600,3.45
2010-02-16,3.50,3.58,3.40,3.40,5500,3.40
2010-02-08,3.50,3.58,3.40,3.50,9700,3.50
2010-02-01,3.30,3.54,3.30,3.41,2700,3.41
2010-01-25,3.41,3.79,3.30,3.35,6200,3.35
2010-01-19,3.36,3.69,3.35,3.40,31400,3.40
2010-01-11,3.50,3.60,3.40,3.50,5100,3.50
2010-01-04,3.64,3.69,3.40,3.49,9000,3.49
2009-12-28,3.60,4.00,3.60,3.71,4400,3.71
2009-12-21,3.50,3.94,3.50,3.90,7000,3.90
2009-12-14,3.80,3.99,3.47,3.50,10000,3.50
2009-12-07,4.01,4.01,3.63,3.82,7700,3.82
2009-11-30,3.98,4.05,3.95,3.97,4400,3.97
2009-11-23,4.09,4.10,3.98,3.99,4000,3.99
2009-11-16,4.16,4.17,3.95,4.04,3600,4.04
2009-11-09,4.18,4.25,4.01,4.18,2600,4.18
2009-11-02,4.14,4.44,3.94,4.25,3000,4.25
2009-10-26,4.50,4.66,4.01,4.54,2400,4.54
2009-10-19,4.14,4.50,3.99,4.50,700,4.50
2009-10-12,4.58,4.58,4.01,4.55,5100,4.55
2009-10-05,4.01,4.90,4.00,4.58,3500,4.58
2009-09-28,4.34,4.34,3.68,4.06,10700,4.06
2009-09-21,4.40,4.88,4.20,4.34,4400,4.34
2009-09-14,4.30,4.63,4.29,4.29,1900,4.29
2009-09-08,4.20,4.84,4.20,4.84,1600,4.84
2009-08-31,4.31,4.89,4.20,4.47,1400,4.47
2009-08-24,4.22,4.33,4.05,4.18,900,4.18
2009-08-17,4.46,4.46,4.22,4.22,400,4.22
2009-08-10,4.90,4.92,4.05,4.24,2500,4.24
2009-08-03,4.14,4.27,4.05,4.24,2400,4.24
2009-07-27,4.26,4.98,4.10,4.37,1300,4.37
2009-07-20,4.21,4.89,4.20,4.61,2600,4.61
2009-07-13,4.19,4.25,4.08,4.25,600,4.25
2009-07-06,4.06,4.67,4.06,4.19,2100,4.19
2009-06-29,4.10,4.38,4.04,4.22,15400,4.22
2009-06-22,4.22,4.26,3.81,4.10,2900,4.10
2009-06-15,4.37,4.50,4.22,4.22,1900,4.22
2009-06-08,4.52,4.81,4.23,4.29,800,4.29
2009-06-01,4.10,4.87,4.10,4.60,700,4.60
2009-05-26,4.56,5.00,4.10,4.10,3800,4.10
2009-05-18,4.99,4.99,4.11,4.64,3100,4.64
2009-05-11,4.16,4.63,4.01,4.32,5200,4.32
2009-05-04,4.44,4.55,4.15,4.25,3100,4.25
2009-04-27,3.61,5.99,3.52,4.25,6500,4.25
2009-04-20,3.00,3.67,2.95,3.55,6800,3.55
2009-04-13,3.26,3.35,2.89,2.99,1800,2.99
2009-04-06,2.97,3.50,2.86,3.25,2100,3.25
2009-03-30,3.19,3.19,2.51,2.97,3100,2.97
2009-03-23,2.80,3.26,2.70,2.88,5000,2.88
2009-03-16,2.20,2.90,2.10,2.50,3400,2.50
2009-03-09,2.16,2.33,2.02,2.33,117700,2.33
2009-03-02,2.25,2.40,2.15,2.16,2200,2.16
2009-02-23,2.42,2.42,2.15,2.25,500,2.25
2009-02-17,2.51,2.51,2.15,2.42,5100,2.42
2009-02-09,2.50,2.65,2.25,2.65,1100,2.65
2009-02-02,2.59,2.73,2.59,2.59,400,2.59
2009-01-26,2.25,2.78,2.25,2.59,8300,2.59
2009-01-20,2.50,2.50,2.25,2.42,800,2.42
2009-01-12,2.58,3.00,2.25,2.49,7800,2.49
2009-01-05,2.40,2.65,2.34,2.48,1800,2.48
2008-12-29,2.21,2.65,2.00,2.25,12000,2.25
2008-12-22,2.45,2.90,2.00,2.01,9400,2.01
2008-12-15,2.40,3.11,1.90,2.45,9900,2.45
2008-12-08,1.69,2.55,1.69,2.36,7700,2.36
2008-12-01,2.22,2.22,1.54,1.70,19900,1.70
2008-11-24,2.64,2.70,1.90,2.25,8000,2.25
2008-11-17,2.80,2.86,2.00,2.20,10300,2.20
2008-11-10,3.89,4.43,2.77,2.77,4800,2.77
2008-11-03,4.40,4.78,3.45,4.04,4900,4.04
2008-10-27,4.60,5.01,4.35,4.75,4800,4.75
2008-10-20,5.00,5.49,4.61,4.85,900,4.85
2008-10-13,5.00,5.49,3.06,5.10,1500,5.10
2008-10-06,5.45,5.45,3.96,3.96,3400,3.96
2008-09-29,5.40,6.08,5.40,5.52,800,5.52
2008-09-22,5.48,5.80,5.40,5.55,6500,5.55
2008-09-15,5.64,6.20,5.40,5.80,6200,5.80
2008-09-08,5.95,6.37,5.51,5.66,7600,5.66
2008-09-02,6.01,6.22,5.51,5.85,7500,5.85
2008-08-25,6.09,6.42,5.70,6.11,1100,6.11
2008-08-18,6.01,6.46,5.70,5.89,4100,5.89
2008-08-11,5.51,6.77,5.51,6.32,7100,6.32
2008-08-04,6.00,6.13,5.00,5.75,8200,5.75
2008-07-28,6.10,6.29,5.25,6.05,2400,6.05
2008-07-21,6.05,6.50,5.95,6.10,1200,6.10
2008-07-14,6.06,6.86,5.75,6.05,1000,6.05
2008-07-07,6.59,6.66,6.02,6.05,3300,6.05
2008-06-30,6.45,7.00,6.45,6.45,1300,6.45
2008-06-23,7.10,7.10,6.36,6.51,4000,6.51
2008-06-16,7.16,7.26,6.90,7.15,4400,7.15
2008-06-09,7.25,7.35,7.14,7.25,1300,7.25
2008-06-02,7.12,7.45,7.11,7.45,400,7.45
2008-05-27,7.30,7.50,7.02,7.29,1600,7.29
2008-05-19,7.75,7.85,6.90,7.20,1400,7.20
2008-05-12,7.85,7.95,7.65,7.82,1100,7.82
2008-05-05,7.73,7.85,7.46,7.83,3300,7.83
2008-04-28,7.03,7.75,7.03,7.75,12500,7.75
2008-04-21,7.80,7.80,7.02,7.02,6100,7.02
2008-04-14,7.90,7.94,7.45,7.80,2200,7.80
2008-04-07,7.99,7.99,7.76,7.80,900,7.80
2008-03-31,7.89,8.50,7.51,7.96,8000,7.96
2008-03-24,7.73,7.89,7.54,7.89,1300,7.89
2008-03-17,7.40,7.64,7.26,7.54,3600,7.54
2008-03-10,7.95,7.95,7.15,7.50,4200,7.50
2008-03-03,7.60,8.07,6.90,7.80,11400,7.80
2008-02-25,8.70,8.70,7.10,7.74,11900,7.74
2008-02-19,9.00,9.25,8.44,8.81,4500,8.81
2008-02-11,9.35,9.43,8.60,9.10,3100,9.10
2008-02-04,9.09,9.52,8.77,9.29,3900,9.29
2008-01-28,8.73,9.09,8.50,8.82,6000,8.82
2008-01-22,8.91,9.61,8.11,9.61,3500,9.61
2008-01-14,9.79,9.88,8.90,8.95,1600,8.95
2008-01-07,9.99,10.18,9.44,9.79,3000,9.79
2007-12-31,9.70,11.60,9.15,9.71,9100,9.71
2007-12-24,10.20,10.20,9.21,9.95,4400,9.95
2007-12-17,11.00,11.20,9.92,10.14,6900,10.04
2007-12-10,10.85,11.15,10.77,10.94,3000,10.83
2007-12-03,10.72,11.12,9.97,10.87,9900,10.76
2007-11-26,11.12,11.73,10.50,11.00,5000,10.89
2007-11-19,11.89,12.00,10.50,11.16,3100,11.05
2007-11-12,11.95,12.04,10.19,11.83,3500,11.71
2007-11-05,13.35,13.35,11.96,12.10,4200,11.98
2007-10-29,12.98,13.25,11.40,12.91,6400,12.78
2007-10-22,13.31,13.64,12.83,12.83,1200,12.70
2007-10-15,13.38,13.54,12.50,13.36,1500,13.23
2007-10-08,13.60,13.60,12.64,13.22,5300,13.09
2007-10-01,13.10,13.72,12.80,13.67,4200,13.53
2007-09-24,13.05,13.34,12.78,13.11,5400,12.98
2007-09-17,13.10,13.33,12.82,13.04,1100,12.91
2007-09-10,13.00,13.38,12.75,13.25,900,13.12
2007-09-04,13.10,13.75,13.00,13.15,2600,13.02
2007-08-27,11.85,13.50,11.25,13.05,6900,12.92
2007-08-20,12.04,13.22,11.85,12.00,6300,11.88
2007-08-13,11.73,12.00,11.26,11.80,3200,11.68
2007-08-06,11.66,12.02,11.55,11.60,4500,11.48
2007-07-30,12.26,12.29,11.00,11.70,12300,11.58
2007-07-23,13.30,13.35,12.25,12.26,2700,12.14
2007-07-16,14.05,14.10,12.60,13.14,16300,13.01
2007-07-09,14.30,14.30,13.50,14.05,1400,13.91
2007-07-02,14.52,14.52,14.01,14.30,1600,14.16
2007-06-25,13.94,14.72,13.00,14.50,6600,14.36
2007-06-18,12.84,13.98,12.61,13.70,1600,13.56
2007-06-11,13.28,13.93,12.69,13.10,4900,12.97
2007-06-04,13.27,13.50,12.77,13.11,3900,12.98
2007-05-29,13.22,13.56,12.89,13.50,5900,13.36
2007-05-21,13.50,13.58,13.06,13.23,4600,13.10
2007-05-14,12.80,13.54,12.80,13.50,7500,13.36
2007-05-07,13.68,14.00,12.25,13.00,8300,12.87
2007-04-30,14.70,15.39,13.66,13.94,14600,13.80
2007-04-23,13.69,14.77,12.00,14.50,14600,14.36
2007-04-16,14.22,14.29,13.62,13.94,10200,13.80
2007-04-09,12.82,14.74,12.56,14.20,16600,14.06
2007-04-02,11.20,13.69,11.14,12.98,20500,12.85
2007-03-26,10.54,11.15,10.54,11.05,16800,10.94
2007-03-19,10.69,10.90,10.51,10.65,9300,10.54
2007-03-12,10.70,10.87,10.46,10.53,8800,10.42
2007-03-05,10.90,11.00,10.10,10.75,19600,10.64
2007-02-26,9.25,11.49,8.87,10.90,39300,10.79
2007-02-20,9.00,9.19,8.96,9.15,5600,9.06
2007-02-12,8.85,9.15,8.85,9.04,600,8.95
2007-02-05,8.70,9.04,8.70,8.93,1700,8.84
2007-01-29,8.89,8.96,8.65,8.85,1800,8.76
2007-01-22,9.08,9.30,8.86,8.96,2500,8.87
2007-01-16,9.15,9.15,8.90,9.10,2000,9.01
2007-01-08,9.05,9.35,8.91,9.22,700,9.13
2007-01-03,8.96,8.98,8.90,8.98,1800,8.89
2006-12-26,8.90,8.98,8.80,8.91,800,8.82
2006-12-18,9.00,9.00,8.80,8.98,2000,8.89
2006-12-11,8.74,9.55,8.74,9.03,3800,8.84
2006-12-04,8.71,8.80,8.63,8.74,1000,8.55
2006-11-27,8.73,8.74,8.62,8.62,1500,8.44
2006-11-20,8.60,8.74,8.60,8.65,400,8.47
2006-11-13,8.75,8.80,8.58,8.60,2300,8.42
2006-11-06,8.75,8.80,8.58,8.69,1700,8.51
2006-10-30,8.60,8.80,8.55,8.77,6900,8.58
2006-10-23,8.60,8.74,8.50,8.74,4700,8.55
2006-10-16,8.49,8.73,8.47,8.60,1400,8.42
2006-10-09,8.55,8.65,8.50,8.56,2500,8.38
2006-10-02,8.60,8.71,8.50,8.55,10200,8.37
2006-09-25,8.55,8.80,8.52,8.70,700,8.52
2006-09-18,8.73,8.75,8.55,8.59,800,8.41
2006-09-11,8.66,8.80,8.55,8.75,3400,8.56
2006-09-05,8.60,8.91,8.50,8.71,4900,8.53
2006-08-28,8.61,8.74,8.50,8.70,2700,8.52
2006-08-21,8.53,8.75,8.51,8.70,12000,8.52
2006-08-14,8.64,8.64,8.41,8.53,2200,8.35
2006-08-07,8.40,8.55,8.30,8.51,4100,8.33
2006-07-31,8.54,8.68,8.40,8.52,11900,8.34
2006-07-24,8.51,8.67,8.30,8.54,4300,8.36
2006-07-17,8.65,8.67,8.46,8.50,2000,8.32
2006-07-10,8.73,8.80,8.49,8.60,5700,8.42
2006-07-03,8.58,8.70,8.48,8.69,4400,8.51
2006-06-26,8.45,8.53,8.40,8.53,1000,8.35
2006-06-19,8.47,8.62,8.47,8.55,1800,8.37
2006-06-12,8.45,8.50,8.35,8.47,1400,8.29
2006-06-05,8.48,8.74,8.36,8.55,2200,8.37
2006-05-30,8.55,8.57,8.30,8.51,2800,8.33
2006-05-22,8.60,8.60,8.14,8.51,5000,8.33
2006-05-15,8.57,8.74,8.57,8.68,4100,8.50
2006-05-08,8.67,9.05,8.64,8.75,14300,8.56
2006-05-01,8.50,8.69,8.40,8.69,8900,8.51
2006-04-24,8.22,8.46,8.20,8.45,5300,8.27
2006-04-17,8.10,8.29,8.07,8.29,6000,8.11
2006-04-10,8.05,8.15,8.00,8.14,4900,7.97
2006-04-03,7.95,8.14,7.95,8.11,4800,7.94
2006-03-27,7.89,8.10,7.77,8.10,9100,7.93
2006-03-20,8.00,8.11,8.00,8.02,3500,7.85
2006-03-13,7.99,8.06,7.97,7.99,13900,7.82
2006-03-06,8.10,8.15,7.96,8.00,7900,7.83
2006-02-27,8.25,8.25,7.92,8.01,14800,7.84
2006-02-21,8.10,8.22,8.03,8.21,7600,8.04
2006-02-13,8.18,8.18,8.00,8.03,26700,7.86
2006-02-06,8.01,8.18,8.00,8.18,41800,8.01
2006-01-30,8.02,8.20,7.75,8.00,25300,7.83
2006-01-23,8.04,8.06,8.02,8.02,1800,7.85
2006-01-17,8.04,8.16,8.02,8.09,1800,7.92
2006-01-09,8.10,8.48,7.90,8.10,10100,7.93
2006-01-03,8.00,8.09,7.82,8.01,7300,7.84
2005-12-27,8.11,8.25,7.85,8.02,6400,7.85
2005-12-19,8.30,8.45,8.00,8.11,4200,7.94
2005-12-12,8.50,8.50,8.00,8.49,5900,8.21
2005-12-05,8.10,8.50,8.07,8.49,5400,8.21
2005-11-28,8.20,8.45,8.00,8.10,5200,7.83
2005-11-21,8.24,8.35,8.00,8.05,3700,7.78
2005-11-14,8.00,8.18,7.80,8.00,4400,7.74
2005-11-07,7.63,8.15,7.63,8.00,3300,7.74
2005-10-31,8.45,8.45,7.50,7.70,9800,7.45
2005-10-24,7.70,8.55,7.70,8.45,18100,8.17
2005-10-17,8.00,8.14,7.00,7.92,7000,7.66
2005-10-10,8.33,8.70,8.13,8.16,5300,7.89
2005-10-03,8.53,8.53,8.10,8.33,6900,8.05
2005-09-26,8.56,8.56,8.27,8.53,15200,8.25
2005-09-19,8.40,8.74,8.30,8.41,3700,8.13
2005-09-12,8.45,8.67,8.10,8.40,10000,8.12
2005-09-06,8.47,8.93,8.13,8.35,20700,8.07
2005-08-29,8.39,8.48,8.15,8.39,15700,8.11
2005-08-22,8.15,8.50,8.00,8.45,6300,8.17
2005-08-15,8.74,8.79,7.78,8.40,12100,8.12
2005-08-08,9.30,9.47,9.00,9.09,7800,8.79
2005-08-01,9.77,9.84,9.04,9.15,17500,8.85
2005-07-25,8.89,10.10,8.81,10.01,32600,9.68
2005-07-18,9.07,9.10,8.75,8.90,8500,8.61
2005-07-11,9.18,9.18,8.80,9.04,9700,8.74
2005-07-05,8.95,9.74,8.95,9.21,13500,8.91
2005-06-27,8.65,8.99,8.61,8.90,8500,8.61
2005-06-20,8.32,9.13,8.25,8.75,20800,8.46
2005-06-13,7.50,8.30,7.39,8.28,9500,8.01
2005-06-06,7.80,7.96,7.40,7.44,7300,7.19
2005-05-31,7.44,7.84,7.25,7.84,12400,7.58
2005-05-23,7.22,7.60,7.16,7.44,9600,7.19
2005-05-16,7.60,7.64,7.25,7.35,4300,7.11
2005-05-09,7.00,7.72,6.90,7.64,15000,7.39
2005-05-02,7.30,7.30,6.69,6.69,2300,6.47
2005-04-25,6.91,7.50,6.91,7.50,3200,7.25
2005-04-18,7.11,7.40,7.00,7.00,17700,6.77
2005-04-11,7.08,7.50,6.90,7.10,5100,6.87
2005-04-04,7.30,7.30,7.05,7.06,6500,6.83
2005-03-28,7.15,7.38,7.10,7.30,11100,7.06
2005-03-21,7.05,7.27,7.05,7.25,27800,7.01
2005-03-14,7.30,7.30,6.80,7.05,8900,6.82
2005-03-07,7.30,7.38,7.17,7.38,4400,7.14
2005-02-28,7.25,7.40,6.60,7.40,5800,7.16
2005-02-22,7.25,7.30,7.10,7.30,8400,7.06
2005-02-14,7.55,7.73,7.30,7.40,1900,7.16
