Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,22.92,23.49,22.80,22.99,7700,22.99
2012-05-14,24.90,24.90,22.75,23.00,6500,23.00
2012-05-07,24.92,25.15,24.90,24.92,2300,24.92
2012-04-30,24.71,24.98,24.71,24.98,700,24.98
2012-04-23,24.92,24.92,24.62,24.88,1300,24.88
2012-04-16,24.62,24.97,24.50,24.79,2500,24.79
2012-04-09,24.86,24.86,24.50,24.70,900,24.70
2012-04-02,24.27,24.94,24.27,24.86,3200,24.86
2012-03-26,24.38,24.46,24.25,24.25,1500,24.25
2012-03-19,23.91,24.40,23.91,24.30,2800,24.30
2012-03-12,23.91,24.12,23.90,23.97,3300,23.97
2012-03-05,24.60,24.71,23.86,23.86,3600,23.86
2012-02-27,24.16,24.60,24.15,24.60,1000,24.60
2012-02-21,24.86,25.11,24.73,25.05,5700,24.17
2012-02-13,24.77,24.93,24.62,24.82,4200,23.95
2012-02-06,24.77,24.92,24.60,24.79,2000,23.92
2012-01-30,24.35,24.82,24.27,24.71,3500,23.85
2012-01-23,23.92,24.45,23.90,24.25,3100,23.40
2012-01-17,23.77,24.35,23.77,24.29,1700,23.44
2012-01-09,23.71,24.00,23.71,24.00,2800,23.16
2012-01-03,23.90,24.00,23.71,24.00,1100,23.16
2011-12-27,23.83,24.04,23.82,23.98,400,23.14
2011-12-19,23.97,24.05,23.75,23.95,1900,23.11
2011-12-12,23.37,24.02,23.37,23.95,3100,23.11
2011-12-05,23.25,23.44,23.10,23.38,1500,22.56
2011-11-28,23.55,23.62,23.18,23.37,2600,22.55
2011-11-21,23.21,23.61,23.15,23.57,1600,22.75
2011-11-14,23.45,23.57,23.08,23.53,1600,22.71
2011-11-07,23.12,23.65,23.12,23.59,2400,22.77
2011-10-31,23.47,23.50,22.84,23.12,4200,22.31
2011-10-24,23.38,23.42,23.03,23.42,1400,22.60
2011-10-17,23.08,23.48,23.00,23.35,1500,22.53
2011-10-10,23.33,23.35,22.98,23.32,1300,22.51
2011-10-03,23.11,23.48,22.92,23.48,1800,22.66
2011-09-26,23.71,23.72,22.81,23.19,3300,22.38
2011-09-19,23.60,23.93,23.30,23.41,1300,22.59
2011-09-12,23.45,23.75,23.34,23.60,1600,22.78
2011-09-06,23.41,23.60,23.24,23.53,1600,22.71
2011-08-29,23.75,23.85,23.24,23.54,1800,22.72
2011-08-22,23.86,24.13,23.81,24.10,1900,22.41
2011-08-15,23.69,24.35,23.68,23.96,2400,22.28
2011-08-08,21.95,23.91,21.95,23.59,3500,21.94
2011-08-01,24.20,24.50,23.91,23.93,2000,22.26
2011-07-25,24.45,24.45,24.11,24.20,2500,22.51
2011-07-18,24.60,24.82,24.28,24.45,6500,22.74
2011-07-11,24.65,24.80,24.49,24.57,4400,22.85
2011-07-05,24.30,24.63,24.30,24.58,2100,22.86
2011-06-27,24.11,24.35,24.11,24.35,300,22.65
2011-06-20,24.10,24.39,23.77,24.25,3000,22.55
2011-06-13,23.96,24.26,23.91,24.11,1100,22.42
2011-06-06,24.03,24.35,24.03,24.06,1800,22.38
2011-05-31,24.17,24.19,23.95,24.09,1700,22.40
