Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.18,14.43,13.83,14.23,39300,14.23
2012-05-14,14.34,14.87,13.84,14.26,34100,14.26
2012-05-07,14.85,15.64,13.13,14.36,67800,14.36
2012-04-30,14.14,15.36,13.67,15.16,51400,15.16
2012-04-23,13.89,14.14,13.43,13.83,34000,13.83
2012-04-16,13.25,14.00,13.04,13.86,27500,13.86
2012-04-09,12.65,13.25,12.58,13.24,21100,13.24
2012-04-02,12.63,12.91,12.55,12.85,24400,12.85
2012-03-26,11.98,12.73,11.65,12.47,26300,12.47
2012-03-19,11.65,12.01,11.26,11.98,31400,11.98
2012-03-12,11.27,11.97,11.21,11.52,16100,11.52
2012-03-05,10.77,11.30,10.50,11.23,22600,11.23
2012-02-27,10.62,10.88,10.38,10.74,22900,10.74
2012-02-21,11.00,11.18,10.41,10.70,30500,10.70
2012-02-13,10.24,11.00,10.24,11.00,23200,11.00
2012-02-06,10.12,10.33,9.85,10.15,22600,10.15
2012-01-30,9.80,11.00,9.57,10.17,29000,10.17
2012-01-23,9.04,10.25,9.04,9.90,15200,9.90
2012-01-17,8.80,9.24,8.26,9.12,15600,9.12
2012-01-09,7.54,8.72,7.40,8.71,14200,8.71
2012-01-03,7.66,7.96,7.24,7.51,28100,7.51
2011-12-27,7.20,7.56,7.18,7.54,37200,7.54
2011-12-19,7.25,7.58,7.20,7.26,51700,7.26
2011-12-12,7.56,7.65,7.16,7.24,29600,7.24
2011-12-05,7.88,7.95,7.42,7.59,20400,7.59
2011-11-28,7.98,8.19,7.69,7.75,8500,7.75
2011-11-21,8.29,8.39,7.84,7.84,8400,7.84
2011-11-14,8.50,8.52,8.08,8.39,22900,8.39
2011-11-07,8.62,8.75,8.38,8.40,12800,8.40
2011-10-31,8.37,8.76,8.11,8.73,5600,8.73
2011-10-24,8.11,8.90,8.00,8.42,34200,8.42
2011-10-17,8.49,8.59,8.08,8.13,9400,8.13
2011-10-10,7.90,8.52,7.90,8.51,22500,8.51
2011-10-03,7.94,8.01,7.72,7.90,7700,7.90
2011-09-26,7.67,8.00,7.67,7.90,14400,7.90
2011-09-19,8.12,8.21,7.68,7.80,11500,7.80
2011-09-12,7.50,8.25,7.37,8.24,21300,8.24
2011-09-06,8.05,8.06,7.35,7.65,23300,7.65
2011-08-29,8.10,8.67,8.03,8.22,13600,8.22
2011-08-22,7.18,9.15,6.28,7.91,53500,7.91
2011-08-15,7.59,8.00,7.00,7.03,17500,7.03
