Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.10,16.11,15.65,15.73,19500,15.73
2012-05-14,15.68,16.20,15.66,16.01,16100,16.01
2012-05-07,16.33,16.33,15.55,15.87,18800,15.87
2012-04-30,15.71,16.47,15.67,16.46,28100,16.46
2012-04-23,15.55,15.71,15.51,15.71,19500,15.71
2012-04-16,15.42,15.59,15.40,15.56,20700,15.56
2012-04-09,15.27,15.43,15.11,15.43,18000,15.43
2012-04-02,15.34,15.50,15.17,15.30,24400,15.30
2012-03-26,15.11,15.44,14.92,15.25,31200,15.25
2012-03-19,15.10,15.12,14.82,14.95,41900,14.95
2012-03-12,15.14,15.47,15.08,15.13,24800,15.13
2012-03-05,15.41,15.70,15.20,15.20,35700,15.20
2012-02-27,15.57,15.75,15.42,15.47,22900,15.21
2012-02-21,15.61,15.72,15.45,15.65,19700,15.38
2012-02-13,15.51,15.85,15.43,15.50,19300,15.24
2012-02-06,15.16,15.52,15.16,15.43,16000,15.17
2012-01-30,14.92,15.28,14.84,15.23,21400,14.97
2012-01-23,14.89,15.17,14.77,15.00,30000,14.75
2012-01-17,14.87,14.95,14.71,14.82,19700,14.57
2012-01-09,14.81,14.86,14.71,14.76,13500,14.51
2012-01-03,14.61,14.81,14.58,14.78,11200,14.53
2011-12-27,14.72,14.72,14.50,14.60,14700,14.35
2011-12-19,14.70,14.84,14.55,14.70,16800,14.45
2011-12-12,14.56,15.10,14.52,14.75,12600,14.50
2011-12-05,14.75,14.95,14.50,14.68,18800,14.43
2011-11-28,14.59,14.81,14.44,14.78,16700,14.23
2011-11-21,14.70,14.75,14.52,14.52,12400,13.98
2011-11-14,14.85,14.85,14.64,14.70,10500,14.15
2011-11-07,14.90,14.94,14.63,14.85,15100,14.30
2011-10-31,14.82,14.86,14.42,14.84,9200,14.29
2011-10-24,14.63,14.81,14.54,14.74,12000,14.19
2011-10-17,14.70,14.75,14.42,14.58,15000,14.04
2011-10-10,14.64,14.79,14.55,14.70,12200,14.15
2011-10-03,15.12,15.18,14.55,14.60,13800,14.06
2011-09-26,15.26,15.37,14.75,15.12,34200,14.56
2011-09-19,15.22,15.36,15.10,15.31,23300,14.74
2011-09-12,14.99,15.29,14.71,15.28,14000,14.71
2011-09-06,15.25,15.54,14.83,15.00,19700,14.44
2011-08-29,15.06,15.35,14.91,15.32,19100,14.48
2011-08-22,15.03,15.17,14.78,14.94,11400,14.12
2011-08-15,14.67,15.13,14.67,14.95,16600,14.13
2011-08-08,14.77,14.96,12.86,14.70,43900,13.89
2011-08-01,15.27,15.53,14.87,14.88,30600,14.06
2011-07-25,15.12,15.19,14.63,14.80,23300,13.98
2011-07-18,15.20,15.47,15.06,15.20,19000,14.36
2011-07-11,15.28,15.30,15.07,15.20,17400,14.36
2011-07-05,15.48,15.48,15.27,15.33,19800,14.49
2011-06-27,15.25,15.50,15.10,15.42,28500,14.57
2011-06-20,14.63,15.35,14.61,15.23,25700,14.39
2011-06-13,14.58,14.74,14.45,14.53,28000,13.73
2011-06-06,15.09,15.25,14.71,14.71,33400,13.90
2011-05-31,15.08,15.26,14.98,15.03,25500,13.94
2011-05-23,14.89,15.15,14.86,15.03,29500,13.94
2011-05-16,14.81,14.94,14.77,14.88,17300,13.80
2011-05-09,14.71,14.95,14.70,14.81,19400,13.74
2011-05-02,14.57,14.73,14.56,14.69,22400,13.63
2011-04-25,14.46,14.57,14.43,14.57,23700,13.52
2011-04-18,14.20,14.45,14.20,14.42,20400,13.38
2011-04-11,14.21,14.30,14.07,14.24,17600,13.21
2011-04-04,14.05,14.30,13.98,14.17,25700,13.15
2011-03-28,14.09,14.10,13.93,14.10,21400,13.08
2011-03-21,14.14,14.20,13.97,14.05,47900,13.03
2011-03-14,14.32,14.37,14.07,14.09,19400,13.07
2011-03-07,14.52,14.59,14.26,14.41,16300,13.37
2011-02-28,14.25,14.61,14.25,14.55,27400,13.23
2011-02-22,14.19,14.37,14.17,14.30,17100,13.01
2011-02-14,14.13,14.31,14.13,14.28,14800,12.99
2011-02-07,14.21,14.31,14.14,14.18,22100,12.90
2011-01-31,14.21,14.38,14.18,14.20,16100,12.91
2011-01-24,14.05,14.40,14.05,14.25,37600,12.96
2011-01-18,14.11,14.22,14.00,14.11,35500,12.83
2011-01-10,14.34,14.44,14.19,14.19,18200,12.91
2011-01-03,15.08,15.12,14.28,14.30,24200,13.01
2010-12-27,14.59,15.10,14.55,15.10,12400,13.73
2010-12-20,14.15,14.60,14.15,14.60,20600,13.28
2010-12-13,14.56,14.56,13.99,14.20,25400,12.91
2010-12-06,14.88,15.06,14.31,14.41,23400,13.11
2010-11-29,14.86,14.99,14.49,14.80,24300,13.20
2010-11-22,14.60,15.05,14.57,14.83,23100,13.23
2010-11-15,14.80,14.87,13.58,14.68,46900,13.09
2010-11-08,15.10,15.10,14.68,14.69,20200,13.10
2010-11-01,14.75,15.14,14.75,15.10,24200,13.47
2010-10-25,15.04,15.09,14.72,14.76,20700,13.17
2010-10-18,14.87,15.12,14.55,15.00,21800,13.38
2010-10-11,15.05,15.13,14.63,14.84,40700,13.24
2010-10-04,15.08,15.21,14.93,14.97,41000,13.35
2010-09-27,14.97,15.23,14.90,15.13,26600,13.50
2010-09-20,14.87,15.07,14.76,14.95,16600,13.33
2010-09-13,15.00,15.00,14.78,14.84,26200,13.24
2010-09-07,15.24,15.61,14.76,14.93,17500,13.32
2010-08-30,14.86,15.20,14.76,15.16,21200,13.26
2010-08-23,15.00,15.04,14.48,14.85,39800,12.99
2010-08-16,14.88,15.25,14.70,15.04,22500,13.16
2010-08-09,14.69,14.87,14.56,14.80,14400,12.95
2010-08-02,14.64,14.71,14.45,14.69,21000,12.85
2010-07-26,14.51,14.65,14.28,14.60,16200,12.77
2010-07-19,14.30,14.90,14.14,14.53,14600,12.71
2010-07-12,13.95,14.39,13.95,14.25,14000,12.46
2010-07-06,14.55,14.55,13.96,14.23,19800,12.45
2010-06-28,14.30,14.67,14.02,14.54,16800,12.72
2010-06-21,14.11,14.60,13.95,14.27,18400,12.48
2010-06-14,14.00,14.10,13.67,14.10,18400,12.33
2010-06-07,13.90,14.50,13.81,14.01,36300,12.25
2010-06-01,13.57,14.00,13.46,14.00,23500,11.98
2010-05-24,13.54,13.80,13.12,13.57,19900,11.62
2010-05-17,14.16,14.16,12.87,13.46,19900,11.52
2010-05-10,13.88,13.98,13.60,13.87,16100,11.87
2010-05-03,14.10,14.18,13.12,13.53,33300,11.58
2010-04-26,13.95,14.22,13.94,13.98,27900,11.97
2010-04-19,13.94,14.00,13.65,13.91,18400,11.91
2010-04-12,13.56,13.94,13.56,13.85,21000,11.86
2010-04-05,13.85,13.90,13.48,13.72,18600,11.75
2010-03-29,13.60,13.99,13.60,13.88,22500,11.88
2010-03-22,13.86,13.89,13.65,13.71,27700,11.74
2010-03-15,13.87,14.29,13.75,13.80,23300,11.81
2010-03-08,13.94,13.95,13.67,13.88,27600,11.88
2010-03-01,13.70,13.95,13.68,13.95,23400,11.71
2010-02-22,13.42,13.72,13.37,13.68,13700,11.48
2010-02-16,13.32,13.50,13.28,13.40,26000,11.24
2010-02-08,13.23,13.52,13.23,13.34,16200,11.19
2010-02-01,13.77,13.87,13.27,13.40,22400,11.24
2010-01-25,14.04,14.17,13.73,13.73,20800,11.52
2010-01-19,14.04,14.16,13.60,13.95,28200,11.71
2010-01-11,13.54,14.55,13.48,14.06,25900,11.80
2010-01-04,13.45,13.71,13.36,13.59,13700,11.40
2009-12-28,13.35,13.67,13.32,13.45,17000,11.29
2009-12-21,13.16,13.46,13.07,13.34,18800,11.19
2009-12-14,13.12,13.25,13.02,13.20,14800,11.08
2009-12-07,13.25,13.40,13.00,13.16,17600,11.04
2009-11-30,13.34,13.47,13.28,13.33,24400,10.94
2009-11-23,13.10,13.33,13.08,13.33,25100,10.94
2009-11-16,12.89,13.12,12.80,13.07,29000,10.73
2009-11-09,12.87,12.89,12.70,12.79,31000,10.50
2009-11-02,12.90,13.09,12.79,12.87,23700,10.56
2009-10-26,13.02,13.15,12.78,12.94,16900,10.62
2009-10-19,13.01,13.22,12.99,13.03,14700,10.70
2009-10-12,13.30,13.30,12.90,12.97,16600,10.65
2009-10-05,12.91,13.30,12.80,13.27,39500,10.89
2009-09-28,12.83,13.19,12.78,12.86,18000,10.56
2009-09-21,12.65,12.86,12.63,12.82,17700,10.52
2009-09-14,12.33,12.67,12.30,12.67,21800,10.40
2009-09-08,12.49,12.50,12.09,12.32,27800,10.11
2009-08-31,12.34,12.53,12.34,12.47,32100,9.97
2009-08-24,12.52,12.57,12.31,12.31,11300,9.84
2009-08-17,12.35,12.53,12.26,12.52,14400,10.01
2009-08-10,12.57,13.00,12.21,12.35,18100,9.88
