Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,63.26,63.83,63.25,63.52,8597100,63.52
2012-05-14,64.03,64.14,63.09,63.35,15996200,63.35
2012-05-07,64.58,65.02,64.23,64.34,15411100,64.34
2012-04-30,64.85,65.49,64.74,64.74,10110600,64.74
2012-04-23,63.50,65.13,63.30,64.84,10038400,64.84
2012-04-16,63.72,64.28,62.76,63.71,15780500,63.71
2012-04-09,64.95,65.23,63.52,63.54,10787900,63.54
2012-04-02,66.04,66.30,65.09,65.34,8817300,65.34
2012-03-26,64.89,66.18,64.83,65.96,10078800,65.96
2012-03-19,64.95,65.27,64.37,64.55,8321100,64.55
2012-03-12,64.55,65.46,64.54,65.12,11172100,65.12
2012-03-05,64.69,65.08,64.12,64.74,9085100,64.74
2012-02-27,64.26,65.42,64.02,64.77,9294200,64.77
2012-02-21,65.23,66.05,64.19,64.46,8925500,64.46
2012-02-13,64.90,65.28,64.33,64.99,8983200,64.42
2012-02-06,65.46,65.58,64.25,64.60,10112700,64.03
2012-01-30,65.33,66.32,65.13,65.64,10127900,65.07
2012-01-23,65.23,65.88,64.34,65.56,11207300,64.99
2012-01-17,65.54,65.69,64.50,65.27,10717700,64.70
2012-01-09,64.96,65.54,64.36,65.26,7915500,64.69
2012-01-03,65.59,66.00,64.61,64.83,13151500,64.26
2011-12-27,65.99,66.32,65.25,65.58,5400200,65.01
2011-12-19,64.18,66.00,63.36,65.98,8744300,65.40
2011-12-12,63.87,64.37,62.93,64.30,12739500,63.74
2011-12-05,64.10,64.81,62.85,64.53,11123900,63.96
2011-11-28,61.88,64.95,61.78,63.47,12255900,62.91
2011-11-21,63.27,63.34,61.05,61.27,14422000,60.73
2011-11-14,64.97,65.33,63.30,63.85,10796900,62.71
2011-11-07,63.96,65.49,63.10,65.25,8906000,64.08
2011-10-31,65.17,65.86,63.18,64.12,11759500,62.97
2011-10-24,63.90,65.85,63.56,65.60,11930200,64.43
2011-10-17,64.40,64.84,62.16,63.78,13441100,62.64
2011-10-10,63.89,64.74,63.57,64.72,7713500,63.56
2011-10-03,63.65,64.21,60.83,63.13,14489000,62.00
2011-09-26,62.05,64.74,62.01,63.69,11224700,62.55
2011-09-19,64.05,64.85,61.00,61.59,11985700,60.49
2011-09-12,63.10,64.74,62.30,64.59,12957500,63.44
2011-09-06,63.17,65.93,62.50,63.64,14791900,62.50
2011-08-29,64.64,66.23,63.91,64.07,12692100,62.93
2011-08-22,63.99,65.70,62.50,64.28,14075200,63.13
2011-08-15,63.85,64.85,62.02,63.14,21424500,61.46
2011-08-08,61.80,64.19,59.08,63.36,35447800,61.68
2011-08-01,65.28,65.33,61.05,62.71,19628800,61.05
2011-07-25,66.21,66.43,64.13,64.79,11963100,63.07
2011-07-18,67.17,67.35,66.06,66.72,10413200,64.95
2011-07-11,66.88,67.98,66.83,67.45,9672100,65.66
2011-07-05,67.29,68.05,67.19,67.57,8288800,65.78
2011-06-27,65.29,67.36,65.00,67.30,8622900,65.51
2011-06-20,66.08,66.75,64.69,65.06,11305900,63.33
2011-06-13,66.59,67.36,65.47,66.29,11635800,64.53
2011-06-06,65.87,67.28,65.18,66.09,10442300,64.34
2011-05-31,67.31,67.34,65.80,66.09,11856200,64.34
2011-05-23,65.19,66.97,65.08,66.77,13246900,65.00
2011-05-16,66.41,66.79,65.28,65.69,10675500,63.40
2011-05-09,65.11,67.37,65.07,66.62,13201000,64.29
2011-05-02,65.92,66.46,64.80,65.27,13760000,62.99
2011-04-25,63.65,65.97,63.40,65.72,14139100,63.43
2011-04-18,60.45,64.54,60.10,64.07,21134500,61.83
2011-04-11,59.54,60.95,59.49,60.56,11721500,58.45
2011-04-04,59.50,60.18,59.25,59.46,9422400,57.38
2011-03-28,58.98,59.73,58.93,59.49,9597400,57.41
