Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.22,3.58,3.00,3.05,3109300,3.05
2012-05-14,3.86,4.05,3.13,3.17,1887100,3.17
2012-05-07,4.07,4.35,3.59,3.92,2542500,3.92
2012-04-30,4.84,5.00,4.10,4.13,1985500,4.13
2012-04-23,4.44,5.00,4.30,4.87,1493700,4.87
2012-04-16,5.08,5.21,4.53,4.55,1826300,4.55
2012-04-09,4.66,5.04,4.51,4.98,1582500,4.98
2012-04-02,5.11,5.41,4.75,4.86,2120000,4.86
2012-03-26,5.92,5.92,5.02,5.12,2365200,5.12
2012-03-19,6.11,6.25,5.47,5.89,1771200,5.89
2012-03-12,5.65,6.19,5.50,6.11,1877100,6.11
2012-03-05,5.84,5.94,5.01,5.70,3308900,5.70
2012-02-27,6.30,6.66,5.71,5.79,4794000,5.79
2012-02-21,6.98,7.07,6.29,6.30,1967200,6.30
2012-02-13,6.53,6.97,6.25,6.96,2170100,6.96
2012-02-06,6.81,7.68,6.37,6.38,3125700,6.38
2012-01-30,6.74,7.09,6.19,6.96,3326700,6.96
2012-01-23,6.52,7.21,6.46,6.88,2509500,6.88
2012-01-17,6.79,6.89,6.30,6.47,2174700,6.47
2012-01-09,7.63,7.78,6.61,6.68,2247100,6.68
2012-01-03,7.28,8.05,7.28,7.62,2295900,7.62
2011-12-27,6.78,7.01,6.21,6.92,1529300,6.92
2011-12-19,6.81,7.18,6.24,6.80,1844900,6.80
2011-12-12,7.52,7.72,6.39,6.81,3417200,6.81
2011-12-05,8.39,8.64,7.56,7.98,1492700,7.98
2011-11-28,6.89,8.67,6.51,8.14,2014500,8.14
2011-11-21,7.10,7.23,6.30,6.38,1805600,6.38
2011-11-14,8.47,8.60,7.23,7.40,1962000,7.40
2011-11-07,10.50,10.68,8.23,8.48,2438900,8.48
2011-10-31,11.10,11.10,9.28,10.50,1680400,10.50
2011-10-24,9.11,11.52,8.82,11.44,2176700,11.44
2011-10-17,9.08,9.25,8.33,9.04,1816400,9.04
2011-10-10,8.01,9.25,7.59,9.11,2074200,9.11
2011-10-03,6.25,8.23,5.41,7.59,3205400,7.59
2011-09-26,7.32,8.31,6.17,6.37,1902900,6.37
2011-09-19,9.60,9.75,6.76,7.18,2360200,7.18
2011-09-12,9.90,10.58,9.47,9.82,1685000,9.82
2011-09-06,9.60,10.76,9.08,10.15,1460400,10.15
2011-08-29,10.54,11.18,9.80,10.01,1292100,10.01
2011-08-22,10.66,10.66,9.42,10.31,1643200,10.31
2011-08-15,12.89,13.57,10.20,10.22,1703500,10.22
2011-08-08,14.30,14.40,11.56,12.71,2788800,12.71
2011-08-01,19.20,19.58,14.30,14.94,1288200,14.94
2011-07-25,21.40,22.00,18.52,18.96,1027400,18.96
2011-07-18,19.82,21.78,19.56,21.68,804400,21.68
2011-07-11,20.28,20.35,18.80,19.68,1131400,19.68
2011-07-05,21.22,21.32,19.71,20.61,1170300,20.61
2011-06-27,19.76,21.13,19.27,21.05,619400,21.05
2011-06-20,18.76,20.01,18.59,19.86,833300,19.86
2011-06-13,19.85,20.05,18.35,18.77,1057000,18.77
2011-06-06,20.32,20.58,19.31,19.80,753800,19.80
2011-05-31,21.89,22.23,20.29,20.33,826700,20.33
2011-05-23,20.72,21.93,20.26,21.68,803700,21.68
2011-05-16,21.08,21.84,20.40,21.06,1314000,21.06
2011-05-09,22.79,23.77,20.68,21.11,2208300,21.11
2011-05-02,24.20,25.39,22.36,22.82,1619100,22.82
2011-04-25,22.65,23.51,21.70,23.32,792900,23.32
2011-04-18,22.12,22.82,21.32,22.77,1092300,22.77
2011-04-11,23.75,23.83,21.77,22.31,1684600,22.31
2011-04-04,25.28,25.51,23.57,23.79,1227200,23.79
2011-03-28,23.92,25.20,23.58,25.14,1920300,25.14
2011-03-21,24.25,25.00,22.24,23.90,4745800,23.90
