Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.59,11.63,11.51,11.57,82800,11.57
2012-05-14,11.92,11.92,11.52,11.52,127800,11.52
2012-05-07,11.85,12.04,11.75,11.99,105700,11.99
2012-04-30,11.96,12.06,11.84,11.90,91100,11.83
2012-04-23,11.88,12.05,11.88,12.01,80300,11.94
2012-04-16,11.95,11.99,11.83,11.92,96800,11.85
2012-04-09,11.98,12.02,11.65,11.96,123400,11.89
2012-04-02,12.04,12.09,11.76,11.97,96000,11.82
2012-03-26,11.96,12.05,11.87,12.05,116100,11.90
2012-03-19,11.74,11.96,11.69,11.95,126500,11.80
2012-03-12,11.92,11.95,11.60,11.73,120500,11.59
2012-03-05,11.96,12.01,11.64,11.90,100800,11.68
2012-02-27,11.89,12.05,11.88,11.98,99600,11.76
2012-02-21,11.88,12.00,11.81,11.86,107600,11.64
2012-02-13,11.74,11.86,11.65,11.84,86000,11.62
2012-02-06,11.56,11.84,11.56,11.73,95500,11.44
2012-01-30,11.83,11.83,11.53,11.62,113900,11.34
2012-01-23,11.56,11.86,11.55,11.82,162800,11.53
2012-01-17,11.57,11.57,11.23,11.51,136600,11.23
2012-01-09,11.36,11.42,10.98,11.42,198100,11.14
2012-01-03,11.19,11.37,11.02,11.31,94000,10.96
2011-12-27,11.14,11.27,11.02,11.04,105100,10.70
2011-12-19,10.87,11.28,10.57,11.25,121300,10.90
2011-12-12,11.11,11.17,10.65,10.70,155900,10.37
2011-12-05,11.33,11.35,11.03,11.12,143300,10.57
2011-11-28,10.56,11.31,10.52,11.29,159300,10.73
2011-11-21,10.61,10.70,10.49,10.49,99300,9.97
2011-11-14,10.84,10.89,10.68,10.69,104900,10.16
2011-11-07,10.86,10.99,10.68,10.85,92500,10.31
2011-10-31,11.29,11.30,10.80,10.92,116600,10.31
2011-10-24,10.83,11.42,10.77,11.32,122600,10.69
2011-10-17,10.71,10.95,10.47,10.84,106000,10.24
2011-10-10,10.38,10.75,10.38,10.67,73700,10.08
2011-10-03,10.36,10.71,10.23,10.32,185400,9.68
2011-09-26,10.23,10.65,10.15,10.44,91900,9.79
2011-09-19,10.37,10.40,10.01,10.23,150300,9.60
2011-09-12,10.48,10.53,10.27,10.43,121700,9.79
2011-09-06,10.59,10.77,10.45,10.56,79900,9.84
2011-08-29,10.27,10.79,10.20,10.71,101700,9.98
2011-08-22,10.33,10.41,10.02,10.27,117700,9.57
2011-08-15,10.76,10.92,10.27,10.28,138700,9.58
2011-08-08,10.89,10.93,10.02,10.66,184900,9.94
2011-08-01,11.62,11.69,10.60,11.00,188900,10.19
2011-07-25,12.08,12.08,11.37,11.46,122200,10.61
2011-07-18,12.07,12.18,11.99,12.06,65800,11.17
2011-07-11,12.18,12.21,11.98,12.12,77700,11.22
2011-07-05,12.20,12.20,12.03,12.17,137500,11.21
2011-06-27,12.18,12.33,12.02,12.19,87900,11.23
2011-06-20,12.10,12.24,11.89,12.15,98100,11.19
2011-06-13,12.25,12.54,12.08,12.11,83200,11.15
2011-06-06,12.79,12.80,12.26,12.31,83700,11.28
2011-05-31,12.65,12.81,12.65,12.80,66500,11.72
2011-05-23,12.77,12.91,12.58,12.64,76700,11.58
2011-05-16,12.89,12.90,12.67,12.85,84300,11.77
2011-05-09,12.59,12.89,12.53,12.85,85000,11.77
2011-05-02,12.62,12.71,12.52,12.64,95700,11.52
2011-04-25,12.72,12.74,12.43,12.55,105100,11.44
2011-04-18,12.58,12.78,12.55,12.78,80200,11.64
2011-04-11,12.60,12.77,12.54,12.60,96200,11.48
2011-04-04,12.27,12.62,12.19,12.59,88000,11.41
2011-03-28,12.60,12.63,12.23,12.31,135400,11.16
2011-03-21,12.68,12.71,12.50,12.61,88500,11.43
2011-03-14,12.54,12.75,12.37,12.68,110100,11.49
2011-03-07,12.49,12.67,12.36,12.59,99200,11.41
2011-02-28,12.95,12.96,12.44,12.48,134900,11.25
2011-02-22,12.86,12.92,12.65,12.82,134200,11.56
2011-02-14,12.65,13.00,12.63,12.93,113100,11.66
2011-02-07,12.69,12.78,12.47,12.68,109600,11.43
2011-01-31,12.46,12.69,12.46,12.68,99900,11.37
2011-01-24,12.64,12.85,12.47,12.48,103800,11.19
