Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,7.86,8.12,7.86,8.09,111000,8.09
2012-05-14,8.20,8.20,7.84,7.88,117800,7.88
2012-05-07,8.32,8.37,8.18,8.23,94900,8.23
2012-04-30,8.27,8.38,8.24,8.32,126800,8.27
2012-04-23,8.15,8.29,8.15,8.29,104100,8.24
2012-04-16,8.16,8.25,8.12,8.19,107300,8.14
2012-04-09,7.93,8.17,7.92,8.14,155800,8.09
2012-04-02,8.20,8.20,8.05,8.06,127500,7.96
2012-03-26,8.17,8.26,8.13,8.16,136800,8.06
2012-03-19,8.12,8.18,8.01,8.18,103200,8.08
2012-03-12,8.25,8.31,8.09,8.12,140500,8.02
2012-03-05,8.27,8.31,7.95,8.27,188600,8.12
2012-02-27,8.29,8.41,8.18,8.34,190600,8.19
2012-02-21,8.27,8.34,8.21,8.29,156400,8.14
2012-02-13,8.33,8.33,8.19,8.26,133800,8.11
2012-02-06,8.13,8.47,8.08,8.34,170700,8.14
2012-01-30,8.17,8.23,8.09,8.13,196500,7.93
2012-01-23,7.95,8.18,7.92,8.17,178700,7.97
2012-01-17,7.91,8.00,7.85,7.99,132400,7.80
2012-01-09,7.80,7.92,7.72,7.91,153700,7.72
2012-01-03,7.64,7.77,7.59,7.75,129000,7.52
2011-12-27,7.65,7.70,7.53,7.57,121500,7.34
2011-12-19,7.60,7.70,7.47,7.69,127100,7.46
2011-12-12,7.62,7.68,7.54,7.56,119700,7.33
2011-12-05,7.78,7.83,7.63,7.67,192100,7.39
2011-11-28,7.62,7.80,7.55,7.69,172000,7.41
2011-11-21,7.60,7.64,7.42,7.49,107000,7.22
2011-11-14,7.61,7.73,7.60,7.63,116000,7.35
2011-11-07,7.69,7.77,7.62,7.62,106200,7.34
2011-10-31,7.70,7.72,7.55,7.67,156700,7.34
2011-10-24,7.68,7.83,7.60,7.73,150200,7.40
2011-10-17,7.50,7.73,7.43,7.71,116100,7.38
2011-10-10,7.39,7.59,7.38,7.50,149500,7.18
2011-10-03,7.60,7.66,7.00,7.36,251500,7.00
2011-09-26,7.62,7.72,7.53,7.53,159800,7.16
2011-09-19,7.58,7.68,7.51,7.59,138100,7.22
2011-09-12,7.71,7.71,7.51,7.60,163100,7.23
2011-09-06,7.67,7.76,7.52,7.70,172300,7.27
2011-08-29,7.70,7.84,7.64,7.71,156400,7.28
2011-08-22,7.67,7.72,7.50,7.64,201800,7.22
2011-08-15,7.76,7.76,7.47,7.61,196900,7.19
2011-08-08,7.21,7.70,6.75,7.65,541100,7.23
2011-08-01,7.63,7.73,6.85,7.30,238300,6.85
2011-07-25,7.82,7.84,7.41,7.54,165700,7.07
2011-07-18,7.84,7.93,7.78,7.86,138900,7.37
2011-07-11,7.83,7.92,7.81,7.83,175300,7.35
2011-07-05,7.88,7.91,7.77,7.91,160900,7.37
2011-06-27,7.72,7.88,7.68,7.85,120800,7.32
2011-06-20,7.70,7.80,7.61,7.70,206000,7.18
2011-06-13,7.80,7.85,7.64,7.68,158900,7.16
2011-06-06,7.87,7.94,7.84,7.87,150000,7.29
2011-05-31,8.00,8.08,7.86,7.90,218900,7.32
2011-05-23,7.88,8.00,7.85,8.00,185400,7.41
2011-05-16,7.79,7.93,7.76,7.93,158800,7.35
2011-05-09,7.75,7.90,7.75,7.80,148900,7.22
2011-05-02,7.82,7.82,7.70,7.79,150900,7.17
2011-04-25,7.69,7.75,7.65,7.74,142500,7.12
2011-04-18,7.64,7.73,7.57,7.70,145100,7.09
2011-04-11,7.70,7.72,7.60,7.65,123400,7.04
2011-04-04,7.75,7.76,7.65,7.70,159900,7.04
2011-03-28,7.68,7.82,7.63,7.71,130200,7.05
2011-03-21,7.56,7.67,7.55,7.65,115100,7.00
2011-03-14,7.60,7.65,7.45,7.54,129600,6.89
2011-03-07,7.65,7.70,7.58,7.64,112500,6.99
2011-02-28,7.57,7.72,7.57,7.66,179100,6.96
2011-02-22,7.56,7.59,7.49,7.58,133600,6.89
2011-02-14,7.64,7.65,7.56,7.61,127200,6.91
2011-02-07,7.56,7.68,7.56,7.62,172400,6.92
2011-01-31,7.44,7.59,7.42,7.59,170100,6.85
2011-01-24,7.44,7.49,7.37,7.44,118000,6.71
2011-01-18,7.28,7.41,7.22,7.41,206900,6.69
2011-01-10,7.35,7.45,7.29,7.32,141000,6.61
2011-01-03,7.40,7.44,7.31,7.34,190200,6.58
2010-12-27,7.23,7.71,7.22,7.40,161200,6.63
2010-12-20,7.20,7.28,7.15,7.22,208600,6.47
2010-12-13,7.31,7.36,7.02,7.21,384000,6.46
2010-12-06,7.57,7.57,7.28,7.39,247300,6.58
2010-11-29,7.64,7.73,7.53,7.54,180500,6.71
2010-11-22,7.67,7.71,7.54,7.69,164900,6.85
2010-11-15,7.58,7.68,6.92,7.65,457400,6.81
2010-11-08,8.11,8.18,7.46,7.55,293800,6.72
2010-11-01,8.06,8.13,7.94,8.10,146900,7.17
2010-10-25,8.05,8.07,7.88,7.94,153300,7.03
2010-10-18,7.98,8.03,7.78,8.01,135800,7.09
2010-10-11,8.08,8.16,7.93,7.99,162000,7.07
2010-10-04,8.13,8.14,7.99,8.10,119300,7.12
2010-09-27,7.94,8.15,7.86,8.09,166500,7.11
2010-09-20,7.85,8.03,7.83,7.97,190000,7.01
2010-09-13,8.00,8.03,7.82,7.82,166500,6.88
2010-09-07,7.71,8.00,7.70,7.96,217900,6.96
2010-08-30,7.71,7.94,7.66,7.69,209000,6.72
2010-08-23,7.83,7.89,7.65,7.71,206600,6.74
2010-08-16,7.65,7.86,7.64,7.82,134200,6.83
2010-08-09,7.87,7.94,7.54,7.65,156900,6.69
2010-08-02,7.81,7.88,7.65,7.84,198200,6.81
