Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,20.63,21.07,20.60,20.80,1600,20.80
2012-05-14,20.51,21.56,20.45,20.89,2900,20.89
2012-05-07,21.45,21.98,20.68,20.78,5000,20.78
2012-04-30,20.75,22.20,20.61,21.49,4500,20.62
2012-04-23,20.50,20.75,19.80,20.45,1500,19.63
2012-04-16,19.66,20.91,19.61,20.52,2000,19.69
2012-04-09,20.60,20.60,19.50,19.89,2600,19.09
2012-04-02,20.42,20.94,20.18,20.80,1800,19.96
2012-03-26,20.39,20.97,19.95,20.17,2200,19.36
2012-03-19,22.60,22.70,17.53,20.30,19600,19.48
2012-03-12,22.60,22.98,22.40,22.95,2600,22.02
2012-03-05,21.89,22.40,21.57,22.40,3200,21.50
2012-02-27,21.83,22.11,21.56,21.85,3400,20.97
2012-02-21,21.34,21.69,20.81,21.47,2700,20.60
2012-02-13,20.00,21.48,20.00,21.00,2100,20.15
2012-02-06,20.78,21.20,20.20,20.90,2900,20.06
2012-01-30,19.78,20.94,19.72,20.90,4600,20.06
2012-01-23,20.05,20.05,18.78,19.40,3500,18.62
2012-01-17,21.31,21.50,19.50,19.50,6600,18.71
2012-01-09,19.85,21.49,19.73,21.14,5800,20.29
2012-01-03,19.35,19.50,18.88,19.50,5800,18.71
2011-12-27,18.00,20.64,17.64,20.64,7800,19.81
2011-12-19,16.17,17.94,16.04,17.94,13600,17.22
2011-12-12,17.60,17.60,16.47,16.48,1900,15.82
2011-12-05,19.95,19.95,17.37,17.87,5100,17.15
2011-11-28,20.41,20.49,19.33,19.33,1800,18.55
2011-11-21,20.69,20.69,19.62,19.70,2000,18.91
2011-11-14,20.78,21.50,20.30,20.39,2600,19.57
2011-11-07,21.76,22.50,20.70,20.96,1600,20.11
2011-10-31,21.50,21.50,21.11,21.49,3100,19.79
2011-10-24,20.39,21.55,20.08,21.48,2900,19.78
2011-10-17,21.05,21.05,19.95,20.00,3300,18.42
2011-10-10,23.25,23.26,20.57,20.60,5900,18.97
