Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.46,25.46,25.24,25.24,1000,25.24
2012-05-14,25.24,25.45,25.01,25.24,3300,25.24
2012-05-07,26.01,26.10,25.15,25.29,5700,25.29
2012-04-30,25.88,26.03,25.88,25.95,2400,25.02
2012-04-23,25.84,25.97,25.66,25.97,3000,25.03
2012-04-16,25.80,25.88,25.67,25.74,1400,24.81
2012-04-09,25.66,25.79,25.64,25.75,3600,24.82
2012-04-02,25.82,25.87,25.64,25.64,6400,24.72
2012-03-26,25.67,25.94,25.60,25.76,7500,24.83
2012-03-19,25.66,25.68,25.37,25.64,1500,24.72
2012-03-12,25.56,25.73,25.56,25.68,1100,24.76
2012-03-05,25.63,25.71,25.41,25.56,1300,24.64
2012-02-27,25.60,25.76,25.60,25.63,3000,24.71
2012-02-21,25.62,25.67,25.50,25.60,1800,24.68
2012-02-13,25.45,25.93,25.43,25.48,4700,24.56
2012-02-06,25.47,25.65,25.37,25.53,4800,24.61
2012-01-30,25.41,25.50,25.40,25.44,900,24.52
2012-01-23,25.68,25.68,25.39,25.42,700,24.50
2012-01-17,25.27,25.59,25.20,25.32,2500,24.41
2012-01-09,25.22,25.61,25.06,25.20,1600,24.29
2012-01-03,25.27,25.35,25.22,25.22,900,24.31
2011-12-27,25.44,25.48,25.25,25.47,1500,24.55
2011-12-19,25.19,25.45,25.16,25.30,1200,24.39
2011-12-12,24.95,25.23,24.89,25.19,1800,24.28
2011-12-05,25.18,25.38,24.90,24.99,1700,24.09
2011-11-28,25.05,25.18,24.92,25.11,2000,24.21
2011-11-21,25.00,25.09,24.68,25.08,1700,24.18
2011-11-14,24.96,24.98,24.75,24.88,3800,23.98
2011-11-07,25.80,25.93,24.60,24.99,3700,24.09
2011-10-31,25.60,25.99,25.58,25.80,1900,23.97
2011-10-24,25.49,25.75,25.29,25.59,800,23.77
2011-10-17,25.43,25.69,25.43,25.49,1000,23.68
2011-10-10,25.35,25.53,25.17,25.43,1200,23.62
2011-10-03,25.16,25.44,25.12,25.34,1100,23.54
2011-09-26,25.26,25.45,25.25,25.33,800,23.53
2011-09-19,25.02,25.47,25.02,25.16,1100,23.37
2011-09-12,25.13,25.48,25.10,25.34,1300,23.54
2011-09-06,25.49,25.49,25.30,25.30,1900,23.50
2011-08-29,25.27,25.50,25.20,25.47,1800,23.66
2011-08-22,25.20,25.53,24.86,25.42,2300,23.61
2011-08-15,25.20,25.47,24.46,25.47,1000,23.66
2011-08-08,24.80,25.25,23.38,24.87,2600,23.10
2011-08-01,25.31,25.38,24.36,24.89,1600,23.12
2011-07-25,25.62,25.62,25.20,25.33,800,23.53
2011-07-18,25.53,25.62,25.36,25.62,1400,23.80
2011-07-11,25.42,25.91,25.22,25.40,3400,23.60
2011-07-05,25.30,26.02,25.26,25.48,1800,23.67
2011-06-27,25.23,25.34,25.16,25.27,1300,23.47
2011-06-20,25.16,25.71,25.15,25.20,3900,23.41
2011-06-13,25.12,25.24,25.02,25.13,1500,23.34
2011-06-06,25.16,25.23,25.14,25.15,1200,23.36
2011-05-31,25.22,25.41,25.10,25.13,5000,23.34
2011-05-23,25.11,25.34,25.10,25.32,2000,23.52
2011-05-16,25.04,25.23,25.03,25.19,3800,23.40
2011-05-09,25.97,26.49,25.02,25.02,6500,23.24
2011-05-02,25.74,26.00,25.59,25.99,2100,23.28
2011-04-25,25.64,25.75,25.34,25.55,2700,22.88
2011-04-18,25.62,25.64,25.56,25.60,800,22.93
2011-04-11,25.49,25.91,25.39,25.91,1700,23.21
2011-04-04,25.41,25.62,25.36,25.42,1100,22.77
2011-03-28,25.32,25.49,25.01,25.44,1200,22.79
2011-03-21,25.39,25.75,25.30,25.31,2100,22.67
2011-03-14,25.39,25.73,25.27,25.57,2000,22.90
2011-03-07,25.40,25.45,25.20,25.30,2200,22.66
2011-02-28,25.21,25.36,25.15,25.36,500,22.71
2011-02-22,25.43,25.44,25.01,25.21,2800,22.58
2011-02-14,25.19,25.55,25.19,25.45,3500,22.79
2011-02-07,25.36,25.64,25.16,25.23,2200,22.60
2011-01-31,25.19,25.48,25.03,25.23,2400,22.60
2011-01-24,25.03,25.18,25.01,25.02,3100,22.41
2011-01-18,25.20,25.40,24.85,25.13,2200,22.51
2011-01-10,24.99,25.30,24.95,25.26,2700,22.62
2011-01-03,24.95,25.27,24.92,24.98,1800,22.37
2010-12-27,24.98,25.24,24.82,25.09,3100,22.47
2010-12-20,24.80,25.17,24.70,24.80,4800,22.21
2010-12-13,25.19,25.30,24.84,25.00,1900,22.39
2010-12-06,25.07,25.30,24.85,25.00,2700,22.39
2010-11-29,24.90,25.00,24.80,24.95,4300,22.35
2010-11-22,24.80,24.88,24.80,24.85,1700,22.26
2010-11-15,24.86,25.06,24.80,24.80,2200,22.21
2010-11-08,25.86,26.08,24.80,24.85,3300,22.26
2010-11-01,25.99,26.09,25.85,25.86,1800,22.33
2010-10-25,25.65,26.00,25.61,25.85,800,22.32
2010-10-18,25.65,25.81,25.53,25.65,1700,22.15
2010-10-11,25.61,25.88,25.41,25.64,4700,22.14
2010-10-04,25.25,25.75,25.23,25.69,4200,22.18
2010-09-27,25.24,25.44,25.06,25.41,2700,21.94
2010-09-20,25.07,25.35,25.02,25.24,2300,21.79
2010-09-13,25.10,25.50,24.87,25.10,3700,21.67
2010-09-07,24.98,25.15,24.82,24.86,1000,21.47
2010-08-30,24.82,25.05,24.62,24.95,1000,21.54
2010-08-23,24.60,25.17,24.40,25.01,3900,21.59
2010-08-16,23.95,24.85,23.65,24.85,4900,21.46
2010-08-09,23.88,24.23,23.69,23.91,3900,20.65
2010-08-02,23.86,24.33,23.45,23.88,3900,20.62
2010-07-26,23.38,23.87,23.14,23.78,1700,20.53
2010-07-19,23.80,23.90,23.34,23.75,2000,20.51
2010-07-12,23.83,23.90,23.39,23.85,4700,20.59
2010-07-06,22.90,23.80,22.87,23.80,1200,20.55
2010-06-28,23.34,23.98,22.56,22.99,3000,19.85
2010-06-21,23.27,23.85,22.82,23.36,2400,20.17
2010-06-14,23.15,23.39,22.55,23.39,2500,20.20
2010-06-07,23.40,23.40,21.87,22.62,1500,19.53
2010-06-01,23.32,23.32,21.96,22.48,2100,19.41
2010-05-24,23.04,23.25,22.08,22.50,1800,19.43
2010-05-17,23.01,23.53,21.57,22.33,3200,19.28
2010-05-10,23.60,24.07,22.72,22.95,4200,19.82
2010-05-03,23.80,24.26,23.29,23.49,10800,19.49
2010-04-26,24.19,24.57,23.68,23.97,3200,19.88
2010-04-19,23.62,24.49,22.76,24.09,5300,19.98
2010-04-12,23.23,24.05,23.12,24.00,1900,19.91
2010-04-05,23.00,23.33,22.84,23.30,2000,19.33
2010-03-29,23.46,23.74,22.96,23.00,5700,19.08
2010-03-22,23.08,23.80,23.08,23.32,3300,19.35
2010-03-15,22.54,23.80,22.54,23.43,2800,19.44
2010-03-08,22.66,22.84,22.28,22.84,3600,18.95
2010-03-01,22.83,22.83,22.09,22.59,3100,18.74
2010-02-22,22.36,23.12,21.91,23.07,2100,19.14
2010-02-16,21.86,22.85,21.52,22.60,1900,18.75
2010-02-08,23.00,23.11,21.84,22.00,2000,18.25
2010-02-01,21.30,23.00,21.30,22.75,1000,18.87
2010-01-25,21.18,21.75,20.84,21.30,1800,17.67
2010-01-19,22.37,23.09,21.01,21.01,5000,17.43
2010-01-11,21.00,22.61,20.99,22.61,4300,18.76
2010-01-04,20.69,21.00,20.32,21.00,3500,17.42
2009-12-28,19.95,20.89,19.82,20.55,3700,17.05
2009-12-21,19.80,20.34,19.56,19.90,2600,16.51
2009-12-14,20.22,20.22,19.65,19.75,1500,16.38
2009-12-07,20.20,20.99,19.95,20.24,3200,16.79
2009-11-30,20.05,20.05,19.33,20.00,1500,16.59
2009-11-23,20.28,20.41,19.54,20.09,2100,16.67
2009-11-16,20.20,20.28,19.42,20.12,900,16.69
2009-11-09,20.37,20.67,19.11,20.09,4100,16.67
2009-11-02,20.15,20.97,19.80,20.12,1300,15.92
2009-10-26,20.04,21.69,19.35,20.10,4300,15.91
2009-10-19,20.50,20.98,20.01,20.01,3700,15.83
2009-10-12,20.00,20.28,19.67,20.00,600,15.83
2009-10-05,20.45,20.98,19.85,19.92,800,15.76
2009-09-28,20.25,20.92,19.57,19.60,1500,15.51
2009-09-21,20.50,20.99,18.95,19.95,2400,15.79
2009-09-14,18.80,20.85,18.80,20.49,1700,16.21
2009-09-08,18.86,19.50,18.76,18.81,600,14.89
2009-08-31,18.67,19.69,18.61,18.86,2600,14.92
2009-08-24,18.62,19.19,18.40,18.69,1300,14.79
2009-08-17,19.56,19.57,18.45,18.83,2300,14.90
2009-08-10,19.80,20.50,19.59,20.00,800,15.83
2009-08-03,19.91,19.91,19.52,19.52,400,15.45
2009-07-27,18.70,19.91,18.70,19.91,400,15.76
2009-07-20,17.15,19.00,17.11,18.80,2000,14.88
2009-07-13,17.99,18.10,17.03,17.15,2300,13.57
2009-07-06,17.05,17.99,16.26,17.20,600,13.61
2009-06-29,17.98,18.00,16.60,17.00,1500,13.45
2009-06-22,15.80,17.98,15.80,17.98,1300,14.23
2009-06-15,16.12,16.67,15.50,15.50,500,12.27
2009-06-08,15.60,16.25,15.60,15.75,700,12.46
2009-06-01,15.59,16.25,15.25,16.10,800,12.74
2009-05-26,16.40,17.20,15.51,16.20,700,12.82
2009-05-18,17.55,17.55,16.40,16.43,900,13.00
2009-05-11,18.00,18.00,16.27,16.85,700,13.33
2009-05-04,17.24,18.88,17.00,18.20,1800,13.65
2009-04-27,15.75,16.98,15.53,16.98,1700,12.74
2009-04-20,14.50,15.75,14.45,15.75,6200,11.81
2009-04-13,13.26,14.65,13.01,14.20,1800,10.65
2009-04-06,13.47,13.51,12.67,13.00,1100,9.75
2009-03-30,12.65,14.00,12.51,13.25,2400,9.94
2009-03-23,13.51,13.51,11.56,13.43,1400,10.07
2009-03-16,14.25,14.74,13.78,13.78,900,10.34
2009-03-09,12.61,14.00,12.61,14.00,700,10.50
2009-03-02,13.75,14.75,12.52,12.75,3700,9.56
2009-02-23,13.75,14.85,12.10,14.00,1000,10.50
2009-02-17,14.45,15.40,13.45,13.75,1100,10.31
2009-02-09,14.00,15.70,14.00,15.45,1300,11.59
2009-02-02,13.25,14.69,13.00,13.16,1100,9.87
2009-01-26,14.00,15.90,13.12,14.25,3200,10.69
2009-01-20,14.25,14.26,13.31,14.26,800,10.70
2009-01-12,15.10,15.90,14.00,14.25,1100,10.69
2009-01-05,12.40,15.55,12.40,15.49,2900,11.62
2008-12-29,11.20,12.70,10.06,12.70,9500,9.53
2008-12-22,11.25,11.50,11.15,11.22,2300,8.42
2008-12-15,11.50,11.50,9.40,11.25,2300,8.44
2008-12-08,13.80,13.80,11.40,12.49,800,9.37
2008-12-01,13.00,14.50,13.00,13.80,200,10.35
2008-11-24,13.00,13.70,13.00,13.70,3100,10.28
2008-11-17,12.75,14.25,12.75,13.00,1400,9.75
2008-11-10,15.70,16.25,12.92,12.93,2300,9.70
2008-11-03,14.25,14.50,13.11,14.00,600,9.86
2008-10-27,16.25,16.25,13.01,13.75,1000,9.68
2008-10-20,14.50,16.25,14.36,16.25,1100,11.44
2008-10-13,13.08,16.25,13.08,13.76,900,9.69
2008-10-06,15.51,16.00,10.00,12.08,3000,8.51
2008-09-29,16.35,17.85,15.00,17.20,1600,12.11
2008-09-22,18.25,18.50,13.99,15.50,1900,10.92
2008-09-15,16.75,19.55,8.49,19.35,2600,13.63
2008-09-08,17.00,18.70,16.00,17.75,600,12.50
2008-09-02,17.43,17.43,16.71,17.00,100,11.97
2008-08-25,17.94,17.94,16.61,17.43,1100,12.28
2008-08-18,17.75,19.10,17.42,18.44,400,12.99
2008-08-11,18.20,19.33,17.75,17.75,600,12.50
2008-08-04,16.10,18.75,15.88,18.20,2700,12.82
2008-07-28,15.97,16.55,15.81,16.08,1500,11.33
2008-07-21,17.30,18.90,15.35,15.75,6600,11.09
2008-07-14,16.90,18.20,16.00,16.54,2900,11.65
2008-07-07,17.30,17.44,15.55,17.01,3000,11.98
2008-06-30,17.75,18.18,16.64,17.66,6400,12.44
2008-06-23,17.00,17.82,16.50,17.50,6300,12.33
2008-06-16,19.35,19.35,16.88,17.00,1300,11.97
2008-06-09,19.57,19.75,19.00,19.10,1700,13.45
2008-06-02,20.25,22.67,19.00,19.79,3000,13.94
2008-05-27,20.86,21.09,20.36,20.36,1400,14.34
2008-05-19,21.83,21.83,20.89,21.10,1400,14.86
2008-05-12,23.03,23.03,21.56,21.91,2100,15.43
2008-05-05,23.26,24.00,22.50,23.50,800,15.89
2008-04-28,21.75,25.11,21.61,23.31,2300,15.76
2008-04-21,21.71,21.98,21.22,21.55,800,14.57
2008-04-14,21.78,22.24,20.77,21.70,3300,14.67
2008-04-07,22.73,24.01,21.39,22.01,3800,14.88
2008-03-31,22.32,23.45,21.27,22.76,3900,15.39
2008-03-24,20.36,22.49,19.77,22.30,4300,15.08
2008-03-17,20.22,20.34,18.50,20.11,16000,13.60
2008-03-10,23.00,23.00,20.60,21.22,1400,14.35
2008-03-03,23.20,23.76,23.00,23.00,700,15.55
2008-02-25,24.20,24.28,23.06,23.51,3900,15.90
2008-02-19,24.15,24.45,23.80,24.25,1100,16.40
2008-02-11,24.05,24.55,24.00,24.40,1200,16.50
2008-02-04,24.45,24.85,24.00,24.05,6800,16.26
2008-01-28,23.10,24.90,22.72,24.20,4500,16.36
2008-01-22,24.25,24.25,22.77,23.35,2200,15.79
2008-01-14,22.99,24.50,22.74,24.25,1800,16.40
2008-01-07,23.79,24.10,22.40,23.24,3100,15.71
2007-12-31,23.91,24.61,23.86,23.86,700,16.13
2007-12-24,23.45,23.91,23.29,23.66,2700,16.00
2007-12-17,23.70,24.19,23.46,23.65,1600,15.99
2007-12-10,22.97,24.30,22.94,23.50,1800,15.89
2007-12-03,23.70,23.75,22.50,22.84,2700,15.44
2007-11-26,23.75,24.48,23.65,23.90,6800,16.16
2007-11-19,22.51,23.99,22.51,23.75,1800,16.06
2007-11-12,23.63,23.63,22.86,23.40,2000,15.82
2007-11-05,24.98,24.98,23.77,23.92,2800,16.17
2007-10-29,25.05,25.18,24.65,25.18,1100,16.38
2007-10-22,24.75,24.90,24.63,24.90,800,16.20
2007-10-15,24.74,25.04,24.61,24.90,1700,16.20
2007-10-08,24.65,24.85,24.45,24.80,1600,16.14
2007-10-01,24.65,24.91,23.86,24.55,2800,15.97
2007-09-24,24.75,24.90,24.31,24.71,1500,16.08
2007-09-17,24.62,25.10,24.59,24.90,2300,16.20
2007-09-10,23.77,24.90,23.66,24.55,1700,15.97
2007-09-04,24.20,24.70,23.66,23.67,2400,15.40
2007-08-27,23.29,24.20,23.29,24.00,2100,15.62
2007-08-20,22.50,24.72,21.53,23.20,3300,15.10
2007-08-13,23.65,24.40,20.00,22.50,2900,14.64
2007-08-06,25.75,25.75,23.55,23.55,2300,15.32
2007-07-30,24.85,26.07,24.66,26.07,1600,16.96
2007-07-23,24.95,25.00,24.56,24.66,1300,16.05
2007-07-16,25.05,25.18,24.71,25.05,1800,16.30
2007-07-09,24.98,25.08,24.98,25.08,400,16.32
2007-07-02,25.09,25.15,24.88,24.88,200,16.19
2007-06-25,25.10,25.16,25.05,25.16,800,16.37
2007-06-18,24.95,25.20,24.95,25.19,1400,16.39
2007-06-11,24.70,25.00,24.40,24.90,3700,16.20
2007-06-04,24.69,24.99,24.55,24.85,2800,16.17
