Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.37,8.60,8.29,8.40,476100,8.40
2012-05-14,8.68,8.70,8.13,8.31,1599600,8.31
2012-05-07,8.80,8.87,8.67,8.77,433600,8.77
2012-04-30,9.07,9.28,8.75,8.83,864100,8.83
2012-04-23,9.20,9.36,9.05,9.06,1134500,8.88
2012-04-16,9.22,9.29,9.14,9.26,401300,9.08
2012-04-09,9.25,9.38,8.95,9.22,716500,9.04
2012-04-02,9.20,9.47,9.14,9.31,549600,9.13
2012-03-26,9.31,9.36,9.15,9.21,366800,9.03
2012-03-19,9.32,9.50,9.20,9.25,373300,9.07
2012-03-12,9.36,9.50,9.19,9.31,439700,9.13
2012-03-05,9.39,9.44,9.13,9.33,492200,9.15
2012-02-27,9.12,9.54,9.10,9.39,687900,9.21
2012-02-21,9.20,9.40,9.12,9.17,529200,8.99
2012-02-13,9.46,9.46,9.08,9.18,751200,9.00
2012-02-06,9.02,9.46,9.01,9.33,1658700,8.97
2012-01-30,8.93,9.05,8.82,9.01,799500,8.66
2012-01-23,8.91,9.00,8.85,8.99,376800,8.64
2012-01-17,8.96,8.98,8.82,8.91,448300,8.57
2012-01-09,8.85,9.20,8.72,8.93,443700,8.59
2012-01-03,8.76,8.91,8.70,8.82,420900,8.48
2011-12-27,8.80,8.80,8.56,8.73,413600,8.39
2011-12-19,8.68,8.80,8.29,8.79,606000,8.45
2011-12-12,8.65,8.77,8.44,8.68,587600,8.35
2011-12-05,8.65,8.77,8.50,8.74,734900,8.40
2011-11-28,8.00,8.68,7.90,8.52,928700,8.19
2011-11-21,8.30,8.40,7.82,7.82,592100,7.52
2011-11-14,8.85,8.85,8.30,8.40,913000,8.08
2011-11-07,8.18,8.55,8.18,8.48,711000,7.98
2011-10-31,8.42,8.52,7.94,8.18,1067600,7.70
2011-10-24,8.09,8.49,7.80,8.46,877000,7.96
2011-10-17,7.95,8.15,7.59,8.06,668300,7.59
2011-10-10,7.62,8.06,7.62,7.92,647800,7.46
2011-10-03,7.36,7.94,6.68,7.49,1716100,7.05
2011-09-26,7.78,8.18,7.36,7.43,1028700,7.00
2011-09-19,8.35,8.60,7.55,7.59,853400,7.15
2011-09-12,7.84,8.51,7.74,8.43,1172700,7.94
2011-09-06,7.80,8.31,7.71,7.97,886200,7.50
2011-08-29,8.85,9.08,7.94,8.00,985200,7.53
2011-08-22,7.85,8.96,7.65,8.66,1591200,8.15
2011-08-15,8.06,8.43,7.59,7.62,1484900,7.17
2011-08-08,8.51,8.51,7.36,7.96,2978000,7.49
2011-08-01,9.60,9.70,8.49,8.75,2354700,8.04
2011-07-25,9.60,9.68,9.33,9.49,997900,8.72
2011-07-18,9.57,9.71,9.29,9.65,1009700,8.87
