Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,17.85,18.30,17.74,18.15,4301500,18.15
2012-05-14,19.40,19.52,17.72,17.79,3153000,17.79
2012-05-07,19.41,19.89,19.29,19.61,2672500,19.61
2012-04-30,19.32,19.96,19.16,19.49,2346400,19.49
2012-04-23,18.59,19.44,18.36,19.35,2316800,19.35
2012-04-16,18.22,18.91,18.12,18.80,2577300,18.80
2012-04-09,18.14,18.34,17.78,18.11,3452500,18.11
2012-04-02,19.19,19.32,18.30,18.39,4559500,18.39
2012-03-26,19.43,19.61,19.03,19.26,3854800,19.07
2012-03-19,19.59,19.90,18.99,19.20,4730900,19.01
2012-03-12,18.08,19.70,17.97,19.61,6330400,19.42
2012-03-05,18.64,18.92,18.07,18.17,3830700,17.99
2012-02-27,18.51,18.93,18.32,18.77,2797700,18.58
2012-02-21,18.80,18.82,18.31,18.70,2581100,18.52
2012-02-13,18.53,18.95,18.26,18.77,3326800,18.58
2012-02-06,18.86,18.94,18.24,18.39,3225600,18.21
2012-01-30,18.16,18.94,18.10,18.89,4115700,18.70
2012-01-23,18.10,19.00,17.99,18.36,5369200,18.18
2012-01-17,17.42,18.12,17.25,18.12,3330200,17.94
2012-01-09,16.58,17.53,16.27,17.22,3808000,17.05
2012-01-03,16.69,17.02,16.21,16.45,3106100,16.29
2011-12-27,16.84,16.84,16.23,16.24,3355900,16.08
2011-12-19,16.25,17.08,15.99,16.90,3092900,16.54
2011-12-12,15.80,16.16,15.29,16.13,3121500,15.79
2011-12-05,15.86,16.22,15.57,16.04,3044500,15.70
2011-11-28,15.23,16.03,14.79,15.59,3850600,15.26
2011-11-21,15.50,15.58,14.56,14.72,3199000,14.41
2011-11-14,16.17,16.29,15.50,15.76,3832200,15.43
2011-11-07,17.29,17.57,16.03,16.30,5751600,15.95
2011-10-31,17.62,17.79,16.61,17.32,4342900,16.95
2011-10-24,16.33,17.93,16.26,17.90,5283000,17.52
2011-10-17,15.39,16.32,14.83,16.32,4791500,15.97
2011-10-10,14.96,15.53,14.51,15.49,3968100,15.16
2011-10-03,14.65,15.14,13.55,14.58,5577300,14.27
2011-09-26,15.27,16.25,15.00,15.03,4540200,14.53
2011-09-19,16.55,16.86,14.54,15.22,4236800,14.72
2011-09-12,15.90,16.95,15.83,16.93,3656800,16.37
2011-09-06,16.05,17.23,15.98,16.19,4040800,15.66
2011-08-29,16.96,17.86,16.61,16.63,3863700,16.08
2011-08-22,16.57,17.13,16.09,16.63,6337400,16.08
2011-08-15,17.03,17.72,16.01,16.20,5223200,15.67
2011-08-08,15.85,17.53,14.60,16.86,9295400,16.30
2011-08-01,19.23,19.32,15.78,16.09,6332100,15.56
2011-07-25,20.11,20.26,18.67,19.03,4571300,18.40
2011-07-18,19.30,20.31,19.08,20.30,3743000,19.63
2011-07-11,19.20,19.60,18.97,19.35,4858000,18.71
2011-07-05,18.74,19.53,18.68,19.50,4398000,18.86
2011-06-27,18.14,18.82,18.07,18.73,3388400,18.11
2011-06-20,17.65,18.45,17.65,18.08,5293200,17.31
2011-06-13,17.19,17.74,17.01,17.73,6906500,16.98
2011-06-06,18.68,18.73,17.19,17.23,5644400,16.50
2011-05-31,19.13,19.55,18.17,18.68,4822700,17.89
