Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.66,3.80,3.59,3.61,1566800,3.61
2012-05-14,4.64,4.65,3.49,3.65,1719400,3.65
2012-05-07,4.74,4.97,4.40,4.71,776900,4.71
2012-04-30,6.87,7.01,4.12,4.80,3179800,4.80
2012-04-23,6.76,7.25,6.51,6.89,783100,6.89
2012-04-16,7.12,7.85,6.84,6.99,1304100,6.99
2012-04-09,7.09,7.36,6.80,7.08,944300,7.08
2012-04-02,7.33,7.80,7.20,7.25,1314700,7.25
2012-03-26,6.44,8.16,5.93,7.20,2503000,7.20
2012-03-19,8.83,8.97,5.99,6.33,3015600,6.33
2012-03-12,9.25,9.91,7.70,8.75,1520000,8.75
2012-03-05,9.69,9.80,8.59,9.23,1032600,9.23
2012-02-27,11.25,11.95,9.66,9.71,1117800,9.71
2012-02-21,11.21,11.60,11.04,11.31,410000,11.31
2012-02-13,12.00,12.10,10.75,11.13,801900,11.13
2012-02-06,11.93,12.65,11.56,11.85,786700,11.85
2012-01-30,10.86,12.08,10.55,12.04,891500,12.04
2012-01-23,10.20,11.50,9.86,10.95,704300,10.95
2012-01-17,9.50,10.32,9.17,10.26,812400,10.26
2012-01-09,8.64,9.76,8.56,9.44,724600,9.44
2012-01-03,8.67,9.24,8.25,8.58,1220600,8.58
2011-12-27,8.48,8.78,8.12,8.45,464200,8.45
2011-12-19,8.80,8.94,8.29,8.52,582500,8.52
2011-12-12,9.54,9.54,8.65,8.76,722300,8.76
2011-12-05,9.58,9.87,8.86,9.77,656000,9.77
2011-11-28,9.59,9.60,8.52,9.41,1105500,9.41
2011-11-21,10.14,10.67,8.79,8.90,854200,8.90
2011-11-14,11.98,12.22,10.21,10.40,1278000,10.40
2011-11-07,8.35,12.42,7.93,12.37,2132700,12.37
2011-10-31,9.11,9.23,7.97,8.34,517200,8.34
2011-10-24,9.06,9.70,8.46,9.30,577200,9.30
2011-10-17,8.93,9.08,8.33,8.98,380900,8.98
2011-10-10,8.20,9.08,8.17,9.06,513800,9.06
