Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,78.86,79.07,78.20,78.68,2188000,78.68
2012-05-14,79.18,80.00,78.65,78.83,2459600,78.83
2012-05-07,78.01,79.93,78.01,79.39,2821100,79.39
2012-04-30,77.90,79.02,77.74,78.29,3143900,78.29
2012-04-23,75.89,79.25,75.51,78.68,3480700,78.68
2012-04-16,74.48,77.09,74.39,76.47,2505100,76.47
2012-04-09,74.06,74.79,73.33,74.35,1766000,74.35
2012-04-02,73.76,74.84,73.71,74.37,2156700,74.37
2012-03-26,73.29,74.39,73.17,73.89,2284300,73.89
2012-03-19,72.83,73.64,72.57,73.13,1621800,73.13
2012-03-12,71.67,73.26,71.67,72.92,2155300,72.92
2012-03-05,72.36,72.85,71.26,71.77,2372900,71.77
2012-02-27,71.50,73.11,71.48,72.35,2376600,71.61
2012-02-21,71.57,72.01,70.94,71.81,2102600,71.08
2012-02-13,71.88,72.00,71.04,71.57,2139400,70.84
2012-02-06,72.16,72.65,71.37,71.56,2029700,70.83
2012-01-30,70.97,72.73,70.50,72.23,2256100,71.49
2012-01-23,73.82,73.91,70.80,71.13,3655000,70.40
2012-01-17,73.26,74.25,73.22,73.83,2674400,73.08
2012-01-09,72.83,73.26,72.33,72.70,2271700,71.96
2012-01-03,73.96,73.98,72.43,72.63,2325800,71.89
2011-12-27,73.69,74.06,73.30,73.56,1277000,72.81
2011-12-19,71.27,73.76,71.04,73.73,2002600,72.98
2011-12-12,69.96,71.62,69.44,71.28,2408400,70.55
2011-12-05,71.47,71.56,69.66,70.14,2285100,69.43
2011-11-28,69.57,71.77,69.40,70.73,2630800,69.32
2011-11-21,69.16,69.85,68.27,68.69,3569600,67.32
2011-11-14,70.85,71.50,69.55,70.10,2378800,68.70
2011-11-07,69.50,71.18,69.28,71.10,1700700,69.68
2011-10-31,70.00,70.44,68.52,69.71,2229100,68.32
2011-10-24,70.89,71.38,69.06,70.37,4024600,68.96
2011-10-17,71.61,73.23,70.61,73.00,2192700,71.54
2011-10-10,71.50,72.28,70.99,71.91,2312900,70.47
2011-10-03,71.09,71.44,69.02,70.96,3929600,69.54
2011-09-26,70.13,71.78,69.73,71.01,3622500,69.59
2011-09-19,68.86,70.91,67.83,69.97,3685500,68.57
2011-09-12,66.89,69.88,66.29,69.78,2594000,68.39
2011-09-06,67.10,69.12,66.84,67.23,3003500,65.89
2011-08-29,68.21,69.63,67.55,68.13,3729700,66.08
2011-08-22,66.19,68.00,65.15,67.83,4173700,65.79
2011-08-15,65.56,66.68,64.66,65.35,3190900,63.39
2011-08-08,63.31,65.39,61.00,65.14,5670400,63.18
2011-08-01,65.88,65.95,62.64,64.07,3178500,62.15
2011-07-25,67.33,67.93,65.15,65.36,2603500,63.40
2011-07-18,66.93,67.99,66.23,67.90,2164900,65.86
2011-07-11,66.24,67.24,66.08,67.10,2340400,65.08
2011-07-05,67.16,67.35,66.11,66.62,2351900,64.62
2011-06-27,65.29,66.98,65.29,66.90,1803400,64.89
2011-06-20,66.25,67.15,65.17,65.36,1913800,63.40
2011-06-13,64.90,66.32,64.59,66.22,2812000,64.23
