Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.50,13.65,13.21,13.28,194600,13.28
2012-05-14,14.08,14.20,13.40,13.46,244600,13.46
2012-05-07,14.07,14.40,13.77,14.27,289900,14.27
2012-04-30,14.98,15.23,14.10,14.11,268600,14.11
2012-04-23,14.36,15.51,13.72,15.03,441900,15.03
2012-04-16,15.12,15.62,14.54,14.88,435400,14.88
2012-04-09,15.71,15.94,15.03,15.04,345800,15.04
2012-04-02,16.57,16.69,15.61,16.04,417900,16.04
2012-03-26,16.51,16.92,16.19,16.64,266400,16.64
2012-03-19,16.05,16.77,16.00,16.31,208300,16.31
2012-03-12,15.64,16.26,15.51,16.13,277900,16.13
2012-03-05,14.99,15.85,14.86,15.59,320000,15.49
2012-02-27,15.64,16.08,14.93,15.03,249700,14.93
2012-02-21,16.13,16.25,15.76,15.81,299300,15.71
2012-02-13,16.18,16.41,15.81,16.05,282300,15.95
2012-02-06,17.18,17.20,14.02,15.98,372700,15.88
2012-01-30,15.66,17.52,15.58,17.34,197900,17.23
2012-01-23,15.52,16.11,14.85,15.88,183400,15.78
2012-01-17,14.73,15.65,14.43,15.49,174000,15.39
2012-01-09,14.30,14.70,13.98,14.54,208400,14.45
2012-01-03,15.39,15.45,14.16,14.18,199600,14.09
2011-12-27,14.74,15.14,14.46,14.85,97000,14.76
2011-12-19,14.58,15.60,14.25,14.86,191400,14.77
2011-12-12,14.50,14.95,13.80,14.47,197300,14.38
2011-12-05,15.91,15.91,14.00,14.76,239600,14.57
2011-11-28,13.60,16.10,13.48,15.57,209600,15.37
2011-11-21,14.77,14.77,12.93,13.00,168700,12.83
2011-11-14,15.81,16.10,14.92,15.16,145500,14.96
2011-11-07,15.69,16.11,14.90,15.97,146200,15.76
2011-10-31,15.37,15.91,14.42,15.70,175500,15.49
2011-10-24,15.56,16.44,14.85,15.73,263600,15.52
2011-10-17,15.61,15.99,13.06,15.46,481700,15.26
2011-10-10,14.84,15.95,14.62,15.85,165300,15.64
2011-10-03,13.53,15.30,12.71,14.48,233500,14.29
2011-09-26,13.88,15.02,13.35,13.70,220800,13.52
2011-09-19,14.28,14.49,12.59,13.69,263800,13.51
2011-09-12,13.07,14.74,12.64,14.64,327000,14.45
2011-09-06,13.66,15.18,13.16,13.34,297200,13.06
2011-08-29,14.88,16.11,14.20,14.24,230100,13.95
2011-08-22,13.45,15.07,13.00,14.63,255100,14.33
2011-08-15,14.96,15.30,12.74,13.03,350300,12.76
2011-08-08,16.14,16.60,14.20,14.84,505300,14.53
2011-08-01,18.61,18.80,16.18,16.60,296900,16.26
2011-07-25,19.47,19.58,17.58,18.25,225100,17.87
2011-07-18,19.61,20.31,18.21,19.76,339700,19.35
2011-07-11,20.92,21.20,19.36,19.70,237000,19.29
2011-07-05,20.43,21.78,20.28,21.29,147900,20.85
2011-06-27,19.59,20.61,19.31,20.41,178500,19.99
2011-06-20,18.20,19.94,17.91,19.60,344200,19.20
2011-06-13,17.06,17.64,16.62,17.39,164900,17.03
2011-06-06,17.81,18.05,17.03,17.08,249800,16.63
2011-05-31,19.28,19.34,17.77,17.86,283000,17.39
2011-05-23,18.38,19.16,17.46,19.05,250200,18.55
2011-05-16,19.55,19.80,18.18,18.68,272600,18.19
2011-05-09,19.35,20.79,19.26,19.68,231800,19.16
2011-05-02,19.75,20.24,19.03,19.41,203300,18.90
2011-04-25,19.83,20.00,19.34,19.63,229100,19.11
2011-04-18,20.99,21.06,19.33,19.92,446800,19.39
2011-04-11,19.74,22.73,18.92,21.63,473900,21.06
2011-04-04,21.43,21.98,19.44,19.76,246700,19.24
2011-03-28,19.22,21.77,19.14,21.40,161000,20.84
2011-03-21,18.84,19.64,18.50,19.24,209800,18.73
2011-03-14,19.53,19.83,17.77,18.62,340900,18.13
2011-03-07,20.04,20.33,18.94,19.66,227600,19.14
2011-02-28,20.67,21.06,19.75,19.90,257100,19.32
2011-02-22,20.16,20.57,19.21,20.57,363900,19.97
2011-02-14,20.94,21.01,20.29,20.43,361500,19.83
2011-02-07,19.96,21.74,19.92,20.98,470900,20.36
2011-01-31,16.86,19.98,16.69,19.85,510200,19.27
2011-01-24,16.47,17.36,16.45,16.76,231400,16.27
2011-01-18,17.03,17.29,16.40,16.50,188400,16.02
2011-01-10,16.58,17.14,16.34,17.09,224600,16.59
2011-01-03,16.94,17.08,16.12,16.71,153300,16.22
2010-12-27,16.77,17.03,16.61,16.73,120900,16.24
2010-12-20,16.45,16.93,16.36,16.85,191600,16.36
2010-12-13,16.05,16.46,15.14,16.38,321100,15.90
2010-12-06,15.72,16.33,15.66,16.00,171800,15.47
2010-11-29,15.80,16.46,15.32,15.78,310200,15.26
2010-11-22,15.94,16.12,15.10,15.94,115000,15.41
2010-11-15,15.61,16.12,15.01,16.03,230600,15.50
2010-11-08,15.91,16.13,15.47,15.51,176900,15.00
2010-11-01,15.29,16.16,14.83,15.99,204700,15.46
2010-10-25,14.84,15.35,14.72,15.17,200400,14.67
2010-10-18,15.94,15.94,14.32,14.68,304000,14.20
2010-10-11,16.60,17.45,16.02,16.04,261600,15.51
2010-10-04,15.45,16.80,14.95,16.56,338600,16.01
2010-09-27,15.36,15.84,14.94,15.57,183400,15.06
2010-09-20,15.03,15.95,14.84,15.32,204700,14.81
2010-09-13,14.66,15.37,14.05,15.02,265300,14.52
2010-09-07,14.04,14.60,13.69,14.55,228600,14.05
2010-08-30,13.39,14.17,13.19,14.10,175000,13.62
2010-08-23,13.25,13.52,12.59,13.49,124100,13.03
2010-08-16,12.96,14.08,12.96,13.20,140600,12.75
2010-08-09,14.54,14.63,12.92,13.07,150800,12.62
2010-08-02,14.15,14.85,14.02,14.44,160500,13.94
2010-07-26,14.35,15.05,13.65,14.03,193500,13.55
2010-07-19,13.05,14.33,12.73,14.30,351700,13.81
2010-07-12,12.50,13.54,12.20,12.97,372000,12.52
2010-07-06,12.89,12.90,11.73,12.49,401700,12.06
2010-06-28,14.13,14.50,12.64,12.65,304600,12.22
2010-06-21,14.87,15.04,13.69,14.09,288900,13.61
2010-06-14,14.21,15.00,14.06,14.71,257200,14.20
2010-06-07,14.02,14.14,13.25,14.05,403600,13.57
2010-06-01,14.67,15.05,13.90,13.99,419000,13.49
2010-05-24,14.20,14.93,13.19,14.79,325100,14.26
2010-05-17,14.35,14.93,13.19,14.23,284400,13.72
2010-05-10,13.32,14.69,13.26,14.24,228000,13.73
2010-05-03,14.03,14.57,12.46,12.95,433300,12.49
2010-04-26,13.79,14.23,13.65,13.98,479200,13.48
2010-04-19,12.38,14.14,12.36,13.85,579300,13.36
2010-04-12,11.34,12.79,11.16,12.50,681200,12.05
2010-04-05,11.36,11.56,11.12,11.34,315500,10.93
2010-03-29,11.53,11.68,11.22,11.35,287300,10.94
2010-03-22,12.00,12.09,11.36,11.53,328400,11.12
2010-03-15,12.32,13.09,12.00,12.08,331100,11.65
2010-03-08,12.16,12.65,11.92,12.32,252900,11.88
2010-03-01,12.06,12.26,11.99,12.20,274400,11.74
2010-02-22,11.76,12.42,11.73,12.02,229700,11.57
2010-02-16,11.92,11.97,11.61,11.76,395600,11.32
2010-02-08,12.38,12.43,11.21,11.78,330600,11.34
2010-02-01,11.33,12.45,9.95,12.38,293100,11.92
2010-01-25,11.55,11.82,11.24,11.26,245300,10.84
2010-01-19,11.08,11.76,10.97,11.44,403100,11.01
2010-01-11,10.81,11.26,10.53,11.11,196600,10.70
2010-01-04,10.50,10.74,10.18,10.72,128800,10.32
2009-12-28,10.73,10.87,10.31,10.33,148300,9.94
2009-12-21,9.93,10.73,9.92,10.72,118900,10.32
2009-12-14,9.93,10.03,9.49,9.90,236900,9.53
2009-12-07,9.96,10.13,9.69,9.84,202000,9.47
2009-11-30,9.72,10.00,9.32,9.99,249100,9.60
2009-11-23,9.45,10.04,9.45,9.77,168000,9.39
2009-11-16,9.43,10.00,9.19,9.41,243000,9.04
2009-11-09,9.57,9.74,9.15,9.34,282700,8.97
2009-11-02,9.84,9.90,9.09,9.51,299300,9.14
2009-10-26,10.49,10.84,9.73,9.80,229400,9.42
2009-10-19,10.69,10.75,9.95,10.51,249900,10.10
2009-10-12,10.53,11.00,9.87,10.62,326500,10.20
2009-10-05,9.98,10.55,9.68,10.55,187800,10.14
2009-09-28,10.22,10.71,9.84,9.96,206500,9.57
2009-09-21,10.66,10.89,10.07,10.13,201200,9.73
2009-09-14,10.15,11.00,10.00,10.80,210200,10.38
2009-09-08,9.60,10.23,9.40,10.22,158300,9.82
2009-08-31,9.93,9.95,8.99,9.49,216300,9.10
2009-08-24,10.30,10.31,9.72,10.05,248000,9.64
2009-08-17,9.10,10.47,8.94,10.28,203400,9.86
2009-08-10,9.75,9.89,9.15,9.31,225800,8.93
2009-08-03,10.00,10.20,9.49,9.83,287900,9.42
2009-07-27,9.91,10.32,9.46,9.79,259300,9.39
2009-07-20,8.57,9.95,8.42,9.92,306600,9.51
2009-07-13,7.40,8.63,7.24,8.50,251600,8.15
2009-07-06,7.44,7.75,7.15,7.38,304700,7.08
2009-06-29,7.51,8.06,7.18,7.44,346400,7.13
2009-06-22,7.19,7.48,6.73,7.39,644600,7.09
2009-06-15,7.14,7.57,6.96,7.27,320900,6.97
2009-06-08,7.74,7.83,6.86,7.20,548900,6.90
2009-06-01,7.04,7.91,6.74,7.86,561400,7.52
2009-05-26,6.76,7.31,6.60,6.93,336500,6.63
2009-05-18,6.90,7.41,6.57,6.81,315800,6.51
2009-05-11,7.40,7.46,6.50,6.83,316800,6.53
2009-05-04,7.12,7.65,7.02,7.58,378900,7.25
2009-04-27,7.12,7.52,6.92,7.07,442300,6.76
2009-04-20,6.79,7.39,6.30,7.31,563800,6.99
2009-04-13,7.69,7.75,6.34,6.86,719900,6.56
2009-04-06,6.36,7.87,6.04,7.77,556600,7.43
2009-03-30,6.52,6.88,5.87,6.47,400200,6.19
2009-03-23,6.34,7.29,6.12,6.68,321300,6.39
2009-03-16,6.28,6.70,5.94,6.06,300500,5.79
2009-03-09,5.52,6.71,5.35,6.25,476100,5.98
2009-03-02,6.40,6.65,5.33,5.56,486700,5.21
2009-02-23,6.75,6.99,6.34,6.60,419100,6.18
2009-02-17,7.10,7.34,6.49,6.72,457400,6.29
2009-02-09,7.48,7.97,7.01,7.28,398700,6.82
2009-02-02,6.72,8.42,6.62,7.48,643700,7.00
2009-01-26,7.23,7.89,6.79,6.82,432000,6.39
2009-01-20,8.08,8.15,6.82,7.20,362100,6.74
2009-01-12,8.89,9.13,7.85,8.16,459900,7.64
2009-01-05,9.05,9.42,8.68,8.93,506800,8.36
2008-12-29,8.46,9.21,8.12,9.09,354500,8.51
2008-12-22,9.12,9.12,8.35,8.51,363000,7.97
2008-12-15,8.83,9.41,8.39,9.04,608100,8.47
2008-12-08,10.30,10.65,8.06,8.58,538900,8.03
2008-12-01,10.44,11.42,9.05,10.11,663700,9.34
2008-11-24,8.91,11.30,8.70,10.77,522700,9.95
2008-11-17,10.54,10.75,7.89,8.77,615500,8.11
2008-11-10,13.12,13.27,10.59,10.61,352500,9.81
2008-11-03,14.39,14.64,12.26,12.77,305700,11.80
2008-10-27,12.12,14.54,11.67,14.46,489500,13.36
2008-10-20,12.15,13.51,9.53,12.32,698800,11.39
2008-10-13,11.12,12.67,10.31,12.03,625600,11.12
2008-10-06,13.20,14.29,9.09,10.48,827700,9.69
2008-09-29,14.93,15.27,13.49,13.53,696900,12.50
2008-09-22,15.09,15.70,14.66,15.18,408500,14.03
2008-09-15,17.39,17.39,14.10,15.21,793500,14.06
2008-09-08,17.88,18.68,17.16,17.73,574500,16.39
2008-09-02,17.08,17.71,16.81,17.08,542300,15.68
2008-08-25,15.37,16.63,15.37,16.47,301100,15.12
2008-08-18,16.93,16.93,15.54,16.00,327400,14.69
2008-08-11,15.44,16.85,15.07,16.83,456200,15.45
2008-08-04,15.59,15.99,14.63,15.24,501600,13.99
2008-07-28,15.58,16.00,14.75,15.69,419800,14.41
2008-07-21,15.01,15.96,14.93,15.64,692900,14.36
2008-07-14,13.17,16.14,12.70,14.98,898200,13.75
2008-07-07,12.82,13.59,12.74,13.03,489300,11.96
2008-06-30,12.38,12.90,12.01,12.76,367800,11.72
2008-06-23,13.13,13.20,12.25,12.44,506000,11.42
2008-06-16,13.53,13.66,12.87,13.02,208000,11.95
2008-06-09,14.31,14.46,13.06,13.55,443300,12.44
2008-06-02,14.76,15.78,14.41,14.41,485900,13.11
2008-05-27,13.37,14.88,13.26,14.83,419000,13.49
2008-05-19,13.47,13.75,13.01,13.33,367700,12.13
2008-05-12,13.14,13.95,13.05,13.47,271800,12.26
2008-05-05,13.50,13.64,12.91,13.07,241800,11.89
2008-04-28,13.27,13.51,12.88,13.44,328900,12.23
2008-04-21,13.11,13.42,12.59,13.25,342200,12.06
2008-04-14,11.35,13.84,10.85,13.27,901800,12.07
2008-04-07,11.90,12.09,11.35,11.37,431400,10.35
2008-03-31,11.60,12.41,11.42,11.90,627000,10.83
2008-03-24,12.65,12.73,11.49,11.60,778300,10.56
2008-03-17,12.48,13.35,12.38,12.90,729600,11.74
2008-03-10,13.01,13.93,12.57,12.82,534500,11.67
2008-03-03,14.06,14.57,12.85,13.03,606900,11.75
2008-02-25,13.46,14.71,13.28,14.08,639500,12.70
2008-02-19,14.18,14.18,13.22,13.43,363600,12.11
2008-02-11,13.35,14.23,12.96,13.98,557600,12.61
2008-02-04,13.59,14.87,12.55,13.32,1187000,12.02
2008-01-28,12.60,13.85,12.49,13.65,700000,12.31
2008-01-22,11.94,13.68,11.94,12.62,657000,11.38
2008-01-14,13.72,14.06,12.36,12.45,396400,11.23
2008-01-07,14.81,14.94,13.33,13.60,297100,12.27
2007-12-31,16.45,16.53,14.53,14.69,327700,13.25
2007-12-24,17.35,17.67,16.39,16.60,277700,14.97
2007-12-17,16.47,17.42,16.38,17.29,320400,15.60
2007-12-10,17.00,17.29,16.09,16.63,375000,15.00
2007-12-03,17.53,17.73,16.79,16.99,388200,15.22
2007-11-26,16.88,18.01,15.80,17.48,572000,15.65
2007-11-19,16.54,16.87,15.82,16.70,444100,14.96
2007-11-12,17.05,18.13,16.68,16.90,393400,15.13
2007-11-05,17.79,17.96,16.65,17.00,365100,15.22
2007-10-29,17.99,18.99,17.86,18.00,308500,16.12
2007-10-22,17.08,18.32,17.06,17.87,339500,16.00
2007-10-15,18.04,19.04,17.15,17.28,595600,15.48
2007-10-08,19.02,19.10,17.83,17.99,316900,16.11
2007-10-01,18.00,19.24,17.77,19.00,343100,17.02
2007-09-24,18.03,18.09,17.66,17.74,319500,15.89
2007-09-17,17.76,19.45,17.69,18.00,422100,16.12
2007-09-10,18.82,18.96,17.50,17.82,267000,15.96
2007-09-04,18.97,18.97,18.43,18.66,304500,16.61
2007-08-27,19.07,19.19,18.25,19.01,251000,16.92
