Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,23.30,23.40,22.96,23.03,3200,23.03
2012-05-14,24.40,24.41,23.30,23.46,12000,23.46
2012-05-07,23.85,25.94,23.61,24.64,9400,24.64
2012-04-30,28.93,29.03,28.04,28.09,2500,28.09
2012-04-23,28.65,29.74,28.04,29.11,7400,29.11
2012-04-16,27.45,28.83,27.26,28.58,6400,28.58
2012-04-09,27.91,28.03,27.35,27.66,4400,27.66
2012-04-02,28.76,29.00,27.44,27.49,14000,27.49
2012-03-26,27.35,28.67,27.15,28.53,3300,28.53
2012-03-19,26.58,27.79,26.30,27.59,19800,27.59
2012-03-12,28.51,28.63,26.75,26.75,10200,26.75
2012-03-05,27.68,28.32,27.28,28.20,6500,28.20
2012-02-27,26.98,28.57,26.88,27.92,6300,27.92
2012-02-21,25.62,27.79,25.54,27.58,6000,27.58
2012-02-13,27.49,27.97,26.67,26.79,6300,26.79
2012-02-06,25.91,26.73,24.95,26.73,13300,26.73
2012-01-30,25.13,26.91,25.13,25.95,5800,25.95
2012-01-23,25.61,25.78,24.25,24.95,1700,24.95
2012-01-17,26.96,26.96,25.28,25.55,5300,25.55
2012-01-09,28.68,28.89,26.40,27.31,4100,27.31
2012-01-03,30.40,30.56,28.52,28.80,2300,28.80
2011-12-27,29.59,29.95,29.10,29.95,2800,29.95
2011-12-19,29.37,29.74,28.50,29.56,4400,29.56
2011-12-12,28.47,28.95,27.79,28.50,2500,28.50
2011-12-05,30.38,30.38,29.20,29.51,2200,29.51
2011-11-28,27.56,30.24,27.44,30.03,6200,30.03
2011-11-21,28.60,28.68,26.13,26.96,14700,26.96
2011-11-14,31.78,32.09,30.10,30.15,4500,30.15
2011-11-07,32.95,33.38,31.56,31.72,4400,31.72
2011-10-31,33.12,33.12,30.22,31.82,5500,31.82
2011-10-24,33.08,34.08,32.16,33.57,5700,33.57
2011-10-17,34.08,34.42,32.99,33.09,2300,33.09
2011-10-10,34.83,35.46,33.00,33.62,2300,33.62
2011-10-03,34.02,35.88,33.73,34.30,6300,34.30
2011-09-26,31.08,34.21,30.59,33.71,5300,33.71
2011-09-19,35.18,35.19,30.55,31.21,11100,31.21
2011-09-12,36.01,36.62,35.22,35.66,10500,35.66
2011-09-06,35.45,36.36,34.90,36.25,12100,36.25
2011-08-29,34.45,37.22,34.36,36.42,15600,36.42
2011-08-22,33.33,34.46,32.50,33.25,14400,33.25
2011-08-15,33.65,34.82,33.05,33.05,14900,33.05
2011-08-08,29.55,35.41,28.48,33.34,20900,33.34
2011-08-01,26.82,30.05,26.56,29.73,14500,29.73
2011-07-25,26.01,27.03,25.68,26.00,46200,26.00
2011-07-18,25.88,26.28,25.43,25.96,30500,25.96
2011-07-11,24.33,25.86,24.09,25.70,2700,25.70
2011-07-05,24.27,24.75,24.19,24.22,3700,24.22
2011-06-27,23.17,23.97,23.00,23.97,4500,23.97
2011-06-20,23.03,24.18,22.84,23.30,6100,23.30
2011-06-13,23.37,23.46,22.56,23.11,6400,23.11
2011-06-06,21.26,22.80,21.22,22.64,6100,22.64
2011-05-31,20.72,21.86,20.60,21.29,4600,21.29
2011-05-23,19.18,20.28,19.18,20.20,8600,20.20
2011-05-16,18.77,19.57,18.77,19.24,11100,19.24
2011-05-09,20.06,20.18,19.01,19.01,6900,19.01
2011-05-02,20.09,20.35,19.73,20.12,9500,20.12
2011-04-25,18.98,19.78,18.97,19.70,7000,19.70
2011-04-18,18.30,19.24,18.30,18.90,14000,18.90
2011-04-11,18.04,18.13,17.46,18.06,4900,18.06
2011-04-04,18.45,18.54,17.35,17.89,8900,17.89
2011-03-28,18.14,18.50,17.47,18.39,13100,18.39
2011-03-21,18.87,19.42,18.32,18.50,19200,18.50
2011-03-14,19.37,19.56,16.74,18.49,35600,18.49
2011-03-07,22.27,22.47,21.30,21.49,4000,21.49
2011-02-28,21.04,22.09,20.71,22.06,17100,22.06
2011-02-22,19.72,20.65,19.41,20.64,4500,20.64
2011-02-14,20.20,20.20,19.69,19.94,2700,19.94
2011-02-07,20.35,20.41,20.10,20.32,6600,20.32
2011-01-31,19.97,20.83,19.07,20.41,6200,20.41
2011-01-24,20.60,20.69,19.77,19.77,2800,19.77
2011-01-18,20.86,20.94,20.50,20.52,3300,20.52
2011-01-10,21.15,21.49,20.85,20.98,2400,20.98
2011-01-03,21.39,21.62,21.05,21.24,2400,21.24
2010-12-27,21.25,21.59,21.08,21.29,5200,21.29
2010-12-20,20.62,21.31,20.56,21.00,4900,21.00
2010-12-13,20.81,21.06,20.25,20.59,8600,20.59
2010-12-06,19.31,20.78,19.26,20.75,7600,20.75
2010-11-29,18.76,19.24,18.57,19.23,7400,19.23
2010-11-22,18.87,19.99,18.66,18.71,16200,18.71
2010-11-15,18.63,19.45,18.36,18.82,54400,18.82
2010-11-08,18.20,20.00,18.20,18.33,45200,18.33
2010-11-01,17.28,18.13,17.05,18.13,1800,18.13
2010-10-25,17.85,17.94,17.47,17.53,3500,17.53
2010-10-18,18.13,18.30,17.70,17.79,3500,17.79
2010-10-11,18.23,18.33,17.49,17.91,7700,17.91
2010-10-04,17.65,18.50,17.59,18.20,5500,18.20
2010-09-27,17.85,17.85,17.33,17.36,6200,17.36
2010-09-20,17.67,18.00,17.42,17.97,2100,17.97
2010-09-13,17.48,17.74,17.26,17.66,2600,17.66
2010-09-07,16.91,17.17,16.69,17.17,800,17.17
2010-08-30,16.27,17.03,15.93,16.96,2700,16.96
2010-08-23,16.47,16.52,15.56,16.01,4000,16.01
2010-08-16,15.19,16.71,15.19,16.07,3200,16.07
2010-08-09,16.20,16.25,15.19,15.21,2900,15.21
2010-08-02,15.48,16.64,15.48,16.14,2000,16.14
2010-07-26,15.66,15.80,15.31,15.43,7600,15.43
2010-07-19,15.28,15.67,15.14,15.67,2500,15.67
2010-07-12,15.63,16.15,15.23,15.31,6200,15.31
2010-07-06,16.00,16.05,15.64,15.71,3200,15.71
2010-06-28,16.50,16.79,15.54,15.61,3800,15.61
2010-06-21,17.40,17.49,16.22,16.36,6100,16.36
2010-06-14,16.26,17.15,16.03,17.15,5900,17.15
2010-06-07,16.45,16.47,15.50,15.99,6400,15.99
2010-06-01,16.47,17.13,16.30,16.30,7400,16.30
2010-05-24,17.35,17.35,16.16,16.47,8300,16.47
2010-05-17,17.60,18.05,17.31,17.43,3900,17.43
2010-05-10,18.50,18.93,17.31,17.40,4400,17.40
