Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,34.74,35.74,34.39,34.75,150600,34.75
2012-05-14,37.50,37.72,34.27,34.47,118800,34.47
2012-05-07,39.50,39.90,37.71,37.95,109300,37.95
2012-04-30,39.33,40.37,38.35,39.22,140900,38.98
2012-04-23,36.71,39.72,36.05,39.49,99100,39.25
2012-04-16,36.43,37.97,35.68,37.68,85700,37.45
2012-04-09,36.49,37.99,35.14,36.15,84800,35.93
2012-04-02,38.57,40.35,37.11,37.28,117100,37.05
2012-03-26,37.82,39.37,37.41,38.56,105300,38.32
2012-03-19,37.34,38.62,36.23,37.35,89400,37.12
2012-03-12,36.44,37.83,35.95,37.41,78400,37.18
2012-03-05,36.04,36.78,34.71,36.38,92900,36.16
2012-02-27,37.37,38.84,36.02,36.09,136300,35.87
2012-02-21,38.57,39.11,37.61,37.74,106000,37.51
2012-02-13,39.16,39.53,36.01,38.39,135800,37.92
2012-02-06,39.50,40.45,38.39,38.64,102200,38.16
2012-01-30,38.09,40.61,37.12,39.70,199700,39.21
2012-01-23,36.82,39.23,36.27,38.53,98900,38.05
2012-01-17,35.52,36.96,34.58,36.85,127800,36.39
2012-01-09,33.46,35.50,32.60,35.04,183700,34.61
2012-01-03,35.75,36.26,32.15,33.27,187000,32.86
2011-12-27,34.55,35.63,33.52,34.36,99900,33.93
2011-12-19,32.97,35.30,31.73,34.64,99700,34.21
2011-12-12,33.62,33.78,31.34,32.78,126700,32.37
2011-12-05,34.64,35.15,33.34,34.45,91100,34.02
2011-11-28,29.75,34.80,29.28,34.06,160100,33.64
2011-11-21,32.20,32.20,28.42,28.45,81300,28.10
2011-11-14,34.68,34.79,31.81,32.35,113800,31.95
2011-11-07,35.57,36.51,33.58,34.92,95200,34.49
2011-10-31,33.77,36.53,30.90,36.23,144700,35.56
2011-10-24,29.91,35.41,29.44,34.53,200000,33.90
2011-10-17,31.19,31.46,27.69,29.85,165100,29.30
2011-10-10,28.20,31.65,28.19,31.54,141300,30.96
2011-10-03,25.31,29.38,24.75,27.49,205300,26.98
2011-09-26,24.43,26.88,23.59,25.61,191500,25.14
2011-09-19,29.30,29.95,23.88,24.13,221300,23.69
2011-09-12,28.92,31.03,28.64,30.04,108300,29.49
2011-09-06,28.73,31.37,28.64,29.21,140600,28.67
2011-08-29,30.25,34.21,29.47,29.73,193300,29.18
2011-08-22,29.41,30.48,28.17,29.90,116300,29.35
2011-08-15,31.46,32.07,27.98,28.60,144900,28.07
2011-08-08,32.12,33.42,27.96,31.13,271400,30.56
2011-08-01,35.52,37.55,32.54,32.95,211000,32.10
2011-07-25,37.31,37.75,36.20,37.02,92200,36.07
2011-07-18,36.85,38.58,35.94,37.81,62100,36.84
2011-07-11,37.47,37.96,36.52,37.00,76300,36.05
2011-07-05,38.33,39.23,37.50,38.04,74900,37.06
2011-06-27,36.05,38.53,35.73,38.41,87700,37.42
2011-06-20,34.87,36.97,34.63,36.00,128600,35.07
2011-06-13,37.24,38.18,34.85,34.90,124700,34.00
2011-06-06,37.14,38.04,36.72,37.03,100800,36.08
2011-05-31,39.40,40.37,36.77,37.09,268300,36.14
2011-05-23,38.75,39.41,36.81,38.80,79300,37.80
2011-05-16,40.53,40.96,38.40,39.51,92200,38.49
2011-05-09,40.98,42.75,40.60,40.85,100700,39.80
2011-05-02,46.08,46.14,39.79,41.16,159200,39.89
2011-04-25,45.17,45.86,44.29,45.73,89800,44.32
2011-04-18,43.25,45.86,42.99,45.30,92300,43.90
2011-04-11,44.31,44.66,42.64,44.11,104500,42.75
2011-04-04,43.77,45.55,43.49,44.15,137200,42.79
2011-03-28,42.07,44.22,41.65,43.45,693600,42.11
2011-03-21,37.75,42.87,37.58,41.99,178000,40.70
2011-03-14,36.85,37.95,35.89,37.22,120300,36.07
2011-03-07,39.70,40.26,37.33,37.94,81500,36.77
2011-02-28,40.90,41.08,38.21,39.49,79600,38.27
2011-02-22,41.03,41.67,38.45,40.56,132200,39.31
2011-02-14,40.37,42.88,39.87,41.49,126300,40.21
2011-02-07,39.03,40.60,38.90,40.41,92100,39.16
2011-01-31,38.41,39.87,37.86,38.94,93600,37.53
2011-01-24,37.59,39.27,37.46,38.25,90400,36.87
2011-01-18,39.32,39.59,37.00,37.50,107500,36.15
2011-01-10,37.29,39.87,36.85,39.59,143700,38.16
2011-01-03,36.11,37.50,34.76,37.42,150600,36.07
2010-12-27,35.66,36.47,35.36,35.78,54600,34.49
2010-12-20,35.60,35.97,34.77,35.45,97200,34.17
2010-12-13,31.50,35.60,30.83,35.54,188400,34.26
2010-12-06,29.42,31.74,29.42,31.33,160800,30.20
2010-11-29,29.20,30.07,28.28,29.61,102800,28.54
2010-11-22,29.79,30.44,28.85,29.50,69000,28.43
2010-11-15,29.56,30.33,28.09,30.00,60800,28.92
2010-11-08,30.61,31.03,29.16,29.40,74500,28.34
2010-11-01,28.00,31.00,27.58,30.82,155000,29.49
2010-10-25,28.14,28.99,27.07,27.88,70300,26.68
2010-10-18,27.60,28.36,26.99,27.92,89000,26.72
2010-10-11,27.15,28.35,26.80,27.50,98400,26.32
2010-10-04,26.72,27.28,25.69,27.10,95900,25.93
2010-09-27,26.56,27.59,25.62,26.74,89900,25.59
2010-09-20,24.79,26.53,24.44,26.47,164900,25.33
2010-09-13,23.99,25.23,23.82,24.67,126600,23.61
2010-09-07,22.56,23.97,21.64,23.74,150800,22.72
2010-08-30,20.91,22.68,19.77,22.63,152300,21.66
2010-08-23,22.99,23.11,20.40,20.99,169700,20.09
2010-08-16,22.70,24.63,22.29,22.75,161700,21.77
2010-08-09,23.73,24.61,22.37,22.75,143900,21.77
2010-08-02,25.47,26.90,22.94,23.51,169300,22.28
2010-07-26,24.78,25.85,24.22,24.84,129100,23.54
2010-07-19,22.61,24.67,21.69,24.59,162300,23.31
2010-07-12,24.10,24.98,22.38,22.53,230300,21.35
2010-07-06,22.78,24.16,21.08,24.13,227800,22.87
2010-06-28,24.55,24.55,21.67,22.31,128500,21.15
2010-06-21,26.74,26.97,24.00,24.50,185300,23.22
2010-06-14,27.31,27.84,26.05,26.25,89600,24.88
2010-06-07,26.62,27.11,24.89,27.08,81400,25.67
2010-06-01,26.73,28.00,25.41,26.54,144000,25.15
2010-05-24,27.86,28.05,25.65,27.09,109400,25.68
2010-05-17,32.30,33.01,26.48,27.97,176900,26.51
2010-05-10,31.27,33.56,30.43,32.14,186500,30.46
2010-05-03,28.26,32.42,26.91,29.53,234000,27.80
2010-04-26,29.62,29.88,28.16,28.17,91000,26.52
2010-04-19,28.38,29.67,27.50,29.57,127100,27.84
2010-04-12,27.10,28.75,26.32,28.59,215600,26.92
2010-04-05,28.83,28.97,26.66,27.17,181600,25.58
2010-03-29,29.21,29.48,28.30,28.78,143100,27.10
2010-03-22,27.88,29.49,27.43,29.20,160300,27.49
2010-03-15,29.42,29.99,27.83,28.16,122800,26.51
2010-03-08,29.84,29.99,28.85,29.33,62000,27.62
2010-03-01,28.07,29.85,28.02,29.74,93200,28.00
2010-02-22,28.68,28.68,27.23,27.80,167900,26.18
2010-02-16,27.89,28.84,25.58,28.64,228400,26.97
2010-02-08,27.92,27.92,26.44,27.58,97200,25.97
2010-02-01,28.16,29.10,26.96,27.99,220100,26.14
2010-01-25,28.93,29.08,27.52,27.92,154900,26.08
2010-01-19,31.59,32.29,28.59,28.70,134400,26.80
2010-01-11,32.17,33.05,31.29,31.41,143700,29.33
2010-01-04,31.12,33.32,30.55,31.81,193500,29.71
2009-12-28,30.07,31.08,29.75,30.44,85400,28.43
2009-12-21,28.05,30.09,28.05,30.08,75400,28.09
2009-12-14,28.80,30.15,27.68,27.93,107100,26.08
2009-12-07,28.49,29.55,27.91,28.48,184600,26.60
2009-11-30,28.00,29.38,27.05,28.50,104400,26.62
2009-11-23,29.55,30.87,27.77,28.00,98100,26.15
2009-11-16,29.36,31.00,28.69,29.12,141200,27.20
2009-11-09,28.39,29.98,28.01,28.95,162000,27.04
2009-11-02,26.43,30.10,24.93,27.97,193600,25.93
2009-10-26,29.62,30.54,26.05,26.12,140700,24.21
2009-10-19,31.06,32.61,29.01,29.66,139200,27.49
2009-10-12,33.11,34.00,30.82,31.29,181400,29.00
2009-10-05,29.14,33.36,28.72,32.96,173300,30.55
2009-09-28,30.83,31.25,27.89,28.81,119600,26.70
2009-09-21,32.20,32.40,30.49,30.70,76200,28.46
2009-09-14,27.59,33.47,27.17,32.24,240900,29.88
