Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,28.92,29.04,28.81,28.81,200,28.81
2012-05-14,28.76,29.00,28.76,28.92,500,28.92
2012-05-07,28.76,29.05,28.69,29.05,2900,29.05
2012-04-30,27.90,28.93,27.90,28.59,2400,28.59
2012-04-23,28.14,28.39,28.00,28.16,800,28.16
2012-04-16,27.92,28.16,27.80,28.02,900,28.02
2012-04-09,28.04,28.04,27.72,27.80,1300,27.80
2012-04-02,27.93,27.95,27.61,27.94,1400,27.94
2012-03-26,28.08,28.25,27.71,27.95,800,27.95
2012-03-19,28.42,28.50,27.72,28.23,3000,28.23
2012-03-12,28.16,28.72,27.84,28.25,4300,28.25
2012-03-05,28.20,28.20,27.86,28.03,2100,28.03
2012-02-27,28.40,28.41,27.92,28.06,2600,28.06
2012-02-21,28.04,29.06,28.01,28.35,4000,28.35
2012-02-13,28.27,28.44,28.01,28.44,1300,28.44
2012-02-06,27.69,28.39,27.69,28.39,1800,28.39
2012-01-30,27.80,28.12,27.70,27.73,700,27.73
2012-01-23,27.66,27.99,27.57,27.83,1100,27.83
2012-01-17,27.35,27.79,27.33,27.79,2300,27.79
2012-01-09,27.38,27.64,27.30,27.35,10800,27.35
2012-01-03,27.58,27.71,27.33,27.38,1300,27.38
2011-12-27,28.55,28.55,27.32,27.77,800,27.77
2011-12-19,28.75,28.98,28.41,28.66,2400,27.63
2011-12-12,28.13,28.67,28.13,28.67,2500,27.64
2011-12-05,28.33,28.49,28.11,28.18,1100,27.17
2011-11-28,28.18,28.53,28.04,28.32,1900,27.30
2011-11-21,27.81,28.29,27.81,27.86,800,26.86
2011-11-14,27.57,28.10,27.57,27.81,900,26.81
2011-11-07,27.75,27.97,27.70,27.78,500,26.78
2011-10-31,28.00,28.23,27.55,27.92,1300,26.92
2011-10-24,27.79,28.30,27.27,27.73,1100,26.73
2011-10-17,27.79,28.30,27.16,27.88,2300,26.88
2011-10-10,27.40,27.81,27.40,27.79,1000,26.79
2011-10-03,27.15,27.45,26.94,27.45,900,26.46
2011-09-26,28.03,28.06,27.11,27.15,1300,26.17
2011-09-19,27.82,28.09,27.74,28.03,900,27.02
2011-09-12,27.11,28.00,27.08,28.00,1600,26.99
2011-09-06,27.15,28.02,27.15,27.32,2200,26.34
2011-08-29,27.99,27.99,27.51,27.51,400,26.52
2011-08-22,27.33,28.12,27.33,28.12,700,27.11
2011-08-15,27.05,27.45,26.91,27.45,600,26.46
2011-08-08,27.45,27.45,26.25,26.93,1300,25.96
2011-08-01,27.87,27.87,27.43,27.65,800,26.66
2011-07-25,28.12,28.24,27.85,27.97,600,26.96
2011-07-18,28.12,28.37,27.75,28.12,2200,27.11
2011-07-11,28.25,28.27,27.97,28.00,1400,26.99
2011-07-05,28.45,28.45,28.26,28.26,300,27.24
2011-06-27,29.71,29.71,28.22,28.35,2400,27.33
2011-06-20,29.45,29.90,29.20,29.61,1900,27.56
2011-06-13,29.50,29.50,29.10,29.34,1200,27.30
