Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,25.85,26.96,25.85,26.80,803400,26.80
2012-05-14,28.46,28.66,25.77,26.10,970200,26.10
2012-05-07,29.35,29.45,28.34,28.87,622500,28.87
2012-04-30,29.39,30.46,28.98,29.41,902000,29.41
2012-04-23,29.09,29.65,28.29,29.50,978800,29.50
2012-04-16,27.84,29.98,27.50,29.53,988200,29.53
2012-04-09,27.85,28.07,26.13,27.61,793700,27.61
2012-04-02,28.13,29.08,28.08,28.46,1026200,28.46
2012-03-26,28.76,29.07,27.79,28.14,923200,28.14
2012-03-19,28.12,29.39,28.00,28.35,655300,28.24
2012-03-12,27.25,28.47,26.41,28.11,761200,28.00
2012-03-05,25.99,27.21,25.57,27.12,547900,27.02
2012-02-27,27.08,27.66,25.82,26.04,685900,25.94
2012-02-21,27.08,27.35,25.76,27.04,589100,26.94
2012-02-13,27.63,28.22,26.69,26.92,630600,26.82
2012-02-06,27.72,28.29,27.03,27.25,716500,27.15
2012-01-30,26.69,28.04,26.65,27.85,906000,27.74
2012-01-23,26.96,27.49,26.41,27.03,624100,26.93
2012-01-17,26.15,27.05,25.84,26.98,553700,26.88
2012-01-09,25.19,26.40,24.84,25.85,424600,25.75
2012-01-03,24.61,25.53,24.11,25.11,608000,25.01
2011-12-27,24.28,24.94,23.94,24.21,291000,24.12
2011-12-19,22.72,24.53,22.41,24.46,400500,24.26
2011-12-12,23.48,24.08,21.80,22.55,952400,22.36
2011-12-05,23.64,24.05,22.95,23.89,609300,23.69
2011-11-28,21.48,23.69,21.24,23.16,608700,22.97
2011-11-21,22.44,22.59,20.22,20.59,660800,20.42
2011-11-14,23.88,23.95,22.44,23.05,595900,22.86
2011-11-07,24.58,24.83,23.12,24.08,711100,23.88
2011-10-31,24.32,25.24,23.08,24.67,843600,24.47
2011-10-24,22.45,25.25,22.15,24.84,979100,24.63
2011-10-17,21.36,23.40,20.36,22.20,1086000,22.02
2011-10-10,19.47,21.91,19.34,21.64,1014800,21.46
2011-10-03,18.99,20.24,17.22,18.87,1190300,18.71
2011-09-26,18.82,20.48,18.47,19.20,1081300,19.04
