Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,80.92,83.64,79.99,82.62,741900,82.62
2012-05-14,87.79,88.46,79.22,80.59,1271000,80.59
2012-05-07,84.13,89.99,83.77,89.02,1397700,89.02
2012-04-30,87.31,88.70,84.52,84.58,549300,84.58
2012-04-23,84.26,87.36,83.10,86.98,441800,86.98
2012-04-16,85.58,85.94,83.71,85.34,446900,85.34
2012-04-09,87.78,87.78,84.08,85.07,568000,85.07
2012-04-02,88.10,90.56,86.89,88.90,580800,88.90
2012-03-26,88.94,89.68,86.42,88.15,420400,88.15
2012-03-19,86.92,88.79,86.32,88.26,296400,88.26
2012-03-12,90.54,90.54,86.90,87.08,520600,87.08
2012-03-05,89.30,90.30,84.14,90.20,612100,90.20
2012-02-27,88.26,91.64,87.38,89.66,780700,89.66
2012-02-21,88.25,88.62,85.42,88.28,478800,88.28
2012-02-13,85.56,88.04,83.48,87.37,424100,87.37
2012-02-06,83.85,86.05,83.46,85.15,420800,85.15
2012-01-30,81.03,84.95,80.17,84.45,650100,84.45
2012-01-23,83.15,84.20,81.77,81.81,349600,81.81
2012-01-17,84.43,85.97,83.02,83.19,555500,83.19
2012-01-09,81.72,83.87,81.35,83.29,508500,83.29
2012-01-03,78.90,82.68,77.34,81.44,835400,81.44
2011-12-27,77.04,78.26,75.83,78.05,419800,78.05
2011-12-19,76.40,78.00,74.09,77.54,494100,77.54
2011-12-12,74.63,76.11,72.70,75.55,996600,75.55
2011-12-05,78.26,78.35,73.73,75.24,674800,75.24
2011-11-28,76.36,104.34,73.52,76.71,2603100,76.71
2011-11-21,76.91,77.13,73.16,74.59,1278100,74.59
2011-11-14,79.06,80.85,77.51,78.40,1299700,78.40
2011-11-07,75.05,79.67,74.35,79.67,578300,79.67
2011-10-31,76.52,78.62,72.59,75.40,389700,75.40
2011-10-24,75.45,79.83,75.44,77.66,283900,77.66
2011-10-17,75.78,78.10,72.01,75.44,400800,75.44
2011-10-10,65.27,77.32,64.20,76.36,594000,76.36
2011-10-03,66.00,67.45,58.51,65.22,563500,65.22
2011-09-26,67.11,72.95,62.49,66.12,504800,66.12
2011-09-19,70.60,73.45,67.26,68.05,447300,68.05
2011-09-12,65.48,72.74,64.37,71.95,458700,71.95
2011-09-06,65.47,69.44,65.31,66.61,475300,66.61
2011-08-29,67.15,72.35,66.37,67.88,704000,67.88
2011-08-22,67.46,68.01,62.29,66.54,780000,66.54
2011-08-15,69.97,73.91,65.41,65.67,706900,65.67
2011-08-08,69.22,72.25,62.79,69.50,835800,69.50
2011-08-01,81.50,83.00,68.83,70.87,698700,70.87
2011-07-25,85.81,86.39,78.28,79.86,285400,79.86
2011-07-18,86.61,86.84,83.13,86.08,287500,86.08
2011-07-11,86.16,87.99,84.42,86.82,384700,86.82
2011-07-05,86.73,87.89,84.07,87.13,429900,87.13
2011-06-27,79.78,87.57,79.10,86.44,556800,86.44
2011-06-20,76.63,82.89,76.05,79.92,493100,79.92
2011-06-13,82.00,82.40,74.46,77.07,644400,77.07
2011-06-06,88.48,88.73,80.99,81.98,638000,81.98
2011-05-31,91.88,92.55,87.87,88.52,769100,88.52
2011-05-23,86.35,92.10,85.68,91.14,447500,91.14
2011-05-16,85.78,89.72,82.11,87.50,660900,87.50
2011-05-09,87.27,89.99,85.29,85.73,447300,85.73
2011-05-02,82.31,87.76,80.56,86.96,599300,86.96
2011-04-25,78.34,82.39,76.65,82.27,365400,82.27
2011-04-18,75.16,78.60,74.09,78.52,265000,78.52
2011-04-11,74.98,76.75,74.52,76.31,371200,76.31
2011-04-04,73.90,77.07,72.72,75.06,423800,75.06
2011-03-28,74.41,75.47,72.79,73.45,395600,73.45
2011-03-21,71.47,74.94,70.83,74.46,392600,74.46
2011-03-14,72.16,73.35,70.62,70.77,533100,70.77
2011-03-07,74.83,75.18,72.15,72.98,586700,72.98
2011-02-28,69.74,75.68,69.26,74.61,595900,74.61
2011-02-22,71.40,71.92,66.08,68.89,389700,68.89
2011-02-14,73.25,74.45,71.13,71.88,608900,71.88
2011-02-07,70.71,73.70,70.13,73.41,486900,73.41
2011-01-31,65.14,71.65,65.07,70.25,604000,70.25
2011-01-24,62.49,66.39,61.98,65.05,270500,65.05
2011-01-18,64.02,65.15,62.76,62.87,257700,62.87
2011-01-10,63.61,64.68,62.95,64.25,322900,64.25
2011-01-03,62.90,65.73,62.87,63.98,487600,63.98
2010-12-27,62.78,63.60,62.06,62.56,276900,62.56
2010-12-20,59.08,63.67,58.44,63.00,538300,63.00
2010-12-13,61.79,62.62,59.05,59.11,470800,59.11
2010-12-06,59.04,62.68,58.52,61.77,474100,61.77
2010-11-29,57.98,59.53,56.79,59.06,543500,59.06
2010-11-22,58.02,59.15,57.49,58.36,324200,58.36
2010-11-15,58.69,59.21,55.70,58.25,572100,58.25
2010-11-08,58.84,60.35,56.70,58.76,709200,58.76
2010-11-01,57.37,60.76,57.13,59.21,558800,59.21
2010-10-25,56.65,57.84,54.75,57.54,415500,57.54
2010-10-18,57.38,58.16,55.61,56.37,502600,56.37
2010-10-11,54.59,57.49,52.99,57.16,513300,57.16
2010-10-04,52.81,54.72,52.01,54.44,431400,54.44
2010-09-27,51.97,53.25,51.20,52.87,473300,52.87
2010-09-20,49.84,52.42,49.84,52.02,377900,52.02
2010-09-13,48.12,50.18,47.72,49.73,452100,49.73
2010-09-07,48.85,48.85,47.20,47.70,367200,47.70
2010-08-30,45.18,49.19,43.85,48.83,697800,48.83
2010-08-23,45.85,46.13,42.71,45.44,434500,45.44
2010-08-16,45.88,48.71,44.71,45.37,471300,45.37
2010-08-09,47.51,48.55,45.11,46.37,734200,46.37
2010-08-02,47.13,48.52,46.31,47.00,661000,47.00
2010-07-26,46.61,47.67,45.25,46.64,464400,46.64
2010-07-19,43.99,47.26,42.63,46.57,570900,46.57
2010-07-12,44.12,46.80,41.81,43.95,765400,43.95
2010-07-06,41.84,45.53,41.27,44.34,681500,44.34
2010-06-28,44.29,45.20,40.42,41.21,615000,41.21
2010-06-21,42.50,45.31,42.50,44.23,852600,44.23
2010-06-14,41.61,43.89,40.30,41.78,624800,41.78
2010-06-07,40.58,41.50,38.60,41.32,571000,41.32
2010-06-01,41.82,44.05,40.01,40.45,817600,40.45
2010-05-24,39.03,43.48,37.54,42.06,1386000,42.06
2010-05-17,41.82,42.86,37.31,39.25,876700,39.25
2010-05-10,40.30,43.13,40.06,41.43,891000,41.43
2010-05-03,44.61,46.05,38.10,38.55,838100,38.55
2010-04-26,44.24,45.67,42.15,44.31,676200,44.31
2010-04-19,42.61,44.93,42.53,44.26,511800,44.26
2010-04-12,40.36,43.56,39.90,42.90,759200,42.90
2010-04-05,36.53,40.43,36.48,40.28,688700,40.28
2010-03-29,36.23,37.80,36.02,36.73,521900,36.73
2010-03-22,34.12,37.16,33.37,36.06,439400,36.06
2010-03-15,33.72,35.29,33.13,34.39,511100,34.39
2010-03-08,33.10,33.83,32.02,33.56,410500,33.56
2010-03-01,33.78,34.19,31.96,33.19,656600,33.19
