Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,17.58,17.67,16.62,16.78,30600,16.78
2012-05-14,17.80,18.35,17.52,17.56,25000,17.56
2012-05-07,18.00,19.17,17.90,18.15,38800,18.15
2012-04-30,19.03,19.03,17.70,17.98,29500,17.98
2012-04-23,18.09,19.15,17.95,19.14,14400,19.14
2012-04-16,18.17,18.90,17.70,18.46,24200,18.46
2012-04-09,17.59,18.41,17.00,18.16,51200,18.16
2012-04-02,18.22,18.45,17.80,17.82,24900,17.82
2012-03-26,19.52,20.50,17.72,18.20,37700,18.20
2012-03-19,19.11,19.70,17.51,19.35,53800,19.35
2012-03-12,19.43,19.79,19.09,19.21,34400,19.21
2012-03-05,20.12,20.80,18.18,19.44,47000,19.44
2012-02-27,20.83,21.24,20.13,20.13,46100,20.13
2012-02-21,20.73,21.17,20.46,21.07,28000,21.07
2012-02-13,19.84,21.41,19.79,20.70,31200,20.70
2012-02-06,20.31,20.31,19.03,19.70,38100,19.70
2012-01-30,19.42,20.75,19.37,20.37,30300,20.37
2012-01-23,19.06,19.98,18.63,19.53,24500,19.53
2012-01-17,17.94,19.04,17.22,18.99,46700,18.99
2012-01-09,18.22,18.89,17.74,17.76,26400,17.76
2012-01-03,17.99,18.36,16.66,18.13,59500,18.13
2011-12-27,18.87,18.91,17.49,17.55,35900,17.55
2011-12-19,18.26,19.45,17.17,18.97,64600,18.97
2011-12-12,17.85,18.32,17.30,18.11,33100,18.11
2011-12-05,17.11,18.30,16.69,18.16,41000,18.16
2011-11-28,16.33,17.27,15.33,16.78,64400,16.78
2011-11-21,18.07,18.25,15.71,15.73,31400,15.73
2011-11-14,19.24,19.47,18.18,18.46,35600,18.46
2011-11-07,20.33,20.68,19.06,19.33,46400,19.33
2011-10-31,20.21,21.31,19.37,20.60,46700,20.60
2011-10-24,18.47,21.30,18.14,20.64,39500,20.64
2011-10-17,19.29,19.29,17.66,18.59,37900,18.59
2011-10-10,17.67,19.73,17.62,19.58,29300,19.58
2011-10-03,16.93,18.70,15.92,17.67,31800,17.67
