Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.73,6.97,6.67,6.76,72000,6.76
2012-05-14,6.51,6.87,6.40,6.70,78500,6.70
2012-05-07,6.60,6.77,6.51,6.60,40700,6.60
2012-04-30,6.58,7.16,6.37,6.60,87700,6.60
2012-04-23,6.18,6.76,6.18,6.56,93200,6.56
2012-04-16,6.25,6.52,6.14,6.31,39200,6.31
2012-04-09,6.32,6.55,6.13,6.20,57100,6.20
2012-04-02,6.53,6.69,6.35,6.46,94300,6.46
2012-03-26,6.80,7.44,6.34,6.53,183400,6.53
2012-03-19,6.51,6.77,6.41,6.74,62000,6.74
2012-03-12,6.29,6.62,6.23,6.52,69200,6.52
2012-03-05,6.08,6.46,6.00,6.31,72800,6.31
2012-02-27,6.65,7.12,5.98,6.10,75000,6.10
2012-02-21,6.90,6.99,6.66,6.69,53500,6.69
2012-02-13,6.64,7.05,6.62,6.87,99100,6.87
2012-02-06,6.48,6.79,6.04,6.55,99200,6.55
2012-01-30,6.22,6.56,6.00,6.52,62400,6.52
2012-01-23,5.69,6.30,5.67,6.26,44400,6.26
2012-01-17,5.76,5.76,5.55,5.69,49200,5.69
2012-01-09,5.61,5.81,5.55,5.71,48100,5.71
2012-01-03,5.62,5.90,5.47,5.57,65000,5.57
2011-12-27,5.52,5.63,5.38,5.52,61000,5.52
2011-12-19,5.37,5.65,5.15,5.51,52700,5.51
2011-12-12,5.54,5.54,5.19,5.35,80800,5.35
2011-12-05,5.80,5.94,5.34,5.64,81100,5.64
2011-11-28,5.34,5.95,5.16,5.71,79800,5.71
2011-11-21,5.55,5.72,5.16,5.16,74600,5.16
2011-11-14,5.75,5.84,5.49,5.65,62600,5.65
2011-11-07,5.76,5.79,5.42,5.76,78200,5.76
2011-10-31,6.19,6.28,5.63,5.76,93400,5.76
2011-10-24,5.74,6.58,5.58,6.26,153000,6.26
2011-10-17,5.93,6.07,5.49,5.74,123800,5.74
2011-10-10,5.39,5.99,5.32,5.99,137200,5.99
2011-10-03,5.31,5.72,4.85,5.29,261400,5.29
2011-09-26,5.43,5.75,5.31,5.32,123700,5.32
2011-09-19,5.74,5.97,5.32,5.41,230200,5.41
2011-09-12,5.76,6.14,5.63,5.85,106400,5.85
2011-09-06,5.60,6.10,5.60,5.87,103200,5.87
2011-08-29,6.09,6.13,5.71,5.76,142100,5.76
2011-08-22,5.90,6.20,5.72,6.00,98700,6.00
2011-08-15,5.98,6.06,5.72,5.76,147600,5.76
2011-08-08,5.81,6.09,5.46,5.94,272000,5.94
2011-08-01,6.26,6.26,5.78,5.92,175100,5.92
2011-07-25,6.73,6.84,6.06,6.18,114200,6.18
2011-07-18,6.74,6.94,6.37,6.82,43600,6.82
2011-07-11,6.55,6.82,6.43,6.75,57700,6.75
2011-07-05,6.49,6.67,6.34,6.66,44500,6.66
2011-06-27,6.17,6.63,6.06,6.52,79600,6.52
2011-06-20,5.89,6.31,5.82,6.14,125000,6.14
2011-06-13,5.97,6.03,5.81,5.92,96500,5.92
2011-06-06,5.98,6.12,5.83,6.00,51400,6.00
2011-05-31,5.93,6.07,5.63,5.99,338500,5.99
2011-05-23,5.72,5.98,5.51,5.83,82200,5.83
2011-05-16,5.89,6.06,5.52,5.83,121900,5.83
2011-05-09,5.97,6.24,5.86,5.94,53000,5.94
2011-05-02,6.49,6.49,5.85,5.96,51300,5.96
2011-04-25,6.02,6.55,6.01,6.48,49700,6.48
2011-04-18,5.94,6.22,5.90,6.05,35200,6.05
2011-04-11,6.01,6.11,5.62,6.05,73400,6.05
2011-04-04,6.53,6.61,5.86,6.03,50800,6.03
2011-03-28,6.25,6.59,6.11,6.51,73200,6.51
2011-03-21,6.25,6.51,6.04,6.23,62100,6.23
2011-03-14,5.84,6.22,5.78,6.17,65800,6.17
2011-03-07,6.32,6.32,5.90,5.92,39800,5.92
2011-02-28,6.32,6.32,5.94,6.26,61300,6.26
2011-02-22,6.27,6.34,6.05,6.27,54000,6.27
2011-02-14,6.39,6.48,6.06,6.35,74500,6.35
2011-02-07,6.19,6.53,6.17,6.42,57900,6.42
2011-01-31,6.33,6.41,6.10,6.20,81200,6.20
2011-01-24,6.47,6.92,6.31,6.32,73600,6.32
2011-01-18,6.69,7.05,6.49,6.49,91600,6.49
2011-01-10,6.30,6.83,6.22,6.73,78000,6.73
2011-01-03,6.01,7.08,5.91,6.36,125600,6.36
2010-12-27,5.78,5.98,5.66,5.98,103900,5.98
2010-12-20,5.95,6.00,5.65,5.81,166300,5.81
2010-12-13,6.34,6.44,5.70,5.95,471400,5.95
2010-12-06,6.22,6.44,6.14,6.39,136000,6.39
2010-11-29,6.05,6.48,6.02,6.25,99000,6.25
2010-11-22,6.17,6.26,6.07,6.16,38100,6.16
2010-11-15,6.25,6.34,6.11,6.22,51400,6.22
2010-11-08,6.40,6.50,6.27,6.28,75100,6.28
2010-11-01,6.35,6.45,6.29,6.41,76200,6.41
2010-10-25,6.22,6.36,6.10,6.29,51500,6.29
2010-10-18,6.31,6.47,6.01,6.16,53400,6.16
2010-10-11,6.30,6.49,6.08,6.28,66600,6.28
2010-10-04,6.30,6.44,5.99,6.38,69300,6.38
2010-09-27,5.76,6.42,5.50,6.34,109300,6.34
2010-09-20,5.56,5.85,5.50,5.74,95900,5.74
2010-09-13,5.57,5.77,5.50,5.55,68000,5.55
2010-09-07,5.49,5.62,5.32,5.54,50800,5.54
2010-08-30,5.77,5.77,5.30,5.53,105700,5.53
2010-08-23,5.40,5.88,5.36,5.78,99800,5.78
2010-08-16,5.50,5.78,5.33,5.37,99200,5.37
2010-08-09,6.25,6.27,5.50,5.50,63900,5.50
2010-08-02,6.53,6.75,6.18,6.22,64100,6.22
2010-07-26,6.84,6.84,6.36,6.45,59800,6.45
2010-07-19,6.58,6.78,6.33,6.77,85600,6.77
2010-07-12,6.31,6.89,6.01,6.54,95100,6.54
2010-07-06,5.92,6.37,5.51,6.32,89000,6.32
2010-06-28,6.35,6.44,5.72,5.85,84400,5.85
2010-06-21,6.22,6.37,6.00,6.36,281400,6.36
2010-06-14,6.17,6.38,5.98,6.16,81100,6.16
2010-06-07,6.00,6.18,5.62,6.12,91400,6.12
2010-06-01,6.15,6.38,5.95,5.95,88900,5.95
2010-05-24,5.89,6.30,5.61,6.19,82900,6.19
2010-05-17,5.92,6.24,5.75,5.91,91200,5.91
2010-05-10,5.90,6.10,5.66,5.86,96500,5.86
2010-05-03,6.12,6.24,5.50,5.70,170800,5.70
2010-04-26,6.37,6.51,6.11,6.13,94300,6.13
2010-04-19,6.84,6.89,6.25,6.40,88300,6.40
2010-04-12,6.82,7.03,6.67,6.89,72900,6.89
2010-04-05,6.43,6.93,6.34,6.78,84300,6.78
2010-03-29,7.19,7.29,6.38,6.43,144300,6.43
2010-03-22,6.72,7.45,6.68,7.15,98400,7.15
2010-03-15,6.92,7.03,6.44,6.80,65000,6.80
2010-03-08,6.95,7.05,6.63,6.95,63300,6.95
2010-03-01,6.07,7.00,6.07,6.97,110900,6.97
2010-02-22,6.07,6.20,5.92,6.06,111600,6.06
2010-02-16,6.14,6.41,5.85,6.07,233100,6.07
2010-02-08,6.27,6.36,6.00,6.08,72000,6.08
2010-02-01,6.36,6.48,6.01,6.31,84200,6.31
2010-01-25,6.47,6.48,6.10,6.35,83400,6.35
2010-01-19,6.49,6.58,6.30,6.44,86100,6.44
2010-01-11,6.37,6.63,6.22,6.47,64500,6.47
2010-01-04,6.33,6.50,6.10,6.38,95500,6.38
2009-12-28,6.00,6.57,5.95,6.24,119500,6.24
2009-12-21,6.01,6.11,5.81,6.01,98200,6.01
2009-12-14,6.18,6.19,5.86,6.00,113400,6.00
2009-12-07,6.20,6.49,6.10,6.16,98600,6.16
2009-11-30,6.19,6.50,6.05,6.22,93600,6.22
2009-11-23,6.34,6.52,6.14,6.18,41400,6.18
2009-11-16,6.17,6.50,6.09,6.30,103400,6.30
2009-11-09,6.37,6.56,6.00,6.14,60600,6.14
2009-11-02,6.56,6.60,6.11,6.34,57200,6.34
2009-10-26,6.81,6.89,6.50,6.54,89700,6.54
2009-10-19,7.01,7.02,6.42,6.81,79400,6.81
2009-10-12,6.42,7.03,6.42,6.99,78900,6.99
2009-10-05,6.65,6.97,6.38,6.45,98500,6.45
2009-09-28,6.73,6.87,6.32,6.64,143300,6.64
2009-09-21,6.65,6.88,6.54,6.73,55200,6.73
2009-09-14,6.36,6.73,6.22,6.73,65300,6.73
2009-09-08,6.24,6.68,6.00,6.42,81400,6.42
2009-08-31,6.05,6.33,6.01,6.24,81900,6.24
2009-08-24,6.25,6.40,6.00,6.09,102800,6.09
2009-08-17,5.87,6.24,5.63,6.24,131700,6.24
2009-08-10,6.16,6.24,5.85,5.98,86100,5.98
2009-08-03,6.39,6.45,6.00,6.21,128300,6.21
2009-07-27,6.72,6.92,6.17,6.32,105000,6.32
2009-07-20,6.86,7.11,6.61,6.75,101600,6.75
2009-07-13,6.64,7.07,6.39,6.85,88800,6.85
2009-07-06,7.02,7.10,6.62,6.64,73100,6.64
2009-06-29,6.64,7.12,6.46,7.02,105000,7.02
2009-06-22,6.63,6.74,6.26,6.67,254700,6.67
2009-06-15,7.00,7.00,6.45,6.67,81300,6.67
2009-06-08,6.59,7.17,6.34,7.07,76600,7.07
2009-06-01,6.88,6.99,6.48,6.71,106100,6.71
2009-05-26,6.13,6.89,6.13,6.78,191400,6.78
2009-05-18,6.26,6.42,6.04,6.20,94800,6.20
2009-05-11,6.47,6.61,6.09,6.22,75200,6.22
2009-05-04,6.95,7.00,6.00,6.58,119100,6.58
2009-04-27,6.62,7.05,6.30,6.96,142100,6.96
2009-04-20,6.52,6.85,6.06,6.78,114300,6.78
2009-04-13,6.20,6.60,5.55,6.56,191200,6.56
2009-04-06,5.81,6.50,5.65,6.29,158800,6.29
2009-03-30,5.74,6.12,5.20,5.90,154600,5.90
2009-03-23,5.65,6.33,5.40,5.80,110600,5.80
2009-03-16,5.45,6.18,5.24,6.00,121300,6.00
2009-03-09,4.35,5.56,4.35,5.44,109600,5.44
2009-03-02,4.60,4.72,3.87,4.45,135700,4.45
2009-02-23,5.45,5.45,4.75,4.76,110700,4.76
2009-02-17,5.80,5.90,5.22,5.42,214800,5.42
2009-02-09,5.71,6.48,5.53,5.96,123300,5.96
2009-02-02,5.45,6.06,5.40,5.75,113300,5.75
2009-01-26,5.32,5.98,5.29,5.50,200400,5.50
2009-01-20,5.38,5.91,5.20,5.45,168300,5.45
2009-01-12,5.67,5.79,5.34,5.51,183500,5.51
2009-01-05,6.96,7.86,5.25,5.66,354500,5.66
