Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.59,1.60,1.42,1.43,149500,1.43
2012-05-14,1.79,1.83,1.59,1.59,139300,1.59
2012-05-07,2.24,2.29,1.70,1.78,167400,1.78
2012-04-30,2.38,2.51,2.15,2.23,194500,2.23
2012-04-23,3.80,4.44,2.35,2.47,905500,2.47
2012-04-16,3.59,3.88,3.55,3.83,67700,3.83
2012-04-09,3.65,3.67,3.36,3.62,87700,3.62
2012-04-02,3.50,3.91,3.50,3.67,141000,3.67
2012-03-26,3.69,3.69,3.48,3.50,44800,3.50
2012-03-19,3.52,3.74,3.34,3.62,58100,3.62
2012-03-12,3.40,3.80,3.33,3.49,124900,3.49
2012-03-05,3.39,3.45,3.12,3.40,96500,3.40
2012-02-27,3.53,3.54,3.34,3.40,126300,3.40
2012-02-21,3.46,3.90,3.42,3.54,297000,3.54
2012-02-13,3.37,3.50,3.21,3.44,85400,3.44
2012-02-06,3.42,3.79,3.22,3.38,157700,3.38
2012-01-30,3.64,3.99,3.30,3.44,470300,3.44
2012-01-23,3.45,4.09,3.33,3.64,214900,3.64
2012-01-17,2.80,3.44,2.72,3.44,142900,3.44
2012-01-09,2.67,2.80,2.55,2.79,59700,2.79
2012-01-03,2.43,2.67,2.41,2.67,81000,2.67
2011-12-27,2.57,2.65,2.33,2.39,94300,2.39
2011-12-19,2.38,2.70,2.31,2.62,75000,2.62
2011-12-12,2.53,2.59,2.30,2.39,342400,2.39
2011-12-05,2.30,2.70,2.24,2.55,143300,2.55
2011-11-28,2.06,2.27,2.05,2.27,51700,2.27
2011-11-21,2.18,2.19,2.03,2.05,56600,2.05
2011-11-14,2.36,2.39,2.07,2.23,105000,2.23
2011-11-07,2.17,2.64,2.17,2.37,183700,2.37
2011-10-31,2.01,2.26,1.89,2.22,93900,2.22
2011-10-24,1.94,2.27,1.91,2.02,163000,2.02
2011-10-17,2.00,2.05,1.77,1.96,75700,1.96
2011-10-10,1.63,2.14,1.63,1.99,170700,1.99
2011-10-03,1.65,1.77,1.31,1.60,172900,1.60
2011-09-26,1.70,2.06,1.55,1.69,150200,1.69
2011-09-19,1.83,1.83,1.53,1.66,90300,1.66
2011-09-12,1.74,1.90,1.68,1.90,74200,1.90
2011-09-06,1.91,1.91,1.74,1.74,56600,1.74
2011-08-29,1.82,1.98,1.66,1.95,132200,1.95
2011-08-22,1.84,2.00,1.70,1.80,82900,1.80
2011-08-15,2.08,2.08,1.75,1.79,85600,1.79
2011-08-08,2.27,2.33,1.82,1.99,378300,1.99
