Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,17.81,18.20,17.48,17.86,267000,17.86
2012-05-14,17.80,18.18,17.63,17.73,354700,17.73
2012-05-07,16.34,18.96,15.96,18.05,892100,18.05
2012-04-30,17.43,17.49,16.15,16.30,374100,16.30
2012-04-23,16.54,17.48,16.50,17.47,223500,17.47
2012-04-16,16.68,16.97,16.50,16.73,141700,16.73
2012-04-09,16.87,16.94,16.11,16.60,289900,16.60
2012-04-02,17.77,18.46,16.96,17.13,190500,17.13
2012-03-26,17.99,18.32,17.67,17.76,291200,17.76
2012-03-19,17.50,18.00,17.33,17.81,164600,17.81
2012-03-12,17.19,17.89,16.86,17.51,239900,17.51
2012-03-05,16.91,17.52,16.52,17.23,246900,17.23
2012-02-27,18.30,18.60,16.77,16.91,524500,16.91
2012-02-21,18.04,18.55,17.16,18.51,438600,18.51
2012-02-13,17.88,18.17,17.23,18.02,320900,18.02
2012-02-06,17.06,17.83,16.90,17.71,319800,17.71
2012-01-30,16.87,17.66,16.67,17.10,488500,17.10
2012-01-23,17.06,17.52,16.82,17.03,349200,17.03
2012-01-17,18.24,18.49,16.87,17.08,579400,17.08
2012-01-09,16.08,18.14,15.94,18.07,509700,18.07
2012-01-03,16.30,16.30,15.80,16.06,362100,16.06
2011-12-27,15.79,16.21,15.66,15.96,212700,15.96
2011-12-19,15.07,16.19,14.95,15.86,341200,15.86
2011-12-12,14.42,15.03,14.12,15.03,340700,15.03
2011-12-05,15.25,15.30,14.54,14.56,264900,14.56
2011-11-28,14.84,15.52,14.50,15.01,309400,15.01
2011-11-21,15.10,15.30,14.40,14.41,149900,14.41
2011-11-14,16.74,16.74,15.19,15.39,174700,15.39
2011-11-07,15.68,17.28,15.40,16.83,302100,16.83
2011-10-31,16.61,17.07,15.33,15.72,240100,15.72
2011-10-24,16.25,17.35,15.56,16.91,249000,16.91
2011-10-17,16.39,16.53,15.37,16.22,273100,16.22
2011-10-10,16.33,17.35,15.89,16.59,354800,16.59
2011-10-03,15.95,16.59,14.83,16.04,336700,16.04
2011-09-26,15.37,16.86,15.02,16.15,329500,16.15
2011-09-19,16.42,16.69,15.00,15.31,290100,15.31
2011-09-12,14.81,16.71,14.67,16.66,333400,16.66
2011-09-06,14.54,15.51,14.25,14.86,371000,14.86
2011-08-29,15.28,16.00,14.49,14.63,331400,14.63
2011-08-22,15.37,15.79,14.65,15.14,301500,15.14
2011-08-15,15.82,16.01,14.66,15.04,354500,15.04
2011-08-08,15.78,16.49,14.89,15.74,535000,15.74
2011-08-01,15.54,17.99,14.18,16.16,605700,16.16
2011-07-25,15.36,15.78,14.83,15.39,315500,15.39
2011-07-18,14.94,15.67,14.78,15.57,241400,15.57
2011-07-11,14.35,15.31,13.73,14.98,416700,14.98
2011-07-05,14.60,15.06,13.98,14.46,225800,14.46
2011-06-27,13.50,14.70,13.29,14.61,271200,14.61
2011-06-20,12.75,13.81,12.75,13.54,554500,13.54
2011-06-13,13.02,14.13,12.73,12.85,376700,12.85
2011-06-06,13.85,13.96,12.91,13.03,336300,13.03
2011-05-31,13.19,15.15,12.69,13.80,1094900,13.80
2011-05-23,12.39,13.23,12.26,13.04,443100,13.04
2011-05-16,13.87,14.00,12.56,12.58,447100,12.58
2011-05-09,13.55,14.72,13.55,13.96,443100,13.96
2011-05-02,14.48,14.70,13.45,13.60,190200,13.60
2011-04-25,13.70,14.73,13.52,14.46,138500,14.46
2011-04-18,13.35,13.86,12.89,13.71,197100,13.71
2011-04-11,14.49,14.61,13.19,13.54,238700,13.54
2011-04-04,14.35,15.46,14.00,14.52,191400,14.52
2011-03-28,14.68,14.87,13.93,14.30,346700,14.30
2011-03-21,14.75,15.05,14.31,14.62,267200,14.62
2011-03-14,15.26,15.48,13.77,14.61,462800,14.61
2011-03-07,16.56,16.73,15.25,15.34,438500,15.34
2011-02-28,15.75,16.70,15.55,16.49,378800,16.49
2011-02-22,17.31,17.62,14.48,15.71,1502700,15.71
2011-02-14,18.94,19.30,17.06,17.43,455500,17.43
2011-02-07,18.37,19.07,17.98,19.01,176400,19.01
2011-01-31,18.20,19.03,17.95,18.40,205800,18.40
2011-01-24,18.43,19.13,17.91,18.15,196600,18.15
2011-01-18,18.74,19.52,18.05,18.47,284900,18.47
2011-01-10,19.38,19.38,17.64,18.74,727700,18.74
2011-01-03,19.78,20.66,19.71,20.03,267500,20.03
2010-12-27,18.88,19.95,18.64,19.59,207000,19.59
2010-12-20,18.70,18.98,18.53,18.86,426100,18.86
2010-12-13,18.87,19.09,18.47,18.65,557900,18.65
2010-12-06,19.15,19.32,18.39,18.70,404100,18.70
2010-11-29,19.46,19.58,18.55,19.20,241800,19.20
2010-11-22,18.50,19.64,18.33,19.61,154800,19.61
2010-11-15,18.23,19.11,18.06,18.60,293500,18.60
2010-11-08,18.18,18.85,16.90,18.22,819400,18.22
2010-11-01,18.90,19.68,18.07,18.20,558700,18.20
2010-10-25,21.14,21.59,18.30,18.81,820400,18.81
2010-10-18,19.91,21.10,19.78,20.98,302600,20.98
2010-10-11,22.33,23.26,18.00,19.90,745900,19.90
2010-10-04,22.02,22.46,21.49,22.41,335500,22.41
2010-09-27,21.81,22.23,20.57,22.03,225800,22.03
2010-09-20,20.55,21.95,20.16,21.73,451400,21.73
2010-09-13,17.25,20.55,17.19,20.46,480300,20.46
2010-09-07,17.40,17.66,16.48,17.09,255500,17.09
2010-08-30,17.27,17.95,16.92,17.50,342700,17.50
2010-08-23,17.15,17.74,16.76,17.71,423100,17.71
2010-08-16,16.18,17.72,15.33,17.30,1505700,17.30
2010-08-09,20.93,21.06,16.14,16.29,1093500,16.29
2010-08-02,24.56,24.69,20.75,20.81,568900,20.81
2010-07-26,23.13,24.70,22.43,24.27,370200,24.27
2010-07-19,20.61,23.75,20.36,23.12,362900,23.12
2010-07-12,20.88,21.00,20.15,20.61,406100,20.61
2010-07-06,22.82,23.23,20.51,21.02,825300,21.02
2010-06-28,23.32,24.78,22.47,22.54,389600,22.54
2010-06-21,24.90,25.13,22.85,23.50,795400,23.50
2010-06-14,23.83,24.80,23.24,24.62,263100,24.62
2010-06-07,24.17,24.36,23.01,23.63,313000,23.63
2010-06-01,24.40,25.58,23.99,24.12,389500,24.12
2010-05-24,26.11,26.81,24.51,24.56,716800,24.56
2010-05-17,24.39,26.27,24.24,25.99,587600,25.99
2010-05-10,25.00,25.68,24.09,24.26,228900,24.26
2010-05-03,24.42,26.52,24.20,24.42,460000,24.42
2010-04-26,26.12,26.33,23.66,24.18,563600,24.18
2010-04-19,26.99,27.73,25.45,26.12,287400,26.12
2010-04-12,25.90,28.46,25.86,26.96,551500,26.96
2010-04-05,26.13,26.87,25.22,25.68,208700,25.68
2010-03-29,26.63,26.71,25.85,26.08,232300,26.08
2010-03-22,25.32,27.23,25.32,26.41,465200,26.41
2010-03-15,24.26,25.70,23.99,25.47,384100,25.47
2010-03-08,23.50,24.73,23.02,24.25,269300,24.25
2010-03-01,21.81,23.61,21.65,23.34,347500,23.34
2010-02-22,20.74,21.82,20.01,21.75,257700,21.75
2010-02-16,20.35,21.74,19.25,20.80,559400,20.80
2010-02-08,20.27,20.50,19.60,20.25,144000,20.25
2010-02-01,19.95,21.63,19.72,20.34,436500,20.34
2010-01-25,19.21,20.36,18.99,19.97,374300,19.97
2010-01-19,19.40,19.58,19.00,19.20,143800,19.20
2010-01-11,19.37,19.56,18.73,19.37,182800,19.37
2010-01-04,19.19,19.61,18.15,19.43,256900,19.43
2009-12-28,19.02,19.22,18.24,19.01,105000,19.01
2009-12-21,18.98,19.12,18.03,19.04,133500,19.04
2009-12-14,18.88,19.88,17.78,18.98,532000,18.98
2009-12-07,18.40,19.71,17.93,18.90,262900,18.90
2009-11-30,19.01,19.43,18.41,18.67,287800,18.67
2009-11-23,19.69,19.71,18.89,18.97,130200,18.97
2009-11-16,18.87,19.74,18.87,19.54,338300,19.54
2009-11-09,18.25,19.00,17.21,18.75,323600,18.75
2009-11-02,16.34,18.79,15.96,18.13,385200,18.13
2009-10-26,18.50,19.01,15.98,16.22,383400,16.22
2009-10-19,19.14,19.78,18.49,18.58,247900,18.58
2009-10-12,18.33,19.26,18.09,19.03,150000,19.03
2009-10-05,17.24,18.54,17.05,18.46,166600,18.46
2009-09-28,17.09,18.35,16.95,17.16,168500,17.16
2009-09-21,18.30,19.46,16.77,17.05,364500,17.05
2009-09-14,16.60,18.58,15.87,18.43,1335900,18.43
2009-09-08,16.88,17.09,16.14,16.52,198100,16.52
2009-08-31,17.72,17.96,15.91,16.95,378400,16.95
2009-08-24,18.30,19.52,17.04,17.72,331300,17.72
2009-08-17,18.00,18.50,17.63,18.33,168800,18.33
2009-08-10,18.49,19.00,18.09,18.22,282300,18.22
2009-08-03,17.81,19.12,17.70,18.52,497000,18.52
2009-07-27,17.77,18.00,16.98,17.51,235200,17.51
2009-07-20,16.68,18.17,16.40,17.64,406100,17.64
2009-07-13,16.09,16.82,15.90,16.68,128400,16.68
2009-07-06,16.70,17.01,15.69,16.09,174300,16.09
2009-06-29,16.37,17.00,15.88,16.75,317000,16.75
2009-06-22,16.00,16.58,15.30,16.51,440800,16.51
2009-06-15,14.67,16.00,14.16,16.00,542900,16.00
2009-06-08,13.51,14.84,13.41,14.72,305200,14.72
2009-06-01,13.80,14.10,12.74,13.45,313900,13.45
2009-05-26,14.04,14.61,13.49,13.56,358400,13.56
2009-05-18,14.52,14.75,13.48,14.26,165600,14.26
2009-05-11,14.67,15.60,14.17,14.35,202400,14.35
2009-05-04,16.50,16.70,14.50,14.84,149800,14.84
2009-04-27,15.47,17.35,15.00,16.36,385300,16.36
2009-04-20,15.75,16.11,14.50,15.54,185700,15.54
2009-04-13,14.91,16.06,14.50,15.95,132600,15.95
2009-04-06,16.27,17.15,14.19,14.84,252700,14.84
2009-03-30,16.85,17.70,16.19,16.38,194700,16.38
2009-03-23,15.50,17.69,15.50,17.18,215900,17.18
2009-03-16,16.14,16.65,14.52,15.29,342100,15.29
2009-03-09,13.03,16.70,12.85,15.95,458500,15.95
2009-03-02,16.77,17.02,12.53,12.99,450400,12.99
2009-02-23,18.63,19.61,15.63,17.02,401400,17.02
2009-02-17,18.25,19.00,16.19,18.81,399600,18.81
2009-02-09,19.52,20.25,17.24,18.14,168700,18.14
2009-02-02,17.18,20.00,17.18,19.06,73100,19.06
2009-01-26,19.90,20.19,16.65,17.33,192300,17.33
2009-01-20,20.59,20.79,18.23,19.90,132000,19.90
2009-01-12,18.00,20.80,17.44,20.19,204800,20.19
2009-01-05,18.98,19.50,16.59,17.92,234800,17.92
2008-12-29,17.10,19.24,17.10,18.98,131000,18.98
2008-12-22,16.79,17.73,16.15,17.17,161000,17.17
2008-12-15,14.63,17.72,13.53,16.74,372000,16.74
2008-12-08,16.41,16.66,13.52,14.58,127600,14.58
2008-12-01,14.36,17.26,14.24,15.95,205700,15.95
2008-11-24,12.62,16.07,12.15,14.84,360700,14.84
2008-11-20,10.00,13.00,9.49,12.35,2745400,12.35
