Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,31.80,32.04,31.27,31.79,269000,31.79
2012-05-14,32.88,33.04,31.85,31.98,124100,31.84
2012-05-07,32.56,33.15,32.20,33.14,147800,32.99
2012-04-30,33.41,33.62,32.68,32.68,185700,32.53
2012-04-23,32.08,33.63,31.88,33.41,127300,33.26
2012-04-16,31.33,32.66,31.18,32.48,176200,32.33
2012-04-09,31.35,31.74,30.95,31.13,153100,30.85
2012-04-02,32.00,32.49,31.45,31.82,141500,31.53
2012-03-26,31.06,32.20,30.92,32.00,154700,31.71
2012-03-19,30.79,31.08,30.11,30.86,133600,30.58
2012-03-12,30.48,31.16,30.34,30.76,124700,30.34
2012-03-05,30.43,30.79,30.17,30.51,150800,30.09
2012-02-27,30.70,32.15,30.24,30.40,184100,29.99
2012-02-21,31.55,31.75,30.66,30.81,141700,30.39
2012-02-13,32.23,32.33,31.53,31.62,136200,31.19
2012-02-06,32.65,32.86,31.94,31.95,100700,31.37
2012-01-30,31.38,32.83,31.38,32.70,174800,32.11
2012-01-23,31.20,31.80,31.06,31.66,180300,31.09
2012-01-17,31.87,32.25,31.43,31.55,228800,30.98
2012-01-09,31.47,32.15,31.21,31.65,162600,30.94
2012-01-03,31.57,31.59,30.62,31.27,139600,30.56
2011-12-27,30.40,31.38,30.28,30.86,130100,30.16
2011-12-19,29.64,30.74,29.17,30.43,173800,29.74
2011-12-12,29.16,29.95,28.70,29.61,187500,28.80
2011-12-05,29.06,29.65,28.68,29.52,158000,28.72
2011-11-28,27.70,29.30,27.26,28.68,198300,27.90
2011-11-21,28.06,28.19,26.85,26.88,150600,26.15
2011-11-14,28.84,29.11,28.00,28.56,182700,27.78
2011-11-07,28.49,29.51,28.00,29.09,148400,28.16
2011-10-31,28.23,29.07,27.08,28.58,176000,27.66
2011-10-24,26.94,28.83,26.56,28.55,183500,27.63
2011-10-17,26.20,26.91,25.32,26.90,265700,26.04
2011-10-10,25.71,26.50,25.40,26.39,188200,25.41
2011-10-03,25.20,26.22,23.75,25.24,189200,24.30
2011-09-26,26.01,26.83,25.11,25.32,198500,24.38
2011-09-19,27.41,27.91,25.43,25.85,209000,24.89
2011-09-12,26.12,27.91,26.05,27.80,368200,26.63
2011-09-06,25.22,27.17,25.21,26.43,240500,25.32
2011-08-29,25.42,27.27,25.33,25.90,312900,24.81
2011-08-22,24.15,25.32,23.54,25.15,172700,24.09
2011-08-15,23.88,25.10,23.11,23.65,254000,22.65
2011-08-08,23.39,23.93,20.40,23.70,344400,22.57
2011-08-01,26.56,26.90,23.07,23.79,290800,22.65
2011-07-25,27.77,28.00,26.58,27.15,118900,25.85
2011-07-18,27.73,28.27,27.33,28.06,113600,26.72
2011-07-11,28.24,28.49,27.58,27.75,195000,26.29
2011-07-05,28.26,28.87,28.21,28.51,192800,27.01
2011-06-27,27.07,28.28,26.95,28.13,148400,26.65
2011-06-20,26.73,27.54,26.61,27.00,190700,25.58
2011-06-13,27.15,27.54,26.50,26.89,250600,25.34
2011-06-06,28.54,28.88,27.25,27.34,124200,25.77
2011-05-31,29.34,29.64,28.28,28.56,156700,26.92
2011-05-23,28.41,29.18,28.22,29.10,143600,27.43
2011-05-16,28.53,29.37,28.21,28.56,143600,26.92
2011-05-09,28.22,29.22,28.20,28.60,123200,26.82
2011-05-02,29.50,29.68,28.19,28.32,157600,26.56
2011-04-25,29.25,30.16,29.00,29.42,209200,27.59
2011-04-18,29.06,29.49,28.36,29.25,130600,27.43
2011-04-11,29.02,29.50,28.53,29.36,176800,27.40
2011-04-04,28.73,29.48,28.62,28.97,261600,27.04
2011-03-28,27.70,28.64,27.60,28.60,239700,26.70
2011-03-21,28.69,28.76,27.07,27.47,670300,25.64
2011-03-14,28.44,28.50,27.21,28.44,124900,26.42
2011-03-07,28.89,29.43,28.13,28.60,88100,26.56
2011-02-28,28.99,29.48,28.18,28.82,89100,26.77
2011-02-22,28.33,28.75,27.60,28.74,83300,26.69
2011-02-14,28.28,28.61,27.96,28.50,104000,26.47
2011-02-07,27.12,28.32,27.12,28.32,83800,26.17
2011-01-31,27.34,27.78,27.00,27.14,62000,25.08
2011-01-24,27.53,27.97,27.11,27.18,496900,25.12
2011-01-18,27.88,28.13,27.24,27.44,94500,25.36
2011-01-10,27.81,28.11,27.50,27.81,95700,25.57
2011-01-03,28.26,28.69,27.80,27.93,112200,25.68
2010-12-27,27.83,28.57,27.75,28.08,92700,25.82
2010-12-20,27.63,28.40,27.63,27.87,100900,25.63
2010-12-13,26.61,27.54,26.53,27.51,186900,25.17
2010-12-06,26.58,27.00,26.35,26.49,156800,24.24
2010-11-29,27.24,27.59,26.50,26.62,156700,24.36
2010-11-22,27.10,27.54,26.61,27.34,100500,25.02
2010-11-15,28.01,28.34,26.76,27.17,122800,24.86
2010-11-08,28.42,28.66,27.48,27.87,115900,25.37
2010-11-01,28.02,28.69,27.84,28.45,122600,25.90
2010-10-25,27.81,28.73,27.56,27.85,192100,25.35
2010-10-18,26.75,28.00,26.13,27.75,195100,25.26
2010-10-11,26.28,27.07,25.94,26.69,163200,24.18
2010-10-04,25.63,26.54,25.37,26.33,146300,23.85
2010-09-27,25.95,26.00,25.08,25.54,182100,23.14
2010-09-20,25.22,26.07,24.90,25.88,124100,23.44
2010-09-13,25.31,25.71,25.00,25.37,186000,22.86
2010-09-07,25.15,25.33,24.56,25.05,95200,22.57
2010-08-30,24.92,25.44,24.49,25.34,163000,22.84
2010-08-23,24.50,25.02,24.10,24.96,122400,22.49
2010-08-16,24.17,25.01,23.99,24.37,133900,21.96
2010-08-09,25.09,25.49,24.00,24.24,216700,21.73
2010-08-02,24.95,25.85,24.36,24.97,110100,22.39
2010-07-26,25.17,25.75,24.30,24.65,116100,22.10
2010-07-19,24.89,25.06,24.06,25.03,156500,22.44
2010-07-12,24.13,24.66,23.76,23.89,168500,21.30
2010-07-06,24.63,24.72,22.85,24.15,461300,21.54
2010-06-28,26.17,26.17,23.77,24.23,167800,21.61
2010-06-21,26.60,26.85,25.34,26.11,247100,23.28
2010-06-14,25.25,26.53,24.76,26.34,186000,23.49
2010-06-07,23.77,24.96,23.12,24.96,132700,22.15
2010-06-01,25.63,25.78,23.57,23.66,194600,20.99
2010-05-24,24.93,26.00,24.01,25.69,155500,22.80
2010-05-17,26.44,26.62,24.12,25.03,198500,22.21
2010-05-10,26.70,27.72,26.11,26.33,163300,23.25
2010-05-03,28.12,28.50,25.00,25.40,260500,22.43
2010-04-26,28.39,28.72,27.66,27.90,183700,24.63
2010-04-19,27.76,28.76,27.10,28.45,152700,25.12
2010-04-12,28.18,28.38,27.55,27.89,171800,24.51
2010-04-05,27.08,28.37,27.08,28.12,108800,24.71
2010-03-29,27.24,27.71,26.81,27.03,73100,23.75
2010-03-22,26.67,27.52,26.60,27.09,156300,23.81
2010-03-15,27.22,27.45,26.50,26.80,197700,23.55
2010-03-08,27.04,27.39,26.50,27.20,110600,23.79
2010-03-01,26.20,27.16,26.03,26.97,79900,23.59
2010-02-22,26.61,26.69,25.92,26.08,83100,22.81
2010-02-16,25.93,26.83,25.15,26.45,108200,23.13
2010-02-08,25.50,26.03,24.50,25.79,92600,22.44
2010-02-01,25.53,26.32,24.78,25.52,79700,22.21
2010-01-25,26.45,26.45,24.75,25.38,168800,22.09
2010-01-19,27.62,28.12,25.98,26.15,114000,22.76
2010-01-11,27.46,27.69,26.66,27.65,97900,23.95
2010-01-04,26.99,28.00,26.90,27.67,124000,23.97
2009-12-28,27.12,27.70,26.15,26.75,159000,23.17
2009-12-21,27.90,28.24,26.82,26.92,82800,23.32
2009-12-14,27.66,28.41,26.92,27.83,208000,23.99
2009-12-07,27.36,28.01,26.81,27.40,139200,23.62
2009-11-30,24.87,27.95,24.40,27.29,113700,23.53
2009-11-23,25.75,26.17,24.78,24.78,67800,21.36
2009-11-16,25.77,26.39,25.04,25.44,92800,21.93
2009-11-09,25.26,25.75,24.72,25.65,126900,22.00
2009-11-02,23.97,25.19,23.35,25.03,122000,21.47
2009-10-26,23.50,23.96,23.07,23.75,192800,20.37
2009-10-19,24.55,24.84,23.21,23.40,123600,20.07
2009-10-12,24.67,25.00,24.16,24.32,113500,20.75
2009-10-05,23.26,24.70,22.96,24.66,120600,21.04
2009-09-28,24.79,25.29,22.50,22.91,174100,19.54
2009-09-21,24.81,25.17,23.60,24.72,142000,21.09
2009-09-14,23.99,24.99,23.90,24.93,155800,21.27
2009-09-08,24.42,25.15,23.98,24.12,142800,20.47
2009-08-31,25.18,25.78,23.56,24.40,123000,20.71
2009-08-24,25.05,26.21,25.00,25.60,95200,21.72
2009-08-17,24.35,25.55,23.51,25.05,148900,21.26
2009-08-10,25.69,25.98,24.20,24.84,141700,20.97
2009-08-03,24.80,26.75,23.35,26.08,139500,22.01
2009-07-27,25.17,25.39,24.27,24.42,112800,20.61
2009-07-20,23.07,25.46,22.76,25.17,268200,21.24
2009-07-13,19.67,23.09,19.43,22.88,169000,19.20
2009-07-06,19.96,20.47,19.08,19.53,99500,16.39
2009-06-29,20.75,21.19,19.95,19.95,157200,16.75
2009-06-22,19.55,20.99,19.09,20.68,179000,17.36
2009-06-15,20.83,20.90,19.40,19.62,135900,16.47
2009-06-08,21.92,21.98,19.91,20.96,180100,17.48
2009-06-01,21.24,21.99,20.65,21.91,170300,18.27
2009-05-26,20.01,20.86,19.80,20.81,231200,17.35
2009-05-18,18.42,20.17,18.42,19.92,249800,16.61
2009-05-11,18.09,19.46,18.01,18.34,179900,15.19
2009-05-04,18.41,19.24,17.94,18.42,255900,15.26
2009-04-27,19.01,19.36,18.00,18.08,235400,14.97
2009-04-20,19.70,20.33,17.61,19.24,251000,15.93
2009-04-13,19.51,21.42,18.46,20.44,238800,16.82
2009-04-06,19.03,20.21,17.80,19.85,187700,16.33
2009-03-30,16.86,19.40,16.70,19.39,129500,15.96
2009-03-23,17.59,19.39,16.69,17.34,176200,14.27
2009-03-16,19.31,19.55,17.00,17.00,176900,13.99
2009-03-09,16.38,19.59,16.37,19.15,192000,15.65
2009-03-02,16.79,17.56,15.74,16.74,262900,13.68
2009-02-23,18.58,18.64,16.92,17.06,225300,13.94
2009-02-17,18.54,18.92,16.85,18.45,158300,15.08
2009-02-09,22.41,23.10,19.06,19.20,344400,15.58
2009-02-02,20.31,22.58,20.31,22.53,183400,18.29
2009-01-26,20.87,22.52,20.45,20.69,154300,16.79
2009-01-20,19.69,21.20,18.59,20.78,329400,16.87
2009-01-12,18.10,19.78,16.93,19.75,303400,15.93
2009-01-05,19.83,20.23,18.01,18.10,234400,14.60
2008-12-29,18.87,20.64,17.99,19.73,157300,15.91
2008-12-22,18.82,19.27,17.45,19.11,80800,15.41
2008-12-15,18.14,20.05,16.71,19.02,219800,15.34
2008-12-08,17.73,18.97,15.86,17.95,284000,14.37
2008-12-01,18.95,18.95,16.01,17.47,335400,13.99
2008-11-24,16.78,19.80,15.74,19.48,174600,15.60
2008-11-17,18.89,19.65,14.70,16.20,317100,12.97
2008-11-10,22.14,22.14,18.43,19.04,206500,15.14
2008-11-03,23.97,24.88,20.76,21.74,230300,17.28
2008-10-27,19.94,24.20,19.23,24.17,217900,19.22
2008-10-20,23.10,23.39,19.24,20.18,197700,16.04
2008-10-13,26.50,26.71,21.51,22.86,244700,18.07
2008-10-06,25.22,27.88,18.90,24.71,277400,19.53
2008-09-29,27.88,29.87,26.19,26.30,126100,20.79
