Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,22.31,23.50,21.89,22.76,2085100,22.76
2012-05-14,24.16,24.25,21.95,22.30,2583600,22.30
2012-05-07,25.01,25.54,24.03,24.28,2116400,24.28
2012-04-30,22.76,25.62,22.51,25.17,4133900,25.17
2012-04-23,22.77,23.33,22.12,22.82,1539800,22.82
2012-04-16,25.50,25.72,22.80,23.20,2695900,23.20
2012-04-09,26.06,26.14,23.85,25.26,2126100,25.26
2012-04-02,25.76,27.10,25.25,26.65,2781000,26.65
2012-03-26,26.89,27.24,25.57,25.73,1939300,25.73
2012-03-19,26.51,27.99,26.26,26.61,2435000,26.61
2012-03-12,24.10,27.10,23.65,26.50,2967100,26.50
2012-03-05,24.35,24.58,23.33,24.06,1772900,24.06
2012-02-27,23.35,25.16,23.29,24.42,3318800,24.42
2012-02-21,21.28,23.73,20.88,23.58,3528300,23.58
2012-02-13,21.25,21.50,20.84,21.25,1423400,21.25
2012-02-06,20.20,23.25,19.09,21.15,3925300,21.15
2012-01-30,19.15,20.24,18.35,20.24,1242500,20.24
2012-01-23,18.23,19.99,18.02,19.44,1606900,19.44
2012-01-17,18.42,19.05,17.68,18.28,1423900,18.28
2012-01-09,18.08,18.65,17.29,18.28,1559300,18.28
2012-01-03,17.41,18.98,16.52,17.96,2025700,17.96
2011-12-27,17.41,17.45,16.51,16.99,1045300,16.99
2011-12-19,17.60,17.77,16.94,17.47,1122700,17.47
2011-12-12,18.12,18.30,17.06,17.61,1333300,17.61
2011-12-05,20.87,21.30,18.03,18.39,1689900,18.39
2011-11-28,19.25,20.99,18.59,20.45,1815100,20.45
2011-11-21,18.30,19.88,18.05,18.78,2117100,18.78
2011-11-14,21.27,21.45,19.14,19.33,1748200,19.33
2011-11-07,22.19,22.48,20.96,21.37,1809800,21.37
2011-10-31,26.10,26.83,21.50,22.34,2850800,22.34
2011-10-24,23.98,27.96,23.57,26.56,2534500,26.56
2011-10-17,1.60,24.45,1.53,23.50,1835800,23.50
2011-10-10,1.71,1.84,1.64,1.65,1457700,24.75
2011-10-03,1.49,2.40,1.31,1.69,5861200,25.35
2011-09-26,1.51,1.62,1.43,1.49,1356400,22.35
2011-09-19,1.55,1.64,1.37,1.49,1245200,22.35
2011-09-12,1.50,1.67,1.47,1.58,1453500,23.70
2011-09-06,1.66,1.79,1.51,1.53,2509400,22.95
2011-08-29,1.79,1.91,1.68,1.72,1275900,25.80
2011-08-22,1.73,1.80,1.60,1.74,1232400,26.10
2011-08-15,1.95,2.02,1.65,1.66,1256700,24.90
2011-08-08,1.75,1.96,1.69,1.91,1772400,28.65
2011-08-01,2.29,2.32,1.84,1.95,2249900,29.25
2011-07-25,2.39,2.41,2.10,2.18,1635400,32.70
2011-07-18,2.31,2.43,2.20,2.43,1493800,36.45
2011-07-11,2.54,2.56,2.19,2.35,1738800,35.25
2011-07-05,2.52,2.67,2.43,2.59,1737800,38.85
2011-06-27,2.28,2.57,2.25,2.52,2058600,37.80
2011-06-20,2.07,2.37,1.94,2.27,1993400,34.05
2011-06-13,2.20,2.27,2.11,2.12,2232700,31.80
2011-06-06,2.23,2.27,2.09,2.20,2552600,33.00
2011-05-31,2.38,2.46,2.14,2.23,4087300,33.45
2011-05-23,1.93,2.33,1.91,2.33,5985300,34.95
2011-05-16,1.86,2.04,1.79,1.96,2734700,29.40
2011-05-09,1.64,2.01,1.63,1.89,5844600,28.35
