Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,3.32,3.47,3.27,3.38,29700,3.38
2012-05-14,3.43,3.44,3.27,3.30,15000,3.30
2012-05-07,3.35,3.53,3.20,3.45,34300,3.45
2012-04-30,3.44,3.45,3.28,3.37,21200,3.37
2012-04-23,3.30,3.66,3.28,3.44,40200,3.44
2012-04-16,3.48,3.55,3.34,3.35,21300,3.35
2012-04-09,3.15,3.43,3.10,3.42,25800,3.42
2012-04-02,3.43,3.49,3.09,3.15,64400,3.15
2012-03-26,3.10,3.50,3.10,3.47,63600,3.47
2012-03-19,3.12,3.14,3.06,3.14,20000,3.14
2012-03-12,3.05,3.12,3.01,3.12,21200,3.12
2012-03-05,2.50,3.10,2.48,3.07,43100,3.07
2012-02-27,2.92,2.95,2.50,2.61,46700,2.61
2012-02-21,3.00,3.05,2.93,2.93,25100,2.93
2012-02-13,3.00,3.05,2.97,3.00,16600,3.00
2012-02-06,2.99,3.05,2.94,3.00,56600,3.00
2012-01-30,2.50,3.05,2.50,3.00,47200,3.00
2012-01-23,2.40,2.53,2.38,2.50,32900,2.50
2012-01-17,2.30,2.39,2.29,2.39,39500,2.39
2012-01-09,2.20,2.30,2.20,2.30,17800,2.30
2012-01-03,2.28,2.28,2.20,2.27,9700,2.27
2011-12-27,2.20,2.30,2.06,2.28,50500,2.28
2011-12-19,2.24,2.25,2.09,2.15,22800,2.15
2011-12-12,2.20,2.29,2.01,2.29,27100,2.29
2011-12-05,2.26,2.35,2.20,2.25,16800,2.25
2011-11-28,2.36,2.39,2.19,2.31,28800,2.31
2011-11-21,2.50,2.50,2.21,2.41,18100,2.41
2011-11-14,2.44,2.54,2.40,2.50,12000,2.50
2011-11-07,2.50,2.57,2.32,2.41,23900,2.41
2011-10-31,2.50,2.69,2.46,2.55,13200,2.55
2011-10-24,2.55,2.75,2.49,2.50,22800,2.50
2011-10-17,2.59,2.77,2.50,2.56,28300,2.56
2011-10-10,2.70,2.97,2.50,2.65,16600,2.65
2011-10-03,2.59,2.97,2.50,2.71,14600,2.71
2011-09-26,2.68,2.80,2.50,2.70,18200,2.70
2011-09-19,2.85,2.94,2.63,2.65,18000,2.65
2011-09-12,2.79,3.05,2.75,2.84,15200,2.84
2011-09-06,2.66,3.03,2.66,2.78,22000,2.78
2011-08-29,2.92,3.10,2.78,2.88,13100,2.88
2011-08-22,2.97,3.02,2.85,2.86,10900,2.86
2011-08-15,2.93,3.09,2.85,2.99,17500,2.99
2011-08-08,2.98,3.10,2.83,2.95,36700,2.95
2011-08-01,2.99,3.31,2.78,3.02,47300,3.02
2011-07-25,3.04,3.10,2.74,2.98,37400,2.98
2011-07-18,2.99,3.10,2.83,3.07,22300,3.07
2011-07-11,3.08,3.22,2.50,2.97,35800,2.97
2011-07-05,3.00,3.48,2.96,3.11,94600,3.11
2011-06-27,2.59,2.90,2.51,2.87,42200,2.87
2011-06-20,2.43,2.59,2.28,2.59,40800,2.59
2011-06-13,2.29,2.46,2.20,2.42,25400,2.42
2011-06-06,2.40,2.40,2.25,2.35,51600,2.35
2011-05-31,2.44,2.48,2.40,2.40,29200,2.40
2011-05-23,2.49,2.67,2.45,2.45,19500,2.45
2011-05-16,2.57,2.60,2.41,2.47,23300,2.47
2011-05-09,2.55,2.55,2.35,2.53,44500,2.53
2011-05-02,2.60,2.60,2.46,2.51,28700,2.51
2011-04-25,2.87,2.87,2.50,2.59,53700,2.59
2011-04-18,2.66,2.90,2.61,2.80,19600,2.80
2011-04-11,2.85,2.86,2.62,2.72,28000,2.72
2011-04-04,2.51,2.88,2.45,2.82,40400,2.82
2011-03-28,2.81,2.81,2.33,2.50,81000,2.50
2011-03-21,2.91,3.20,2.80,2.81,43700,2.81
2011-03-14,2.67,2.85,2.56,2.82,33600,2.82
2011-03-07,2.79,2.87,2.50,2.70,83300,2.70
2011-02-28,3.80,3.85,2.92,2.92,96400,2.92
2011-02-22,4.10,4.15,3.50,3.77,55400,3.77
2011-02-14,4.05,4.49,4.05,4.07,45200,4.07
2011-02-07,4.56,4.56,4.00,4.05,55400,4.05
2011-01-31,4.33,4.44,4.04,4.25,41100,4.25
2011-01-24,4.30,4.40,4.10,4.22,29600,4.22
2011-01-18,4.73,4.74,3.87,4.23,102000,4.23
2011-01-10,4.61,5.20,4.52,4.73,102000,4.73
2011-01-03,4.06,4.65,3.92,4.65,86600,4.65
2010-12-27,3.65,4.25,3.30,4.12,72200,4.12
2010-12-20,4.00,4.00,3.35,3.51,105200,3.51
2010-12-13,2.93,4.00,2.87,4.00,157300,4.00
2010-12-06,2.73,2.93,2.73,2.83,39500,2.83
2010-11-29,2.19,3.00,2.19,2.75,113400,2.75
2010-11-22,2.09,2.25,2.00,2.22,27800,2.22
2010-11-15,1.97,2.09,1.90,2.05,40500,2.05
2010-11-08,1.99,1.99,1.80,1.97,24700,1.97
2010-11-01,1.87,2.05,1.86,1.94,31600,1.94
2010-10-25,1.83,2.20,1.69,1.87,66100,1.87
2010-10-18,1.93,2.46,1.83,1.86,180400,1.86
2010-10-11,1.53,1.95,1.52,1.93,60700,1.93
2010-10-04,1.49,1.52,1.41,1.52,23000,1.52
2010-09-27,1.36,1.51,1.35,1.48,19700,1.48
2010-09-20,1.41,1.41,1.31,1.38,22500,1.38
2010-09-13,1.45,1.50,1.34,1.44,41400,1.44
2010-09-07,1.42,1.45,1.35,1.43,30000,1.43
2010-08-30,1.34,1.40,1.29,1.37,16200,1.37
2010-08-23,1.45,1.50,1.29,1.39,16300,1.39
2010-08-16,1.48,1.51,1.34,1.41,16600,1.41
2010-08-09,1.52,1.58,1.31,1.50,49700,1.50
2010-08-02,1.83,1.86,1.36,1.47,133000,1.47
2010-07-26,1.27,2.35,1.27,1.83,291400,1.83
2010-07-19,1.21,1.49,1.18,1.30,25800,1.30
2010-07-12,1.31,1.58,1.12,1.12,46300,1.12
2010-07-06,1.59,1.60,1.11,1.20,27700,1.20
2010-06-28,1.20,1.33,1.11,1.18,90400,1.18
2010-06-21,1.69,1.80,1.10,1.10,89800,1.10
2010-06-14,1.65,1.74,1.61,1.73,10400,1.73
2010-06-07,1.77,1.80,1.61,1.66,13400,1.66
2010-06-01,1.70,1.77,1.65,1.75,14000,1.75
2010-05-24,1.80,1.88,1.65,1.75,25600,1.75
2010-05-17,1.70,1.90,1.67,1.75,36200,1.75
2010-05-10,1.70,1.98,1.65,1.71,41000,1.71
2010-05-03,2.00,2.10,1.63,1.65,77100,1.65
2010-04-26,2.35,3.23,1.91,1.95,239700,1.95
2010-04-19,2.00,2.41,1.91,2.35,103700,2.35
2010-04-12,2.35,2.35,1.93,2.00,56000,2.00
2010-04-05,1.90,2.40,1.90,2.37,87200,2.37
2010-03-29,1.71,2.10,1.64,1.90,50000,1.90
2010-03-22,1.63,1.70,1.60,1.64,25400,1.64
2010-03-15,1.75,1.80,1.62,1.62,29900,1.62
2010-03-08,1.65,1.82,1.63,1.73,20200,1.73
2010-03-01,1.55,1.75,1.55,1.64,25900,1.64
2010-02-22,1.77,1.84,1.50,1.50,40300,1.50
2010-02-16,1.78,1.84,1.76,1.77,20300,1.77
2010-02-08,1.77,1.86,1.77,1.80,30400,1.80
2010-02-01,1.89,1.98,1.75,1.77,54500,1.77
2010-01-25,2.00,2.06,1.86,1.86,62200,1.86
2010-01-19,2.00,2.08,1.88,1.94,39500,1.94
2010-01-11,1.93,2.04,1.85,2.01,30400,2.01
2010-01-04,2.13,2.13,1.85,1.93,58000,1.93
2009-12-28,2.20,2.20,2.03,2.09,45500,2.09
2009-12-21,2.18,2.25,2.10,2.17,54300,2.17
2009-12-14,2.13,2.20,2.00,2.13,33300,2.13
2009-12-07,2.10,2.25,2.08,2.18,76600,2.18
2009-11-30,2.34,2.40,2.08,2.12,28900,2.12
2009-11-23,2.28,2.39,2.22,2.29,69000,2.29
2009-11-16,1.84,2.43,1.84,2.22,196600,2.22
2009-11-09,1.96,2.00,1.85,1.87,31600,1.87
2009-11-02,1.91,2.25,1.56,2.00,109300,2.00
2009-10-26,2.18,2.30,1.91,1.92,53900,1.92
2009-10-19,2.52,2.52,2.10,2.22,31800,2.22
2009-10-12,2.60,2.70,2.50,2.55,20700,2.55
2009-10-05,2.56,2.73,2.50,2.64,16600,2.64
2009-09-28,2.64,2.89,2.50,2.50,15100,2.50
2009-09-21,2.70,3.15,2.58,2.66,34900,2.66
2009-09-14,2.20,2.70,2.15,2.70,35200,2.70
2009-09-08,2.24,2.35,2.20,2.21,19200,2.21
2009-08-31,2.32,2.39,2.10,2.29,22100,2.29
2009-08-24,2.52,2.53,2.40,2.43,18000,2.43
2009-08-17,2.65,2.66,2.50,2.52,25900,2.52
2009-08-10,2.80,2.80,2.56,2.70,14100,2.70
2009-08-03,2.85,2.85,2.57,2.80,15600,2.80
2009-07-27,2.65,2.80,2.50,2.76,12000,2.76
2009-07-20,2.57,2.93,2.40,2.72,21500,2.72
2009-07-13,2.69,2.75,2.58,2.58,18500,2.58
2009-07-06,2.74,2.90,2.55,2.70,14700,2.70
2009-06-29,2.84,3.03,2.61,2.81,18400,2.81
2009-06-22,3.15,3.25,2.85,2.90,24400,2.90
2009-06-15,3.45,3.45,3.04,3.16,11600,3.16
2009-06-08,3.31,3.68,3.30,3.50,10300,3.50
2009-06-01,3.50,3.58,3.30,3.30,14400,3.30
2009-05-26,3.33,3.56,3.20,3.49,16900,3.49
2009-05-18,3.22,3.75,3.18,3.28,25400,3.28
2009-05-11,3.27,3.88,3.05,3.17,33600,3.17
2009-05-04,3.13,3.34,2.98,3.27,32400,3.27
2009-04-27,3.04,3.43,2.96,3.10,19600,3.10
2009-04-20,3.85,3.85,2.90,2.99,42400,2.99
2009-04-13,3.95,3.95,3.66,3.88,32400,3.88
