Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,10.15,10.41,9.94,9.99,257500,9.99
2012-05-14,10.39,10.70,10.11,10.17,334400,10.17
2012-05-07,10.27,10.66,10.04,10.53,348800,10.53
2012-04-30,10.71,11.05,9.99,10.34,428600,10.30
2012-04-23,9.48,10.82,9.34,10.71,590400,10.67
2012-04-16,9.50,10.06,9.35,9.65,528700,9.61
2012-04-09,9.72,9.96,9.39,9.49,585800,9.45
2012-04-02,10.08,10.36,9.76,9.92,336300,9.88
2012-03-26,10.38,10.54,10.11,10.26,282400,10.22
2012-03-19,10.36,10.51,10.19,10.29,189000,10.25
2012-03-12,10.26,10.61,10.10,10.38,327100,10.34
2012-03-05,10.18,10.34,9.82,10.25,245200,10.21
2012-02-27,10.86,11.10,10.23,10.24,427200,10.20
2012-02-21,11.06,11.09,10.80,10.92,366500,10.88
2012-02-13,11.31,11.59,10.96,11.04,549300,11.00
2012-02-06,11.82,11.99,11.18,11.18,230000,11.14
2012-01-30,11.68,12.12,11.37,12.06,368400,11.97
2012-01-23,11.75,12.54,11.50,11.84,709900,11.76
2012-01-17,10.44,11.81,10.21,11.76,593800,11.68
2012-01-09,9.92,10.58,9.90,10.35,276300,10.28
2012-01-03,10.38,10.48,9.70,9.88,588200,9.81
2011-12-27,10.42,10.59,10.10,10.11,247500,10.04
2011-12-19,10.13,10.76,9.97,10.44,335300,10.37
2011-12-12,10.38,10.68,9.72,10.05,458600,9.98
2011-12-05,10.75,10.75,10.00,10.53,394400,10.45
2011-11-28,9.51,10.77,9.27,10.61,400300,10.53
2011-11-21,9.92,9.98,9.21,9.21,256400,9.14
2011-11-14,10.60,10.96,9.97,10.07,380300,10.00
2011-11-07,10.50,10.72,10.12,10.64,385100,10.56
2011-10-31,11.04,11.30,10.00,10.56,603200,10.44
2011-10-24,10.34,12.84,10.29,11.20,801900,11.08
2011-10-17,10.35,10.63,9.89,10.27,314300,10.16
2011-10-10,9.76,10.64,9.56,10.43,461100,10.32
2011-10-03,9.55,9.90,9.02,9.59,616900,9.49
2011-09-26,9.99,10.23,9.45,9.47,486700,9.37
2011-09-19,10.20,10.36,9.51,9.92,511300,9.81
2011-09-12,9.51,10.45,9.28,10.36,443100,10.25
2011-09-06,9.47,10.25,9.26,9.68,601100,9.57
2011-08-29,10.02,10.40,9.61,9.74,431600,9.63
2011-08-22,9.35,10.04,9.01,9.93,694700,9.82
2011-08-15,9.51,9.82,8.82,9.09,461000,8.99
2011-08-08,9.13,9.76,8.81,9.45,804200,9.35
2011-08-01,10.21,10.86,9.25,9.42,740600,9.28
2011-07-25,10.04,10.33,9.65,10.15,544800,10.00
2011-07-18,9.60,10.19,9.34,10.15,267200,10.00
2011-07-11,10.50,10.73,9.36,9.63,423700,9.48
2011-07-05,10.64,10.86,10.45,10.60,400600,10.44
2011-06-27,10.02,10.79,9.96,10.68,438600,10.52
2011-06-20,9.86,10.11,9.74,10.05,665400,9.90
2011-06-13,10.42,10.83,9.81,9.89,580300,9.74
2011-06-06,11.33,11.49,10.60,10.80,552900,10.64
2011-05-31,11.81,11.91,10.65,11.33,770700,11.16
2011-05-23,11.80,11.84,11.48,11.70,404900,11.52
2011-05-16,12.38,12.69,11.87,11.99,387800,11.81
2011-05-09,12.51,12.98,12.27,12.53,432600,12.34
2011-05-02,12.83,12.85,12.27,12.57,270000,12.35
2011-04-25,12.68,12.96,12.40,12.81,601000,12.58
2011-04-18,12.61,13.00,12.37,12.82,503200,12.59
2011-04-11,14.55,14.68,12.45,12.76,714600,12.53
2011-04-04,13.32,14.64,13.19,14.49,525700,14.23
2011-03-28,13.12,13.64,13.10,13.27,258800,13.03
2011-03-21,12.73,13.32,12.67,13.07,243300,12.84
2011-03-14,12.64,12.90,12.27,12.60,450200,12.37
2011-03-07,13.38,13.45,12.62,12.80,379500,12.57
2011-02-28,13.61,13.68,12.88,13.41,400800,13.17
2011-02-22,14.41,14.57,12.80,13.61,648200,13.37
2011-02-14,13.60,14.98,13.58,14.59,696200,14.33
2011-02-07,13.23,13.66,13.05,13.64,565500,13.40
2011-01-31,13.43,13.53,13.02,13.25,487800,12.98
2011-01-24,12.77,13.97,12.77,13.43,477900,13.16
2011-01-18,13.80,13.85,12.74,12.82,270600,12.56
2011-01-10,13.32,13.82,13.29,13.80,304100,13.52
2011-01-03,12.89,13.51,12.57,13.42,450000,13.15
2010-12-27,13.26,13.51,12.91,12.99,270800,12.72
2010-12-20,13.88,13.96,13.11,13.35,326100,13.08
2010-12-13,13.75,13.83,13.34,13.77,393600,13.49
2010-12-06,13.40,13.78,13.14,13.67,331700,13.39
2010-11-29,12.54,13.41,12.33,13.34,385100,13.07
2010-11-22,12.27,12.78,12.10,12.63,380700,12.37
2010-11-15,12.27,12.33,11.83,12.27,362100,12.02
2010-11-08,12.34,12.40,11.91,12.24,440500,11.99
2010-11-01,11.99,12.36,11.71,12.35,489200,12.06
2010-10-25,11.37,12.02,11.37,11.92,545200,11.64
2010-10-18,10.58,11.62,10.21,11.26,773000,11.00
2010-10-11,10.34,10.66,10.23,10.54,568000,10.29
2010-10-04,10.00,10.42,9.90,10.32,566800,10.08
2010-09-27,10.00,10.08,9.56,10.03,836900,9.80
2010-09-20,10.03,10.32,9.64,9.99,841400,9.76
2010-09-13,9.50,10.09,9.44,9.99,1064600,9.76
2010-09-07,9.48,9.66,9.24,9.40,441700,9.18
2010-08-30,9.23,9.66,8.80,9.49,672900,9.27
2010-08-23,9.18,9.42,8.93,9.31,538700,9.09
2010-08-16,9.15,9.54,8.95,9.13,424400,8.92
2010-08-09,9.78,9.99,9.00,9.17,483800,8.96
2010-08-02,9.89,9.95,9.56,9.76,510900,9.50
2010-07-26,10.00,10.52,9.68,9.72,865000,9.46
2010-07-19,10.72,11.18,9.95,10.02,1051100,9.75
2010-07-12,10.73,11.35,10.68,10.68,725200,10.39
2010-07-06,10.27,10.74,9.77,10.73,695900,10.44
2010-06-28,10.90,11.26,9.74,10.11,618700,9.84
2010-06-21,11.73,11.87,10.65,10.85,1019400,10.56
2010-06-14,10.84,11.68,10.64,11.57,823600,11.26
2010-06-07,10.58,10.90,9.60,10.71,810900,10.42
2010-06-01,11.10,11.21,10.49,10.49,703200,10.21
2010-05-24,10.98,11.38,10.37,11.11,1201100,10.81
2010-05-17,10.63,11.23,10.21,10.92,1210500,10.63
2010-05-10,10.95,11.65,10.44,10.55,932500,10.27
2010-05-03,11.78,12.20,10.42,10.55,845900,10.23
2010-04-26,11.99,12.43,11.66,11.67,791800,11.32
2010-04-19,11.69,12.40,11.38,12.00,651900,11.64
2010-04-12,10.90,11.90,10.81,11.73,486700,11.38
2010-04-05,10.86,11.30,10.78,10.87,506100,10.54
2010-03-29,10.48,10.99,10.35,10.80,816300,10.48
2010-03-22,10.37,10.95,10.33,10.44,664600,10.13
2010-03-15,10.24,10.95,10.21,10.46,683800,10.15
2010-03-08,10.25,10.71,10.13,10.25,1083700,9.94
2010-03-01,10.00,10.26,9.87,10.25,1054100,9.94
2010-02-22,8.51,9.91,8.46,9.85,942600,9.55
2010-02-16,8.25,8.53,8.07,8.51,342700,8.25
2010-02-08,7.35,8.24,7.25,8.22,810800,7.97
2010-02-01,7.55,7.67,7.18,7.39,655300,7.13
2010-01-25,7.81,7.90,7.31,7.48,550000,7.22
2010-01-19,7.92,8.22,7.75,7.77,619600,7.50
2010-01-11,8.13,8.18,7.73,7.95,364200,7.68
2010-01-04,8.27,8.38,8.05,8.11,331800,7.83
2009-12-28,8.14,8.30,7.93,8.20,174900,7.92
2009-12-21,7.91,8.13,7.85,8.12,240200,7.84
2009-12-14,7.62,8.00,7.55,7.87,646600,7.60
2009-12-07,7.48,7.61,7.26,7.60,410100,7.34
2009-11-30,7.03,7.61,6.94,7.50,546800,7.24
2009-11-23,7.38,7.41,7.05,7.05,233100,6.81
2009-11-16,7.28,7.40,7.08,7.28,732500,7.03
2009-11-09,7.15,7.26,6.99,7.21,493400,6.96
2009-11-02,7.47,7.47,6.98,7.07,398200,6.83
2009-10-26,8.12,8.39,7.39,7.47,541000,7.18
2009-10-19,8.19,8.58,7.81,8.06,474900,7.74
2009-10-12,8.05,8.63,8.01,8.14,409500,7.82
2009-10-05,7.68,8.12,7.52,8.01,383900,7.70
2009-09-28,8.14,8.46,7.61,7.62,313900,7.32
2009-09-21,8.07,8.30,7.89,8.07,431800,7.75
2009-09-14,8.29,8.42,8.00,8.05,439600,7.73
2009-09-08,7.73,8.40,7.58,8.32,439700,7.99
2009-08-31,7.88,7.89,7.42,7.70,336600,7.40
2009-08-24,7.89,7.97,7.51,7.92,326600,7.61
2009-08-17,7.70,7.93,7.55,7.87,326000,7.56
2009-08-10,7.68,8.07,7.46,7.85,469500,7.54
2009-08-03,7.90,7.95,7.68,7.75,374000,7.41
2009-07-27,7.70,7.92,7.50,7.82,549000,7.48
2009-07-20,7.70,7.88,7.35,7.65,762900,7.32
2009-07-13,7.05,7.65,6.90,7.50,449200,7.17
2009-07-06,7.39,7.42,6.87,7.04,314300,6.73
2009-06-29,7.45,7.56,7.20,7.44,446700,7.12
2009-06-22,7.75,7.79,7.17,7.51,568400,7.18
2009-06-15,7.80,7.87,7.49,7.77,293900,7.43
2009-06-08,7.27,7.94,7.17,7.86,411200,7.52
2009-06-01,7.35,7.59,7.22,7.34,303800,7.02
2009-05-26,7.09,7.50,7.06,7.35,336700,7.03
2009-05-18,7.08,7.73,7.00,7.14,288900,6.83
2009-05-11,7.23,7.39,6.72,7.01,283800,6.70
2009-05-04,7.62,7.75,7.02,7.35,403100,7.00
2009-04-27,7.63,7.76,7.34,7.56,333400,7.20
2009-04-20,7.31,8.19,7.19,7.76,632900,7.39
2009-04-13,7.47,7.65,7.15,7.57,330700,7.21
2009-04-06,7.20,7.63,6.93,7.55,419000,7.19
2009-03-30,7.19,7.48,6.84,7.29,406500,6.94
2009-03-23,7.18,7.63,6.91,7.36,361900,7.01
2009-03-16,7.29,7.58,6.85,7.02,313600,6.68
2009-03-09,6.43,7.37,6.29,7.19,347400,6.84
2009-03-02,6.59,6.76,6.24,6.49,446700,6.18
2009-02-23,7.18,7.33,6.61,6.65,654100,6.33
2009-02-17,7.56,7.66,7.05,7.16,452700,6.82
2009-02-09,7.87,8.13,7.21,7.82,362600,7.44
2009-02-02,7.54,7.99,7.25,7.92,411600,7.51
2009-01-26,6.87,7.87,6.79,7.60,341100,7.20
2009-01-20,6.98,7.06,6.51,6.84,288300,6.48
2009-01-12,6.71,7.11,6.45,7.09,349200,6.72
2009-01-05,7.50,7.59,5.81,6.70,505000,6.35
2008-12-29,7.25,7.54,6.97,7.48,322900,7.09
2008-12-22,7.36,7.53,7.08,7.25,214500,6.87
2008-12-15,7.52,7.93,7.15,7.37,540000,6.98
2008-12-08,6.67,7.57,6.42,7.48,514600,7.09
2008-12-01,7.33,7.41,5.99,6.55,636800,6.21
2008-11-24,6.53,7.52,6.16,7.40,613800,7.01
2008-11-17,6.39,6.55,5.78,6.39,525900,6.06
2008-11-10,7.39,7.48,6.07,6.42,602800,6.08
2008-11-03,7.38,7.89,6.80,7.20,383500,6.82
2008-10-27,6.58,7.40,6.14,7.35,417800,6.93
2008-10-20,7.06,7.37,6.25,6.60,389300,6.22
2008-10-13,7.16,7.69,6.43,6.97,578900,6.57
2008-10-06,7.79,7.80,6.38,6.86,1082500,6.47
2008-09-29,9.00,9.29,8.01,8.01,479600,7.55
2008-09-22,9.26,9.34,8.71,9.11,342300,8.59
2008-09-15,8.76,9.50,8.35,9.26,802800,8.73
2008-09-08,8.67,9.13,8.29,8.98,528400,8.47
2008-09-02,9.34,9.45,8.36,8.53,789500,8.04
2008-08-25,9.26,9.45,8.91,9.21,434500,8.69
2008-08-18,9.89,9.89,9.21,9.29,353000,8.76
2008-08-11,9.23,9.95,9.13,9.85,471600,9.29
2008-08-04,9.06,9.31,8.93,9.25,552900,8.72
2008-07-28,9.49,9.68,9.04,9.08,649300,8.56
2008-07-21,9.48,9.90,9.30,9.53,897400,8.95
2008-07-14,9.25,9.53,8.59,9.46,799200,8.89
2008-07-07,8.98,9.40,8.43,9.22,1096100,8.66
2008-06-30,9.32,9.51,8.75,8.94,717600,8.40
2008-06-23,9.60,9.62,9.09,9.33,823400,8.77
2008-06-16,9.54,9.89,9.37,9.55,673700,8.97
2008-06-09,9.89,9.93,9.15,9.56,761900,8.98
2008-06-02,9.57,9.97,9.11,9.86,857300,9.27
2008-05-27,9.53,9.67,9.24,9.60,729300,9.02
2008-05-19,9.65,9.94,9.09,9.50,1046300,8.93
2008-05-12,9.78,10.16,9.48,9.68,789200,9.10
2008-05-05,9.74,10.13,9.54,9.74,835600,9.15
2008-04-28,10.27,10.50,9.52,9.75,1136800,9.16
2008-04-21,9.66,10.77,9.26,10.36,1369200,9.70
2008-04-14,9.25,9.99,9.05,9.70,866700,9.08
2008-04-07,9.10,9.68,9.01,9.26,1071600,8.67
2008-03-31,8.94,9.73,8.62,9.04,2381200,8.47
2008-03-24,9.15,9.53,8.90,8.94,1571400,8.37
2008-03-17,8.26,9.04,8.21,8.98,2493700,8.41
2008-03-10,7.93,8.65,7.76,8.47,2068100,7.93
2008-03-03,7.34,8.04,7.25,7.89,2019700,7.39
2008-02-25,6.73,7.47,6.57,7.35,1286700,6.88
2008-02-19,6.58,6.88,6.47,6.69,1146400,6.26
2008-02-11,6.23,6.66,6.16,6.47,1375200,6.06
2008-02-04,6.10,6.28,5.91,6.18,1314200,5.79
2008-01-28,5.67,6.26,5.60,6.10,1637900,5.68
2008-01-22,5.48,6.99,4.79,5.61,1785400,5.23
2008-01-14,6.12,6.24,5.54,5.73,1490200,5.34
2008-01-07,6.31,6.36,5.91,6.07,2013600,5.66
2007-12-31,8.36,8.49,5.58,6.28,2599600,5.85
2007-12-24,8.46,8.92,8.01,8.36,544300,7.79
2007-12-17,8.22,8.51,8.10,8.45,740500,7.87
2007-12-10,8.63,8.84,8.25,8.27,844800,7.71
2007-12-03,8.91,9.03,8.27,8.63,1095900,8.04
2007-11-26,8.52,8.97,8.03,8.92,1334500,8.31
2007-11-19,8.70,9.58,8.31,8.49,2722500,7.91
2007-11-12,8.33,8.64,7.96,8.22,2089900,7.66
