Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.78,14.64,13.68,14.58,1196400,14.58
2012-05-14,13.87,14.25,13.60,13.75,906800,13.75
2012-05-07,13.83,14.15,13.63,14.03,616200,14.03
2012-04-30,14.49,15.47,13.86,13.93,654700,13.93
2012-04-23,13.86,14.65,13.70,14.53,756300,14.53
2012-04-16,14.14,14.62,13.95,14.09,651400,14.09
2012-04-09,14.50,14.59,14.07,14.12,619000,14.12
2012-04-02,14.85,15.14,14.55,14.70,741500,14.70
2012-03-26,15.42,15.54,14.84,14.86,990000,14.86
2012-03-19,15.15,15.40,14.80,15.32,953800,15.32
2012-03-12,15.11,15.58,15.00,15.15,1045200,15.15
2012-03-05,15.00,15.32,14.77,15.16,945500,15.16
2012-02-27,14.69,15.76,14.45,15.05,1369300,15.05
2012-02-21,14.76,15.13,14.71,14.85,881500,14.85
2012-02-13,14.69,14.90,14.44,14.77,416600,14.77
2012-02-06,14.60,14.80,14.25,14.49,413700,14.49
2012-01-30,13.83,14.84,13.60,14.70,702500,14.70
2012-01-23,13.41,14.17,13.25,13.98,720200,13.98
2012-01-17,13.04,13.50,12.93,13.45,648200,13.45
2012-01-09,13.16,13.55,12.86,12.99,805700,12.99
2012-01-03,13.80,13.89,12.89,13.18,693500,13.18
2011-12-27,13.52,13.73,13.31,13.56,733900,13.56
2011-12-19,12.68,13.62,12.48,13.53,1120300,13.53
2011-12-12,12.64,12.98,12.21,12.64,1000400,12.64
2011-12-05,12.88,13.07,12.25,12.82,676000,12.82
2011-11-28,12.38,13.17,12.03,12.71,1006700,12.71
2011-11-21,12.69,12.97,11.70,11.94,1035300,11.94
2011-11-14,11.40,13.10,11.32,13.02,1879300,13.02
2011-11-07,11.41,11.65,10.77,11.48,616800,11.48
2011-10-31,11.45,11.60,10.64,11.45,855100,11.45
2011-10-24,10.37,11.71,10.02,11.61,1331500,11.61
2011-10-17,10.37,10.50,9.87,10.32,896400,10.32
2011-10-10,9.73,10.54,9.66,10.45,818400,10.45
2011-10-03,9.53,10.00,8.75,9.58,1081900,9.58
2011-09-26,10.04,10.29,9.51,9.62,1044500,9.62
2011-09-19,10.39,10.60,9.35,9.98,1090900,9.98
2011-09-12,10.00,11.22,9.91,10.57,1482600,10.57
2011-09-06,10.42,10.89,10.02,10.15,1011300,10.15
2011-08-29,11.31,11.91,10.75,10.77,1495800,10.77
2011-08-22,10.12,11.29,9.76,11.21,1400700,11.21
2011-08-15,9.35,9.90,8.71,9.89,1631600,9.89
2011-08-08,9.33,9.89,8.50,9.30,1394600,9.30
2011-08-01,11.52,11.64,9.34,9.58,1076600,9.58
2011-07-25,11.50,12.22,11.08,11.43,937300,11.43
2011-07-18,12.10,12.16,11.56,11.69,870500,11.69
2011-07-11,12.71,12.73,12.03,12.08,818300,12.08
2011-07-05,12.91,13.00,12.00,12.88,905500,12.88
2011-06-27,12.20,13.08,12.14,13.00,1055300,13.00
2011-06-20,12.17,12.70,12.08,12.30,1512300,12.30
2011-06-13,12.98,13.26,12.20,12.23,1633300,12.23
2011-06-06,13.17,13.40,12.95,12.99,1140100,12.99
2011-05-31,13.51,13.65,13.09,13.10,2314700,13.10
2011-05-23,14.36,14.67,13.26,13.46,1721000,13.46
2011-05-16,14.85,15.00,14.26,14.69,798200,14.69
2011-05-09,14.35,15.41,14.26,14.98,1355000,14.98
2011-05-02,14.71,14.78,14.00,14.32,999200,14.32
2011-04-25,14.15,15.05,14.10,14.75,1360700,14.75
2011-04-18,14.11,14.37,13.93,14.20,1204100,14.20
2011-04-11,14.40,14.53,13.96,14.24,1024400,14.24
2011-04-04,14.66,14.85,14.36,14.46,1245800,14.46
2011-03-28,15.18,15.33,14.55,14.69,2908600,14.69
2011-03-21,15.00,15.48,14.79,15.12,892500,15.12
2011-03-14,15.09,15.35,14.65,14.86,1220100,14.86
2011-03-07,15.90,16.00,15.00,15.24,1153800,15.24
2011-02-28,15.75,16.05,15.50,15.91,1173500,15.91
2011-02-22,16.51,16.56,15.02,15.68,4738800,15.68
2011-02-14,14.30,14.57,14.12,14.52,696300,14.52
2011-02-07,13.48,15.64,13.39,14.36,1942900,14.36
2011-01-31,12.59,13.59,12.45,13.49,807200,13.49
2011-01-24,12.11,12.85,12.00,12.61,1008500,12.61
2011-01-18,12.20,12.45,12.01,12.13,868200,12.13
2011-01-10,11.95,12.30,11.84,12.22,756400,12.22
2011-01-03,12.08,12.40,11.79,12.05,1002200,12.05
2010-12-27,12.20,12.39,11.99,12.00,321400,12.00
2010-12-20,12.05,12.31,12.03,12.23,525500,12.23
2010-12-13,12.00,12.07,11.75,12.00,1019600,12.00
2010-12-06,11.85,12.14,11.76,11.99,751500,11.99
2010-11-29,11.15,12.00,11.00,11.91,824200,11.91
2010-11-22,11.04,11.46,10.97,11.25,817700,11.25
2010-11-15,11.28,11.68,10.94,11.17,1387600,11.17
2010-11-08,10.93,11.44,10.81,11.24,1091800,11.24
2010-11-01,10.88,11.00,10.42,10.93,744300,10.93
2010-10-25,10.52,10.89,10.32,10.82,683700,10.82
2010-10-18,10.78,10.96,10.47,10.80,663800,10.80
2010-10-11,10.67,10.98,10.47,10.82,639900,10.82
2010-10-04,10.70,11.02,10.49,10.70,888100,10.70
2010-09-27,10.66,10.99,10.42,10.77,1013400,10.77
2010-09-20,10.77,11.09,10.22,10.67,1340900,10.67
2010-09-13,10.03,10.90,10.03,10.76,1596200,10.76
2010-09-07,9.77,10.07,9.65,10.01,1077800,10.01
2010-08-30,9.01,10.00,8.76,9.84,810400,9.84
2010-08-23,9.59,9.81,8.77,9.03,758200,9.03
2010-08-16,8.77,9.86,8.77,9.74,886100,9.74
2010-08-09,9.86,10.07,8.84,8.86,724900,8.86
2010-08-02,9.69,10.10,9.43,9.81,776700,9.81
2010-07-26,9.87,9.95,9.33,9.62,1201600,9.62
2010-07-19,8.94,9.94,8.68,9.87,913000,9.87
2010-07-12,9.04,9.48,8.92,8.93,968600,8.93
2010-07-06,8.51,9.12,8.21,9.12,1309400,9.12
2010-06-28,9.40,9.53,8.35,8.41,1419200,8.41
2010-06-21,9.70,9.88,9.04,9.38,1287000,9.38
2010-06-14,9.48,9.69,9.24,9.60,1159400,9.60
2010-06-07,8.84,9.41,8.48,9.39,930900,9.39
2010-06-01,9.13,9.31,8.41,8.82,1376300,8.82
2010-05-24,8.64,9.71,8.09,9.18,1360000,9.18
2010-05-17,8.99,9.15,8.15,8.70,947700,8.70
2010-05-10,8.60,9.17,8.35,8.93,874700,8.93
2010-05-03,8.99,9.28,7.81,8.09,1028900,8.09
2010-04-26,9.45,9.59,8.96,8.99,1046300,8.99
2010-04-19,9.27,9.46,9.14,9.45,719700,9.45
2010-04-12,8.78,9.51,8.77,9.33,1394000,9.33
2010-04-05,8.20,8.74,8.09,8.74,1283900,8.74
2010-03-29,8.21,8.30,8.01,8.15,1015700,8.15
2010-03-22,8.18,8.39,7.98,8.20,944400,8.20
2010-03-15,8.22,8.55,8.05,8.24,971600,8.24
2010-03-08,8.07,8.30,7.95,8.20,1009700,8.20
2010-03-01,8.36,8.87,7.97,8.10,1141600,8.10
2010-02-22,8.55,8.67,8.28,8.32,754400,8.32
2010-02-16,8.23,8.72,8.18,8.54,366100,8.54
2010-02-08,8.02,8.19,7.76,8.18,472600,8.18
2010-02-01,8.04,8.24,7.60,8.00,629900,8.00
2010-01-25,8.00,8.10,7.79,8.02,599100,8.02
2010-01-19,8.33,8.56,7.91,7.93,597500,7.93
2010-01-11,8.80,8.93,8.34,8.34,452800,8.34
2010-01-04,8.90,9.26,8.50,8.80,665800,8.80
2009-12-28,9.25,9.28,8.83,8.83,471400,8.83
2009-12-21,8.75,9.23,8.70,9.20,386800,9.20
2009-12-14,8.35,8.74,8.31,8.74,778500,8.74
2009-12-07,8.17,8.50,8.04,8.30,704800,8.30
2009-11-30,7.15,8.50,6.95,8.25,1448000,8.25
2009-11-23,7.29,7.50,7.00,7.16,396900,7.16
2009-11-16,7.50,7.91,6.59,7.19,610800,7.19
2009-11-09,7.50,7.65,7.20,7.49,561000,7.49
2009-11-02,7.32,7.50,7.10,7.42,676000,7.42
2009-10-26,7.88,8.03,7.16,7.30,918000,7.30
2009-10-19,8.52,8.68,7.84,7.90,726700,7.90
2009-10-12,9.07,9.13,8.41,8.51,640000,8.51
2009-10-05,8.70,9.24,8.57,9.08,898100,9.08
2009-09-28,9.55,9.65,8.62,8.63,919800,8.63
2009-09-21,9.31,9.67,9.10,9.53,799800,9.53
2009-09-14,9.02,9.73,8.92,9.38,754800,9.38
2009-09-08,8.60,9.20,8.56,9.13,468200,9.13
2009-08-31,8.67,8.87,8.26,8.53,762600,8.53
2009-08-24,9.06,9.49,8.53,8.77,1219600,8.77
2009-08-17,7.56,9.24,7.35,8.99,1830500,8.99
2009-08-10,7.53,8.14,7.32,7.68,898400,7.68
2009-08-03,6.97,7.67,6.96,7.56,724500,7.56
2009-07-27,6.76,7.22,6.55,6.92,586900,6.92
2009-07-20,6.35,6.87,6.33,6.78,627600,6.78
2009-07-13,6.02,6.52,5.90,6.33,849800,6.33
2009-07-06,5.98,6.28,5.79,6.04,912000,6.04
2009-06-29,5.22,6.55,5.07,6.25,2188900,6.25
2009-06-22,5.32,5.41,5.02,5.27,1004000,5.27
2009-06-15,5.25,5.52,5.01,5.37,720200,5.37
2009-06-08,5.19,5.36,5.06,5.29,689800,5.29
2009-06-01,5.80,5.88,5.14,5.20,1026500,5.20
2009-05-26,6.05,6.47,5.26,5.62,1267800,5.62
2009-05-18,6.53,6.87,6.09,6.09,401700,6.09
2009-05-11,6.94,7.02,6.21,6.49,482300,6.49
2009-05-04,7.69,7.77,6.54,7.04,714000,7.04
2009-04-27,6.25,7.19,6.25,6.76,413600,6.76
2009-04-20,6.23,6.68,6.01,6.36,485900,6.36
2009-04-13,5.64,6.58,5.47,6.41,627800,6.41
2009-04-06,4.95,5.77,4.83,5.76,598900,5.76
2009-03-30,4.50,5.00,4.16,5.00,429500,5.00
2009-03-23,4.21,4.84,4.04,4.60,597200,4.60
2009-03-16,4.11,4.55,4.04,4.10,616000,4.10
2009-03-09,3.40,4.11,3.35,4.06,703000,4.06
2009-03-02,4.36,4.55,3.34,3.44,788700,3.44
2009-02-23,4.17,4.52,4.07,4.43,775500,4.43
2009-02-17,4.69,5.15,4.10,4.19,1512200,4.19
2009-02-09,5.38,5.42,4.63,4.76,856700,4.76
2009-02-02,4.57,5.38,4.42,5.38,721400,5.38
2009-01-26,4.92,5.25,4.61,4.66,448400,4.66
2009-01-20,5.08,5.22,4.66,4.87,549500,4.87
2009-01-12,5.30,5.44,4.82,5.17,700600,5.17
2009-01-05,4.82,5.68,4.80,5.32,899800,5.32
2008-12-29,4.70,5.29,4.31,5.19,825600,5.19
2008-12-22,5.21,5.30,4.60,4.70,450700,4.70
2008-12-15,5.16,5.47,4.63,5.20,989100,5.20
2008-12-08,5.90,5.94,4.68,5.14,1305800,5.14
2008-12-01,6.58,6.64,5.27,5.95,908300,5.95
2008-11-24,6.29,6.79,5.20,6.78,939500,6.78
2008-11-17,5.27,7.70,4.76,6.15,1634000,6.15
2008-11-10,6.87,6.87,3.40,5.35,1307300,5.35
2008-11-03,7.37,7.75,6.38,6.64,891500,6.64
2008-10-27,6.87,7.35,6.18,7.34,854900,7.34
2008-10-20,8.45,9.12,6.88,6.95,600800,6.95
2008-10-13,8.32,9.44,7.28,8.24,1131800,8.24
