Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.69,1.75,1.58,1.69,127300,1.69
2012-05-14,2.02,2.07,1.54,1.65,175900,1.65
2012-05-07,2.40,2.50,1.98,2.05,173400,2.05
2012-04-30,2.90,2.97,2.25,2.34,238400,2.34
2012-04-23,2.81,2.99,2.70,2.91,107300,2.91
2012-04-16,3.04,3.45,2.80,2.83,153200,2.83
2012-04-09,3.10,3.33,2.80,3.03,208200,3.03
2012-04-02,4.05,4.27,3.06,3.10,306000,3.10
2012-03-26,4.54,4.71,4.01,4.05,124000,4.05
2012-03-19,4.54,4.80,4.43,4.48,75500,4.48
2012-03-12,4.48,4.67,4.33,4.52,102800,4.52
2012-03-05,4.45,4.79,4.11,4.48,139900,4.48
2012-02-27,4.95,5.43,4.40,4.46,255500,4.46
2012-02-21,4.10,5.04,4.05,5.00,301900,5.00
2012-02-13,3.92,4.21,3.80,4.01,429400,4.01
2012-02-06,3.97,4.05,3.52,3.65,384800,3.65
2012-01-30,5.03,5.38,3.95,3.99,315700,3.99
2012-01-23,4.89,5.27,4.67,5.05,104500,5.05
2012-01-17,4.50,4.95,4.44,4.82,149800,4.82
2012-01-09,3.76,4.45,3.65,4.44,142000,4.44
2012-01-03,4.21,4.27,3.58,3.68,212900,3.68
2011-12-27,3.58,4.20,3.30,4.13,105500,4.13
2011-12-19,3.35,3.75,3.16,3.60,150700,3.60
2011-12-12,3.79,4.40,3.30,3.33,229900,3.33
2011-12-05,4.21,4.24,3.44,3.80,141500,3.80
2011-11-28,4.76,5.11,4.10,4.14,125600,4.14
2011-11-21,5.00,5.10,4.50,4.60,71800,4.60
2011-11-14,5.57,5.80,4.90,5.11,89100,5.11
2011-11-07,5.25,5.67,5.21,5.59,209900,5.59
2011-10-31,5.54,5.68,4.78,5.30,387700,5.30
2011-10-24,6.32,6.85,5.57,5.61,173300,5.61
2011-10-17,6.94,7.08,6.20,6.30,165400,6.30
2011-10-10,8.01,8.01,6.58,6.99,145900,6.99
2011-10-03,8.12,8.68,7.02,8.04,136700,8.04
2011-09-26,7.94,9.02,7.47,8.15,91200,8.15
2011-09-19,9.17,9.38,7.26,7.85,81500,7.85
2011-09-12,8.20,9.47,8.20,9.37,53000,9.37
2011-09-06,7.75,9.04,7.75,8.34,97000,8.34
2011-08-29,8.99,9.46,7.85,7.94,98500,7.94
2011-08-22,8.16,9.44,7.99,8.80,196400,8.80
2011-08-15,8.97,9.29,7.78,7.95,154900,7.95
2011-08-08,9.11,10.03,8.77,9.04,220000,9.04
2011-08-01,8.74,10.61,8.62,9.46,162000,9.46
2011-07-25,10.27,10.68,8.19,8.59,289200,8.59
2011-07-18,10.98,11.05,10.01,10.45,135300,10.45
2011-07-11,11.65,11.93,10.72,10.99,150600,10.99
2011-07-05,12.46,13.12,11.65,11.78,173500,11.78
2011-06-27,13.68,13.93,11.74,12.00,270400,12.00
2011-06-20,14.74,14.98,13.41,13.76,262100,13.76
2011-06-13,14.35,15.00,13.81,14.79,149500,14.79
2011-06-06,15.57,15.89,14.01,14.27,114100,14.27
2011-05-31,16.82,19.77,15.00,15.48,188000,15.48
2011-05-23,16.59,17.35,16.19,16.56,71100,16.56
2011-05-16,18.53,18.71,16.59,16.86,129600,16.86
2011-05-09,17.44,18.82,17.15,18.61,152300,18.61
2011-05-02,17.47,18.48,16.68,17.43,180100,17.43
2011-04-25,17.50,18.11,16.72,17.41,139400,17.41
2011-04-18,16.30,17.50,16.13,17.49,112600,17.49
2011-04-11,15.62,16.61,14.79,16.60,190800,16.60
2011-04-04,20.64,20.69,14.57,15.66,943900,15.66
2011-03-28,21.41,21.41,18.20,20.56,190800,20.56
2011-03-21,20.70,22.19,20.33,21.34,123500,21.34
2011-03-14,21.20,21.49,19.86,20.40,101200,20.40
2011-03-07,22.13,22.24,20.80,21.61,100800,21.61
2011-02-28,22.21,23.66,20.28,22.11,175200,22.11
2011-02-22,24.70,26.28,21.26,22.23,347600,22.23
2011-02-14,21.91,27.33,20.50,25.50,341700,25.50
2011-02-07,18.00,22.00,17.76,21.82,229300,21.82
2011-01-31,18.19,18.57,16.78,17.93,252700,17.93
2011-01-24,18.83,18.83,17.68,17.95,89800,17.95
2011-01-18,19.24,19.38,17.95,18.61,109400,18.61
2011-01-10,16.36,20.12,16.30,19.26,137300,19.26
2011-01-03,15.62,16.60,14.88,16.50,90200,16.50
2010-12-27,14.80,15.84,13.75,15.42,43600,15.42
2010-12-20,13.90,14.95,13.72,14.83,148500,14.83
2010-12-13,14.50,14.50,13.71,13.82,90300,13.82
2010-12-06,14.38,14.85,14.00,14.36,75500,14.36
2010-11-29,15.05,15.15,13.75,14.44,134600,14.44
2010-11-22,15.11,15.57,14.40,15.14,63500,15.14
2010-11-15,16.00,16.49,14.35,15.10,108100,15.10
2010-11-08,17.28,17.77,15.56,15.92,133400,15.92
2010-11-01,15.16,17.50,14.69,17.41,98000,17.41
2010-10-25,14.99,16.42,14.52,15.16,152800,15.16
2010-10-18,13.76,15.16,13.76,14.90,124000,14.90
2010-10-11,14.81,15.15,13.65,14.34,205300,14.34
2010-10-04,17.35,17.68,14.75,14.82,120300,14.82
2010-09-27,16.00,17.54,15.33,17.35,121900,17.35
2010-09-20,16.89,17.35,15.60,16.01,59000,16.01
2010-09-13,15.35,18.50,15.15,16.85,141300,16.85
2010-09-07,13.50,15.31,13.15,15.25,105700,15.25
2010-08-30,14.21,14.26,12.76,13.63,71500,13.63
2010-08-23,13.89,14.25,12.64,14.21,116100,14.21
2010-08-16,12.15,13.87,12.11,13.74,40000,13.74
2010-08-09,11.72,12.57,11.05,12.16,78000,12.16
2010-08-02,11.94,12.23,11.22,11.65,53600,11.65
2010-07-26,13.41,14.24,12.05,12.18,79800,12.18
2010-07-19,10.58,13.73,10.44,13.25,111000,13.25
2010-07-12,11.19,11.33,10.52,10.56,122800,10.56
2010-07-06,11.83,12.24,10.76,11.25,77200,11.25
2010-06-28,12.77,13.26,11.22,11.77,65000,11.77
2010-06-21,14.03,14.46,12.49,12.62,181000,12.62
2010-06-14,15.02,15.02,13.95,13.99,46100,13.99
2010-06-07,14.88,15.48,14.44,15.00,69700,15.00
2010-06-01,13.11,15.03,13.10,14.88,67000,14.88
2010-05-24,12.20,13.20,11.05,13.10,88900,13.10
2010-05-17,14.98,15.18,12.14,12.21,68800,12.21
2010-05-10,14.06,17.00,14.06,15.19,126000,15.19
2010-05-03,17.38,17.73,13.52,13.83,142000,13.83
2010-04-26,17.50,17.95,16.61,17.37,46000,17.37
2010-04-19,17.41,18.42,16.26,17.51,112400,17.51
2010-04-12,18.37,18.93,17.40,17.49,108200,17.49
2010-04-05,19.10,19.33,18.00,18.46,152300,18.46
2010-03-31,20.00,20.05,18.50,19.01,2438800,19.01
