Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,40.88,42.26,40.84,41.56,821700,41.56
2012-05-14,43.15,43.28,40.76,40.88,1465000,40.88
2012-05-07,42.35,46.19,41.72,42.91,1559200,42.91
2012-04-30,44.56,44.94,42.27,42.56,973400,42.56
2012-04-23,45.04,45.61,44.28,44.88,847600,44.88
2012-04-16,43.90,46.65,43.76,45.90,1151100,45.90
2012-04-09,45.91,46.32,43.91,45.40,914200,45.40
2012-04-02,47.63,49.13,46.20,46.78,849000,46.78
2012-03-26,47.92,49.17,46.24,47.74,1149800,47.74
2012-03-19,48.40,48.78,46.60,47.41,844900,47.41
2012-03-12,47.67,49.40,47.01,48.52,700400,48.52
2012-03-05,48.44,48.60,45.24,47.65,1428800,47.65
2012-02-27,46.85,49.60,45.68,48.76,1458300,48.47
2012-02-21,45.07,48.39,44.05,47.33,1561300,47.04
2012-02-13,42.82,45.41,42.10,44.70,1166200,44.43
2012-02-06,43.07,43.47,41.75,42.48,766500,42.22
2012-01-30,41.82,43.53,40.65,43.19,1286100,42.93
2012-01-23,41.95,43.05,41.68,42.20,1268700,41.95
2012-01-17,40.84,42.20,39.31,41.69,1393700,41.44
2012-01-09,36.53,40.00,35.80,39.75,1423900,39.51
2012-01-03,34.19,36.62,33.32,36.22,1525500,36.00
2011-12-27,33.54,33.58,32.38,33.31,453900,33.11
2011-12-19,32.62,33.90,31.54,33.56,766900,33.36
2011-12-12,35.22,35.49,32.27,32.51,1060900,32.31
2011-12-05,36.23,37.43,35.15,36.02,704600,35.80
2011-11-28,33.47,35.85,33.23,35.47,791100,35.26
2011-11-21,33.19,33.90,32.51,32.63,822400,32.18
2011-11-14,34.18,34.89,33.81,34.06,1116000,33.60
2011-11-07,34.61,35.43,33.08,34.30,1099400,33.83
2011-10-31,39.07,39.71,32.56,34.54,1986600,34.07
2011-10-24,37.88,40.99,36.02,39.90,1594700,39.36
2011-10-17,37.31,37.75,34.72,37.66,979400,37.15
2011-10-10,36.91,38.98,35.52,37.60,1296400,37.09
2011-10-03,32.56,37.21,30.03,36.04,1510400,35.55
2011-09-26,32.55,35.20,31.33,32.97,865000,32.52
2011-09-19,37.10,37.92,31.16,32.31,1257200,31.87
2011-09-12,34.61,38.35,34.43,37.81,1174300,37.29
2011-09-06,35.00,37.86,34.26,35.31,1284700,34.83
2011-08-29,36.80,38.73,35.64,36.23,1195700,35.74
2011-08-22,34.43,36.81,33.20,36.48,1354500,35.74
2011-08-15,39.01,39.93,33.33,33.58,1595600,32.90
2011-08-08,36.39,39.51,34.91,38.75,2175600,37.96
2011-08-01,49.58,50.03,33.60,39.42,2610700,38.62
2011-07-25,51.84,51.99,47.63,48.77,799300,47.78
2011-07-18,51.65,52.58,50.69,52.25,482900,51.18
2011-07-11,51.51,52.94,50.02,52.02,856000,50.96
2011-07-05,53.87,53.92,51.74,52.00,1205700,50.94
2011-06-27,50.04,54.44,49.51,53.98,808200,52.88
2011-06-20,48.07,50.39,47.45,49.93,1082300,48.91
2011-06-13,44.98,48.56,44.39,48.15,2215200,47.17
2011-06-06,46.98,47.00,44.43,44.63,1413500,43.72
2011-05-31,49.41,49.79,45.61,46.83,1097600,45.87
2011-05-23,48.14,48.95,47.98,48.39,738500,47.40
2011-05-16,48.73,50.09,47.83,49.07,925200,47.82
2011-05-09,52.37,52.96,49.98,49.99,1070000,48.72
2011-05-02,51.53,52.37,49.90,52.07,1397500,50.75
2011-04-25,49.03,51.31,47.98,51.25,876000,49.95
2011-04-18,45.05,49.90,44.49,48.82,992400,47.58
2011-04-11,47.92,47.97,43.79,45.78,1364400,44.62
2011-04-04,48.76,50.21,47.17,47.82,1428800,46.60
2011-03-28,49.18,49.31,47.46,48.62,824600,47.38
2011-03-21,50.56,51.02,48.55,48.97,1258800,47.73
2011-03-14,50.06,50.85,47.75,49.76,1508700,48.50
2011-03-07,50.71,51.28,48.52,49.80,1498200,48.53
2011-02-28,50.65,51.38,48.53,50.81,1769600,49.27
2011-02-22,57.62,58.14,47.65,50.32,3641500,48.80
2011-02-14,57.85,58.73,57.09,58.40,712100,56.63
2011-02-07,57.07,58.21,55.75,57.77,780600,56.02
2011-01-31,58.03,59.58,54.37,56.66,1213400,54.95
2011-01-24,57.68,61.55,56.50,57.80,1133500,56.05
2011-01-18,59.27,59.71,56.94,57.56,1057600,55.82
2011-01-10,58.72,62.20,58.31,58.86,1618600,57.08
2011-01-03,52.50,60.43,52.39,59.71,2662700,57.90
2010-12-27,52.12,52.98,51.40,52.00,532300,50.43
2010-12-20,51.45,52.91,50.75,52.03,1508200,50.46
2010-12-13,50.87,51.54,49.53,51.17,1776600,49.62
2010-12-06,51.47,52.42,50.00,50.28,1093100,48.76
2010-11-29,48.92,52.05,47.02,51.50,1027900,49.94
2010-11-22,95.71,97.70,47.82,48.82,860800,47.34
2010-11-15,97.59,98.88,93.15,95.66,925800,46.21
2010-11-08,101.10,101.46,95.66,96.52,873000,46.63
2010-11-01,91.53,100.47,89.56,99.46,1431000,48.05
2010-10-25,91.36,92.12,88.36,90.54,723300,43.74
2010-10-18,87.47,89.81,84.54,88.81,728200,42.90
2010-10-11,86.08,90.75,84.85,87.77,955200,42.40
2010-10-04,82.28,86.46,81.04,86.12,923200,41.60
2010-09-27,79.43,83.24,78.50,82.49,1326600,39.85
2010-09-20,77.54,80.26,77.10,79.25,997200,38.28
2010-09-13,80.40,80.94,75.87,77.83,1539200,37.60
2010-09-07,85.30,85.74,78.32,79.15,1523500,38.23
2010-08-30,77.78,86.22,74.95,85.65,1381200,41.37
2010-08-23,79.56,80.16,74.11,77.60,1382100,37.49
2010-08-16,78.59,84.00,75.29,79.46,1568400,38.23
2010-08-09,79.85,80.05,71.65,76.14,1515000,36.64
2010-08-02,75.83,81.24,73.29,79.00,1928700,38.01
2010-07-26,74.47,75.58,71.59,74.68,1220600,35.93
2010-07-19,71.53,75.61,70.34,74.45,1078300,35.82
2010-07-12,68.88,73.80,67.67,71.18,1269100,34.25
2010-07-06,64.88,69.07,61.96,68.75,1186000,33.08
2010-06-28,70.07,70.38,62.65,63.89,1657200,30.74
2010-06-21,68.59,71.65,67.53,69.99,1945500,33.68
2010-06-14,67.68,71.67,65.88,67.96,2063500,32.70
2010-06-07,67.41,68.43,65.50,67.07,1661900,32.27
2010-06-01,67.93,71.63,66.88,67.26,1862800,32.36
2010-05-24,68.13,70.07,64.89,67.49,1973900,32.47
2010-05-17,74.33,75.13,66.01,68.50,1838900,32.87
2010-05-10,70.82,77.18,70.81,73.84,3592000,35.43
2010-05-03,66.49,76.46,61.67,69.13,5219300,33.17
2010-04-26,64.74,67.55,64.30,65.66,1506000,31.51
2010-04-19,62.96,64.97,62.36,64.41,1260300,30.91
2010-04-12,63.06,64.51,62.66,63.37,652300,30.41
2010-04-05,63.26,63.68,61.89,63.21,889800,30.33
2010-03-29,61.92,63.63,61.70,63.10,854900,30.28
2010-03-22,58.51,62.55,58.45,61.58,941800,29.55
2010-03-15,58.30,59.35,57.77,58.96,704300,28.29
2010-03-08,58.48,58.76,57.10,58.18,501300,27.92
