Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,32.26,33.23,32.15,32.82,85600,32.82
2012-05-14,34.95,35.20,32.23,32.31,160300,32.31
2012-05-07,34.99,35.63,33.85,35.15,161000,35.15
2012-04-30,35.73,36.12,34.82,34.82,163800,34.82
2012-04-23,33.62,36.18,32.67,35.86,196500,35.86
2012-04-16,34.23,34.66,33.49,34.06,207300,34.06
2012-04-09,34.15,34.67,32.98,34.21,189500,34.21
2012-04-02,34.55,35.55,34.36,34.50,159700,34.50
2012-03-26,34.60,34.79,33.57,34.59,163200,34.59
2012-03-19,36.40,36.40,33.86,34.41,201200,34.41
2012-03-12,37.36,37.75,36.50,36.57,267600,36.05
2012-03-05,37.27,37.69,35.95,37.36,154600,36.82
2012-02-27,36.95,37.61,36.92,37.27,182200,36.73
2012-02-21,36.94,37.42,36.52,37.04,244200,36.51
2012-02-13,36.64,37.08,36.44,36.88,198200,36.35
2012-02-06,36.24,37.01,36.15,36.38,129700,35.86
2012-01-30,34.70,36.53,34.61,36.35,306200,35.83
2012-01-23,34.83,35.56,34.44,34.93,296200,34.43
2012-01-17,33.61,35.13,33.35,34.75,598900,34.25
2012-01-09,31.85,32.95,31.85,32.72,181900,32.25
2012-01-03,32.25,33.01,31.72,31.79,82700,31.33
2011-12-27,31.97,32.39,31.61,31.98,43500,31.52
2011-12-19,31.17,31.97,30.45,31.97,56100,31.51
2011-12-12,31.82,32.03,30.85,31.15,118200,30.70
2011-12-05,32.84,33.49,31.72,32.14,102100,31.68
2011-11-28,30.40,32.84,30.33,32.70,183100,32.23
2011-11-21,31.23,31.47,29.58,29.63,129300,29.20
2011-11-14,32.99,33.05,31.56,31.65,167400,30.69
2011-11-07,32.30,33.35,31.89,32.95,224400,31.95
2011-10-31,31.88,32.75,31.13,32.25,171900,31.27
2011-10-24,29.03,32.98,28.96,32.24,592100,31.26
2011-10-17,28.45,29.35,27.81,28.91,113500,28.03
2011-10-10,26.95,28.72,26.67,28.69,111000,27.82
2011-10-03,26.47,27.01,23.71,26.49,560300,25.69
2011-09-26,27.96,28.68,26.49,26.55,120400,25.75
2011-09-19,29.29,29.80,27.17,27.75,565200,26.91
2011-09-12,27.33,29.86,27.33,29.78,77100,28.88
2011-09-06,27.35,28.55,27.23,27.75,89200,26.91
2011-08-29,27.78,28.31,27.31,28.01,130900,27.16
2011-08-22,25.34,27.57,24.40,27.28,133900,26.45
2011-08-15,28.55,28.62,25.02,25.07,93600,24.22
2011-08-08,26.53,28.48,24.75,28.19,169900,27.23
2011-08-01,30.17,30.61,26.50,27.07,226800,26.15
2011-07-25,30.50,30.79,29.69,30.02,110900,29.00
2011-07-18,30.37,30.78,29.68,30.59,62200,29.55
2011-07-11,30.34,30.66,30.26,30.47,59700,29.43
2011-07-05,31.00,31.83,30.09,30.49,150100,29.45
2011-06-27,29.08,30.98,29.02,30.66,117700,29.62
2011-06-20,29.62,29.80,29.03,29.16,57200,28.17
2011-06-13,30.35,30.57,29.64,29.64,51100,28.63
2011-06-06,30.40,30.69,30.24,30.45,57100,29.41
2011-05-31,30.88,30.88,30.10,30.43,180000,29.40
2011-05-23,30.07,31.00,29.49,30.81,117100,29.76
2011-05-16,30.09,30.53,29.26,30.23,50500,29.10
2011-05-09,30.04,30.26,29.65,30.08,108900,28.96
2011-05-02,30.66,30.80,29.96,30.00,67800,28.88
2011-04-25,30.70,31.13,30.32,30.64,93100,29.50
2011-04-18,29.18,30.99,28.96,30.72,128300,29.58
2011-04-11,27.05,29.49,27.05,29.34,327300,28.25
2011-04-04,28.05,28.10,26.70,27.02,224900,26.01
2011-03-28,27.75,29.34,27.72,27.96,152800,26.82
2011-03-21,27.71,28.07,27.06,27.82,123500,26.69
2011-03-14,28.56,28.74,27.15,27.54,75800,26.42
2011-03-07,29.60,29.60,28.06,28.71,84600,27.54
2011-02-28,27.41,30.11,27.29,29.53,288800,28.33
2011-02-22,27.73,27.75,26.43,27.34,90100,26.23
2011-02-14,28.15,28.18,27.21,27.80,116400,26.67
2011-02-07,28.05,28.25,27.54,28.09,112000,26.95
2011-01-31,27.03,29.50,26.91,28.13,284900,26.98
2011-01-24,26.66,27.16,26.40,26.94,100000,25.84
2011-01-18,26.97,27.50,26.53,26.77,73800,25.68
2011-01-10,27.61,28.11,26.27,27.03,146200,25.93
2011-01-03,27.10,28.00,26.87,27.67,217100,26.54
2010-12-27,27.03,28.06,26.82,27.10,160300,26.00
2010-12-20,17.83,30.77,17.68,27.25,967800,26.14
2010-12-13,17.06,17.85,16.95,17.75,126100,17.03
2010-12-06,16.70,17.31,16.70,17.05,56100,16.36
2010-11-29,16.28,16.79,16.07,16.79,57200,16.11
2010-11-22,16.58,16.70,16.10,16.31,41800,15.65
2010-11-15,16.60,16.84,16.39,16.63,56100,15.86
2010-11-08,15.61,17.09,15.33,16.56,167400,15.79
2010-11-01,14.55,15.85,14.43,15.83,79000,15.09
2010-10-25,14.70,15.04,14.33,14.51,50000,13.84
2010-10-18,14.60,14.70,14.19,14.70,67700,14.02
2010-10-11,13.84,14.87,13.74,14.70,284400,14.02
2010-10-04,13.19,14.75,13.15,13.94,338100,13.29
2010-09-27,10.65,11.08,10.51,10.67,61700,10.17
2010-09-20,10.90,10.92,10.48,10.60,122000,10.11
2010-09-13,11.07,11.14,10.84,10.85,34700,10.35
2010-09-07,11.17,11.17,10.92,11.01,64600,10.50
2010-08-30,11.44,11.51,11.12,11.19,63200,10.67
2010-08-23,11.92,11.99,11.37,11.50,99800,10.97
2010-08-16,12.28,12.41,11.85,11.88,80400,11.23
2010-08-09,12.51,12.61,12.17,12.29,83600,11.62
2010-08-02,12.80,12.80,12.48,12.51,73300,11.83
2010-07-26,12.64,12.74,12.54,12.72,106600,12.03
2010-07-19,12.31,12.60,12.17,12.60,30100,11.91
