Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,19.55,20.00,19.47,19.87,85500,19.87
2012-05-14,20.02,20.35,19.26,19.54,136700,19.54
2012-05-07,19.62,20.51,19.51,20.19,136500,20.19
2012-04-30,19.85,20.07,19.50,19.67,74100,19.67
2012-04-23,19.27,19.92,19.15,19.89,59400,19.89
2012-04-16,19.73,19.90,19.09,19.33,85300,19.33
2012-04-09,19.57,19.81,19.16,19.73,84800,19.73
2012-04-02,19.70,19.80,19.35,19.65,97900,19.65
2012-03-26,20.12,20.35,19.19,19.74,168100,19.74
2012-03-19,19.78,20.22,19.76,20.12,127200,19.42
2012-03-12,20.08,20.25,19.80,19.80,173000,19.11
2012-03-05,19.85,20.25,19.66,20.03,133900,19.33
2012-02-27,19.73,20.19,19.52,19.83,199200,19.14
2012-02-21,19.94,20.15,19.80,19.81,125600,19.12
2012-02-13,19.25,19.99,19.18,19.94,291200,19.24
2012-02-06,19.05,19.23,18.99,19.22,147500,18.55
2012-01-30,19.01,19.14,18.91,19.13,271100,18.46
2012-01-23,18.85,19.10,18.85,19.07,275200,18.40
2012-01-17,19.60,19.75,18.74,18.86,1061800,18.20
2012-01-09,19.66,19.80,19.46,19.58,44800,18.90
2012-01-03,20.15,20.15,19.51,19.55,39800,18.87
2011-12-27,20.50,20.70,19.40,20.13,66000,19.43
2011-12-19,20.53,20.80,19.92,20.52,64700,19.13
2011-12-12,18.75,21.17,18.50,20.95,84000,19.53
2011-12-05,18.38,19.03,18.10,19.02,23300,17.73
2011-11-28,18.58,19.20,17.95,18.24,41600,17.00
2011-11-21,18.87,19.10,18.18,18.18,19400,16.95
2011-11-14,17.60,19.25,17.52,19.17,39500,17.87
2011-11-07,17.85,18.14,16.48,17.22,28300,16.05
2011-10-31,18.08,18.42,17.80,17.88,22600,16.67
2011-10-24,18.32,19.22,17.52,18.29,20700,17.05
2011-10-17,18.11,18.48,17.56,18.32,29400,17.08
2011-10-10,18.15,18.70,17.80,18.25,31200,17.01
2011-10-03,18.48,19.00,17.61,18.02,46400,16.80
2011-09-26,18.70,18.93,17.72,18.70,116800,17.43
2011-09-19,18.95,19.33,17.99,18.57,23700,16.94
2011-09-12,17.76,18.99,17.75,18.96,24700,17.29
2011-09-06,17.55,18.99,17.41,17.89,24000,16.32
2011-08-29,18.85,19.11,17.53,17.91,38300,16.33
2011-08-22,19.29,19.29,18.10,18.72,48100,17.07
2011-08-15,19.15,19.49,18.85,19.01,28500,17.34
2011-08-08,18.15,19.22,17.84,19.19,75300,17.50
2011-08-01,19.28,19.34,17.50,18.56,61500,16.93
2011-07-25,19.79,19.89,17.96,19.29,38200,17.59
2011-07-18,19.90,19.95,19.70,19.79,34700,18.05
2011-07-11,19.85,19.95,19.78,19.90,65000,18.15
2011-07-05,19.89,19.98,19.67,19.90,78500,18.15
2011-06-30,19.50,19.99,19.26,19.85,1499400,18.10
