Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.86,4.90,4.56,4.56,142200,4.56
2012-05-14,4.84,5.01,4.80,4.84,81000,4.84
2012-05-07,4.94,5.07,4.53,4.91,55500,4.91
2012-04-30,5.21,5.29,4.80,4.99,94300,4.99
2012-04-23,5.30,5.36,5.07,5.21,71900,5.21
2012-04-16,4.99,5.36,4.76,5.23,55700,5.23
2012-04-09,4.80,5.36,4.49,4.95,68300,4.95
2012-04-02,4.90,5.01,4.54,4.86,38900,4.86
2012-03-26,4.60,5.00,4.55,4.91,44600,4.91
2012-03-19,4.00,4.70,3.92,4.54,120400,4.54
2012-03-12,4.86,5.24,3.93,4.02,184000,4.02
2012-03-05,4.00,4.81,3.85,4.81,377000,4.81
2012-02-27,3.02,3.93,2.55,3.89,72100,3.89
2012-02-21,2.76,3.12,2.60,3.10,203000,3.10
2012-02-13,2.57,2.89,2.55,2.79,37700,2.79
2012-02-06,2.63,2.73,2.51,2.70,15000,2.70
2012-01-30,2.52,2.73,2.39,2.60,21400,2.60
2012-01-23,2.20,2.76,2.12,2.60,36600,2.60
2012-01-17,2.17,2.37,2.08,2.23,12300,2.23
2012-01-09,2.10,2.26,1.86,2.20,13400,2.20
2012-01-03,1.88,2.10,1.88,2.09,7600,2.09
2011-12-27,1.90,1.98,1.74,1.87,22600,1.87
2011-12-19,1.80,1.99,1.79,1.92,12600,1.92
2011-12-12,1.89,2.05,1.73,1.78,23900,1.78
2011-12-05,1.80,1.99,1.64,1.97,22400,1.97
2011-11-28,1.87,1.91,1.52,1.82,24700,1.82
2011-11-21,1.80,1.90,1.60,1.84,16800,1.84
2011-11-14,1.58,1.92,1.58,1.82,31700,1.82
2011-11-07,1.40,1.58,1.36,1.58,21600,1.58
2011-10-31,1.59,2.00,1.50,1.58,121200,1.58
2011-10-24,1.73,1.73,1.52,1.60,107100,1.60
2011-10-17,1.69,1.94,1.66,1.71,8500,1.71
2011-10-10,1.65,1.92,1.65,1.66,8600,1.66
2011-10-03,1.89,1.89,1.30,1.63,10500,1.63
2011-09-26,2.31,2.42,1.85,1.90,11200,1.90
2011-09-19,2.43,2.50,2.23,2.34,4500,2.34
2011-09-12,2.43,2.60,2.39,2.49,5000,2.49
2011-09-06,2.42,2.60,2.40,2.47,7100,2.47
2011-08-29,2.53,2.63,2.34,2.42,7300,2.42
2011-08-22,2.77,2.81,2.33,2.53,14300,2.53
2011-08-15,2.68,3.00,2.66,2.70,10600,2.70
2011-08-08,2.94,3.02,2.33,2.73,44700,2.73
2011-08-01,2.95,3.07,2.80,2.86,29000,2.86
2011-07-25,3.10,3.10,2.95,2.95,16700,2.95
2011-07-18,3.01,3.12,2.95,3.09,44900,3.09
2011-07-11,3.03,3.19,2.80,3.01,60000,3.01
2011-07-05,3.05,3.15,2.91,3.07,73600,3.07
2011-06-27,2.99,3.09,2.85,3.05,40700,3.05
2011-06-20,2.94,3.00,2.70,2.97,13500,2.97
2011-06-13,2.69,3.02,2.63,2.97,45300,2.97
2011-06-06,2.79,2.79,2.56,2.67,43900,2.67
2011-05-31,2.87,2.89,2.75,2.85,10300,2.85
2011-05-23,2.80,2.88,2.75,2.88,7600,2.88
2011-05-16,2.96,2.98,2.75,2.80,24600,2.80
2011-05-09,3.24,3.24,2.71,2.92,76000,2.92
2011-05-02,2.66,3.12,2.65,2.93,51800,2.93
2011-04-25,2.41,2.67,2.41,2.63,16400,2.63
2011-04-18,2.47,2.52,2.31,2.52,10800,2.52
2011-04-11,2.59,2.61,2.45,2.50,14500,2.50
2011-04-04,2.60,2.65,2.50,2.58,17100,2.58
2011-03-28,2.67,2.70,2.52,2.60,16400,2.60
2011-03-21,2.60,2.65,2.28,2.60,41200,2.60
2011-03-14,2.66,2.69,2.54,2.60,10500,2.60
2011-03-07,2.67,2.74,2.60,2.68,30100,2.68
2011-02-28,2.69,2.74,2.60,2.67,43000,2.67
2011-02-22,2.70,2.80,2.50,2.68,20400,2.68
2011-02-14,2.54,2.83,2.50,2.77,57800,2.77
2011-02-07,2.28,2.64,2.27,2.57,37900,2.57
2011-01-31,2.26,2.37,2.20,2.30,28500,2.30
2011-01-24,2.19,2.40,2.08,2.33,34100,2.33
2011-01-18,2.58,2.58,2.17,2.22,50100,2.22
2011-01-10,2.00,2.70,2.00,2.58,50300,2.58
2011-01-03,2.05,2.05,1.98,2.01,80000,2.01
2010-12-27,2.01,2.05,1.96,2.03,19500,2.03
2010-12-20,2.04,2.16,2.00,2.00,52900,2.00
2010-12-13,2.02,2.10,2.00,2.10,25800,2.10
2010-12-06,2.00,2.09,1.98,2.02,18600,2.02
2010-11-29,2.05,2.10,1.90,2.02,25000,2.02
2010-11-22,1.89,2.10,1.89,2.07,38600,2.07
2010-11-15,1.92,1.99,1.83,1.92,18800,1.92
2010-11-08,1.89,1.93,1.87,1.90,12100,1.90
2010-11-01,1.97,2.04,1.85,1.92,25000,1.92
2010-10-25,1.77,1.97,1.77,1.93,44600,1.93
2010-10-18,1.70,1.79,1.68,1.78,25300,1.78
2010-10-11,1.65,1.70,1.52,1.67,23200,1.67
2010-10-04,1.79,1.91,1.65,1.65,32800,1.65
2010-09-27,1.83,1.95,1.72,1.78,18100,1.78
2010-09-20,1.92,1.99,1.84,1.85,16300,1.85
2010-09-13,2.00,2.01,1.91,1.95,8000,1.95
2010-09-07,1.99,2.16,1.91,2.00,13000,2.00
2010-08-30,2.06,2.09,1.91,2.04,24500,2.04
2010-08-23,1.88,2.17,1.85,2.11,15100,2.11
2010-08-16,2.30,2.41,1.80,1.90,42200,1.90
2010-08-09,2.24,2.38,2.08,2.32,57400,2.32
2010-08-02,2.16,2.22,2.08,2.22,20300,2.22
2010-07-26,2.08,2.18,2.08,2.15,25400,2.15
2010-07-19,2.02,2.17,2.01,2.11,26500,2.11
2010-07-12,1.90,2.13,1.90,2.05,44500,2.05
2010-07-06,1.59,2.02,1.58,1.90,53700,1.90
2010-06-28,1.54,1.64,1.47,1.61,56100,1.61
2010-06-21,1.35,1.60,1.35,1.51,31800,1.51
2010-06-14,1.74,1.75,1.30,1.35,82200,1.35
2010-06-07,1.95,1.95,1.70,1.75,32100,1.75
2010-06-01,1.82,1.93,1.80,1.92,10600,1.92
2010-05-24,1.77,1.91,1.76,1.86,19800,1.86
2010-05-17,1.90,1.95,1.78,1.80,18000,1.80
2010-05-10,2.25,2.25,1.85,1.89,38200,1.89
2010-05-03,2.09,2.23,2.01,2.21,76600,2.21
2010-04-26,2.08,2.15,2.03,2.03,45300,2.03
2010-04-19,1.88,2.10,1.75,2.05,55600,2.05
2010-04-12,2.01,2.05,1.78,1.85,57200,1.85
2010-04-05,2.00,2.10,2.00,2.02,29000,2.02
2010-03-29,2.00,2.09,2.00,2.00,16700,2.00
2010-03-22,1.86,2.15,1.82,2.04,57100,2.04
2010-03-15,2.11,2.11,1.78,1.86,88200,1.86
2010-03-08,1.81,2.00,1.81,1.87,47800,1.87
2010-03-01,1.78,1.90,1.71,1.80,20200,1.80
2010-02-22,1.75,1.83,1.70,1.74,14500,1.74
