Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,31.67,31.90,31.42,31.76,8291800,31.76
2012-05-14,31.66,32.04,31.60,31.68,10629300,31.68
2012-05-07,32.41,32.45,31.70,31.79,9991900,31.79
2012-04-30,32.17,32.62,31.99,32.43,7430700,32.43
2012-04-23,31.80,32.22,31.28,32.13,8917700,32.13
2012-04-16,31.55,32.10,31.23,31.89,7449400,31.89
2012-04-09,31.05,31.77,30.94,31.49,10487600,31.49
2012-04-02,30.74,31.37,30.74,31.36,8244100,31.36
2012-03-26,30.50,31.00,30.31,30.87,8841600,30.87
2012-03-19,29.97,30.49,29.89,30.40,7435300,30.40
2012-03-12,30.54,30.71,29.77,30.03,12643800,30.03
2012-03-05,29.95,30.58,29.79,30.46,20462000,30.05
2012-02-27,29.91,30.28,29.81,29.96,11686700,29.56
2012-02-21,29.66,29.99,29.49,29.99,8212900,29.59
2012-02-13,29.34,29.75,29.07,29.65,9527200,29.25
2012-02-06,28.82,29.44,28.52,29.21,11688300,28.82
2012-01-30,28.02,28.90,28.00,28.84,12554500,28.45
2012-01-23,28.73,28.92,28.09,28.14,11577100,27.76
2012-01-17,29.08,29.19,28.45,28.70,11283700,28.31
2012-01-09,28.57,29.00,28.42,28.96,10085600,28.57
2012-01-03,28.65,28.99,28.25,28.72,17259800,28.33
2011-12-27,29.83,29.97,29.53,29.65,6817100,29.25
2011-12-19,29.36,30.40,29.29,29.84,11007200,29.44
2011-12-12,28.72,29.47,28.67,29.14,19097200,28.36
2011-12-05,28.53,28.95,28.13,28.78,24125100,28.01
2011-11-28,27.65,29.05,27.46,28.41,13046200,27.65
2011-11-21,27.38,27.52,27.00,27.25,9434300,26.52
2011-11-14,27.69,27.90,27.42,27.64,12135800,26.90
2011-11-07,27.34,27.99,27.03,27.78,10671900,27.04
2011-10-31,27.39,27.85,26.96,27.37,13780300,26.64
2011-10-24,27.53,27.80,26.80,27.56,14941000,26.82
2011-10-17,27.55,27.81,27.02,27.45,11511300,26.71
2011-10-10,27.73,28.14,27.39,27.67,11766200,26.93
2011-10-03,26.71,27.60,25.94,27.43,14344400,26.69
2011-09-26,25.89,27.27,25.74,26.81,16785700,26.09
2011-09-19,26.64,27.19,25.27,25.77,13967200,25.08
2011-09-12,26.06,27.19,25.90,26.90,14698800,26.18
2011-09-06,26.14,27.32,26.01,26.37,31715700,25.27
2011-08-29,26.56,27.41,26.50,26.72,10995900,25.60
2011-08-22,26.23,26.55,25.61,26.30,12017900,25.20
2011-08-15,25.44,26.24,25.27,25.71,14965200,24.63
2011-08-08,24.98,25.45,23.20,25.20,32845800,24.15
2011-08-01,26.53,26.57,25.44,25.89,20077100,24.81
2011-07-25,26.10,26.59,26.02,26.30,11054700,25.20
2011-07-18,26.62,27.05,26.01,26.36,12063600,25.26
2011-07-11,26.99,27.09,26.47,26.69,9653000,25.57
2011-07-05,26.49,27.09,26.40,26.89,10286900,25.76
2011-06-27,26.78,26.83,25.92,26.53,14958500,25.42
2011-06-20,27.10,27.61,26.53,26.79,13538800,25.67
2011-06-13,26.93,27.54,26.40,27.08,12467600,25.95
2011-06-06,27.61,27.64,26.94,27.01,9914400,25.52
2011-05-31,28.01,28.13,27.35,27.60,13289700,26.07
2011-05-23,27.55,28.03,27.51,27.94,12254000,26.39
2011-05-16,27.22,28.03,27.19,27.74,14366800,26.21
2011-05-09,26.97,27.63,26.91,27.31,7488800,25.80
2011-05-02,26.82,27.16,26.62,26.96,11534900,25.47
2011-04-25,26.09,27.00,25.95,26.84,9890900,25.35
2011-04-18,26.82,26.87,25.98,26.06,13761200,24.62
2011-04-11,26.47,27.15,26.40,27.01,10282300,25.52
2011-04-04,26.00,26.33,25.81,26.24,9151400,24.79
2011-03-28,25.97,26.27,25.86,25.98,10930000,24.54
2011-03-21,24.96,26.02,24.90,25.82,10843400,24.39
2011-03-14,24.90,25.20,24.19,24.80,12271000,23.43
2011-03-07,25.47,25.82,24.91,25.05,14653000,23.66
2011-02-28,24.96,25.70,24.91,25.32,22437700,23.56
2011-02-22,24.64,24.95,24.53,24.94,10386400,23.21
2011-02-14,24.48,24.81,24.26,24.79,9943200,23.07
2011-02-07,24.09,24.49,23.89,24.44,11038700,22.75
2011-01-31,23.78,24.13,23.34,24.00,13868300,22.34
2011-01-24,24.10,24.46,23.79,23.79,12504300,22.14
2011-01-18,24.01,24.22,23.95,24.09,13810200,22.42
2011-01-10,24.56,24.57,23.92,24.16,11539400,22.49
2011-01-03,24.71,24.77,24.13,24.39,11677500,22.70
2010-12-27,24.75,24.85,24.50,24.62,5038800,22.91
2010-12-20,25.06,25.33,24.79,24.85,9499000,23.13
2010-12-13,24.93,24.99,24.61,24.99,9059300,22.91
2010-12-06,23.83,24.90,23.81,24.85,13962800,22.78
2010-11-29,24.30,24.51,23.70,23.81,17024200,21.83
2010-11-22,24.60,24.72,24.18,24.36,10081500,22.33
2010-11-15,24.88,24.90,24.05,24.74,11564000,22.68
2010-11-08,25.93,25.96,24.54,24.85,14901700,22.78
2010-11-01,25.54,26.22,25.23,26.11,11096300,23.93
2010-10-25,25.01,25.42,24.90,25.42,10180500,23.30
2010-10-18,24.90,25.00,24.61,24.92,10907900,22.84
2010-10-11,24.49,25.00,24.27,24.88,12411300,22.81
2010-10-04,23.78,24.75,23.75,24.51,13893300,22.47
2010-09-27,24.06,24.39,23.66,23.78,12767500,21.80
2010-09-20,23.60,24.02,23.45,24.00,12271800,22.00
2010-09-13,23.59,23.78,23.26,23.50,12019100,21.54
2010-09-07,22.95,23.94,22.94,23.84,26831800,21.51
2010-08-30,22.64,22.98,22.26,22.91,13911900,20.67
2010-08-23,22.83,22.94,22.37,22.54,15584500,20.33
2010-08-16,22.34,22.99,22.15,22.71,12885600,20.49
2010-08-09,22.57,22.78,22.15,22.35,9001200,20.16
2010-08-02,22.38,22.55,22.07,22.54,10841500,20.33
2010-07-26,22.18,22.25,21.82,22.16,12687900,19.99
2010-07-19,21.37,22.23,21.16,22.12,15071300,19.95
2010-07-12,21.40,21.49,21.11,21.26,11723500,19.18
2010-07-06,20.50,21.48,20.39,21.30,16949800,19.21
2010-06-28,19.69,20.89,19.69,20.31,24716400,18.32
2010-06-21,20.17,20.23,19.53,19.70,16949600,17.77
2010-06-14,20.25,20.25,19.57,20.02,17474700,18.06
2010-06-07,20.16,20.46,19.68,20.08,29764700,18.11
2010-06-01,20.25,20.60,19.97,20.02,22251100,17.75
2010-05-24,20.93,21.10,20.14,20.29,26800500,17.99
2010-05-17,21.64,21.91,20.20,21.01,22558200,18.63
2010-05-10,21.31,21.80,21.03,21.61,17879700,19.16
2010-05-03,21.28,21.50,19.20,20.76,19364400,18.40
2010-04-26,21.39,21.48,20.91,21.19,15129300,18.79
2010-04-19,20.80,21.61,20.80,21.36,12006200,18.94
2010-04-12,20.96,21.20,20.75,20.87,11543200,18.50
2010-04-05,20.89,21.03,20.64,20.93,10865100,18.55
2010-03-29,20.50,20.84,20.46,20.83,12767900,18.47
2010-03-22,20.31,20.60,20.23,20.42,12242100,18.10
2010-03-15,20.26,20.55,20.11,20.34,16796300,18.03
2010-03-08,20.80,20.86,20.13,20.20,15142000,17.91
2010-03-01,20.17,20.78,20.17,20.71,12438200,18.05
2010-02-22,20.13,20.48,19.93,20.12,17816800,17.54
2010-02-16,19.84,20.21,19.57,20.16,11942100,17.57
2010-02-08,19.43,19.74,19.23,19.63,14988000,17.11
2010-02-01,19.90,19.99,19.14,19.38,12413300,16.89
2010-01-25,19.82,20.10,19.68,19.86,15316000,17.31
2010-01-19,20.26,20.57,19.70,19.71,16461900,17.18
2010-01-11,20.28,20.64,20.03,20.42,12988800,17.80
2010-01-04,19.77,20.14,19.58,20.11,13980700,17.53
2009-12-28,20.19,20.19,19.63,19.63,8978400,17.11
2009-12-21,19.74,20.47,19.70,20.37,13475800,17.46
2009-12-14,19.66,19.85,19.48,19.65,14645000,16.84
2009-12-07,19.33,19.60,19.13,19.52,16223900,16.73
2009-11-30,19.10,19.43,18.75,19.32,14733300,16.56
2009-11-23,19.13,19.42,18.81,19.00,17926000,16.28
2009-11-16,19.41,19.48,18.88,18.98,15129600,16.27
2009-11-09,18.83,19.30,18.68,19.26,15705000,16.51
2009-11-02,18.12,18.73,18.02,18.54,15818600,15.89
2009-10-26,17.99,18.47,17.81,18.11,16590700,15.52
2009-10-19,18.32,18.72,17.80,17.93,19014600,15.37
2009-10-12,18.20,18.34,17.98,18.27,13070700,15.66
2009-10-05,17.60,18.11,17.28,18.06,14320600,15.48
2009-09-28,17.58,18.00,17.36,17.47,22384500,14.97
2009-09-21,17.86,18.06,17.46,17.50,17556600,15.00
2009-09-14,18.15,18.30,17.77,17.96,19894200,15.39
2009-09-08,18.62,18.70,18.00,18.14,21536000,15.55
2009-08-31,18.27,18.51,18.03,18.50,14627700,15.56
2009-08-24,18.14,18.45,18.00,18.22,17168200,15.33
2009-08-17,17.40,18.10,17.36,18.04,13579600,15.18
2009-08-10,17.70,17.77,17.46,17.56,17012600,14.77
2009-08-03,17.73,17.87,17.41,17.71,14032300,14.90
2009-07-27,17.28,18.00,17.11,17.53,13124300,14.75
2009-07-20,17.39,17.50,17.07,17.34,14342400,14.59
2009-07-13,16.50,17.37,16.45,17.34,17146300,14.59
2009-07-06,16.24,16.67,16.10,16.47,16274000,13.86
2009-06-29,16.53,16.75,16.26,16.30,13747200,13.71
2009-06-22,16.28,16.56,16.15,16.48,16134100,13.87
2009-06-15,16.58,16.64,16.20,16.41,19172300,13.81
2009-06-08,17.00,17.49,16.52,16.64,21310900,14.00
2009-06-01,17.19,17.29,16.91,17.03,14812000,14.06
2009-05-26,16.64,17.10,16.59,17.09,13245300,14.11
2009-05-18,16.94,16.99,16.50,16.64,17650900,13.74
2009-05-11,17.00,17.62,16.85,16.98,15492700,14.02
2009-05-04,16.60,17.20,16.06,17.10,16022900,14.12
2009-04-27,16.86,17.13,16.12,16.37,14256600,13.51
2009-04-20,16.96,17.34,16.46,16.92,17533000,13.97
2009-04-13,16.48,17.15,16.18,16.99,15027400,14.03
2009-04-06,16.06,16.53,15.97,16.31,12799800,13.47
2009-03-30,16.34,16.74,15.76,16.16,17405300,13.34
2009-03-23,16.96,17.40,16.43,16.56,16045500,13.67
2009-03-16,16.71,17.24,16.43,16.78,18022000,13.85
2009-03-09,15.61,16.86,15.51,16.68,21760900,13.77
2009-03-02,15.24,15.98,14.50,15.72,27105800,12.72
2009-02-23,14.83,15.75,14.83,15.44,22950900,12.50
2009-02-17,15.65,15.85,14.89,15.46,18826300,12.51
2009-02-09,16.92,16.94,15.84,15.92,18250000,12.89
2009-02-02,16.44,17.03,16.32,16.96,22103000,13.73
2009-01-26,16.99,17.10,16.50,16.54,20587200,13.39
2009-01-20,16.95,17.63,16.46,16.84,25945500,13.63
2009-01-12,15.59,16.95,15.20,16.84,31007300,13.63
2009-01-05,15.15,15.60,15.00,15.48,21571100,12.53
2008-12-29,15.07,15.41,14.91,15.20,16945800,12.30
2008-12-22,15.19,15.22,14.49,15.06,13356400,12.19
2008-12-15,15.71,15.88,14.42,15.28,35276800,12.11
2008-12-08,15.34,15.48,14.75,15.34,23897700,12.16
2008-12-01,16.00,16.03,14.62,15.00,25219100,11.89
2008-11-24,15.99,16.08,15.23,16.08,21379500,12.74
2008-11-17,16.04,17.20,14.34,15.49,31729000,12.28
2008-11-10,18.32,18.40,15.90,16.26,23950400,12.89
2008-11-03,19.39,19.59,17.47,17.98,17555300,14.25
2008-10-27,18.95,19.97,18.25,19.19,22250800,15.21
2008-10-20,19.93,20.44,18.50,19.22,24577400,15.23
2008-10-13,18.35,20.74,17.63,19.32,29147600,15.31
2008-10-06,19.93,20.54,16.26,17.16,33022400,13.60
2008-09-29,20.71,20.91,19.26,20.29,20973400,16.08
2008-09-22,20.68,20.96,19.70,20.89,15348800,16.56
2008-09-15,20.65,21.10,19.74,20.54,21761000,16.28
2008-09-08,21.38,21.85,20.30,21.16,18904200,16.77
2008-09-02,21.13,21.70,20.63,20.95,16134800,16.35
2008-08-25,20.80,21.44,20.53,21.03,8939300,16.41
2008-08-18,21.68,21.74,20.65,20.92,8477900,16.32
2008-08-11,20.96,21.81,20.95,21.60,10929300,16.85
2008-08-04,20.95,21.47,20.67,20.95,13263100,16.35
2008-07-28,21.14,21.86,20.10,20.90,14740900,16.31
2008-07-21,20.53,21.45,20.10,21.07,12172600,16.44
2008-07-14,21.33,21.52,20.36,20.45,13788100,15.96
2008-07-07,20.16,21.55,20.03,21.26,13363100,16.59
2008-06-30,20.34,20.73,19.84,20.12,14412400,15.70
2008-06-23,20.83,21.84,20.25,20.35,14881100,15.88
2008-06-16,21.00,21.00,20.54,20.78,14834500,16.21
2008-06-09,21.67,21.68,20.67,20.90,15286100,16.31
2008-06-02,22.32,22.35,21.52,21.53,13316000,16.57
2008-05-27,22.33,22.70,22.01,22.26,13283400,17.13
2008-05-19,22.33,23.02,22.17,22.28,17867000,17.15
2008-05-12,20.95,22.49,20.90,22.45,15984900,17.28
2008-05-05,20.75,21.35,20.50,20.94,17787300,16.11
2008-04-28,21.50,21.59,19.95,20.43,28085100,15.72
2008-04-21,22.11,22.66,21.20,21.70,19287400,16.70
2008-04-14,21.41,22.16,21.19,22.10,18966300,17.01
2008-04-07,21.75,22.01,20.83,21.37,23654600,16.45
2008-03-31,23.12,23.72,20.95,21.71,39386200,16.71
2008-03-24,71.26,74.59,71.26,73.83,15941600,17.52
2008-03-17,70.42,72.23,68.00,70.26,18991100,16.68
2008-03-10,74.44,75.80,71.35,71.78,18092600,16.86
2008-03-03,72.85,75.04,72.02,74.52,12138500,17.50
2008-02-25,73.50,74.77,72.90,73.14,8449500,17.18
2008-02-19,72.51,73.72,72.09,73.60,10748500,17.29
2008-02-11,72.71,73.45,71.89,72.53,14336100,17.03
2008-02-04,75.40,75.92,72.20,73.09,10254300,17.17
2008-01-28,74.19,77.89,73.65,75.44,14497400,17.72
2008-01-22,72.00,75.49,70.88,73.95,18886100,17.37
2008-01-14,78.97,79.15,74.67,75.42,16081600,17.71
2008-01-07,75.22,79.59,75.22,79.02,14670000,18.56
2007-12-31,75.56,76.56,74.67,74.90,8964100,17.59
2007-12-24,77.03,77.95,75.75,75.96,7336200,17.84
2007-12-17,76.60,77.80,75.40,77.43,12110000,18.19
2007-12-10,77.97,78.42,76.77,76.82,11344500,17.87
2007-12-03,77.32,78.51,77.00,77.60,10733500,18.05
2007-11-26,72.83,77.56,71.30,77.56,14801600,18.04
2007-11-19,72.75,74.40,72.41,72.97,10451000,16.97
2007-11-12,72.73,73.55,71.72,73.18,11560100,17.02
2007-11-05,72.00,73.50,71.77,72.71,10438900,16.91
2007-10-29,73.27,73.50,71.72,72.11,8030300,16.77
2007-10-22,70.41,73.25,70.41,72.97,9105000,16.97
2007-10-15,70.25,71.50,69.72,70.50,12025700,16.40
2007-10-08,69.46,70.18,69.09,70.06,7805800,16.30
2007-10-01,69.67,70.14,69.44,69.56,8141700,16.18
2007-09-24,68.56,69.78,67.93,69.53,13376500,16.17
2007-09-17,67.08,69.48,66.77,68.54,9566400,15.94
2007-09-10,67.62,68.09,66.66,67.03,10192700,15.59
2007-09-04,69.41,69.95,67.25,67.39,11309100,15.50
2007-08-27,70.00,70.99,68.25,69.41,14112500,15.97
2007-08-20,67.11,69.30,66.50,69.19,10576000,15.92
2007-08-13,67.80,68.49,64.72,67.59,13807500,15.55
2007-08-06,67.38,69.85,65.79,67.39,13648700,15.50
2007-07-30,65.51,68.42,63.13,66.60,13980500,15.32
2007-07-23,69.98,70.10,65.17,65.17,13237700,14.99
2007-07-16,71.82,72.03,69.65,69.80,9386600,16.06
2007-07-09,71.99,72.20,70.39,71.70,9182800,16.49
2007-07-02,70.23,71.70,70.20,71.60,8219500,16.47
2007-06-25,68.37,70.53,68.25,70.14,13185600,16.13
2007-06-18,70.51,70.73,67.99,68.20,12307900,15.69
2007-06-11,70.25,71.00,69.63,70.67,12052300,16.26
2007-06-04,71.77,71.91,69.27,70.30,11331400,16.01
2007-05-29,71.15,72.20,70.62,71.82,13257100,16.36
2007-05-21,70.40,72.00,69.95,70.78,11021400,16.12
2007-05-14,68.58,70.15,68.48,69.95,7861600,15.93
2007-05-07,69.67,69.86,67.85,68.59,8529600,15.62
2007-04-30,69.95,70.15,68.22,69.36,7335500,15.80
2007-04-23,69.59,70.70,69.06,69.60,10525300,15.85
2007-04-16,69.90,70.56,68.64,69.55,11688000,15.84
2007-04-09,71.10,71.10,69.34,69.56,10622000,15.84
2007-04-02,67.13,70.98,66.91,70.75,24186400,16.11
2007-03-26,85.21,87.81,84.42,87.81,13183200,15.01
2007-03-19,83.99,86.83,83.45,85.47,14732900,14.61
2007-03-12,86.36,87.35,83.16,84.73,26909300,14.48
