Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.78,13.29,12.77,12.99,22174700,12.99
2012-05-14,13.67,13.84,12.67,12.76,14420500,12.76
2012-05-07,13.92,14.15,13.27,13.81,12078100,13.81
2012-04-30,14.87,15.26,13.80,14.02,9963300,14.02
2012-04-23,15.11,15.37,14.65,14.89,11801100,14.89
2012-04-16,15.17,15.90,15.03,15.20,7697800,15.20
2012-04-09,14.94,15.44,14.54,15.12,9331700,15.12
2012-04-02,15.65,15.89,15.10,15.14,8463200,15.14
2012-03-26,15.90,16.00,15.33,15.73,7582900,15.73
2012-03-19,15.31,15.97,15.27,15.84,8232800,15.84
2012-03-12,14.87,15.73,14.78,15.38,10646700,15.38
2012-03-05,15.00,15.11,14.47,14.87,11718900,14.87
2012-02-27,15.35,15.55,14.89,15.07,13301500,15.07
2012-02-21,16.39,16.53,15.35,15.46,17906200,15.46
2012-02-13,16.05,16.78,15.66,16.37,8407200,16.37
2012-02-06,16.55,16.73,16.02,16.05,7648300,16.05
2012-01-30,15.65,16.86,15.35,16.64,11555600,16.64
2012-01-23,15.52,16.29,15.23,15.79,17268400,15.79
2012-01-17,14.99,15.63,14.37,15.53,14895200,15.53
2012-01-09,15.88,16.06,14.69,14.78,16070300,14.78
2012-01-03,14.13,15.78,13.80,15.72,16079900,15.72
2011-12-27,14.15,14.15,13.68,13.85,4507600,13.85
2011-12-19,13.60,14.38,13.19,14.14,8348800,14.14
2011-12-12,14.13,14.40,13.25,13.52,8422900,13.52
2011-12-05,14.03,14.70,13.74,14.29,10560700,14.29
2011-11-28,13.61,14.47,13.13,13.79,10800500,13.79
2011-11-21,14.40,14.62,13.13,13.14,11730900,13.14
2011-11-14,14.86,15.17,13.58,14.65,18312900,14.65
2011-11-07,14.24,15.03,14.01,14.92,12486000,14.92
2011-10-31,13.89,14.30,13.26,14.24,11295700,14.24
2011-10-24,13.20,14.29,13.20,14.09,14988200,14.09
2011-10-17,14.89,14.89,12.99,13.14,23445400,13.14
2011-10-10,15.60,15.91,14.70,14.98,14632100,14.98
2011-10-03,14.39,15.59,13.72,15.35,12815900,15.35
2011-09-26,15.41,15.66,14.50,14.52,12302900,14.52
2011-09-19,14.91,15.39,14.22,15.30,13330500,15.30
2011-09-12,13.50,15.43,13.30,15.17,15015900,15.17
2011-09-06,12.32,14.13,12.30,13.69,11077800,13.69
2011-08-29,13.08,13.57,12.56,12.89,9540100,12.89
2011-08-22,13.00,13.25,12.40,12.89,12022300,12.89
2011-08-15,12.67,13.49,11.90,12.68,15391600,12.68
2011-08-08,12.33,12.85,11.23,12.58,19756100,12.58
2011-08-01,15.01,15.13,12.33,13.02,14449000,13.02
2011-07-25,15.19,15.93,14.68,14.82,8530700,14.82
2011-07-18,14.79,15.54,14.40,15.33,8759800,15.33
2011-07-11,15.15,15.24,14.51,14.87,9796500,14.87
2011-07-05,15.30,15.61,14.98,15.41,9114600,15.41
2011-06-27,14.02,15.20,13.90,15.11,9463900,15.11
2011-06-20,13.35,14.54,13.28,14.06,15000700,14.06
2011-06-13,14.11,14.68,13.17,13.21,15138200,13.21
2011-06-06,15.13,15.28,14.33,14.40,10448300,14.40
2011-05-31,16.24,16.36,15.13,15.15,15535300,15.15
2011-05-23,14.13,16.36,14.07,16.17,21033900,16.17
2011-05-16,14.51,14.60,14.01,14.34,8922900,14.34
2011-05-09,14.73,15.17,14.49,14.60,10645800,14.60
2011-05-02,15.46,15.49,14.44,14.68,13684600,14.68
2011-04-25,15.71,15.93,15.40,15.43,11533300,15.43
2011-04-18,15.63,16.05,14.92,15.70,12839200,15.70
2011-04-11,16.35,16.41,15.38,15.97,17310700,15.97
2011-04-04,15.94,16.68,15.50,16.39,17652400,16.39
2011-03-28,16.08,16.38,15.53,15.93,15335700,15.93
2011-03-21,15.85,16.50,15.17,16.07,14691200,16.07
