Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,1.52,1.66,1.52,1.66,600,1.66
2012-05-14,1.72,2.00,1.55,1.60,3500,1.60
2012-05-07,1.74,1.82,1.58,1.60,61600,1.60
2012-04-30,2.08,2.22,1.70,1.74,4600,1.74
2012-04-23,1.99,2.30,1.95,2.10,3900,2.10
2012-04-16,2.00,2.30,1.97,2.05,10800,2.05
2012-04-09,2.29,2.29,2.03,2.07,1200,2.07
2012-04-02,2.30,2.41,2.16,2.29,4100,2.29
2012-03-26,2.27,2.41,2.07,2.29,16800,2.29
2012-03-19,1.90,2.25,1.90,2.16,4400,2.16
2012-03-12,2.01,2.02,1.82,2.00,6300,2.00
2012-03-05,1.71,2.01,1.51,2.01,8400,2.01
2012-02-27,1.73,1.77,1.61,1.68,2700,1.68
2012-02-21,1.73,1.84,1.41,1.73,6800,1.73
2012-02-13,1.95,2.01,1.80,1.80,2500,1.80
2012-02-06,2.08,2.08,1.89,1.90,2000,1.90
2012-01-30,2.00,2.10,1.94,2.08,10200,2.08
2012-01-23,2.09,2.12,1.91,2.00,2700,2.00
2012-01-17,1.90,2.10,1.90,2.06,20900,2.06
2012-01-09,2.02,2.10,2.01,2.01,200,2.01
2012-01-03,1.90,2.05,1.90,2.02,2200,2.02
2011-12-27,1.90,2.01,1.90,1.90,3400,1.90
2011-12-19,1.95,2.00,1.77,1.91,4600,1.91
2011-12-12,2.02,2.02,1.90,1.95,8800,1.95
2011-12-05,1.96,2.08,1.94,2.02,10600,2.02
2011-11-28,1.94,2.01,1.89,1.97,24500,1.97
2011-11-21,1.94,2.11,1.82,1.98,5300,1.98
2011-11-14,2.00,2.14,1.93,1.98,4500,1.98
2011-11-07,2.13,2.25,1.99,1.99,5100,1.99
2011-10-31,1.99,2.31,1.93,2.15,9800,2.15
2011-10-24,1.99,2.04,1.76,2.00,12000,2.00
2011-10-17,1.79,2.00,1.79,1.94,3900,1.94
2011-10-10,1.68,1.90,1.63,1.70,2500,1.70
2011-10-03,1.68,1.99,1.55,1.61,2200,1.61
2011-09-26,1.67,1.79,1.59,1.78,8500,1.78
2011-09-19,1.74,1.88,1.66,1.67,9000,1.67
2011-09-12,1.84,1.88,1.66,1.73,5200,1.73
2011-09-06,1.70,1.84,1.64,1.84,3100,1.84
2011-08-29,1.72,1.84,1.71,1.83,5800,1.83
2011-08-22,1.72,1.84,1.65,1.70,15600,1.70
2011-08-15,0.12,1.95,0.10,1.71,7000,1.71
2011-08-08,1.70,1.95,1.30,1.94,3200,1.94
2011-08-01,1.95,1.95,1.72,1.72,5700,1.72
2011-07-25,2.05,2.05,1.84,1.93,2800,1.93
2011-07-18,1.97,2.15,1.93,2.02,9500,2.02
2011-07-11,1.77,2.02,1.77,1.98,7900,1.98
2011-07-05,1.85,1.95,1.75,1.78,3300,1.78
2011-06-27,1.98,2.09,1.74,1.82,14000,1.82
2011-06-20,1.89,1.98,1.85,1.93,3200,1.93
2011-06-13,1.90,1.98,1.85,1.85,3300,1.85
2011-06-06,1.94,2.00,1.85,1.90,9600,1.90
2011-05-31,1.66,2.18,1.66,1.93,39700,1.93
2011-05-23,1.61,1.66,1.60,1.66,12000,1.66
2011-05-16,1.65,1.69,1.61,1.61,12100,1.61
2011-05-09,1.59,1.69,1.59,1.69,5700,1.69
2011-05-02,1.66,1.67,1.58,1.65,5800,1.65
2011-04-25,1.73,1.73,1.62,1.65,16700,1.65
2011-04-18,1.60,1.73,1.55,1.68,18700,1.68
2011-04-11,1.73,1.73,1.63,1.63,5400,1.63
2011-04-04,1.62,1.75,1.62,1.74,2100,1.74
2011-03-28,1.62,1.66,1.60,1.62,2400,1.62
2011-03-21,1.69,1.71,1.60,1.62,3600,1.62
2011-03-14,1.62,1.73,1.53,1.61,4300,1.61
2011-03-07,1.81,1.83,1.66,1.71,15100,1.71
2011-02-28,1.70,1.80,1.70,1.75,5900,1.75
2011-02-22,1.65,1.83,1.61,1.75,18400,1.75
2011-02-14,1.89,1.89,1.61,1.68,58900,1.68
2011-02-07,1.57,1.67,1.23,1.61,32600,1.61
2011-01-31,1.14,1.57,1.07,1.51,27300,1.51
2011-01-24,1.19,1.19,1.07,1.14,3600,1.14
2011-01-18,1.09,1.24,1.02,1.19,14700,1.19
2011-01-10,1.13,1.17,1.02,1.09,42500,1.09
2011-01-03,0.86,1.12,0.86,1.12,24900,1.12
2010-12-27,0.87,0.90,0.85,0.86,16300,0.86
2010-12-20,0.86,1.03,0.85,0.87,14100,0.87
2010-12-13,0.78,0.85,0.78,0.83,2700,0.83
2010-12-06,0.85,0.93,0.70,0.78,17000,0.78
2010-11-29,0.91,0.91,0.84,0.85,600,0.85
2010-11-22,0.82,0.92,0.82,0.85,1700,0.85
2010-11-15,0.91,0.93,0.83,0.93,1000,0.93
2010-11-08,0.86,0.93,0.83,0.91,2300,0.91
2010-11-01,0.85,0.88,0.82,0.88,3200,0.88
2010-10-25,0.89,0.93,0.85,0.85,1500,0.85
2010-10-18,0.95,0.99,0.85,0.88,9300,0.88
2010-10-11,0.88,0.97,0.86,0.88,3900,0.88
2010-10-04,0.86,0.92,0.86,0.88,1600,0.88
2010-09-27,0.88,0.92,0.85,0.86,3700,0.86
2010-09-20,0.88,0.99,0.85,0.88,4400,0.88
2010-09-13,0.88,0.98,0.88,0.89,1400,0.89
2010-09-07,0.88,0.90,0.88,0.89,800,0.89
2010-08-30,0.99,0.99,0.80,0.88,5800,0.88
2010-08-23,0.92,0.98,0.88,0.90,7700,0.90
2010-08-16,1.00,1.02,0.91,0.92,3100,0.92
2010-08-09,1.15,1.24,0.96,1.04,12000,1.04
2010-08-02,1.03,1.22,0.99,1.09,4100,1.09
2010-07-26,0.98,1.24,0.88,1.10,8800,1.10
2010-07-19,0.97,0.99,0.90,0.94,2300,0.94
2010-07-12,0.94,1.10,0.88,1.02,8600,1.02
2010-07-06,0.94,0.94,0.88,0.93,1100,0.93
2010-06-28,1.01,1.04,0.75,0.85,7800,0.85
2010-06-21,1.03,1.03,0.94,1.03,17600,1.03
2010-06-14,1.04,1.06,1.01,1.01,2200,1.01
2010-06-07,1.05,1.05,1.01,1.01,1600,1.01
2010-06-01,1.05,1.14,1.01,1.01,4100,1.01
2010-05-24,1.17,1.17,1.01,1.02,3000,1.02
2010-05-17,1.32,1.34,1.04,1.17,4600,1.17
2010-05-10,1.45,1.47,1.25,1.33,15300,1.33
2010-05-03,1.12,1.50,1.00,1.27,49200,1.27
2010-04-26,1.03,1.15,0.99,1.06,6400,1.06
2010-04-19,1.05,1.15,1.00,1.08,12000,1.08
2010-04-12,1.05,1.14,0.96,1.05,10100,1.05
2010-04-05,0.80,1.10,0.80,1.05,10800,1.05
2010-03-29,0.90,0.99,0.86,0.95,4700,0.95
2010-03-22,1.00,1.00,0.90,0.99,2400,0.99
2010-03-15,0.90,1.00,0.90,0.93,1300,0.93
2010-03-08,0.96,0.97,0.90,0.94,2800,0.94
2010-03-01,0.99,1.10,0.91,0.91,8000,0.91
2010-02-22,0.92,0.99,0.92,0.95,3800,0.95
2010-02-16,1.00,1.00,0.92,0.97,1700,0.97
2010-02-08,1.00,1.07,1.00,1.02,2000,1.02
2010-02-01,0.97,1.00,0.90,0.99,4300,0.99
2010-01-25,1.03,1.09,1.00,1.00,2900,1.00
2010-01-19,1.00,1.09,0.96,1.00,8100,1.00
2010-01-11,1.01,1.03,0.95,0.99,4600,0.99
2010-01-04,1.09,1.09,1.01,1.01,6100,1.01
2009-12-28,1.10,1.10,1.02,1.08,9200,1.08
2009-12-21,1.10,1.16,1.10,1.10,2500,1.10
2009-12-14,1.31,1.31,1.06,1.07,6700,1.07
2009-12-07,1.34,1.38,1.21,1.31,1900,1.31
2009-11-30,1.20,1.29,1.14,1.29,5200,1.29
2009-11-23,1.14,1.19,1.13,1.19,1500,1.19
2009-11-16,1.17,1.24,1.13,1.21,500,1.21
2009-11-09,1.23,1.23,1.16,1.17,3600,1.17
2009-11-02,1.20,1.24,1.16,1.17,600,1.17
2009-10-26,1.15,1.29,1.15,1.20,1600,1.20
2009-10-19,1.24,1.32,1.15,1.15,8800,1.15
2009-10-12,1.24,1.32,1.22,1.22,27800,1.22
2009-10-05,1.36,1.36,1.21,1.30,5900,1.30
2009-09-28,1.22,1.45,1.22,1.36,9800,1.36
2009-09-21,1.30,1.36,1.26,1.27,33300,1.27
2009-09-14,1.37,1.47,1.26,1.28,8300,1.28
2009-09-08,1.39,1.58,1.31,1.38,29200,1.38
2009-08-31,1.43,1.59,1.36,1.37,68100,1.37
2009-08-24,1.45,1.48,1.44,1.45,4500,1.45
2009-08-17,1.51,1.55,1.44,1.50,6500,1.50
2009-08-10,1.66,1.72,1.51,1.54,3200,1.54
2009-08-03,1.75,1.79,1.67,1.67,3600,1.67
2009-07-27,1.77,1.90,1.55,1.88,2400,1.88
2009-07-20,1.72,1.78,1.72,1.73,3600,1.73
2009-07-13,1.73,1.82,1.65,1.70,2100,1.70
2009-07-06,1.75,1.90,1.71,1.82,4700,1.82
2009-06-29,2.00,2.09,1.68,1.90,3100,1.90
2009-06-22,1.75,1.90,1.65,1.89,8100,1.89
2009-06-15,1.59,1.69,1.56,1.69,88100,1.69
2009-06-08,1.51,1.56,1.51,1.56,2700,1.56
2009-06-01,1.38,1.53,1.38,1.51,134100,1.51
2009-05-26,1.42,1.56,1.38,1.50,3000,1.50
2009-05-18,1.43,1.58,1.40,1.42,900,1.42
2009-05-11,1.51,1.60,1.38,1.43,2000,1.43
2009-05-04,1.45,1.51,1.36,1.51,4300,1.51
2009-04-27,1.47,1.49,1.32,1.42,2100,1.42
2009-04-20,1.46,1.57,1.32,1.44,5800,1.44
2009-04-13,1.28,1.44,1.21,1.44,108900,1.44
2009-04-06,1.28,1.28,1.17,1.23,6300,1.23
2009-03-30,1.28,1.48,1.16,1.16,84200,1.16
2009-03-23,1.30,1.35,1.02,1.20,11900,1.20
2009-03-16,1.21,1.33,1.20,1.29,51900,1.29
2009-03-09,1.30,1.35,1.20,1.32,81300,1.32
2009-03-02,1.32,1.40,1.23,1.30,52500,1.30
2009-02-23,1.32,1.45,1.32,1.37,53500,1.37
2009-02-17,1.36,1.45,1.32,1.33,16200,1.33
2009-02-09,1.35,1.45,1.24,1.34,20600,1.34
2009-02-02,1.37,1.37,1.31,1.35,1900,1.35
2009-01-26,1.33,1.37,1.33,1.36,1100,1.36
2009-01-20,1.36,1.37,1.30,1.33,14000,1.33
2009-01-12,1.33,1.36,1.28,1.33,4200,1.33
2009-01-05,1.44,1.50,1.44,1.49,2500,1.49
2008-12-29,1.41,1.59,1.23,1.50,14400,1.50
2008-12-22,1.40,1.52,1.22,1.42,17900,1.42
2008-12-15,1.39,1.49,1.36,1.41,17300,1.41
2008-12-08,1.35,1.45,1.31,1.45,17900,1.45
2008-12-01,1.31,1.39,1.25,1.39,7600,1.39
2008-11-24,1.35,1.45,1.30,1.36,14500,1.36
2008-11-17,1.44,1.54,1.20,1.29,14100,1.29
2008-11-10,1.39,1.59,1.30,1.43,17700,1.43
2008-11-03,1.13,1.52,1.08,1.51,23300,1.51
2008-10-27,0.87,1.16,0.87,1.10,51100,1.10
2008-10-20,1.42,1.64,0.82,0.87,76800,0.87
2008-10-13,1.51,1.70,1.40,1.61,2000,1.61
2008-10-06,1.91,1.95,1.37,1.50,17100,1.50
2008-09-29,2.00,2.04,1.92,1.93,15000,1.93
2008-09-22,1.98,2.03,1.98,2.00,7100,2.00
2008-09-15,2.08,2.09,1.90,2.04,16900,2.04
2008-09-08,2.12,2.19,2.07,2.15,15700,2.15
2008-09-02,2.20,2.20,2.07,2.12,13100,2.12
2008-08-25,2.23,2.25,2.11,2.15,12700,2.15
2008-08-18,2.38,2.38,2.27,2.27,1400,2.27
2008-08-11,2.42,2.45,2.20,2.38,3000,2.38
2008-08-04,2.62,2.62,2.41,2.42,2000,2.42
2008-07-28,2.31,2.65,2.22,2.62,3900,2.62
2008-07-21,2.33,2.49,2.32,2.32,9700,2.32
2008-07-14,2.45,2.49,2.35,2.35,9200,2.35
2008-07-07,2.54,2.59,2.46,2.48,5700,2.48
2008-06-30,2.60,2.71,2.50,2.61,4100,2.61
2008-06-23,2.60,2.85,2.58,2.68,7800,2.68
2008-06-16,2.78,3.00,2.59,2.59,10200,2.59
2008-06-09,2.83,2.86,2.77,2.77,3600,2.77
2008-06-02,2.94,2.98,2.80,2.81,8700,2.81
2008-05-27,2.87,3.05,2.85,2.97,18700,2.97
2008-05-19,2.46,3.22,2.45,2.87,84700,2.87
2008-05-12,2.43,2.52,2.43,2.49,8700,2.49
2008-05-05,2.42,2.49,2.39,2.48,4700,2.48
2008-04-28,2.51,2.59,2.37,2.45,9000,2.45
2008-04-21,2.53,2.59,2.49,2.53,35900,2.53
2008-04-14,2.50,2.65,2.46,2.56,34300,2.56
2008-04-07,2.58,2.61,2.48,2.58,33800,2.58
2008-03-31,2.48,2.64,2.48,2.59,37200,2.59
2008-03-24,2.56,2.66,2.46,2.55,28600,2.55
2008-03-17,2.41,2.69,2.41,2.60,20800,2.60
2008-03-10,2.55,2.74,2.23,2.60,46300,2.60
2008-03-03,2.63,2.70,2.46,2.58,16900,2.58
2008-02-25,2.64,2.65,2.57,2.63,35700,2.63
2008-02-19,2.70,2.70,2.60,2.62,34500,2.62
2008-02-11,2.67,2.74,2.60,2.70,15000,2.70
2008-02-04,2.70,3.04,2.59,2.59,51900,2.59
2008-01-28,2.65,2.70,2.60,2.68,12600,2.68
2008-01-22,2.69,2.72,2.61,2.62,13000,2.62
2008-01-14,2.81,2.88,2.79,2.80,22000,2.80
2008-01-07,2.88,2.90,2.80,2.82,21000,2.82
2007-12-31,2.97,2.99,2.83,2.89,10400,2.89
2007-12-24,2.84,2.97,2.77,2.97,17000,2.97
2007-12-17,2.84,2.97,2.79,2.85,26400,2.85
2007-12-10,2.90,2.97,2.80,2.86,14700,2.86
2007-12-03,2.97,3.09,2.85,2.92,16000,2.92
2007-11-26,2.98,3.00,2.71,2.94,14400,2.94
2007-11-19,3.12,3.15,2.90,2.98,34100,2.98
2007-11-12,3.13,3.25,3.10,3.12,26700,3.12
2007-11-05,3.12,3.22,3.12,3.19,23500,3.19
2007-10-29,3.13,3.24,3.10,3.15,21100,3.15
2007-10-22,3.20,3.29,3.14,3.14,8100,3.14
2007-10-15,3.22,3.39,3.13,3.20,18200,3.20
2007-10-08,3.00,3.35,3.00,3.21,21300,3.21
2007-10-01,2.95,3.05,2.93,3.01,34200,3.01
2007-09-24,2.82,2.99,2.82,2.91,13200,2.91
2007-09-17,2.87,3.05,2.81,2.88,11100,2.88
2007-09-10,2.93,2.95,2.81,2.88,12900,2.88
2007-09-04,2.92,2.99,2.90,2.95,16300,2.95
2007-08-27,2.97,3.03,2.91,2.95,14100,2.95
2007-08-20,3.05,3.07,2.94,3.00,17800,3.00
2007-08-13,3.06,3.14,2.91,3.05,80400,3.05
2007-08-06,3.21,3.21,3.02,3.10,43100,3.10
2007-07-30,3.12,3.27,3.12,3.22,16500,3.22
2007-07-23,3.27,3.31,3.14,3.15,11400,3.15
2007-07-16,3.25,3.45,3.25,3.27,12300,3.27
2007-07-09,3.06,3.41,3.03,3.25,24100,3.25
2007-07-02,3.07,3.13,3.00,3.13,19900,3.13
2007-06-25,3.07,3.16,3.05,3.11,15700,3.11
2007-06-18,3.07,3.12,3.05,3.11,13800,3.11
2007-06-11,3.06,3.10,3.02,3.09,25900,3.09
2007-06-04,3.12,3.17,3.06,3.09,18000,3.09
2007-05-29,3.09,3.16,3.04,3.13,29500,3.13
2007-05-21,3.23,3.25,3.04,3.12,35900,3.12
2007-05-14,3.27,3.28,3.11,3.21,50600,3.21
2007-05-07,3.48,4.07,3.24,3.27,180700,3.27
2007-04-30,3.18,3.54,3.04,3.51,46100,3.51
2007-04-23,3.34,3.34,3.09,3.20,56500,3.20
2007-04-16,3.60,3.60,3.20,3.21,78300,3.21
2007-04-09,3.04,3.90,3.01,3.50,149900,3.50
2007-04-02,2.89,3.11,2.81,3.00,41600,3.00
2007-03-26,3.10,3.16,2.80,2.89,74600,2.89
2007-03-19,2.96,3.23,2.96,3.12,51300,3.12
2007-03-12,3.20,3.25,3.01,3.09,61000,3.09
2007-03-05,3.17,3.29,3.05,3.20,62800,3.20
2007-02-26,3.37,3.37,2.89,3.15,103400,3.15
2007-02-20,3.55,3.67,3.26,3.29,166300,3.29
2007-02-12,2.69,4.04,2.69,3.48,1021100,3.48
2007-02-05,2.55,2.74,2.53,2.71,72300,2.71
2007-01-29,2.53,2.59,2.52,2.57,26000,2.57
2007-01-22,2.53,2.59,2.52,2.56,38800,2.56
2007-01-16,2.53,2.58,2.53,2.55,34700,2.55
2007-01-08,2.55,2.60,2.50,2.56,36400,2.56
2007-01-03,2.53,2.60,2.53,2.57,39000,2.57
2006-12-26,2.57,2.69,2.52,2.52,76400,2.52
2006-12-18,2.55,2.62,2.53,2.58,74100,2.58
2006-12-11,2.60,2.62,2.50,2.55,54000,2.55
2006-12-04,2.52,2.66,2.51,2.62,116900,2.62
2006-11-27,2.50,2.56,2.48,2.54,96000,2.54
2006-11-20,2.46,2.59,2.42,2.51,123600,2.51
2006-11-13,2.27,2.45,2.26,2.33,49900,2.33
2006-11-06,2.40,2.44,2.24,2.26,89100,2.26
2006-10-30,2.47,2.49,2.30,2.43,38700,2.43
2006-10-23,2.35,2.53,2.25,2.48,146300,2.48
2006-10-16,2.26,2.38,2.20,2.38,53900,2.38
