Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,13.12,13.77,13.06,13.26,391700,13.26
2012-05-14,13.76,13.95,13.07,13.09,499600,13.09
2012-05-07,13.32,13.99,13.14,13.86,551600,13.86
2012-04-30,14.44,14.71,13.30,13.32,452100,13.32
2012-04-23,14.01,14.54,13.70,14.50,374300,14.50
2012-04-16,14.28,14.56,13.85,14.17,449400,14.17
2012-04-09,15.02,15.02,14.00,14.23,432300,14.23
2012-04-02,15.88,15.96,15.01,15.18,424300,15.18
2012-03-26,14.91,16.04,14.70,15.88,709700,15.88
2012-03-19,15.34,15.79,14.36,14.79,723300,14.79
2012-03-12,13.43,15.49,13.18,15.29,984200,15.29
2012-03-05,13.93,13.97,13.02,13.45,644200,13.45
2012-02-27,14.59,15.00,13.82,13.91,802800,13.91
2012-02-21,14.78,15.02,14.18,14.59,901300,14.59
2012-02-13,13.65,15.22,13.51,14.99,1267600,14.69
2012-02-06,14.13,14.83,13.66,13.72,692000,13.45
2012-01-30,14.04,14.24,13.75,14.14,792500,13.86
2012-01-23,13.94,14.28,13.53,14.09,1057200,13.81
2012-01-17,15.05,15.66,13.76,13.97,1766200,13.69
2012-01-09,13.10,14.99,13.10,14.76,767200,14.46
2012-01-03,12.20,13.39,12.20,13.10,643900,12.84
2011-12-27,12.05,12.14,11.64,11.99,542600,11.75
2011-12-19,12.20,12.28,11.66,12.02,518400,11.78
2011-12-12,12.70,12.88,11.91,12.13,464400,11.89
2011-12-05,12.81,13.41,12.57,12.87,609700,12.61
2011-11-28,12.44,12.62,11.86,11.95,492300,11.71
2011-11-21,13.80,13.84,12.00,12.00,477600,11.76
2011-11-14,14.48,14.63,13.89,14.33,467600,13.75
2011-11-07,14.12,14.50,13.51,14.48,641500,13.89
2011-10-31,15.14,15.24,13.40,14.19,375500,13.61
2011-10-24,14.53,15.95,13.97,15.26,584700,14.64
2011-10-17,14.74,14.81,13.64,14.38,403500,13.80
2011-10-10,12.77,14.89,12.75,14.82,436300,14.22
2011-10-03,13.98,14.04,11.58,12.56,718200,12.05
2011-09-26,15.73,15.74,14.07,14.10,352700,13.53
2011-09-19,16.76,16.94,15.20,15.69,389000,15.05
2011-09-12,16.53,17.30,16.44,17.03,328100,16.34
2011-09-06,16.97,17.53,16.60,16.74,281000,16.06
2011-08-29,17.50,18.92,17.24,17.25,341800,16.55
2011-08-22,17.05,17.90,16.61,17.33,292400,16.63
2011-08-15,18.28,18.86,16.70,16.70,322200,16.02
2011-08-08,16.04,19.23,16.02,18.17,857200,17.15
2011-08-01,20.69,20.89,17.28,18.18,555600,17.16
2011-07-25,21.76,21.82,19.58,20.48,597400,19.33
2011-07-18,22.17,22.25,21.51,22.17,307400,20.93
2011-07-11,22.20,22.47,21.65,22.33,377500,21.08
2011-07-05,22.90,23.00,22.03,22.39,370700,21.13
2011-06-27,21.91,22.97,21.41,22.83,463200,21.55
2011-06-20,22.73,23.29,21.91,22.02,481600,20.78
2011-06-13,22.21,22.85,22.00,22.62,305300,21.35
2011-06-06,23.05,23.35,21.76,22.03,494800,20.79
2011-05-31,23.15,23.66,22.76,23.01,466000,21.72
2011-05-23,23.82,23.96,22.35,22.89,514400,21.61
2011-05-16,24.00,24.24,23.40,24.05,373800,22.70
2011-05-09,22.86,24.84,22.70,24.33,759500,22.68
2011-05-02,23.01,23.20,22.25,22.39,391300,20.87
2011-04-25,22.39,23.08,22.39,22.98,378000,21.42
2011-04-18,23.06,23.06,22.12,22.35,526000,20.84
2011-04-11,24.31,24.40,23.05,23.16,425800,21.59
2011-04-04,24.93,25.00,24.13,24.40,364400,22.75
2011-03-28,25.50,25.64,24.81,24.92,427000,23.23
2011-03-21,25.69,25.89,25.25,25.40,290300,23.68
2011-03-14,24.99,26.18,24.84,25.43,690300,23.71
2011-03-07,24.87,25.80,24.76,25.09,449900,23.39
2011-02-28,24.40,24.93,24.11,24.90,358300,23.21
2011-02-22,24.63,24.63,23.60,24.41,518900,22.76
2011-02-14,24.95,25.00,24.07,24.88,584200,22.96
2011-02-07,24.50,25.01,24.40,24.84,349000,22.92
2011-01-31,24.90,24.90,24.11,24.51,459500,22.62
2011-01-24,24.50,25.50,24.00,24.87,740600,22.95
2011-01-18,26.06,26.15,24.05,24.46,857300,22.57
2011-01-10,26.56,26.62,26.04,26.13,318600,24.11
2011-01-03,26.25,26.80,26.04,26.62,385900,24.57
2010-12-27,26.29,26.29,25.78,26.02,338200,24.01
2010-12-20,25.75,26.52,25.75,26.31,333300,24.28
2010-12-13,26.39,26.52,25.65,25.75,361900,23.76
2010-12-06,25.51,26.43,25.51,26.39,446700,24.35
2010-11-29,25.91,26.25,25.50,25.60,484900,23.63
2010-11-22,26.69,26.69,25.91,25.93,329200,23.93
2010-11-15,26.95,27.20,26.59,26.68,469100,24.62
2010-11-08,26.99,27.50,26.60,26.90,629100,24.59
2010-11-01,26.12,27.32,26.02,27.18,471900,24.85
2010-10-25,26.78,26.98,25.27,26.03,699100,23.80
2010-10-18,26.62,26.97,26.52,26.78,379800,24.49
2010-10-11,27.11,27.42,26.50,26.63,561900,24.35
2010-10-04,26.93,27.25,26.53,27.11,393500,24.79
2010-09-27,26.60,27.12,26.40,26.79,497100,24.49
2010-09-20,27.07,27.49,26.34,26.55,490100,24.27
2010-09-13,27.20,27.40,26.66,26.94,487300,24.63
2010-09-07,27.48,27.50,26.70,27.05,371400,24.73
2010-08-30,27.35,27.92,26.44,27.71,442700,25.34
2010-08-23,28.05,28.10,26.60,27.43,578200,25.08
2010-08-16,28.50,29.70,27.68,27.97,583700,25.57
2010-08-09,29.85,29.85,28.35,28.58,557900,25.60
2010-08-02,29.07,29.93,28.55,29.75,461600,26.65
2010-07-26,28.75,29.91,28.35,28.68,468500,25.69
2010-07-19,27.77,28.68,27.25,28.68,390700,25.69
2010-07-12,28.44,28.99,27.50,27.60,567500,24.72
2010-07-06,27.57,28.32,26.92,28.25,555100,25.31
2010-06-28,29.34,29.89,27.16,27.30,506400,24.46
2010-06-21,30.13,30.15,28.56,29.52,355800,26.44
2010-06-14,28.86,30.09,28.85,29.74,535900,26.64
2010-06-07,28.29,28.89,27.01,28.89,422100,25.88
2010-06-01,28.43,29.36,28.00,28.26,439000,25.32
2010-05-24,28.49,29.23,26.92,28.40,469700,25.44
2010-05-17,30.43,30.43,27.15,28.10,763600,25.17
2010-05-10,29.95,31.28,29.15,30.73,800800,26.99
2010-05-03,31.34,32.39,27.39,28.28,808700,24.84
2010-04-26,31.92,32.08,30.87,31.24,494000,27.44
2010-04-19,31.19,32.04,30.93,32.04,364100,28.14
2010-04-12,31.47,32.18,30.93,31.40,590300,27.58
2010-04-05,30.92,31.82,30.56,31.60,516500,27.75
2010-03-29,29.98,30.98,29.92,30.74,567400,27.00
2010-03-22,29.89,30.90,29.50,29.92,417900,26.28
2010-03-15,30.23,30.55,29.77,29.97,466500,26.32
