Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.58,14.63,14.55,14.62,6000,14.62
2012-05-14,14.66,14.69,14.50,14.55,6200,14.55
2012-05-07,14.59,14.69,14.46,14.62,7100,14.62
2012-04-30,14.47,14.63,14.40,14.61,12500,14.55
2012-04-23,14.71,14.75,14.35,14.45,9300,14.39
2012-04-16,14.58,14.75,14.48,14.70,9400,14.64
2012-04-09,14.61,14.76,14.56,14.58,4600,14.52
2012-04-02,14.81,14.81,14.53,14.61,3900,14.48
2012-03-26,14.86,14.95,14.74,14.78,5700,14.65
2012-03-19,14.26,14.99,14.26,14.76,8200,14.63
2012-03-12,14.72,14.92,13.86,14.19,14000,14.07
2012-03-05,14.64,14.73,14.55,14.65,3500,14.46
2012-02-27,14.58,14.89,14.56,14.64,4700,14.45
2012-02-21,14.75,14.80,14.61,14.61,5500,14.42
2012-02-13,14.82,14.86,14.50,14.72,9800,14.53
2012-02-06,14.53,14.86,14.53,14.86,6000,14.60
2012-01-30,14.67,14.70,14.50,14.51,9300,14.26
2012-01-23,14.34,14.69,14.34,14.67,4800,14.42
2012-01-17,14.50,14.55,14.15,14.31,8300,14.06
2012-01-09,14.18,14.51,14.18,14.51,4400,14.26
2012-01-03,14.18,14.41,14.10,14.16,7500,13.85
2011-12-27,14.08,14.16,13.96,14.14,3400,13.83
2011-12-19,13.83,14.07,13.83,14.04,4100,13.74
2011-12-12,13.95,13.95,13.76,13.82,4500,13.52
2011-12-05,13.79,14.00,13.79,13.91,5900,13.55
2011-11-28,13.82,13.85,13.68,13.77,5300,13.41
2011-11-21,13.75,13.81,13.73,13.79,400,13.43
2011-11-14,13.74,13.92,13.74,13.75,5200,13.39
2011-11-07,13.86,13.95,13.67,13.74,3600,13.38
2011-10-31,13.71,13.91,13.63,13.86,4900,13.43
2011-10-24,13.87,13.87,13.58,13.68,5800,13.26
2011-10-17,13.75,14.14,13.68,13.89,11800,13.46
2011-10-10,13.33,13.76,13.33,13.76,6000,13.34
2011-10-03,13.88,13.89,13.15,13.33,10200,12.86
2011-09-26,13.79,13.93,13.60,13.77,5800,13.28
2011-09-19,13.35,14.01,13.35,13.74,11000,13.26
2011-09-12,13.17,13.36,13.15,13.30,2300,12.83
2011-09-06,12.94,13.22,12.90,13.17,4200,12.64
2011-08-29,12.89,13.06,12.78,13.00,6600,12.48
2011-08-22,12.78,12.82,12.70,12.80,3500,12.29
2011-08-15,12.64,12.89,12.64,12.75,4500,12.24
2011-08-08,12.99,12.99,12.35,12.62,10800,12.12
2011-08-01,13.14,13.41,12.95,13.06,5000,12.48
2011-07-25,13.28,13.31,13.02,13.05,5900,12.47
2011-07-18,12.99,13.31,12.95,13.30,9000,12.71
2011-07-11,13.08,13.10,12.92,13.00,5600,12.42
2011-07-05,12.86,13.02,12.83,12.98,9200,12.34
2011-06-27,12.91,12.99,12.84,12.87,8500,12.24
2011-06-20,12.74,12.91,12.74,12.86,6600,12.23
2011-06-13,12.58,12.74,12.46,12.73,4900,12.10
2011-06-06,12.64,12.74,12.54,12.59,8500,11.91
2011-05-31,12.47,12.64,12.47,12.64,5200,11.96
2011-05-23,12.40,12.54,12.38,12.52,10700,11.84
2011-05-16,12.39,12.42,12.28,12.41,7700,11.74
2011-05-09,12.27,12.41,12.26,12.41,4000,11.74
2011-05-02,12.25,12.37,12.15,12.30,12200,11.58
2011-04-25,12.14,12.25,12.08,12.24,5400,11.52
2011-04-18,12.13,12.21,12.07,12.14,8700,11.42
2011-04-11,12.26,12.26,12.09,12.14,5500,11.42
2011-04-04,12.26,12.29,12.19,12.24,4200,11.46
2011-03-28,12.28,12.32,12.18,12.25,5400,11.47
2011-03-21,12.22,12.30,12.18,12.27,4000,11.49
2011-03-14,12.29,12.34,12.19,12.25,4400,11.47
2011-03-07,12.37,12.50,12.29,12.31,6300,11.53
2011-02-28,12.30,12.43,12.29,12.39,4800,11.54
2011-02-22,12.34,12.35,12.12,12.26,5500,11.42
2011-02-14,12.36,12.40,12.21,12.34,4300,11.49
2011-02-07,12.49,12.55,12.36,12.36,5600,11.51
2011-01-31,12.39,12.59,12.39,12.51,5900,11.59
2011-01-24,12.30,12.50,12.23,12.38,11000,11.47
2011-01-18,11.86,12.38,11.80,12.30,14500,11.40
2011-01-10,12.60,12.60,11.88,11.97,11000,11.09
2011-01-03,12.65,12.75,12.36,12.58,8100,11.60
2010-12-27,12.36,12.72,12.20,12.72,14400,11.73
2010-12-20,12.81,12.81,12.22,12.38,14800,11.42
2010-12-13,12.94,12.94,12.38,12.90,8900,11.89
2010-12-06,13.24,13.27,12.62,12.94,12400,11.87
2010-11-29,13.54,13.54,13.26,13.33,4700,12.23
2010-11-22,13.33,13.62,13.33,13.59,2500,12.47
2010-11-15,14.21,14.21,12.73,13.30,16000,12.20
2010-11-08,14.79,14.80,14.12,14.12,8300,12.96
2010-11-01,15.20,15.40,14.73,14.80,5000,13.52
2010-10-25,14.56,15.20,14.56,15.10,7300,13.80
2010-10-18,14.27,14.65,14.14,14.60,3100,13.34
2010-10-11,14.17,14.36,14.17,14.30,3800,13.07
2010-10-04,14.14,14.24,14.01,14.24,3000,12.95
2010-09-27,13.70,14.11,13.70,14.11,6000,12.83
2010-09-20,13.78,13.78,13.63,13.70,5000,12.46
2010-09-13,13.86,14.06,13.78,13.78,8400,12.53
2010-09-07,13.73,14.00,13.70,13.89,3600,12.58
2010-08-30,13.78,13.84,13.59,13.74,7600,12.44
2010-08-23,13.72,14.00,13.67,13.80,5200,12.50
2010-08-16,13.65,13.80,13.60,13.69,5100,12.40
2010-08-09,13.49,13.69,13.32,13.68,7500,12.39
2010-08-02,13.37,13.57,13.35,13.50,7400,12.17
2010-07-26,13.26,13.36,13.17,13.34,4800,12.02
2010-07-19,13.15,13.29,13.06,13.24,7600,11.93
2010-07-12,13.12,13.20,13.01,13.15,7000,11.85
2010-07-06,13.32,13.37,13.04,13.12,6000,11.77
2010-06-28,13.35,13.37,12.96,13.34,8400,11.96
2010-06-21,13.23,13.35,13.05,13.35,2300,11.97
2010-06-14,13.22,13.32,13.11,13.27,4900,11.90
2010-06-07,13.05,13.20,13.04,13.19,3500,11.83
2010-06-01,13.11,13.17,13.02,13.11,4200,11.70
2010-05-24,12.94,13.15,12.82,13.06,4900,11.66
2010-05-17,13.21,13.21,12.63,12.94,5900,11.55
2010-05-10,13.01,13.51,12.96,13.14,6000,11.73
2010-05-03,13.30,13.40,12.60,12.98,12100,11.53
2010-04-26,13.17,13.56,13.07,13.35,4800,11.86
2010-04-19,13.22,13.30,13.10,13.18,6200,11.71
2010-04-12,13.20,13.20,13.13,13.19,2600,11.72
2010-04-05,13.17,13.30,13.17,13.25,5300,11.72
2010-03-29,13.31,13.39,13.20,13.21,4700,11.69
2010-03-22,13.19,13.48,13.19,13.22,7800,11.70
2010-03-15,13.49,13.53,13.24,13.26,7100,11.73
2010-03-08,13.45,13.58,13.42,13.52,11000,11.96
2010-03-01,13.36,13.45,13.26,13.45,12000,11.85
2010-02-22,13.34,13.46,13.32,13.36,2900,11.77
2010-02-16,13.31,13.52,13.25,13.34,6600,11.75
2010-02-08,13.70,13.76,13.31,13.32,6900,11.73
2010-02-01,13.89,14.02,13.68,13.68,3800,12.00
2010-01-25,13.92,13.92,13.77,13.84,2300,12.14
2010-01-19,13.81,14.02,13.81,13.95,7900,12.23
2010-01-11,13.58,14.05,13.58,13.89,9200,12.18
2010-01-04,12.90,13.55,12.88,13.55,5800,11.83
2009-12-28,13.22,13.35,12.76,12.87,6500,11.24
2009-12-21,13.07,13.10,13.07,13.10,3400,11.44
2009-12-14,12.92,13.20,12.73,13.08,8200,11.42
2009-12-07,13.20,13.33,12.90,12.94,6000,11.30
2009-11-30,13.06,13.38,13.06,13.31,4900,11.57
2009-11-23,12.79,13.15,12.75,13.06,16800,11.35
2009-11-16,12.76,12.89,12.69,12.81,31700,11.14
2009-11-09,12.99,13.02,12.65,12.75,9200,11.08
2009-11-02,12.90,13.30,12.76,12.99,11200,11.24
2009-10-26,13.15,13.15,12.61,12.72,7200,11.01
2009-10-19,12.93,13.38,12.91,13.15,4800,11.38
2009-10-12,13.52,13.52,12.81,12.93,7100,11.19
2009-10-05,13.21,13.64,13.20,13.52,7700,11.65
2009-09-28,13.30,13.31,13.18,13.23,5100,11.40
2009-09-21,13.09,13.35,13.07,13.30,6400,11.46
2009-09-14,12.88,13.13,12.83,13.07,9900,11.26
2009-09-08,12.81,13.00,12.79,12.88,12100,11.10
2009-08-31,12.54,12.80,12.54,12.80,5300,10.98
2009-08-24,12.45,12.70,12.40,12.52,11800,10.74
2009-08-17,12.47,12.70,12.37,12.47,4700,10.70
2009-08-10,12.58,12.60,12.47,12.49,2900,10.72
2009-08-03,12.25,12.64,12.24,12.57,4700,10.74
2009-07-27,12.37,12.45,12.27,12.29,3500,10.50
