Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,11.08,12.80,11.08,11.79,148100,11.79
2012-05-14,10.72,11.59,10.64,11.21,92600,11.21
2012-05-07,10.44,11.42,10.40,10.78,49900,10.78
2012-04-30,11.42,11.78,10.50,10.50,22400,10.50
2012-04-23,11.26,11.87,11.17,11.34,35000,11.34
2012-04-16,11.04,12.37,10.95,11.40,67300,11.40
2012-04-09,9.07,11.83,8.75,10.99,44300,10.99
2012-04-02,9.16,9.85,9.00,9.23,43200,9.23
2012-03-26,9.93,10.49,9.00,9.15,59200,9.15
2012-03-19,9.52,10.85,9.25,9.85,25700,9.85
2012-03-12,9.13,9.99,9.13,9.47,25300,9.47
2012-03-05,8.68,9.60,8.32,9.10,38900,9.10
2012-02-27,8.40,8.95,8.16,8.68,27900,8.68
2012-02-21,7.60,9.77,7.60,8.40,47200,8.40
2012-02-13,7.31,7.80,7.23,7.55,12200,7.55
2012-02-06,7.00,7.78,7.00,7.25,17700,7.25
2012-01-30,7.12,7.18,6.75,6.97,27200,6.97
2012-01-23,7.05,7.20,7.00,7.18,8800,7.18
2012-01-17,6.57,7.15,6.57,7.07,21800,7.07
2012-01-09,7.12,7.26,6.33,6.48,26500,6.48
2012-01-03,7.17,7.17,7.03,7.12,14000,7.12
2011-12-27,7.10,7.25,7.01,7.04,16700,7.04
2011-12-19,6.49,7.30,6.36,7.17,57000,7.17
2011-12-12,7.00,7.01,6.25,6.44,169500,6.44
2011-12-05,7.13,7.26,7.00,7.00,271700,7.00
2011-11-28,7.20,7.24,7.00,7.06,41000,7.06
2011-11-21,7.10,7.10,6.97,7.01,230100,7.01
2011-11-14,7.07,7.14,7.00,7.10,218200,7.10
2011-11-11,7.00,7.81,7.00,7.08,1729200,7.08
