Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,8.09,8.43,7.92,8.03,83200,8.03
2012-05-14,8.69,9.16,7.86,8.04,146400,8.04
2012-05-07,8.48,9.70,7.91,8.78,207400,8.78
2012-04-30,8.35,8.35,7.38,7.45,71200,7.45
2012-04-23,8.06,8.86,8.05,8.38,68900,8.38
2012-04-16,7.90,8.48,7.77,8.29,89700,8.29
2012-04-09,7.78,8.25,7.32,7.86,175100,7.86
2012-04-02,8.20,8.87,7.99,8.02,151600,8.02
2012-03-26,9.07,9.48,8.10,8.16,185500,8.16
2012-03-19,8.27,9.13,8.14,8.87,182900,8.87
2012-03-12,8.46,8.58,7.56,8.33,165100,8.33
2012-03-05,8.60,8.86,8.19,8.44,137900,8.44
2012-02-27,9.39,9.66,8.27,8.62,157300,8.62
2012-02-21,9.79,10.00,9.37,9.46,120900,9.46
2012-02-13,9.30,10.30,9.29,9.74,153700,9.74
2012-02-06,8.93,9.69,8.80,9.16,151800,9.16
2012-01-30,7.42,9.30,7.38,9.05,181600,9.05
2012-01-23,7.27,7.62,7.01,7.49,70300,7.49
2012-01-17,7.56,7.60,7.00,7.30,120100,7.30
2012-01-09,5.95,7.60,5.86,7.47,226500,7.47
2012-01-03,6.24,6.31,5.52,5.68,93900,5.68
2011-12-27,5.89,6.10,5.80,6.00,69600,6.00
2011-12-19,5.80,6.09,5.30,5.93,104000,5.93
2011-12-12,5.98,6.28,5.55,5.68,100300,5.68
2011-12-05,6.44,6.44,5.81,6.13,95300,6.13
2011-11-28,5.65,6.59,5.65,6.26,108600,6.26
2011-11-21,6.25,6.39,5.31,5.35,118900,5.35
2011-11-14,6.65,6.79,6.25,6.34,103900,6.34
2011-11-07,7.36,7.36,6.13,6.70,185500,6.70
2011-10-31,8.75,9.02,6.41,7.36,317600,7.36
2011-10-24,7.54,9.42,7.49,9.06,179900,9.06
2011-10-17,7.65,7.96,6.90,7.50,167900,7.50
2011-10-10,5.53,7.93,5.36,7.71,293400,7.71
2011-10-03,5.00,5.68,4.47,5.37,253500,5.37
2011-09-26,5.48,5.95,5.03,5.05,254800,5.05
2011-09-19,6.41,6.57,5.06,5.30,193900,5.30
2011-09-12,6.25,6.99,6.02,6.64,220000,6.64
2011-09-06,6.53,7.30,6.19,6.38,169800,6.38
2011-08-29,7.05,8.36,6.81,6.92,185300,6.92
2011-08-22,6.85,7.30,6.23,6.95,199000,6.95
2011-08-15,7.65,8.28,6.34,6.60,228200,6.60
2011-08-08,7.23,8.14,5.64,7.64,400300,7.64
2011-08-01,12.07,12.18,7.52,7.57,257400,7.57
2011-07-25,12.85,13.08,11.25,11.78,124300,11.78
2011-07-18,13.42,13.48,12.57,13.09,152900,13.09
2011-07-11,15.64,15.64,13.23,13.50,140200,13.50
2011-07-05,15.86,16.30,15.10,15.84,130500,15.84
2011-06-27,12.70,15.99,12.51,15.91,176800,15.91
2011-06-20,12.79,13.95,12.49,12.62,644400,12.62
2011-06-13,13.21,13.52,12.61,12.87,154300,12.87
2011-06-06,12.98,13.37,12.53,13.04,170400,13.04
2011-05-31,14.58,14.79,12.59,13.06,245000,13.06
2011-05-23,14.76,14.76,13.53,14.40,175300,14.40
2011-05-16,16.47,16.76,14.75,15.03,141400,15.03
2011-05-09,17.83,18.43,16.25,16.55,171800,16.55
2011-05-02,18.24,19.39,17.30,17.76,290000,17.76
2011-04-25,16.60,17.95,16.35,17.53,103100,17.53
2011-04-18,16.50,16.61,15.58,16.60,130100,16.60
2011-04-11,17.53,17.86,16.20,16.80,131900,16.80
2011-04-04,18.20,19.37,17.29,17.53,191800,17.53
2011-03-28,16.80,18.97,16.79,18.15,288700,18.15
2011-03-21,15.15,17.15,15.09,16.78,373200,16.78
2011-03-14,14.49,15.07,13.87,14.96,220700,14.96
2011-03-07,14.08,14.98,10.55,14.38,276700,14.38
2011-02-28,12.25,13.99,12.12,13.96,93300,13.96
2011-02-22,13.00,13.04,11.64,12.22,134100,12.22
2011-02-14,13.90,14.40,13.13,13.31,69800,13.31
2011-02-07,13.65,14.20,13.20,13.97,67000,13.97
2011-01-31,12.95,13.82,12.77,13.67,90500,13.67
2011-01-24,13.16,13.90,12.83,12.96,123700,12.96
2011-01-18,15.11,15.30,12.81,13.08,270000,13.08
2011-01-10,14.00,15.54,13.90,14.92,211400,14.92
2011-01-03,12.58,14.05,12.41,13.82,228300,13.82
2010-12-27,11.40,12.59,11.27,12.36,100200,12.36
2010-12-20,10.70,11.71,10.51,11.34,250500,11.34
2010-12-13,9.75,11.00,9.40,10.61,178700,10.61
2010-12-06,10.16,10.25,9.54,9.84,92800,9.84
2010-11-29,10.17,10.25,9.95,10.11,73800,10.11
2010-11-22,9.99,10.25,9.31,10.16,116900,10.16
2010-11-15,10.00,10.25,9.66,10.01,106000,10.01
2010-11-08,9.00,9.95,9.00,9.41,144500,9.41
2010-11-01,8.32,9.44,8.32,9.00,112100,9.00
2010-10-25,8.14,8.44,7.95,8.32,55600,8.32
2010-10-18,8.40,9.24,8.08,8.24,267700,8.24
2010-10-11,8.50,8.70,8.01,8.36,85600,8.36
2010-10-04,8.37,8.83,7.98,8.47,163100,8.47
2010-09-27,8.18,8.65,7.96,8.43,73000,8.43
2010-09-20,7.99,8.68,7.50,8.20,146300,8.20
2010-09-13,9.03,9.03,7.76,8.08,135600,8.08
2010-09-07,8.32,9.21,8.21,8.80,260000,8.80
2010-08-30,7.24,8.81,7.23,8.43,215400,8.43
2010-08-23,7.81,8.42,6.71,7.30,274600,7.30
2010-08-16,6.40,8.24,6.12,7.32,332100,7.32
2010-08-09,5.76,6.61,5.72,6.40,156500,6.40
2010-08-02,5.93,6.07,5.70,5.77,46400,5.77
2010-07-26,5.78,5.99,5.49,5.89,66200,5.89
2010-07-19,5.04,5.80,4.77,5.80,46900,5.80
2010-07-12,4.97,5.42,4.91,4.99,31400,4.99
2010-07-06,4.85,5.00,4.32,4.98,46100,4.98
2010-06-28,5.57,5.69,4.81,4.84,38100,4.84
2010-06-21,5.79,5.81,5.16,5.51,44300,5.51
2010-06-14,5.80,5.93,5.50,5.63,56600,5.63
2010-06-07,5.80,6.12,5.63,5.85,56000,5.85
2010-06-01,6.27,6.49,5.76,5.80,101400,5.80
2010-05-24,6.55,6.80,5.67,6.19,71100,6.19
2010-05-17,7.14,7.46,6.05,6.50,56700,6.50
2010-05-10,7.37,7.50,6.58,7.11,44900,7.11
