Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.65,12.75,12.55,12.65,8100,12.65
2012-05-14,12.61,13.00,12.52,12.70,54400,12.70
2012-05-07,12.50,12.98,12.27,12.60,8900,12.60
2012-04-30,12.60,12.88,12.27,12.27,15700,12.27
2012-04-23,12.58,13.00,12.26,12.64,70100,12.64
2012-04-16,12.75,12.79,12.24,12.25,64000,12.25
2012-04-09,12.75,13.10,12.66,13.00,3000,13.00
2012-04-02,12.81,12.95,12.60,12.71,2000,12.71
2012-03-26,11.82,12.44,11.00,12.30,2200,12.30
2012-03-19,11.70,12.00,11.66,11.75,1600,11.75
2012-03-12,11.13,11.75,11.13,11.66,5300,11.66
2012-03-05,10.86,11.40,10.50,11.29,2900,11.29
2012-02-27,10.51,10.86,10.40,10.86,1500,10.86
2012-02-21,10.32,10.67,10.30,10.67,1200,10.67
2012-02-13,10.25,10.49,10.07,10.30,1000,10.30
2012-02-06,10.15,10.23,9.87,10.20,6600,10.20
2012-01-30,9.98,10.18,9.70,10.15,8100,10.15
2012-01-23,9.68,10.00,9.65,9.97,200,9.97
2012-01-17,9.58,9.64,9.58,9.64,000,9.64
2012-01-09,9.60,10.00,9.58,9.58,400,9.58
2012-01-03,9.70,9.71,9.39,9.60,2200,9.60
2011-12-27,9.57,9.77,9.30,9.61,2100,9.61
2011-12-19,9.85,9.99,9.38,9.58,2300,9.58
2011-12-12,9.85,10.00,9.70,9.86,2100,9.86
2011-12-05,9.70,10.00,9.70,9.92,900,9.92
2011-11-28,9.61,9.93,9.59,9.90,1200,9.90
2011-11-21,9.65,9.90,9.61,9.61,200,9.61
2011-11-14,10.06,10.24,9.50,9.65,4500,9.65
2011-11-07,9.95,10.45,9.91,10.25,13100,10.25
2011-10-31,9.29,10.40,9.29,10.32,2300,10.32
2011-10-24,9.27,10.00,9.05,10.00,4100,10.00
2011-10-17,9.75,9.84,9.18,9.27,4300,9.27
2011-10-10,9.80,10.13,9.75,9.75,200,9.75
2011-10-03,9.20,9.98,8.25,9.66,1300,9.66
2011-09-26,9.25,9.75,9.02,9.35,1800,9.35
2011-09-19,9.16,9.60,9.05,9.25,1200,9.25
2011-09-12,10.10,10.18,9.13,9.77,1200,9.77
2011-09-06,9.82,9.91,9.82,9.91,200,9.91
2011-08-29,10.15,10.21,9.78,10.00,500,10.00
2011-08-22,10.33,10.35,10.15,10.15,500,10.15
2011-08-15,10.83,10.83,9.75,9.79,1100,9.79
2011-08-08,10.66,10.66,9.38,9.74,700,9.74
2011-08-01,10.35,10.77,10.35,10.77,600,10.77
2011-07-25,10.82,10.90,10.30,10.40,300,10.40
2011-07-18,10.48,10.82,10.48,10.82,1300,10.82
2011-07-11,10.16,10.59,10.16,10.50,11600,10.50
2011-07-05,10.37,10.71,10.31,10.41,7200,10.41
2011-06-27,10.00,10.40,9.87,10.30,4000,10.30
2011-06-20,10.30,10.34,9.61,9.61,5400,9.61
2011-06-13,10.50,10.85,10.15,10.25,3900,10.25
2011-06-06,10.10,10.83,10.10,10.80,1000,10.80
2011-05-31,10.30,10.30,10.07,10.07,1100,10.07
2011-05-23,10.35,10.35,10.10,10.29,1500,10.29
2011-05-16,10.65,10.65,10.41,10.45,1500,10.45
2011-05-09,10.81,10.83,10.59,10.63,400,10.63
2011-05-02,10.14,10.86,10.02,10.81,1200,10.81
2011-04-25,10.22,10.24,10.00,10.02,2300,10.02
2011-04-18,10.11,10.50,10.11,10.22,1900,10.22
2011-04-11,10.64,10.86,10.60,10.62,400,10.62
2011-04-04,10.69,10.69,10.51,10.54,700,10.54
2011-03-28,10.86,10.86,10.50,10.69,13600,10.69
2011-03-21,10.45,10.86,10.40,10.86,900,10.86
2011-03-14,10.40,10.50,10.36,10.36,5300,10.36
2011-03-07,10.73,10.84,10.20,10.50,500,10.50
2011-02-28,10.56,10.99,10.48,10.51,2200,10.51
2011-02-22,10.60,10.99,10.00,10.27,2200,10.27
2011-02-14,10.36,10.99,10.25,10.60,2700,10.60
2011-02-07,10.25,12.99,9.98,10.50,5900,10.50
2011-01-31,8.74,10.25,8.74,10.25,2600,10.25
2011-01-24,8.66,9.00,8.50,8.75,800,8.75
2011-01-18,9.75,9.75,8.50,8.66,1200,8.66
2011-01-10,10.00,10.00,8.11,9.75,2000,9.75
2011-01-03,8.95,9.00,8.10,8.50,5500,8.50
2010-12-27,1.59,9.49,1.57,8.95,1500,8.95
2010-12-20,1.55,1.59,1.44,1.59,2900,7.95
2010-12-13,1.50,1.65,1.48,1.58,2700,7.90
2010-12-06,1.74,1.74,1.45,1.48,10200,7.40
2010-11-29,1.57,1.75,1.26,1.59,7200,7.95
2010-11-22,1.73,1.79,1.58,1.64,2500,8.20
2010-11-15,1.60,1.79,1.60,1.74,1900,8.70
2010-11-08,1.60,1.62,1.59,1.60,9200,8.00
2010-11-01,1.78,1.78,1.60,1.68,2000,8.40
2010-10-25,1.64,1.76,1.64,1.67,3600,8.35
2010-10-18,1.68,1.90,1.60,1.67,2200,8.35
2010-10-11,1.60,1.68,1.60,1.65,1000,8.25
2010-10-04,1.69,1.79,1.58,1.60,1200,8.00
2010-09-27,1.60,1.75,1.60,1.70,1600,8.50
2010-09-20,1.52,1.74,1.48,1.60,4700,8.00
2010-09-13,1.75,1.90,1.33,1.51,15900,7.55
2010-09-07,1.65,2.00,1.65,1.75,1100,8.75
2010-08-30,1.79,1.80,1.64,1.65,800,8.25
2010-08-23,1.96,1.97,1.77,1.87,2700,9.35
2010-08-16,1.90,2.11,1.90,2.00,400,10.00
2010-08-09,1.97,2.09,1.89,1.90,3000,9.50
2010-08-02,1.90,2.33,1.79,2.07,1500,10.35
2010-07-26,1.94,1.99,1.69,1.99,4700,9.95
2010-07-19,1.95,1.98,1.75,1.82,500,9.10
2010-07-12,2.04,2.10,1.95,1.95,700,9.75
2010-07-06,1.85,2.10,1.77,2.04,600,10.20
2010-06-28,2.00,2.22,1.84,2.02,700,10.10
2010-06-21,2.45,2.45,1.97,2.02,3200,10.10
2010-06-14,2.40,2.65,2.19,2.65,100,13.25
2010-06-07,2.41,2.46,2.00,2.44,1400,12.20
2010-06-01,2.35,2.68,2.20,2.53,3100,12.65
2010-05-24,2.25,2.40,2.04,2.30,5100,11.50
2010-05-17,2.35,2.44,1.85,2.27,5100,11.35
2010-05-10,2.36,2.56,2.26,2.33,1900,11.65
2010-05-03,2.55,2.75,2.14,2.35,5000,11.75
2010-04-26,2.95,2.96,2.60,2.65,7400,13.25
2010-04-19,2.18,2.49,2.04,2.40,4900,12.00
2010-04-12,2.29,2.41,2.05,2.14,3100,10.70
2010-04-05,1.89,2.30,1.86,2.25,9300,11.25
2010-03-29,1.90,1.97,1.75,1.80,2700,9.00
2010-03-22,1.90,2.04,1.83,1.88,1600,9.40
2010-03-15,2.05,2.10,1.89,1.91,1500,9.55
2010-03-08,1.86,2.10,1.77,1.95,2800,9.75
2010-03-01,2.07,2.07,1.68,1.83,7700,9.15
2010-02-22,1.84,2.02,1.45,1.95,3800,9.75
2010-02-16,1.78,1.96,1.78,1.83,1000,9.15
2010-02-08,1.89,1.97,1.76,1.80,800,9.00
2010-02-01,1.91,1.92,1.80,1.85,1700,9.25
2010-01-25,1.85,1.97,1.81,1.91,500,9.55
2010-01-19,2.01,2.02,1.85,1.87,1100,9.35
2010-01-11,2.05,2.05,1.85,1.91,1800,9.55
2010-01-04,2.10,2.10,2.00,2.08,1300,10.40
2009-12-28,2.11,2.25,2.06,2.09,1400,10.45
2009-12-21,2.13,2.25,2.06,2.10,900,10.50
2009-12-14,2.09,2.29,2.00,2.29,2100,11.45
2009-12-07,2.00,2.35,1.95,2.20,2400,11.00
2009-11-30,1.99,2.05,1.79,1.96,3100,9.80
2009-11-23,2.07,2.07,1.80,2.05,3700,10.25
2009-11-16,2.31,2.51,1.58,2.00,3800,10.00
2009-11-09,2.47,2.50,2.00,2.30,1300,11.50
2009-11-02,2.77,2.85,2.50,2.50,800,12.50
2009-10-26,2.77,3.20,2.77,2.77,600,13.85
2009-10-19,2.78,3.15,2.70,2.77,2000,13.85
2009-10-12,2.90,3.00,2.36,2.80,800,14.00
2009-10-05,2.71,3.00,2.71,2.95,400,14.75
2009-09-28,3.05,3.10,2.65,2.65,800,13.25
2009-09-21,3.00,3.25,2.90,3.05,800,15.25
2009-09-14,3.20,3.22,2.95,2.95,600,14.75
2009-09-08,3.43,3.43,3.05,3.20,800,16.00
2009-08-31,3.41,3.52,3.40,3.45,200,17.25
2009-08-24,3.71,3.85,3.20,3.36,700,16.80
2009-08-17,3.80,3.88,3.50,3.50,200,17.50
2009-08-10,3.58,4.07,3.58,3.78,400,18.90
2009-08-03,4.51,4.51,3.58,3.58,2000,17.90
2009-07-27,4.51,4.58,4.12,4.50,400,22.50
2009-07-20,4.70,4.82,4.50,4.64,3300,23.20
2009-07-13,5.25,5.35,4.35,4.65,900,23.25
2009-07-06,4.82,5.68,4.75,5.35,2500,26.75
2009-06-29,4.63,4.97,4.63,4.96,000,24.80
2009-06-22,4.70,5.00,4.70,5.00,900,25.00
2009-06-15,4.77,4.85,4.66,4.75,000,23.75
2009-06-08,4.86,5.00,4.75,4.77,500,23.85
2009-06-01,4.65,4.80,4.62,4.75,1000,23.75
2009-05-26,4.50,4.86,4.50,4.66,500,23.30
2009-05-18,4.83,4.84,4.38,4.68,400,23.40
2009-05-11,4.10,4.90,4.10,4.84,2100,24.20
2009-05-04,4.26,5.00,4.01,4.16,1600,20.80
2009-04-27,4.80,5.00,4.37,4.54,5400,22.70
2009-04-20,4.91,5.00,4.61,4.81,2400,24.05
2009-04-13,4.10,4.78,4.10,4.78,700,23.90
2009-04-06,4.20,4.25,4.03,4.17,200,20.85
2009-03-30,3.75,4.50,3.63,4.15,600,20.75
2009-03-23,3.40,3.63,3.38,3.63,700,18.15
2009-03-16,3.16,3.39,3.12,3.37,200,16.85
2009-03-09,2.76,3.59,2.51,2.90,4300,14.50
2009-03-02,3.11,3.90,2.80,2.80,1000,14.00
2009-02-23,2.75,3.20,2.53,3.17,1700,15.85
2009-02-17,3.15,3.29,2.61,2.78,2800,13.90
2009-02-09,3.50,3.57,2.85,3.29,4100,16.45
2009-02-02,3.61,3.64,2.99,3.36,2500,16.80
2009-01-26,3.70,3.77,3.61,3.73,200,18.65
2009-01-20,3.92,4.02,3.75,3.75,500,18.75
2009-01-12,4.02,4.02,3.75,3.80,700,19.00
2009-01-05,3.88,4.08,3.75,3.80,3500,19.00
2008-12-29,3.76,4.05,3.65,3.80,3900,19.00
2008-12-22,3.65,4.13,3.60,3.88,1200,19.40
2008-12-15,4.05,4.19,3.52,3.52,1100,17.60
2008-12-08,4.35,4.35,3.34,4.10,3600,20.50
2008-12-01,4.93,5.15,4.21,4.22,2000,20.59
2008-11-24,4.90,5.11,4.75,4.75,300,23.18
2008-11-17,5.11,5.20,4.75,5.00,800,24.40
2008-11-10,5.22,5.22,4.96,5.08,7900,24.79
2008-11-03,5.39,5.97,5.00,5.01,2000,24.45
2008-10-27,5.12,6.05,5.07,6.05,500,29.52
2008-10-20,5.73,6.30,5.00,5.10,1400,24.89
2008-10-13,5.00,6.19,5.00,5.25,1900,25.62
2008-10-06,5.50,6.08,5.00,5.00,1800,24.40
2008-09-29,5.83,6.85,5.52,5.52,1000,26.93
2008-09-22,6.43,6.89,5.79,5.82,1000,28.40
2008-09-15,6.15,6.89,5.50,6.89,5600,33.62
2008-09-08,6.92,6.92,6.09,6.16,3100,30.06
2008-09-02,6.88,7.00,6.54,6.97,3900,33.49
2008-08-25,6.42,6.89,5.94,6.89,800,33.11
2008-08-18,7.10,7.10,6.32,6.32,1500,30.37
2008-08-11,6.77,7.64,6.56,6.64,2600,31.91
2008-08-04,4.85,7.12,4.80,6.88,12100,33.06
2008-07-28,5.09,5.41,4.70,4.73,5900,22.73
2008-07-21,5.00,5.39,4.75,4.99,17400,23.98
2008-07-14,5.69,5.75,4.55,5.00,6500,24.03
2008-07-07,6.04,6.15,5.10,5.48,5800,26.33
2008-06-30,7.01,7.50,5.75,5.85,3600,28.11
2008-06-23,7.19,7.54,6.73,6.94,1900,33.35
2008-06-16,7.75,7.88,7.02,7.11,2000,34.17
2008-06-09,8.38,8.38,6.93,7.68,2900,36.91
2008-06-02,9.24,9.47,8.25,8.40,2800,39.86
2008-05-27,8.91,9.42,8.84,9.18,2500,43.56
2008-05-19,8.83,9.93,8.52,9.00,3200,42.70
2008-05-12,8.97,10.70,8.65,8.66,2100,41.09
2008-05-05,9.69,9.69,8.62,8.70,4700,41.28
2008-04-28,10.17,10.93,9.23,9.71,2500,46.07
2008-04-21,10.16,10.19,10.05,10.11,1700,47.97
2008-04-14,10.55,10.55,9.91,10.15,2100,48.16
2008-04-07,10.75,10.99,10.00,10.26,4700,48.68
2008-03-31,12.01,12.26,10.50,10.75,17000,51.01
2008-03-24,11.35,12.20,11.35,11.73,20000,55.66
2008-03-17,11.52,12.07,11.42,11.42,2200,54.19
2008-03-10,12.84,12.90,11.80,12.00,3900,56.94
2008-03-03,12.95,13.22,12.57,12.89,5100,60.67
2008-02-25,13.00,13.38,12.75,12.95,4300,60.95
2008-02-19,13.10,13.27,12.89,13.10,1600,61.66
2008-02-11,13.18,13.61,13.01,13.25,3400,62.36
2008-02-04,13.31,13.53,13.00,13.10,3000,61.66
2008-01-28,13.32,13.34,12.50,13.34,7600,62.79
2008-01-22,11.53,13.39,11.53,12.98,8200,61.09
2008-01-14,12.24,12.44,11.74,11.79,8100,55.49
2008-01-07,12.80,12.92,10.94,12.27,18100,57.75
2007-12-31,12.98,13.39,12.50,12.85,18200,60.48
2007-12-24,13.74,13.99,12.66,12.74,19100,59.96
2007-12-17,12.86,13.73,12.53,13.73,12200,64.62
2007-12-10,12.68,13.38,12.13,12.93,20900,60.86
2007-12-03,14.00,14.56,12.31,12.40,66900,57.90
2007-11-26,14.72,15.63,14.02,14.60,2700,68.18
2007-11-19,15.25,15.25,13.50,14.93,1600,69.72
2007-11-12,14.03,16.37,14.03,15.22,2600,71.07
2007-11-05,16.19,16.92,14.22,15.18,6400,70.89
2007-10-29,18.69,18.94,14.51,15.75,7600,73.55
2007-10-22,19.91,20.16,17.79,19.05,1700,88.96
2007-10-15,22.80,22.94,19.55,19.92,1700,93.02
2007-10-08,23.28,23.46,22.63,23.12,2800,107.96
2007-10-01,22.60,23.60,22.60,23.36,2000,109.08
2007-09-24,23.39,23.57,22.25,22.80,1400,106.47
2007-09-17,22.23,24.20,21.69,23.53,3900,109.88
2007-09-10,21.78,23.01,20.98,22.20,1600,103.67
2007-09-04,21.11,22.49,21.03,21.70,8300,100.87
2007-08-27,21.97,22.11,20.90,21.11,900,98.13
2007-08-20,22.85,22.89,21.51,22.20,2500,103.19
2007-08-13,21.20,23.67,19.39,22.22,4400,103.29
2007-08-06,18.30,21.16,17.47,20.85,4200,96.92
2007-07-30,19.82,20.04,18.38,18.38,1400,85.44
2007-07-23,22.59,22.59,19.60,19.97,2800,92.83
2007-07-16,24.32,24.32,21.95,22.38,2900,104.03
2007-07-09,23.58,24.11,22.82,24.11,2400,112.07
2007-07-02,24.02,24.03,23.70,23.71,3200,110.21
2007-06-25,24.20,25.50,23.42,23.97,1600,111.42
2007-06-18,25.04,25.04,24.12,24.18,2600,112.40
2007-06-11,24.60,25.16,24.44,24.90,17800,115.74
2007-06-04,24.89,24.90,24.16,24.74,3400,114.53
2007-05-29,24.66,24.95,24.60,24.79,21400,114.77
2007-05-21,24.11,24.77,24.10,24.55,3500,113.65
2007-05-14,24.62,24.70,24.19,24.19,4100,111.99
2007-05-07,24.80,24.99,24.00,24.73,8600,114.49
2007-04-30,24.77,25.04,24.16,24.94,11800,115.46
2007-04-23,25.02,25.39,24.77,24.78,12400,114.72
2007-04-16,24.51,25.65,24.51,25.20,16100,116.66
2007-04-09,24.95,25.10,24.30,24.65,40200,114.12
2007-04-02,24.91,25.08,24.43,24.95,1200,115.51
2007-03-26,24.64,25.13,24.50,25.13,2400,116.34
2007-03-19,25.64,25.65,24.55,24.60,2600,113.89
2007-03-12,25.29,26.00,25.25,25.55,4000,118.28
2007-03-05,25.09,25.83,24.56,25.60,6800,118.05
2007-02-26,24.81,25.22,23.93,25.10,7500,115.74
2007-02-20,23.75,24.92,23.04,24.92,6600,114.91
2007-02-12,22.68,23.98,21.97,23.88,3500,110.12
2007-02-05,21.24,22.97,21.24,22.51,1100,103.80
2007-01-29,20.05,21.98,20.05,21.54,7000,99.33
2007-01-22,20.01,20.29,19.65,20.18,1800,93.06
2007-01-16,19.66,20.23,19.50,19.85,4400,91.53
2007-01-08,17.57,19.57,17.57,19.57,5600,90.24
2007-01-03,18.52,18.56,17.72,17.72,600,81.71
2006-12-26,18.23,18.90,18.23,18.48,2300,85.22
2006-12-18,18.75,18.80,18.01,18.32,1300,84.48
2006-12-11,18.47,18.75,18.00,18.75,800,86.46
2006-12-04,18.47,18.60,18.13,18.33,700,84.07
2006-11-27,18.40,18.61,18.26,18.45,200,84.62
2006-11-20,18.35,18.46,18.02,18.40,200,84.39
2006-11-13,18.18,18.50,17.98,18.20,6100,83.47
2006-11-06,18.28,18.29,17.51,17.75,500,81.41
2006-10-30,18.75,18.75,17.76,18.40,1100,84.39
2006-10-23,18.60,18.60,17.96,18.60,600,85.31
2006-10-16,18.05,18.74,18.05,18.60,1400,85.31
2006-10-09,17.82,18.98,17.75,18.97,3600,87.00
2006-10-02,17.64,17.97,17.25,17.95,3300,82.32
2006-09-25,16.64,17.71,16.64,17.63,3400,80.86
2006-09-18,16.30,16.97,16.25,16.84,1600,77.23
2006-09-11,16.20,16.50,16.00,16.29,1200,74.71
2006-09-05,16.18,16.48,16.10,16.31,8100,74.34
2006-08-28,16.02,16.20,15.75,16.15,3500,73.61
2006-08-21,16.31,16.40,16.02,16.02,600,73.02
2006-08-14,17.05,17.07,16.25,16.27,800,74.16
2006-08-07,17.07,17.08,16.22,16.61,400,75.71
2006-07-31,17.08,17.10,16.72,16.86,700,76.85
2006-07-24,17.16,17.25,16.71,16.77,5700,76.44
2006-07-17,17.18,17.19,17.05,17.11,400,77.99
2006-07-10,17.20,17.20,17.07,17.19,300,78.35
2006-07-03,17.39,17.39,17.09,17.26,1100,78.67
2006-06-26,17.21,17.40,17.02,17.39,800,79.27
2006-06-19,17.11,17.40,17.06,17.33,300,78.99
2006-06-12,17.75,17.75,17.10,17.20,500,78.40
2006-06-05,17.10,18.00,17.10,17.70,5500,80.21
