Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,16.08,16.14,15.97,16.02,48500,16.02
2012-05-14,16.00,16.10,15.91,16.10,44500,16.10
2012-05-07,15.94,16.10,15.93,15.98,36400,15.98
2012-04-30,15.90,16.00,15.84,15.99,41700,15.91
2012-04-23,15.83,15.88,15.73,15.88,31400,15.80
2012-04-16,15.68,15.86,15.68,15.80,29900,15.72
2012-04-09,15.48,15.79,15.48,15.72,58200,15.64
2012-04-02,15.68,15.69,15.55,15.60,60600,15.44
2012-03-26,15.63,15.63,15.14,15.63,57100,15.47
2012-03-19,15.03,15.84,14.95,15.58,94500,15.42
2012-03-12,16.19,16.28,14.92,15.11,109000,14.95
2012-03-05,16.02,16.19,15.87,16.19,54600,15.94
2012-02-27,15.92,16.05,15.83,16.00,64700,15.75
2012-02-21,15.62,15.91,15.60,15.91,68600,15.66
2012-02-13,15.91,16.04,15.49,15.57,85900,15.33
2012-02-06,15.98,16.13,15.87,15.97,79500,15.64
2012-01-30,16.09,16.24,16.00,16.08,71600,15.75
2012-01-23,15.69,16.02,15.69,16.02,67000,15.69
2012-01-17,15.63,15.80,15.47,15.73,81300,15.40
2012-01-09,15.70,15.76,15.48,15.63,87400,15.30
2012-01-03,15.61,15.95,15.58,15.71,111900,15.30
2011-12-27,15.55,15.65,15.45,15.61,59000,15.20
2011-12-19,15.33,15.49,15.22,15.43,40700,15.03
2011-12-12,15.44,15.49,15.22,15.32,45000,14.92
2011-12-05,15.20,15.48,15.15,15.47,44000,14.98
2011-11-28,15.05,15.22,14.96,15.20,48400,14.72
2011-11-21,14.98,15.04,14.88,15.03,35300,14.56
2011-11-14,14.92,14.96,14.64,14.90,50000,14.43
2011-11-07,14.79,14.98,14.79,14.91,42600,14.44
2011-10-31,14.68,14.88,14.55,14.88,57200,14.33
2011-10-24,14.45,14.66,14.44,14.62,48100,14.08
2011-10-17,14.51,14.54,14.33,14.53,45200,14.00
2011-10-10,14.47,14.58,14.05,14.46,60900,13.93
2011-10-03,14.74,14.77,14.34,14.41,80500,13.80
2011-09-26,14.75,14.80,14.65,14.79,43800,14.16
2011-09-19,14.63,14.73,14.40,14.73,52500,14.11
2011-09-12,14.64,14.75,14.36,14.44,45500,13.83
2011-09-06,14.57,14.72,14.51,14.72,24600,14.02
2011-08-29,14.52,14.68,14.40,14.56,45600,13.86
2011-08-22,14.42,14.82,14.32,14.40,38100,13.71
2011-08-15,14.08,14.42,14.04,14.41,40100,13.72
2011-08-08,13.84,14.10,13.36,13.96,101300,13.29
2011-08-01,14.09,14.38,13.92,14.10,38100,13.35
2011-07-25,14.41,14.41,13.74,14.00,69200,13.25
2011-07-18,14.26,14.42,14.14,14.36,50800,13.59
2011-07-11,14.39,14.49,14.29,14.34,61400,13.57
2011-07-05,14.22,14.44,14.22,14.44,39200,13.59
2011-06-27,14.44,14.44,14.07,14.23,46700,13.39
2011-06-20,14.08,14.41,13.92,14.41,49100,13.56
2011-06-13,14.07,14.15,13.96,14.04,39400,13.21
2011-06-06,14.27,14.38,14.17,14.18,31500,13.27
2011-05-31,13.92,14.28,13.86,14.23,53400,13.31
2011-05-23,13.82,13.93,13.73,13.85,39500,12.96
2011-05-16,13.85,14.00,13.75,13.89,41300,13.00
2011-05-09,13.60,13.84,13.57,13.81,38100,12.92
2011-05-02,13.57,13.65,13.46,13.63,44200,12.68
2011-04-25,13.31,13.50,13.21,13.45,32600,12.51
2011-04-18,13.12,13.33,13.09,13.26,53900,12.33
2011-04-11,13.18,13.22,13.05,13.12,37400,12.20
2011-04-04,13.32,13.39,13.11,13.19,44500,12.20
2011-03-28,13.45,13.48,13.30,13.43,46100,12.42
2011-03-21,13.41,13.45,13.25,13.41,35100,12.40
2011-03-14,13.26,13.44,13.03,13.41,46900,12.40
2011-03-07,13.23,13.44,13.16,13.32,51700,12.32
2011-02-28,13.32,13.47,13.10,13.15,99200,12.09
2011-02-22,13.34,13.38,13.00,13.35,53800,12.27
2011-02-14,13.40,13.43,13.17,13.34,59000,12.26
2011-02-07,13.26,13.49,13.19,13.42,51000,12.34
2011-01-31,13.11,13.45,13.11,13.23,68300,12.09
2011-01-24,12.81,13.24,12.81,13.18,105900,12.04
2011-01-18,12.49,13.05,12.33,12.89,109200,11.78
2011-01-10,13.40,13.41,12.30,12.49,102300,11.41
2011-01-03,13.51,13.62,13.30,13.33,55300,12.11
2010-12-27,13.28,13.50,13.07,13.49,72800,12.25
2010-12-20,13.65,13.65,12.93,13.34,119400,12.12
2010-12-13,13.49,13.70,12.95,13.69,142800,12.43
2010-12-06,14.33,14.33,13.34,13.50,125000,12.19
2010-11-29,14.28,14.51,14.03,14.28,88400,12.89
2010-11-22,13.99,14.39,13.95,14.28,116600,12.89
2010-11-15,14.01,14.06,13.10,13.93,209500,12.58
2010-11-08,14.96,14.96,13.78,14.06,141500,12.69
2010-11-01,15.02,15.03,14.90,14.97,34700,13.44
2010-10-25,15.06,15.08,14.85,14.95,44400,13.43
2010-10-18,14.95,15.06,14.78,15.06,49000,13.52
2010-10-11,15.26,15.30,14.86,14.95,101300,13.43
2010-10-04,15.37,15.40,15.19,15.31,74900,13.68
2010-09-27,15.36,15.47,15.30,15.36,47000,13.72
2010-09-20,15.12,15.46,15.12,15.39,43900,13.75
2010-09-13,15.45,15.49,14.90,15.13,57800,13.52
2010-09-07,15.46,15.58,15.45,15.50,52100,13.78
2010-08-30,15.43,15.61,15.41,15.49,54200,13.77
2010-08-23,15.35,15.49,15.23,15.45,50900,13.73
2010-08-16,15.30,15.44,15.27,15.33,47600,13.63
2010-08-09,15.10,15.29,15.05,15.29,61100,13.59
2010-08-02,15.01,15.10,14.88,15.10,65300,13.35
2010-07-26,14.65,14.93,14.65,14.92,53700,13.19
2010-07-19,14.58,14.66,14.55,14.63,42400,12.94
2010-07-12,14.46,14.60,14.43,14.53,59400,12.85
2010-07-06,14.54,14.59,14.44,14.47,59300,12.72
2010-06-28,14.50,14.54,14.35,14.50,55100,12.75
2010-06-21,14.27,14.50,14.27,14.50,46400,12.75
2010-06-14,14.27,14.34,14.20,14.29,38500,12.57
2010-06-07,14.19,14.45,14.19,14.22,34700,12.50
2010-06-01,14.22,14.27,14.13,14.26,31800,12.47
2010-05-24,13.95,14.18,13.92,14.16,47700,12.38
2010-05-17,14.25,14.26,13.42,13.94,81500,12.19
2010-05-10,14.17,14.28,14.17,14.27,38100,12.48
2010-05-03,14.27,14.43,14.00,14.19,45600,12.34
2010-04-26,14.19,14.23,14.13,14.21,33700,12.36
2010-04-19,14.12,14.19,14.02,14.19,42800,12.34
2010-04-12,14.11,14.16,14.01,14.07,51900,12.24
2010-04-05,14.17,14.18,14.06,14.15,33200,12.24
2010-03-29,14.15,14.21,14.10,14.18,34900,12.27
2010-03-22,14.12,14.19,14.05,14.15,74300,12.24
2010-03-15,14.08,14.21,14.05,14.17,94600,12.26
2010-03-08,14.09,14.23,14.05,14.10,110700,12.20
2010-03-01,13.98,14.10,13.88,14.10,50400,12.14
2010-02-22,13.91,14.08,13.71,13.90,85500,11.96
2010-02-16,13.99,14.03,13.88,13.93,62200,11.99
2010-02-08,13.97,14.14,13.92,13.99,52200,12.04
2010-02-01,13.90,14.00,13.82,14.00,72700,11.99
2010-01-25,13.70,13.84,13.65,13.83,62700,11.84
2010-01-19,13.54,13.75,13.54,13.71,73500,11.74
2010-01-11,13.50,13.60,13.49,13.57,47800,11.62
2010-01-04,13.27,13.52,13.26,13.52,54800,11.51
2009-12-28,13.30,13.32,13.23,13.32,70900,11.34
2009-12-21,13.31,13.36,13.24,13.28,42400,11.31
2009-12-14,13.38,13.43,13.18,13.30,94300,11.32
2009-12-07,13.35,13.50,13.28,13.39,66200,11.40
2009-11-30,13.11,13.42,13.11,13.40,54400,11.35
2009-11-23,12.99,13.15,12.99,13.14,42700,11.13
2009-11-16,12.75,13.08,12.74,13.01,56200,11.02
2009-11-09,13.27,13.27,12.58,12.82,55700,10.85
2009-11-02,13.22,13.31,13.14,13.27,40400,11.18
2009-10-26,13.21,13.30,13.11,13.13,31500,11.06
2009-10-19,13.17,13.33,13.17,13.21,37700,11.13
2009-10-12,13.74,13.75,12.79,13.17,132900,11.09
2009-10-05,14.00,14.12,13.70,13.74,56700,11.51
2009-09-28,13.77,13.97,13.77,13.93,31700,11.67
2009-09-21,13.63,13.86,13.63,13.82,42700,11.58
2009-09-14,13.55,13.70,13.45,13.64,41200,11.43
2009-09-08,13.31,13.67,13.31,13.60,39600,11.39
2009-08-31,12.89,13.34,12.89,13.30,47100,11.09
2009-08-24,12.86,12.98,12.77,12.98,34100,10.82
2009-08-17,12.49,12.88,12.46,12.81,36600,10.68
2009-08-10,12.73,12.77,12.55,12.57,41600,10.48
2009-08-03,12.90,12.93,12.68,12.79,29100,10.61
2009-07-27,12.67,12.90,12.40,12.79,29200,10.61
2009-07-20,12.50,12.75,12.47,12.67,26900,10.51
2009-07-13,12.35,13.00,12.33,12.53,28700,10.39
2009-07-06,12.44,12.50,12.31,12.43,27200,10.26
2009-06-29,12.36,12.45,12.19,12.40,33100,10.23
2009-06-22,12.10,12.40,12.01,12.40,29300,10.23
2009-06-15,11.95,12.19,11.95,12.09,31800,9.97
2009-06-08,12.60,12.63,11.96,12.05,38800,9.94
2009-06-01,12.52,12.72,12.46,12.59,51200,10.33
2009-05-26,12.50,12.63,12.44,12.49,35700,10.25
2009-05-18,12.36,12.60,12.36,12.54,36700,10.29
2009-05-11,12.27,12.43,12.18,12.38,26200,10.16
2009-05-04,12.24,12.35,12.14,12.28,52900,10.03
2009-04-27,12.02,12.38,12.00,12.23,46000,9.99
2009-04-20,12.04,12.38,11.95,12.20,25900,9.96
2009-04-13,11.85,12.06,11.48,12.04,33600,9.83
2009-04-06,11.99,12.02,11.85,11.95,23500,9.71
2009-03-30,11.82,12.12,11.57,11.98,28400,9.73
2009-03-23,11.64,12.38,11.52,11.89,66900,9.66
2009-03-16,11.55,11.69,11.18,11.64,43200,9.45
2009-03-09,11.27,12.11,11.04,11.62,36900,9.44
2009-03-02,11.75,11.77,11.25,11.25,39300,9.09
2009-02-23,10.80,12.02,10.36,11.73,64600,9.48
2009-02-17,12.01,12.10,10.73,10.80,71900,8.73
2009-02-09,12.23,12.35,12.07,12.17,24800,9.83
2009-02-02,12.20,12.35,12.04,12.27,37000,9.86
2009-01-26,11.92,12.20,11.62,12.15,65500,9.77
2009-01-20,12.08,12.33,11.76,11.90,38700,9.56
2009-01-12,11.83,12.20,11.50,12.00,73500,9.65
2009-01-05,10.57,12.00,10.57,11.85,86000,9.47
2008-12-29,9.93,10.91,9.85,10.91,122000,8.72
2008-12-22,10.08,10.10,9.65,9.89,131700,7.91
2008-12-15,9.35,10.11,9.11,9.96,93100,7.96
2008-12-08,10.55,10.65,9.19,9.33,92100,7.46
2008-12-01,11.17,11.17,9.87,10.45,60600,8.27
2008-11-24,8.95,11.02,8.95,10.88,72800,8.61
2008-11-17,10.73,11.00,9.51,9.56,59400,7.57
2008-11-10,12.00,12.10,10.82,10.95,61800,8.67
2008-11-03,10.66,11.81,10.66,11.65,105400,9.17
2008-10-27,10.85,10.87,10.30,10.64,51800,8.38
2008-10-20,10.20,10.86,9.95,10.69,55300,8.42
2008-10-13,8.50,10.04,8.50,9.90,73600,7.79
2008-10-06,10.61,10.78,7.28,8.19,117200,6.45
2008-09-29,11.02,11.26,10.38,11.00,50800,8.60
2008-09-22,12.04,12.15,11.26,11.30,46200,8.83
2008-09-15,12.56,12.58,11.07,12.10,62500,9.46
2008-09-08,12.89,12.93,12.60,12.67,33500,9.90
2008-09-02,12.94,12.97,12.77,12.89,33800,10.03
2008-08-25,12.79,12.96,12.79,12.94,31000,10.07
2008-08-18,12.88,12.92,12.70,12.82,41400,9.97
2008-08-11,12.85,12.95,12.71,12.90,16100,10.03
2008-08-04,12.96,12.96,12.73,12.91,33700,9.99
2008-07-28,12.79,12.94,12.77,12.94,21700,10.02
2008-07-21,12.75,12.84,12.64,12.77,23300,9.88
2008-07-14,13.00,13.03,12.58,12.74,29700,9.86
2008-07-07,13.28,13.29,12.97,13.01,27100,10.07
2008-06-30,13.19,13.35,13.13,13.21,28500,10.18
2008-06-23,13.20,13.33,12.93,13.15,32800,10.13
2008-06-16,13.47,13.51,13.12,13.23,30000,10.19
2008-06-09,13.79,13.96,13.41,13.49,49400,10.39
2008-06-02,13.84,13.91,13.71,13.77,36700,10.56
2008-05-27,13.84,13.89,13.76,13.77,36200,10.56
2008-05-19,13.95,13.99,13.80,13.82,36000,10.60
2008-05-12,13.94,13.98,13.70,13.96,36400,10.70
2008-05-05,13.85,13.92,13.71,13.91,31700,10.62
2008-04-28,13.85,13.86,13.61,13.86,34800,10.58
2008-04-21,13.74,13.85,13.63,13.83,33800,10.56
2008-04-14,13.63,13.75,13.60,13.70,30000,10.46
2008-04-07,13.69,13.74,13.53,13.62,28400,10.39
2008-03-31,13.59,13.71,13.55,13.69,22600,10.40
2008-03-24,13.32,13.67,13.32,13.58,34800,10.32
2008-03-17,13.45,13.48,13.13,13.36,34500,10.15
2008-03-10,13.75,13.82,13.47,13.52,40100,10.27
2008-03-03,13.57,13.92,13.57,13.70,67400,10.36
2008-02-25,13.63,14.03,13.49,13.57,59300,10.26
2008-02-19,13.89,14.10,13.49,13.62,64000,10.30
2008-02-11,14.63,14.80,13.42,13.92,82300,10.52
2008-02-04,14.67,14.75,14.42,14.66,51900,11.03
2008-01-28,14.45,14.75,14.45,14.61,47900,11.00
2008-01-22,14.19,14.82,14.00,14.49,75600,10.91
2008-01-14,14.48,14.61,14.23,14.23,76200,10.71
2008-01-07,14.11,14.40,14.05,14.23,50700,10.71
2007-12-31,13.64,14.14,13.52,14.11,102900,10.57
2007-12-24,13.32,13.63,13.26,13.60,126600,10.19
2007-12-17,13.44,13.49,13.18,13.28,114700,9.95
2007-12-10,13.61,13.75,13.42,13.46,87200,10.09
2007-12-03,13.50,13.65,13.47,13.65,69900,10.18
2007-11-26,13.30,13.69,13.26,13.50,102200,10.06
2007-11-19,13.15,13.49,13.15,13.31,41700,9.92
2007-11-12,13.34,13.45,13.10,13.23,41700,9.86
