Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,15.49,15.51,15.42,15.46,69800,15.46
2012-05-14,15.46,15.55,15.43,15.46,80800,15.46
2012-05-07,15.42,15.52,15.40,15.49,56900,15.49
2012-04-30,15.27,15.43,15.23,15.42,71900,15.34
2012-04-23,15.17,15.24,15.11,15.23,80100,15.15
2012-04-16,15.01,15.14,14.92,15.14,72900,15.06
2012-04-09,14.87,15.08,14.82,15.00,99800,14.92
2012-04-02,14.98,15.04,14.74,14.86,93400,14.71
2012-03-26,14.83,14.99,14.43,14.94,86800,14.79
2012-03-19,14.28,14.87,14.17,14.75,124500,14.60
2012-03-12,15.35,15.40,14.18,14.35,203100,14.20
2012-03-05,15.31,15.39,15.24,15.33,79400,15.09
2012-02-27,15.17,15.34,15.09,15.32,80000,15.08
2012-02-21,14.82,15.12,14.80,15.12,97500,14.89
2012-02-13,15.12,15.21,14.68,14.77,111400,14.54
2012-02-06,15.09,15.33,15.08,15.23,76200,14.92
2012-01-30,15.27,15.48,15.23,15.29,102600,14.98
2012-01-23,14.86,15.27,14.86,15.27,134300,14.96
2012-01-17,14.77,14.89,14.65,14.84,104300,14.54
2012-01-09,14.71,14.92,14.61,14.82,108500,14.52
2012-01-03,14.61,14.70,14.52,14.69,97500,14.31
2011-12-27,14.49,14.67,14.42,14.60,93300,14.22
2011-12-19,14.31,14.48,14.21,14.37,90600,14.00
2011-12-12,14.41,14.54,14.22,14.28,118700,13.91
2011-12-05,14.22,14.49,14.21,14.44,85800,13.96
2011-11-28,14.11,14.25,14.06,14.21,91700,13.74
2011-11-21,13.84,14.11,13.84,14.10,57900,13.63
2011-11-14,13.94,14.01,13.82,14.00,59000,13.53
2011-11-07,13.96,14.10,13.91,13.98,72800,13.51
2011-10-31,13.82,14.00,13.82,13.96,63100,13.42
2011-10-24,13.86,13.93,13.70,13.87,68300,13.33
2011-10-17,13.75,13.90,13.62,13.90,66100,13.36
2011-10-10,13.63,13.74,13.37,13.74,95700,13.21
2011-10-03,14.04,14.06,13.43,13.58,92900,12.98
2011-09-26,13.80,14.00,13.74,13.99,69400,13.37
2011-09-19,13.61,13.77,13.60,13.74,80500,13.13
2011-09-12,13.57,13.75,13.52,13.61,70000,13.01
2011-09-06,13.50,13.69,13.47,13.57,108900,12.89
2011-08-29,13.58,13.83,13.53,13.65,90200,12.97
2011-08-22,13.59,13.68,13.45,13.56,55700,12.88
2011-08-15,13.32,13.60,13.25,13.45,102700,12.78
