Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,4.18,4.18,3.78,3.90,3200,3.90
2012-05-14,4.16,4.25,4.15,4.25,100,4.25
2012-05-07,3.61,4.27,3.61,4.11,700,4.11
2012-04-30,4.20,4.20,2.49,3.61,2200,3.61
2012-04-23,3.90,4.00,3.84,3.99,300,3.99
2012-04-16,3.94,3.94,3.94,3.94,400,3.94
2012-04-09,4.29,4.29,3.94,3.94,100,3.94
2012-04-02,4.30,4.33,3.92,4.00,3400,4.00
2012-03-26,3.98,4.18,3.90,4.17,600,4.17
2012-03-19,4.01,4.01,3.70,3.98,900,3.98
2012-03-12,4.06,4.06,4.03,4.05,700,4.05
2012-03-05,3.80,4.06,3.80,4.06,000,4.06
2012-02-27,4.03,4.14,3.70,3.80,1300,3.80
2012-02-21,3.76,4.16,3.76,4.03,300,4.03
2012-02-13,3.97,4.20,3.97,4.08,700,4.08
2012-02-06,3.74,3.99,3.74,3.94,1000,3.94
2012-01-30,4.05,4.20,3.74,3.86,2400,3.86
2012-01-23,3.82,4.25,3.34,4.05,2500,4.05
2012-01-17,3.23,3.90,3.23,3.82,3900,3.82
2012-01-09,3.20,3.54,2.93,3.23,3600,3.23
2012-01-03,3.20,3.20,3.20,3.20,000,3.20
2011-12-27,3.07,3.35,2.91,3.14,1700,3.14
2011-12-19,2.75,3.11,2.43,3.02,6400,3.02
2011-12-12,3.35,3.35,2.75,2.75,3300,2.75
2011-12-05,3.01,3.35,2.81,3.35,300,3.35
2011-11-28,3.01,3.28,3.01,3.01,1100,3.01
2011-11-21,3.33,3.33,3.04,3.11,100,3.11
2011-11-14,3.35,3.35,3.01,3.33,1100,3.33
2011-11-07,3.25,3.35,3.07,3.35,1800,3.35
2011-10-31,3.35,3.35,2.77,3.30,4700,3.30
2011-10-24,3.20,3.20,2.79,3.00,800,3.00
2011-10-17,3.20,3.20,3.20,3.20,000,3.20
2011-10-10,3.37,3.37,3.03,3.20,800,3.20
2011-10-03,3.37,3.37,3.37,3.37,000,3.37
2011-09-26,3.01,3.48,2.76,3.37,3200,3.37
2011-09-19,3.30,3.30,3.04,3.04,1200,3.04
2011-09-12,3.35,3.35,3.10,3.30,000,3.30
2011-09-06,3.64,3.64,3.64,3.64,000,3.64
2011-08-29,3.70,3.70,3.64,3.64,400,3.64
2011-08-22,3.29,3.78,3.25,3.78,800,3.78
