Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,14.86,14.93,14.84,14.90,28300,14.90
2012-05-14,15.04,15.08,14.88,14.88,43000,14.88
2012-05-07,15.10,15.20,15.00,15.03,40400,15.03
2012-04-30,14.99,15.14,14.97,15.14,51300,15.07
2012-04-23,14.92,15.04,14.87,14.99,32300,14.92
2012-04-16,14.80,14.94,14.76,14.88,32900,14.81
2012-04-09,14.83,15.01,14.72,14.82,29600,14.75
2012-04-02,14.89,14.89,14.62,14.87,46600,14.73
2012-03-26,14.82,14.99,14.50,14.81,61000,14.67
2012-03-19,14.66,15.06,14.55,14.84,40000,14.70
2012-03-12,16.22,16.27,14.53,14.70,66400,14.56
2012-03-05,16.10,16.31,15.93,16.23,42800,16.00
2012-02-27,16.23,16.38,16.03,16.09,39400,15.86
2012-02-21,15.86,16.14,15.86,16.12,40500,15.89
2012-02-13,16.02,16.09,15.80,15.92,41200,15.69
2012-02-06,15.78,16.06,15.76,15.99,43200,15.69
2012-01-30,15.87,16.27,15.82,15.84,62400,15.54
2012-01-23,15.54,15.93,15.54,15.87,44000,15.57
2012-01-17,15.52,15.62,15.37,15.55,38900,15.26
2012-01-09,15.36,15.55,15.30,15.49,54300,15.20
2012-01-03,15.52,15.59,15.37,15.39,47100,15.03
2011-12-27,15.38,15.70,15.38,15.59,42800,15.23
2011-12-19,15.10,15.36,14.99,15.36,39200,15.00
2011-12-12,15.10,15.30,14.87,15.13,43500,14.78
2011-12-05,15.04,15.14,15.00,15.09,35400,14.65
2011-11-28,14.94,15.04,14.80,15.04,37000,14.60
2011-11-21,14.90,14.92,14.77,14.91,26700,14.47
2011-11-14,14.91,14.92,14.80,14.90,37600,14.46
2011-11-07,14.67,14.94,14.67,14.86,33700,14.42
2011-10-31,14.50,14.67,14.50,14.62,42300,14.12
2011-10-24,14.64,14.71,14.51,14.57,31100,14.07
2011-10-17,14.60,14.73,14.55,14.70,24600,14.20
2011-10-10,14.66,14.75,14.37,14.61,40500,14.11
2011-10-03,14.82,14.86,14.36,14.65,44400,14.08
2011-09-26,14.62,15.10,14.51,14.80,41700,14.22
2011-09-19,14.27,14.58,14.25,14.52,29500,13.95
2011-09-12,14.21,14.54,14.21,14.36,37800,13.80
2011-09-06,14.34,14.45,14.20,14.28,39100,13.65
2011-08-29,14.12,14.41,14.07,14.36,22000,13.73
2011-08-22,14.02,14.29,13.96,14.16,21700,13.54
2011-08-15,13.89,14.03,13.80,13.98,30700,13.37
2011-08-08,13.84,14.06,13.47,13.86,38700,13.25
2011-08-01,14.25,14.32,13.86,13.97,34700,13.29
2011-07-25,14.30,14.34,13.95,14.06,30300,13.38
2011-07-18,14.14,14.33,14.06,14.32,19600,13.62
2011-07-11,14.43,14.43,14.06,14.10,26500,13.41
2011-07-05,14.37,14.45,14.31,14.38,29900,13.61
2011-06-27,14.19,14.36,14.16,14.33,30100,13.57
2011-06-20,13.94,14.24,13.92,14.17,29900,13.42
2011-06-13,13.79,13.89,13.77,13.89,24400,13.15
2011-06-06,13.80,13.88,13.73,13.83,26700,13.03
2011-05-31,13.79,13.88,13.75,13.80,27300,13.00
2011-05-23,13.70,13.86,13.61,13.72,34900,12.93
2011-05-16,13.71,13.73,13.60,13.70,22500,12.91
2011-05-09,13.58,13.68,13.56,13.67,20300,12.88
2011-05-02,13.55,13.63,13.45,13.58,32900,12.73
2011-04-25,13.35,13.49,13.32,13.47,20200,12.63
2011-04-18,13.26,13.40,13.22,13.39,18100,12.55
2011-04-11,13.49,13.52,13.25,13.29,22500,12.46
2011-04-04,13.54,13.60,13.47,13.50,23400,12.59
2011-03-28,13.54,13.60,13.38,13.55,22700,12.64
2011-03-21,13.43,13.66,13.42,13.49,22600,12.58
2011-03-14,13.26,13.49,13.17,13.45,26700,12.54
2011-03-07,13.43,13.51,13.25,13.30,35200,12.40
2011-02-28,13.35,13.54,13.34,13.42,33600,12.45
2011-02-22,13.21,13.37,13.09,13.35,41800,12.38
2011-02-14,13.51,13.51,13.26,13.38,23000,12.41
2011-02-07,13.40,13.50,13.35,13.43,31700,12.46
2011-01-31,13.29,13.52,13.29,13.34,28900,12.31
2011-01-24,13.40,13.58,13.30,13.31,44700,12.28
2011-01-18,13.05,13.43,13.00,13.40,35800,12.37
2011-01-10,13.78,13.78,13.01,13.05,58700,12.04
