Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,38.11,38.79,37.68,38.73,708600,38.73
2012-05-14,39.48,39.73,38.00,38.02,740100,38.02
2012-05-07,39.20,39.86,38.88,39.67,614300,39.67
2012-04-30,39.18,39.82,39.03,39.29,628300,39.29
2012-04-23,38.37,39.59,38.20,39.25,660800,39.25
2012-04-16,37.78,38.77,37.62,38.63,655000,38.49
2012-04-09,37.11,38.06,36.87,37.51,691000,37.37
2012-04-02,38.73,39.10,37.30,37.50,851900,37.36
2012-03-26,38.38,39.03,38.19,38.73,597600,38.59
2012-03-19,37.96,38.37,37.57,38.15,508800,37.87
2012-03-12,37.03,38.19,37.00,37.93,631900,37.65
2012-03-05,36.84,37.35,36.76,36.96,629400,36.68
2012-02-27,37.09,37.15,36.34,36.83,626000,36.56
2012-02-21,36.71,37.35,36.25,37.19,661700,36.77
2012-02-13,37.10,37.23,36.32,36.78,595700,36.36
2012-02-06,37.19,37.64,36.75,36.96,570700,36.54
2012-01-30,36.31,37.35,36.08,37.30,698000,36.88
2012-01-23,35.66,36.67,35.55,36.61,632300,36.05
2012-01-17,35.90,36.25,35.34,35.61,1056600,35.06
2012-01-09,35.00,35.71,34.75,35.67,636400,35.12
2012-01-03,35.46,35.64,34.30,34.79,904100,34.26
2011-12-27,35.25,35.76,34.96,34.96,534000,34.42
2011-12-19,34.63,35.38,33.96,35.25,752000,34.57
2011-12-12,33.72,34.58,33.33,34.58,1216900,33.91
2011-12-05,33.64,33.99,33.10,33.90,668800,33.24
2011-11-28,33.36,33.92,32.76,33.26,840700,32.62
2011-11-21,33.37,33.42,32.38,32.50,672000,31.73
2011-11-14,33.20,34.03,32.77,33.72,964700,32.92
2011-11-07,33.59,33.87,32.44,33.28,748800,32.49
2011-10-31,33.73,33.95,32.56,33.50,1083100,32.71
2011-10-24,33.33,34.10,33.07,33.95,1003500,33.15
2011-10-17,32.32,33.26,31.85,33.23,1060300,32.31
2011-10-10,31.29,32.49,30.99,32.44,1293900,31.54
2011-10-03,31.95,32.35,29.78,30.78,1647600,29.92
2011-09-26,33.78,34.11,32.23,32.24,1844600,31.34
2011-09-19,34.30,34.87,32.50,33.58,2067600,32.51
2011-09-12,33.37,34.95,33.24,34.94,809000,33.82
2011-09-06,32.47,34.82,32.41,33.64,923500,32.56
2011-08-29,34.01,34.91,33.26,33.31,703400,32.24
2011-08-22,32.65,34.37,31.70,33.64,768500,32.43
2011-08-15,32.14,33.00,31.51,32.04,940100,30.88
2011-08-08,29.27,32.62,27.93,31.66,2272000,30.52
2011-08-01,33.79,33.92,29.77,30.01,1613600,28.93
2011-07-25,34.28,34.39,32.19,32.46,568700,31.29
2011-07-18,33.94,34.62,33.61,34.54,477700,33.15
2011-07-11,34.67,34.82,33.70,34.06,614400,32.69
2011-07-05,34.08,35.03,33.80,34.94,660400,33.53
2011-06-27,33.09,34.04,33.02,34.02,569900,32.65
2011-06-20,33.48,33.90,32.64,33.09,713800,31.62
2011-06-13,32.35,33.56,32.26,33.48,988600,31.99
2011-06-06,34.19,34.33,32.19,32.28,859300,30.85
2011-05-31,35.22,35.24,33.83,34.15,946600,32.63
2011-05-23,34.91,35.09,34.45,34.95,563900,33.40
2011-05-16,34.96,35.53,34.77,35.12,518300,33.42
2011-05-09,35.23,35.53,34.80,34.98,615400,33.29
2011-05-02,35.77,35.96,35.22,35.23,616300,33.53
2011-04-25,35.50,36.35,35.27,35.55,703300,33.83
2011-04-18,34.86,35.53,34.46,35.51,608800,33.66
2011-04-11,34.69,35.13,34.40,35.07,611600,33.24
2011-04-04,35.00,35.15,34.51,34.64,682000,32.83
2011-03-28,34.65,35.00,34.29,34.90,986700,33.08
2011-03-21,34.75,34.80,33.90,34.62,807300,32.68
2011-03-14,34.43,34.75,33.81,34.64,1162500,32.69
2011-03-07,35.09,35.60,34.14,34.54,2248600,32.60
2011-02-28,35.99,36.12,34.81,34.88,701400,32.92
2011-02-22,35.29,35.78,34.83,35.64,699000,33.64
2011-02-14,34.99,35.48,34.70,35.48,567300,33.35
2011-02-07,34.70,35.14,34.61,34.80,486000,32.71
2011-01-31,34.75,35.22,34.44,34.55,552500,32.48
2011-01-24,33.98,35.20,33.93,34.54,607500,32.47
2011-01-18,33.86,34.49,33.58,33.83,706600,31.67
2011-01-10,33.66,33.93,33.40,33.71,513400,31.56
2011-01-03,34.41,34.70,33.58,33.81,682700,31.65
2010-12-27,34.07,34.75,34.07,34.20,536800,32.01
2010-12-20,33.89,34.77,33.77,34.22,594800,31.90
2010-12-13,33.75,34.22,33.14,33.89,1311600,31.59
2010-12-06,33.92,34.24,33.16,33.59,1077400,31.31
2010-11-29,34.19,34.50,33.10,34.02,2188500,31.71
2010-11-22,33.56,34.57,33.51,34.40,543400,31.93
2010-11-15,34.07,34.22,32.91,33.69,756100,31.27
2010-11-08,35.16,35.28,33.63,33.86,623200,31.43
2010-11-01,34.50,35.47,34.20,35.22,683700,32.69
2010-10-25,35.65,35.68,34.13,34.28,724900,31.82
2010-10-18,34.40,35.97,34.40,35.49,656200,32.81
2010-10-11,34.10,34.98,34.07,34.61,565200,32.00
2010-10-04,33.90,34.45,33.73,34.22,768100,31.64
2010-09-27,33.80,33.97,33.28,33.97,1109800,31.40
2010-09-20,33.96,34.79,32.75,33.81,1926700,31.12
2010-09-13,33.30,34.41,33.19,33.93,537000,31.23
2010-09-07,33.56,33.77,32.88,33.07,539100,30.44
2010-08-30,32.54,34.05,32.05,33.78,691200,31.10
2010-08-23,32.16,32.81,31.55,32.69,578500,29.96
2010-08-16,32.33,33.23,31.94,32.07,555200,29.39
2010-08-09,32.58,33.08,31.90,32.48,683000,29.77
2010-08-02,32.62,33.17,31.82,32.39,508600,29.69
2010-07-26,32.01,33.17,31.35,32.09,577800,29.41
2010-07-19,30.90,32.18,30.42,32.11,671500,29.30
2010-07-12,31.52,32.13,30.58,30.73,558200,28.04
2010-07-06,30.69,31.73,29.12,31.60,744700,28.83
2010-06-28,31.74,32.07,29.50,30.30,778400,27.65
2010-06-21,32.37,32.67,30.63,31.86,696200,28.94
2010-06-14,32.05,33.15,31.73,32.09,625700,29.15
2010-06-07,29.62,31.83,29.20,31.83,566400,28.91
2010-06-01,31.01,31.67,29.50,29.60,702200,26.88
2010-05-24,31.25,32.00,29.17,31.14,724500,28.28
2010-05-17,31.89,32.25,28.89,30.77,951500,27.82
2010-05-10,31.09,32.95,31.00,31.73,762300,28.68
2010-05-03,32.44,33.14,28.42,30.24,1267200,27.34
2010-04-26,33.32,34.54,32.78,32.79,941900,29.64
2010-04-19,31.24,33.50,31.09,33.29,545800,29.97
2010-04-12,31.98,32.58,31.26,31.43,643000,28.29
2010-04-05,30.67,31.92,30.45,31.75,802600,28.58
2010-03-29,30.88,31.19,30.18,30.44,643700,27.40
2010-03-22,29.78,31.10,29.78,30.77,830100,27.57
2010-03-15,29.22,30.85,28.98,29.96,926900,26.84
2010-03-08,28.48,29.40,28.37,29.17,741300,26.13
2010-03-01,28.06,28.54,27.62,28.44,680900,25.48
2010-02-22,28.71,28.71,27.71,28.00,766900,25.09
2010-02-16,27.09,28.88,27.08,28.58,980400,25.48
2010-02-08,26.42,27.05,25.28,26.99,996600,24.06
2010-02-01,27.99,28.00,25.60,26.12,1150500,23.28
2010-01-25,26.62,27.95,26.25,27.93,875800,24.90
2010-01-19,27.50,28.10,26.27,26.27,1008500,23.30
2010-01-11,27.53,27.75,27.09,27.49,686500,24.38
2010-01-04,26.26,27.50,25.96,27.45,904200,24.34
2009-12-28,26.86,26.99,25.87,25.91,715700,22.98
2009-12-21,27.41,27.45,26.01,26.99,912000,23.81
2009-12-14,26.13,27.53,25.89,27.40,1291200,24.17
2009-12-07,25.77,26.03,25.02,26.03,687800,22.96
2009-11-30,24.95,25.96,24.82,25.82,947100,22.78
2009-11-23,25.36,25.46,24.60,24.93,764400,21.99
2009-11-16,24.78,25.37,24.51,25.09,1318000,22.01
2009-11-09,24.23,24.83,23.91,24.58,1198200,21.56
2009-11-02,23.08,24.12,22.55,23.92,1472500,20.98
2009-10-26,23.62,23.98,22.17,23.18,2233400,20.33
2009-10-19,23.50,23.76,22.96,23.52,1481200,20.50
2009-10-12,23.98,24.09,23.35,23.39,1414600,20.38
2009-10-05,24.29,25.14,22.85,23.91,2176300,20.84
2009-09-28,25.97,26.50,24.05,24.09,1585500,20.99
2009-09-21,26.63,27.72,25.30,25.74,1430600,22.31
2009-09-14,25.24,28.23,24.50,26.93,2189300,23.34
2009-09-08,24.87,26.00,24.78,25.85,988800,22.40
2009-08-31,25.66,25.89,23.85,24.73,1185800,21.43
2009-08-24,25.40,26.65,25.12,25.93,1458100,22.47
2009-08-17,23.92,25.45,23.20,25.14,1300700,21.67
2009-08-10,26.17,26.20,24.13,24.54,1037800,21.16
2009-08-03,23.84,26.56,23.54,26.21,2045200,22.60
2009-07-27,22.74,23.88,22.71,23.58,1214200,20.33
2009-07-20,22.11,23.04,22.05,22.79,1328600,19.53
2009-07-13,20.40,22.28,20.25,21.99,1677400,18.84
2009-07-06,21.29,22.06,19.83,20.32,1925200,17.41
2009-06-29,22.15,22.36,21.26,21.26,1695100,18.22
2009-06-22,22.41,23.20,21.59,21.79,3924400,18.55
2009-06-15,21.86,22.54,21.40,22.52,1450500,19.17
2009-06-08,22.78,23.00,21.73,22.48,1167500,19.14
2009-06-01,21.84,23.00,21.54,22.73,1594800,19.35
