Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,0.73,0.73,0.64,0.69,83000,0.69
2012-05-14,0.90,0.90,0.71,0.72,104800,0.72
2012-05-07,0.96,0.99,0.90,0.91,68300,0.91
2012-04-30,1.04,1.05,0.94,0.98,59900,0.98
2012-04-23,1.14,1.14,0.96,1.01,147700,1.01
2012-04-16,1.20,1.21,1.05,1.18,42900,1.18
2012-04-09,1.20,1.21,1.05,1.17,47100,1.17
2012-04-02,1.35,1.35,1.21,1.21,76600,1.21
2012-03-26,1.11,1.35,1.09,1.33,112200,1.33
2012-03-19,1.18,1.25,0.91,1.09,173400,1.09
2012-03-12,1.23,1.31,1.17,1.18,51600,1.18
2012-03-05,1.37,1.41,1.22,1.26,46100,1.26
2012-02-27,1.31,1.45,1.28,1.37,99400,1.37
2012-02-21,1.20,1.45,1.20,1.26,224300,1.26
2012-02-13,1.16,1.40,1.13,1.24,320000,1.24
2012-02-06,1.06,1.15,0.83,1.15,264000,1.15
2012-01-30,1.08,1.10,1.02,1.05,117800,1.05
2012-01-23,1.05,1.09,0.96,1.06,108900,1.06
2012-01-17,1.10,1.15,1.00,1.05,48400,1.05
2012-01-09,1.17,1.19,1.06,1.13,41700,1.13
2012-01-03,1.10,1.25,1.07,1.19,54700,1.19
2011-12-27,1.17,1.17,0.95,1.05,267900,1.05
2011-12-19,1.36,1.40,1.11,1.13,153800,1.13
2011-12-12,1.40,1.49,1.34,1.38,55100,1.38
2011-12-05,1.50,1.61,1.40,1.40,51000,1.40
2011-11-28,1.55,1.65,1.50,1.51,65400,1.51
2011-11-21,1.50,1.63,1.45,1.52,77300,1.52
2011-11-14,1.45,1.55,1.41,1.53,38300,1.53
2011-11-07,1.41,1.55,1.36,1.46,80700,1.46
2011-10-31,1.56,1.70,1.41,1.45,141200,1.45
2011-10-24,1.57,1.60,1.42,1.50,41900,1.50
2011-10-17,1.44,1.59,1.36,1.52,38500,1.52
2011-10-10,1.40,1.55,1.36,1.36,49500,1.36
2011-10-03,1.51,1.57,1.35,1.40,66300,1.40
2011-09-26,1.77,1.77,1.42,1.51,117100,1.51
2011-09-19,1.29,1.85,1.20,1.60,333000,1.60
2011-09-12,1.22,1.35,1.15,1.35,41500,1.35
2011-09-06,1.35,1.40,1.24,1.26,36100,1.26
2011-08-29,1.35,1.44,1.30,1.39,27100,1.39
2011-08-22,1.44,1.49,1.28,1.33,19600,1.33
2011-08-15,1.53,1.59,1.30,1.43,30400,1.43
2011-08-08,0.98,1.50,0.97,1.48,77400,1.48
2011-08-01,1.60,1.61,1.33,1.43,58100,1.43
2011-07-25,1.57,1.65,1.52,1.59,71600,1.59
2011-07-18,1.70,1.72,1.59,1.59,40600,1.59
2011-07-11,1.67,1.70,1.60,1.69,30200,1.69
2011-07-05,1.80,1.83,1.66,1.67,37100,1.67
2011-06-27,1.64,1.92,1.61,1.76,70100,1.76
2011-06-20,1.57,1.75,1.56,1.61,46200,1.61
2011-06-13,1.71,1.71,1.59,1.60,52100,1.60
2011-06-06,1.76,1.83,1.55,1.72,127100,1.72
2011-05-31,2.16,2.20,1.79,1.82,163200,1.82
2011-05-23,1.93,2.16,1.93,2.14,81200,2.14
2011-05-16,1.90,1.95,1.79,1.95,42500,1.95
2011-05-09,1.86,1.99,1.80,1.90,37500,1.90
2011-05-02,1.96,2.00,1.77,1.87,45000,1.87
2011-04-25,1.83,2.00,1.70,1.94,68900,1.94
2011-04-18,1.90,1.90,1.78,1.82,63100,1.82
2011-04-11,1.96,1.98,1.85,1.89,52700,1.89
2011-04-04,1.94,2.00,1.88,1.94,49100,1.94
2011-03-28,2.10,2.10,1.92,1.92,56400,1.92
2011-03-21,2.03,2.10,1.92,2.08,55500,2.08
2011-03-14,2.04,2.06,1.90,2.00,52400,2.00
2011-03-07,2.08,2.11,1.96,2.03,76500,2.03
