Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,12.00,12.00,12.00,12.00,1700,12.00
2012-05-14,12.00,12.05,12.00,12.00,200,12.00
2012-05-07,12.04,12.61,12.04,12.25,1400,12.25
2012-04-30,11.58,12.62,11.58,12.02,200,12.02
2012-04-23,11.99,12.52,11.58,11.58,600,11.48
2012-04-16,12.00,12.00,11.75,11.90,3100,11.80
2012-04-09,12.00,12.00,12.00,12.00,000,11.90
2012-04-02,11.58,12.00,11.58,12.00,500,11.90
2012-03-26,11.63,11.69,11.58,11.58,000,11.48
2012-03-19,11.95,11.95,11.59,11.63,000,11.53
2012-03-12,11.51,11.97,11.50,11.97,1900,11.87
2012-03-05,12.00,12.00,12.00,12.00,000,11.90
2012-02-27,11.51,12.00,11.51,12.00,000,11.90
2012-02-21,11.51,11.51,11.51,11.51,000,11.41
2012-02-13,11.51,12.00,11.50,11.51,600,11.41
2012-02-06,11.55,11.55,11.50,11.50,800,11.40
2012-01-30,11.50,11.70,11.50,11.55,400,11.45
2012-01-23,11.55,11.60,11.50,11.50,200,11.30
2012-01-17,11.85,11.85,11.55,11.55,100,11.35
2012-01-09,12.05,12.05,11.85,11.85,000,11.65
2012-01-03,12.00,12.05,11.75,12.05,800,11.84
2011-12-27,11.50,12.00,11.50,12.00,200,11.79
2011-12-19,11.01,11.78,11.01,11.50,2900,11.30
2011-12-12,11.25,11.25,11.01,11.01,700,10.82
2011-12-05,11.25,11.25,11.25,11.25,000,11.06
2011-11-28,11.25,11.25,11.25,11.25,000,11.06
2011-11-21,10.95,11.25,10.95,11.25,300,11.06
2011-11-14,11.05,11.30,10.95,10.95,1000,10.76
2011-11-07,11.16,11.75,11.16,11.75,800,11.55
2011-10-31,11.35,11.50,11.25,11.50,400,11.30
2011-10-24,11.35,11.35,11.32,11.35,200,11.15
2011-10-17,11.35,11.35,11.35,11.35,000,11.15
2011-10-10,11.35,11.35,11.35,11.35,000,11.15
2011-10-03,11.35,11.49,11.27,11.35,000,11.15
2011-09-26,11.00,11.35,10.96,11.35,500,11.15
2011-09-19,12.07,12.07,12.07,12.07,000,11.86
2011-09-12,11.20,12.07,11.01,12.07,000,11.86
2011-09-06,10.95,11.20,10.95,11.20,400,11.01
2011-08-29,10.95,11.09,10.95,10.95,800,10.76
2011-08-22,10.95,11.05,10.90,10.95,1100,10.76
2011-08-15,11.00,11.00,10.92,10.92,800,10.73
2011-08-08,11.00,11.00,11.00,11.00,3000,10.81
2011-08-01,11.22,11.29,11.05,11.05,5200,10.86
2011-07-25,11.40,11.58,11.20,11.21,5100,11.02
2011-07-18,11.79,11.79,11.10,11.40,2900,11.20
2011-07-11,11.83,11.83,11.30,11.44,400,11.24
2011-07-05,11.91,11.91,11.83,11.83,1200,11.63
2011-06-27,12.03,12.03,12.03,12.03,000,11.82
2011-06-20,12.05,12.05,11.85,12.03,200,11.82
2011-06-13,11.90,11.97,11.83,11.83,700,11.63
2011-06-06,12.01,12.06,11.90,12.01,400,11.80
2011-05-31,12.25,12.25,12.01,12.01,000,11.80
2011-05-23,12.20,12.58,12.20,12.25,500,12.04
2011-05-16,12.25,12.60,12.19,12.20,1700,11.99
2011-05-09,12.40,12.40,12.25,12.25,700,12.04
2011-05-02,12.20,12.41,12.04,12.05,400,11.84
2011-04-25,12.00,13.00,12.00,12.52,2800,12.30
2011-04-18,12.10,12.10,12.00,12.00,400,11.79
2011-04-11,11.93,12.10,11.91,12.10,1500,11.89
2011-04-04,11.95,12.08,11.90,12.08,2200,11.87
2011-03-28,11.99,11.99,11.49,11.50,3200,11.30
2011-03-21,11.56,12.12,11.56,11.99,300,11.78
2011-03-14,12.25,12.40,11.56,11.56,300,11.36
2011-03-07,12.94,12.99,12.12,12.25,2100,12.04
2011-02-28,12.73,13.48,12.40,12.94,900,12.72
2011-02-22,12.75,12.87,12.26,12.46,1700,12.24
2011-02-14,12.19,13.50,12.19,12.75,21900,12.53
2011-02-07,12.08,12.22,12.00,12.00,7600,11.79
2011-01-31,11.80,12.09,11.75,12.09,10600,11.88
2011-01-24,11.90,12.07,11.77,12.00,24000,11.79
2011-01-18,11.95,12.06,11.50,11.90,29800,11.69
2011-01-14,11.03,12.30,11.00,11.96,169500,11.75
