Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,6.81,7.17,6.72,6.87,137700,6.87
2012-05-14,7.20,7.32,6.73,6.76,212500,6.76
2012-05-07,7.11,7.52,7.01,7.35,206200,7.35
2012-04-30,7.84,7.97,7.07,7.11,326100,7.11
2012-04-23,7.41,7.93,7.05,7.80,216700,7.80
2012-04-16,7.08,7.58,7.08,7.54,229600,7.54
2012-04-09,6.95,7.19,6.90,7.01,209300,7.01
2012-04-02,6.75,7.20,6.61,7.09,283600,7.09
2012-03-26,6.75,6.94,6.66,6.75,226500,6.75
2012-03-19,5.61,7.31,5.58,6.64,408300,6.64
2012-03-12,5.37,5.91,5.37,5.66,89300,5.66
2012-03-05,5.19,5.39,5.05,5.37,119700,5.37
2012-02-27,5.54,5.58,5.10,5.24,147500,5.24
2012-02-21,5.53,5.63,5.27,5.54,119100,5.54
2012-02-13,5.25,5.53,5.15,5.49,138600,5.49
2012-02-06,5.22,5.45,5.15,5.20,147100,5.20
2012-01-30,5.09,5.37,4.85,5.26,352600,5.26
2012-01-23,5.45,5.95,5.01,5.16,227400,5.16
2012-01-17,5.44,5.58,5.04,5.47,147200,5.47
2012-01-09,4.93,5.45,4.85,5.39,86200,5.39
2012-01-03,4.76,5.00,4.70,4.90,116700,4.90
2011-12-27,4.67,4.67,4.31,4.61,111100,4.61
2011-12-19,4.07,4.72,3.96,4.71,187600,4.71
2011-12-12,4.17,4.35,4.01,4.03,307300,4.03
2011-12-05,4.46,4.56,4.12,4.23,153600,4.23
2011-11-28,3.97,4.42,3.92,4.37,159700,4.37
2011-11-21,4.16,4.30,3.75,3.80,126400,3.80
2011-11-14,4.71,4.83,4.17,4.29,187000,4.29
2011-11-07,4.30,4.70,4.00,4.69,269500,4.69
2011-10-31,4.53,4.64,4.00,4.29,258000,4.29
2011-10-24,3.75,4.84,3.75,4.56,381300,4.56
2011-10-17,3.87,3.87,3.42,3.74,197400,3.74
2011-10-10,3.29,3.92,3.25,3.90,345700,3.90
2011-10-03,3.55,3.72,3.07,3.24,570800,3.24
2011-09-26,3.22,4.39,3.22,3.58,780300,3.58
2011-09-19,3.90,4.15,3.07,3.18,307100,3.18
2011-09-12,3.92,4.25,3.92,3.99,217800,3.99
2011-09-06,4.36,4.51,3.94,3.96,323400,3.96
2011-08-29,4.79,4.97,4.14,4.41,653800,4.41
2011-08-22,4.95,5.01,4.39,4.72,211600,4.72
2011-08-15,5.70,5.76,4.78,4.82,300000,4.82
2011-08-08,5.72,6.01,5.11,5.63,488000,5.63
2011-08-01,6.88,6.88,5.66,5.91,387700,5.91
2011-07-25,7.14,7.39,6.72,6.76,213100,6.76
2011-07-18,6.96,7.30,6.87,7.25,242300,7.25
2011-07-11,7.08,7.38,6.95,7.05,503700,7.05
2011-07-05,7.06,7.26,6.77,7.18,390500,7.18
2011-06-27,8.05,8.17,6.75,7.07,918000,7.07
2011-06-20,7.96,8.22,7.80,8.04,244100,8.04
2011-06-13,8.03,8.37,7.83,8.00,247200,8.00
2011-06-06,8.74,8.81,8.05,8.09,233600,8.09
2011-05-31,9.02,9.43,8.66,8.76,757000,8.76
2011-05-23,8.47,8.96,8.28,8.90,280600,8.90
2011-05-16,8.71,8.89,8.51,8.60,302900,8.60
2011-05-09,8.72,9.33,8.40,8.73,297700,8.73
2011-05-02,8.80,9.35,8.40,8.68,577000,8.68
2011-04-25,8.30,8.66,8.22,8.50,420800,8.50
2011-04-18,7.89,8.32,7.85,8.28,271400,8.28
2011-04-11,8.16,8.23,7.87,8.01,405600,8.01
2011-04-04,8.00,8.40,7.92,8.16,337700,8.16
2011-03-28,7.95,8.09,7.80,7.98,295900,7.98
2011-03-21,6.94,8.01,6.69,7.94,818000,7.94
2011-03-14,6.62,6.89,6.45,6.89,288400,6.89
2011-03-07,7.03,7.17,6.59,6.67,267800,6.67
2011-02-28,7.09,7.20,6.89,7.03,314300,7.03
2011-02-22,7.18,7.23,6.77,7.08,315100,7.08
2011-02-14,6.83,7.33,6.83,7.26,313100,7.26
2011-02-07,7.05,7.13,6.77,6.83,474600,6.83
