Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,93.58,96.29,91.65,95.32,1781300,95.32
2012-05-14,103.10,103.11,92.38,93.30,1934300,93.30
2012-05-07,104.07,104.69,101.00,103.84,1068400,103.84
2012-04-30,105.53,107.13,104.21,104.30,993400,104.30
2012-04-23,95.90,106.82,93.34,105.98,1730800,105.98
2012-04-16,94.53,97.03,93.84,96.45,762000,96.45
2012-04-09,92.12,94.76,91.18,94.35,864700,94.35
2012-04-02,91.19,94.27,91.09,92.65,904100,92.65
2012-03-26,90.62,91.79,89.81,91.35,785600,91.35
2012-03-19,89.10,90.81,88.68,90.04,752900,90.04
2012-03-12,90.46,90.85,88.95,89.04,900000,89.04
2012-03-05,88.33,90.94,88.31,90.42,818100,90.42
2012-02-27,85.20,88.71,85.20,88.33,1078300,88.33
2012-02-21,84.46,86.72,83.97,85.67,1151100,85.67
2012-02-13,83.66,85.18,82.98,84.55,1283400,84.55
2012-02-06,82.50,84.76,81.90,83.45,1284800,83.45
2012-01-30,82.31,83.75,81.39,82.83,927000,82.83
2012-01-23,82.18,83.80,80.90,82.56,906900,82.56
2012-01-17,82.00,85.32,81.70,82.28,1114400,82.28
2012-01-09,80.06,81.96,79.96,81.60,593500,81.60
2012-01-03,80.95,81.23,77.77,79.86,873100,79.86
2011-12-27,81.26,82.17,79.94,79.95,497500,79.95
2011-12-19,80.40,81.83,78.73,81.55,643300,81.55
2011-12-12,80.59,81.21,77.69,79.88,1224000,79.88
2011-12-05,78.33,81.24,78.15,81.04,964800,81.04
2011-11-28,76.96,78.26,75.39,77.03,815700,77.03
2011-11-21,75.03,76.10,73.90,75.51,936400,75.51
2011-11-14,78.75,78.99,75.09,75.47,817400,75.47
2011-11-07,76.70,78.99,75.89,78.70,1310600,78.70
2011-10-31,75.67,77.49,74.14,76.90,981800,76.90
2011-10-24,70.31,77.35,69.14,76.07,1686900,76.07
2011-10-17,70.00,71.44,68.72,70.42,1084400,70.42
2011-10-10,68.40,69.94,67.77,69.82,823100,69.82
2011-10-03,66.34,68.36,63.75,67.67,1203300,67.67
2011-09-26,69.41,70.96,65.58,66.63,1456000,66.63
2011-09-19,70.60,72.00,67.95,69.14,1165200,69.14
2011-09-12,66.48,71.70,66.21,71.14,1700300,71.14
2011-09-06,64.11,68.49,64.05,67.29,1360300,67.29
2011-08-29,64.37,66.37,63.39,65.75,1960100,65.75
2011-08-22,62.06,64.80,61.45,63.93,2355900,63.93
2011-08-15,60.37,62.59,59.03,61.07,1919400,61.07
2011-08-08,57.41,60.72,57.41,60.23,3463300,60.23
2011-08-01,59.08,59.62,56.25,58.35,2840200,58.35
2011-07-25,61.67,62.70,58.32,59.50,2064100,59.50
2011-07-18,62.88,62.91,61.50,62.19,1354700,62.19
2011-07-11,64.91,65.47,62.63,63.09,1129800,63.09
2011-07-05,66.22,66.46,65.14,65.42,1204200,65.42
2011-06-27,63.99,66.52,63.49,66.21,1062100,66.21
2011-06-20,61.94,64.65,61.88,64.00,1138300,64.00
2011-06-13,59.20,62.45,59.16,62.02,1311400,62.02
2011-06-06,58.78,59.90,58.58,59.27,1358600,59.27
2011-05-31,59.93,60.34,58.79,58.99,1299400,58.99
2011-05-23,57.36,59.90,57.11,59.69,1245000,59.69
2011-05-16,61.13,61.13,57.62,57.89,1612400,57.89
2011-05-09,59.67,61.29,59.30,60.90,800100,60.90
2011-05-02,59.27,60.60,59.00,59.70,1166500,59.70
2011-04-25,58.10,59.50,57.27,59.06,1368900,59.06
2011-04-18,55.70,58.24,55.47,58.03,752400,58.03
2011-04-11,56.50,56.68,54.98,56.34,1092800,56.34
2011-04-04,57.75,59.09,56.12,56.50,1104100,56.50
2011-03-28,58.34,58.55,56.51,57.88,793100,57.88
2011-03-21,56.13,58.50,55.80,58.12,743300,58.12
2011-03-14,55.54,56.16,54.50,55.47,1142200,55.47
2011-03-07,56.66,56.83,54.78,56.02,935900,56.02
2011-02-28,55.68,56.80,54.85,56.38,1056600,56.38
2011-02-22,53.87,55.58,53.33,55.34,1973200,55.34
2011-02-14,57.31,59.35,54.72,55.25,1928100,55.25
2011-02-07,57.58,58.51,56.52,57.63,965300,57.63
2011-01-31,56.55,57.65,55.50,57.58,916200,57.58
2011-01-24,57.33,57.82,55.60,56.51,1073800,56.51
2011-01-18,57.45,58.60,56.47,57.50,1137000,57.50
2011-01-10,56.30,57.49,56.20,57.31,1047500,57.31
2011-01-03,60.99,61.70,56.02,56.43,1347900,56.43
2010-12-27,60.15,61.12,59.21,60.42,548200,60.42
2010-12-20,62.98,63.04,60.06,60.24,966200,60.24
2010-12-13,61.86,63.05,61.11,62.77,1564300,62.77
2010-12-06,61.63,62.40,60.22,61.45,1112900,61.45
2010-11-29,60.27,61.86,59.01,61.61,1109600,61.61
2010-11-22,60.00,61.00,59.26,60.67,845300,60.67
2010-11-15,59.92,60.00,58.07,59.50,962200,59.50
2010-11-08,58.33,60.82,57.87,59.63,999500,59.63
2010-11-01,58.65,58.82,56.93,58.43,1241100,58.43
2010-10-25,54.25,58.60,53.42,58.50,1508000,58.50
2010-10-18,53.53,54.06,52.61,54.02,914200,54.02
2010-10-11,53.37,53.79,52.40,53.69,1152200,53.69
2010-10-04,53.27,54.42,52.88,53.49,946400,53.49
2010-09-27,53.31,54.35,52.62,53.36,1181700,53.36
2010-09-20,51.97,53.54,51.71,53.47,1033100,53.47
2010-09-13,50.27,52.00,50.17,51.95,870600,51.95
2010-09-07,50.29,50.94,49.48,50.12,949900,50.12
2010-08-30,47.45,50.44,46.56,50.13,1219300,50.13
2010-08-23,47.81,48.02,46.09,47.61,904000,47.61
2010-08-16,46.59,48.45,46.52,47.82,1548000,47.82
2010-08-09,47.91,47.91,45.74,46.84,1582100,46.84
2010-08-02,49.88,49.90,46.78,47.14,1599500,47.14
2010-07-26,49.28,50.17,48.23,49.28,1685700,49.28
2010-07-19,47.09,49.12,46.80,49.04,1047400,49.04
2010-07-12,46.09,48.42,45.65,47.09,1252200,47.09
2010-07-06,48.10,48.43,45.66,46.07,2007100,46.07
2010-06-28,49.12,49.15,46.86,47.68,1110300,47.68
2010-06-21,50.06,50.44,48.51,49.15,1008800,49.15
2010-06-14,50.51,51.16,49.70,49.93,1400300,49.93
2010-06-07,49.77,50.20,48.05,49.81,1314500,49.81
