Date,Open,High,Low,Close,Volume,Adj Close
2012-05-21,29.62,29.73,29.03,29.25,193400,29.25
2012-05-14,30.35,30.70,29.21,29.45,175100,29.45
2012-05-07,30.41,31.10,29.89,30.58,173500,30.58
2012-04-30,31.48,31.49,30.25,30.44,182400,30.44
2012-04-23,30.71,31.70,30.59,31.43,337700,31.43
2012-04-16,30.26,31.17,29.99,30.97,232000,30.97
2012-04-09,30.87,31.24,29.70,30.04,155200,30.04
2012-04-02,31.29,32.26,31.00,31.43,168500,31.31
2012-03-26,31.35,31.85,30.81,31.26,194400,31.14
2012-03-19,31.24,32.00,30.63,31.19,160400,31.07
2012-03-12,30.50,31.65,30.28,31.24,250700,31.12
2012-03-05,29.25,30.56,28.63,30.54,196400,30.42
2012-02-27,29.10,30.13,28.83,29.41,206700,29.29
2012-02-21,29.76,29.87,28.84,29.38,199800,29.26
2012-02-13,29.11,29.99,28.56,29.75,179700,29.63
2012-02-06,28.93,29.47,28.38,28.88,246400,28.77
2012-01-30,27.99,29.27,27.34,29.17,303500,29.05
2012-01-23,29.85,30.03,27.95,28.14,297000,28.03
2012-01-17,31.06,31.23,29.57,29.87,279000,29.75
2012-01-09,30.57,31.25,30.13,30.79,340500,30.67
2012-01-03,30.33,30.79,29.66,30.38,294400,30.15
2011-12-27,30.06,30.83,29.56,29.63,251900,29.41
2011-12-19,29.01,30.27,28.29,30.10,314500,29.87
2011-12-12,27.53,28.93,27.26,28.79,245000,28.57
2011-12-05,27.90,28.00,27.00,27.84,215200,27.63
2011-11-28,26.65,28.35,26.45,27.39,291800,27.18
2011-11-21,26.24,26.78,26.09,26.25,221500,26.05
2011-11-14,26.48,27.07,26.07,26.66,230800,26.46
2011-11-07,25.07,26.58,25.07,26.36,267300,26.16
2011-10-31,25.11,25.95,24.11,25.07,239500,24.88
2011-10-24,24.35,25.85,23.82,25.31,258000,25.12
2011-10-17,23.50,24.40,23.02,24.30,457400,24.12
2011-10-10,21.71,24.65,21.69,23.64,246800,23.46
2011-10-03,20.67,22.47,20.12,21.38,329400,21.13
2011-09-26,20.41,21.87,20.23,20.93,290100,20.68
2011-09-19,21.53,21.53,19.14,20.24,276500,20.00
2011-09-12,20.80,22.29,20.39,21.73,251500,21.47
2011-09-06,21.07,22.36,20.76,21.12,195300,20.87
2011-08-29,21.79,23.06,21.50,21.53,352000,21.27
2011-08-22,21.63,22.71,21.00,21.53,237500,21.27
2011-08-15,45.78,46.55,21.04,21.10,258800,20.85
2011-08-08,49.61,51.45,45.01,45.31,467100,22.39
2011-08-01,52.59,53.19,49.58,50.96,170300,25.18
2011-07-25,53.38,54.00,51.00,51.95,145300,25.67
2011-07-18,52.02,54.29,51.73,53.57,190800,26.47
2011-07-11,52.81,53.34,51.45,52.43,258600,25.90
2011-07-05,52.93,55.42,52.59,53.23,217900,26.20
2011-06-27,50.04,52.89,49.92,52.81,195000,26.00
2011-06-20,48.99,50.75,48.94,50.19,237800,24.71
2011-06-13,48.48,49.48,47.79,49.25,159500,24.24
2011-06-06,47.52,48.18,47.07,48.11,192000,23.68
2011-05-31,48.08,48.87,47.31,47.57,251100,23.42
2011-05-23,47.25,48.11,46.50,47.96,125200,23.61
2011-05-16,47.95,48.13,47.29,47.42,133200,23.34
2011-05-09,47.65,48.70,47.44,48.14,124100,23.70
2011-05-02,45.06,47.80,45.06,47.51,189200,23.39
2011-04-25,44.43,44.91,44.00,44.53,119000,21.92
2011-04-18,45.65,46.20,44.11,44.42,173800,21.87
2011-04-11,44.62,45.95,43.34,45.94,215100,22.61
2011-04-04,44.20,45.43,43.97,44.70,118200,21.92
2011-03-28,43.43,44.19,43.01,44.08,98500,21.61
2011-03-21,43.36,43.83,42.97,43.39,74400,21.27
2011-03-14,43.00,43.69,42.02,43.08,193200,21.12
2011-03-07,43.76,44.40,42.92,43.32,165900,21.24
2011-02-28,42.91,43.90,42.38,43.72,208300,21.44
2011-02-22,42.63,43.12,41.89,42.98,124500,21.07
2011-02-14,43.47,43.73,42.50,43.03,82800,21.10
2011-02-07,43.65,44.10,42.50,43.65,123800,21.40
2011-01-31,43.03,44.34,42.75,43.68,140900,21.42
2011-01-24,42.37,44.51,41.80,42.92,158700,21.04
2011-01-18,43.01,43.16,41.54,42.31,165400,20.74
2011-01-10,42.70,43.49,41.96,43.10,91200,21.13
2011-01-03,43.61,44.75,42.70,43.05,145100,21.02
2010-12-27,43.99,44.72,42.56,43.35,121000,21.17
2010-12-20,42.92,44.94,42.32,44.06,198100,21.52
2010-12-13,41.19,43.01,40.29,42.60,186000,20.80
2010-12-06,39.37,41.07,39.20,40.96,113800,20.00
2010-11-29,37.82,39.44,37.53,39.38,230000,19.23
2010-11-22,37.89,38.31,37.55,38.07,110000,18.59
2010-11-15,38.60,38.95,37.48,38.00,101900,18.56
2010-11-08,39.04,39.25,38.20,38.38,164700,18.74
2010-11-01,38.20,39.78,37.06,39.27,195000,19.18
2010-10-25,37.92,38.20,37.34,38.01,124800,18.56
2010-10-18,37.42,38.33,37.27,37.60,144300,18.36
2010-10-11,38.35,39.00,37.05,37.23,256700,18.18
2010-10-04,37.01,38.83,36.76,38.33,148300,18.64
2010-09-27,36.55,37.78,36.04,37.09,122300,18.04
2010-09-20,36.16,36.75,35.20,36.51,195000,17.75
2010-09-13,37.02,37.56,35.86,35.99,161700,17.50
2010-09-07,37.40,37.53,36.41,36.61,98200,17.80
2010-08-30,37.09,38.19,35.94,37.64,199500,18.30
2010-08-23,35.80,37.32,34.75,37.26,206200,18.12
2010-08-16,35.99,37.87,34.98,35.54,150300,17.28
